# _root_ On the other hand , so long as Mr. Gorbachev is easing his grip on his empire , everyone we 've heard agrees that the U.S. can benefit by engaging him .
#goldHeads=23,4,4,1,23,23,6,11,10,11,6,11,14,12,14,17,15,23,23,21,19,21,0,27,26,27,23,27,28,29,30,23,
#predictedHeads=23,4,4,1,23,11,6,11,10,11,23,11,14,12,14,17,15,23,23,21,19,21,0,27,26,27,23,27,28,29,30,23,
(23,7),(7,7),(7,1),-0.0147356 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,7),(7,7),(7,-1),0.0725035 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,7),(7,6),(7,5),-0.0291639 # DEPENDENCYPART_GRANDSIBL
(23,7),(7,6),(7,4),-0.0125047 # DEPENDENCYPART_GRANDSIBL
(23,7),(7,6),(7,3),-0.00856265 # DEPENDENCYPART_GRANDSIBL
(23,7),(7,6),(7,1),-0.0285463 # DEPENDENCYPART_GRANDSIBL
(23,7),(7,6),(7,-1),-0.00790045 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,7),(7,5),(7,4),-0.0277708 # DEPENDENCYPART_GRANDSIBL
(23,7),(7,5),(7,3),-0.0251804 # DEPENDENCYPART_GRANDSIBL
(23,7),(7,5),(7,1),-0.0284761 # DEPENDENCYPART_GRANDSIBL
(23,7),(7,5),(7,-1),-0.0639154 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,7),(7,4),(7,3),-0.019521 # DEPENDENCYPART_GRANDSIBL
(23,7),(7,4),(7,1),-0.0468594 # DEPENDENCYPART_GRANDSIBL
(23,7),(7,4),(7,-1),0.0673937 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,7),(7,3),(7,1),-0.00788625 # DEPENDENCYPART_GRANDSIBL
(23,7),(7,3),(7,-1),-0.096102 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,7),(7,1),(7,-1),-0.0320882 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,8),(8,8),(8,9),0.0813074 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,8),(8,8),(8,10),0.0828158 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,8),(8,8),(8,11),0.117347 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,8),(8,8),(8,12),0.118826 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,8),(8,8),(8,14),0.0831955 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,8),(8,8),(8,33),0.101769 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,8),(8,9),(8,10),0.104571 # DEPENDENCYPART_GRANDSIBL
(23,8),(8,9),(8,11),0.107659 # DEPENDENCYPART_GRANDSIBL
(23,8),(8,9),(8,12),0.107918 # DEPENDENCYPART_GRANDSIBL
(23,8),(8,9),(8,14),0.104571 # DEPENDENCYPART_GRANDSIBL
(23,8),(8,9),(8,33),-0.178479 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,8),(8,10),(8,11),0.107659 # DEPENDENCYPART_GRANDSIBL
(23,8),(8,10),(8,12),0.107918 # DEPENDENCYPART_GRANDSIBL
(23,8),(8,10),(8,14),0.104571 # DEPENDENCYPART_GRANDSIBL
(23,8),(8,10),(8,33),-0.176945 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,8),(8,11),(8,12),0.10954 # DEPENDENCYPART_GRANDSIBL
(23,8),(8,11),(8,14),0.106581 # DEPENDENCYPART_GRANDSIBL
(23,8),(8,11),(8,33),-0.120416 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,8),(8,12),(8,14),0.106589 # DEPENDENCYPART_GRANDSIBL
(23,8),(8,12),(8,33),-0.118099 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,8),(8,14),(8,33),-0.176566 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,8),(8,8),(8,7),-0.0477292 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,8),(8,8),(8,6),-0.0519664 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,8),(8,8),(8,4),0.0669534 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,8),(8,8),(8,-1),-0.0711933 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,8),(8,7),(8,6),-0.0294135 # DEPENDENCYPART_GRANDSIBL
(23,8),(8,7),(8,4),-0.0181528 # DEPENDENCYPART_GRANDSIBL
(23,8),(8,7),(8,-1),-0.0600026 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,8),(8,6),(8,4),-0.0181528 # DEPENDENCYPART_GRANDSIBL
(23,8),(8,6),(8,-1),-0.0657739 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,8),(8,4),(8,-1),0.132105 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,11),(11,11),(11,12),0.170334 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,11),(11,11),(11,14),0.171126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,11),(11,11),(11,15),-0.0110452 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,11),(11,11),(11,17),0.171132 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,11),(11,11),(11,18),0.104987 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,11),(11,11),(11,19),0.17456 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,11),(11,11),(11,21),0.169854 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,11),(11,11),(11,22),0.17054 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,11),(11,11),(11,23),-0.136791 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,11),(11,11),(11,27),-0.14863 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,11),(11,11),(11,30),-0.136791 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,11),(11,11),(11,32),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,11),(11,11),(11,33),-0.281413 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,11),(11,12),(11,14),0.0880373 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,12),(11,15),0.124718 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,12),(11,17),0.0880373 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,12),(11,18),0.20109 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,12),(11,19),0.0880373 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,12),(11,21),0.0998668 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,12),(11,22),0.0998668 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,12),(11,23),-0.145179 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,12),(11,27),-0.144707 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,12),(11,30),-0.145179 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,12),(11,32),-0.144704 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,12),(11,33),-0.140774 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,11),(11,14),(11,15),0.198038 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,14),(11,17),0.0905062 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,14),(11,18),0.105474 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,14),(11,19),0.0905062 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,14),(11,21),0.0978326 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,14),(11,22),0.0978326 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,14),(11,23),-0.143935 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,14),(11,27),-0.144844 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,14),(11,30),-0.143935 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,14),(11,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,14),(11,33),-0.137974 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,11),(11,15),(11,17),0.101665 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,15),(11,18),0.0621324 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,15),(11,19),0.10164 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,15),(11,21),0.112006 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,15),(11,22),0.112028 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,15),(11,23),-0.146516 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,15),(11,27),-0.144951 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,15),(11,30),-0.146516 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,15),(11,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,15),(11,33),-0.114291 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,11),(11,17),(11,18),0.105474 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,17),(11,19),0.0905062 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,17),(11,21),0.0978326 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,17),(11,22),0.0978326 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,17),(11,23),-0.143935 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,17),(11,27),-0.144844 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,17),(11,30),-0.143935 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,17),(11,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,17),(11,33),-0.137967 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,11),(11,18),(11,19),0.116771 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,18),(11,21),0.149926 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,18),(11,22),0.150256 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,18),(11,23),-0.160999 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,18),(11,27),-0.146777 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,18),(11,30),-0.160999 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,18),(11,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,18),(11,33),-0.141177 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,11),(11,19),(11,21),0.0978326 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,19),(11,22),0.0978326 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,19),(11,23),-0.143935 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,19),(11,27),-0.144844 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,19),(11,30),-0.143935 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,19),(11,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,19),(11,33),-0.13334 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,11),(11,21),(11,22),0.0998668 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,21),(11,23),-0.145179 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,21),(11,27),-0.144707 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,21),(11,30),-0.145179 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,21),(11,32),-0.144704 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,21),(11,33),-0.144046 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,11),(11,22),(11,23),-0.145179 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,22),(11,27),-0.144707 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,22),(11,30),-0.145179 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,22),(11,32),-0.144704 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,22),(11,33),-0.140504 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,11),(11,23),(11,27),-0.144707 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,11),(11,23),(11,30),-0.145179 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,11),(11,23),(11,32),-0.144704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,11),(11,23),(11,33),-0.140774 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,11),(11,27),(11,30),-0.144725 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,27),(11,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,27),(11,33),-0.14099 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,11),(11,30),(11,32),-0.144704 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,30),(11,33),-0.140774 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,11),(11,32),(11,33),-0.143903 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,11),(11,11),(11,10),0.0274998 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,11),(11,11),(11,9),0.0237883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,11),(11,11),(11,8),-0.0597641 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,11),(11,11),(11,7),-0.0343709 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,11),(11,11),(11,6),-0.0542345 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,11),(11,11),(11,5),-0.104852 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,11),(11,11),(11,4),0.0248767 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,11),(11,11),(11,3),0.0236344 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,11),(11,11),(11,2),-0.0362035 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,11),(11,11),(11,1),-0.0351752 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,11),(11,11),(11,-1),0.0506084 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,11),(11,10),(11,9),-0.0089909 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,10),(11,8),0.0201805 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,10),(11,7),-0.0328429 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,10),(11,6),-0.0419054 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,10),(11,5),-0.0580072 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,10),(11,4),-0.00884045 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,10),(11,3),-0.016695 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,10),(11,2),-0.0227176 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,10),(11,1),-0.0267577 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,10),(11,-1),-0.0319898 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,11),(11,9),(11,8),0.0186474 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,9),(11,7),-0.0328429 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,9),(11,6),-0.0419054 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,9),(11,5),-0.0577927 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,9),(11,4),-0.00884481 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,9),(11,3),-0.016695 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,9),(11,2),-0.0227176 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,9),(11,1),-0.0282908 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,9),(11,-1),-0.033056 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,11),(11,8),(11,7),-0.0242332 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,8),(11,6),-0.0269199 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,8),(11,5),0.0681429 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,8),(11,4),-0.0263338 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,8),(11,3),-0.0362729 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,8),(11,2),-0.0124165 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,8),(11,1),-0.0490366 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,8),(11,-1),0.069029 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,11),(11,7),(11,6),-0.0373147 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,7),(11,5),0.0322733 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,7),(11,4),-0.0277276 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,7),(11,3),-0.00486945 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,7),(11,2),-0.0238198 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,7),(11,1),-0.0601182 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,7),(11,-1),0.0143715 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,11),(11,6),(11,5),0.0292952 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,6),(11,4),-0.0298196 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,6),(11,3),-0.0152892 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,6),(11,2),-0.0238198 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,6),(11,1),-0.0650793 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,6),(11,-1),-0.000984268 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,11),(11,5),(11,4),-0.0484197 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,5),(11,3),-0.032444 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,5),(11,2),-0.0196221 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,5),(11,1),-0.00825882 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,5),(11,-1),0.101616 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,11),(11,4),(11,3),-0.0166981 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,4),(11,2),-0.0227176 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,4),(11,1),-0.0276073 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,4),(11,-1),-0.0325932 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,11),(11,3),(11,2),-0.0219678 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,3),(11,1),-0.00526646 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,3),(11,-1),0.00311906 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,11),(11,2),(11,1),-0.00838488 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,2),(11,-1),-0.0459749 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,11),(11,1),(11,-1),0.074342 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,12),(12,12),(12,14),0.156296 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,12),(12,12),(12,15),-0.0135732 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,12),(12,12),(12,17),0.156302 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,12),(12,12),(12,18),0.112 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,12),(12,12),(12,19),0.159731 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,12),(12,12),(12,21),0.138482 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,12),(12,12),(12,22),0.139168 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,12),(12,12),(12,23),-0.135038 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,12),(12,12),(12,28),-0.135038 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,12),(12,12),(12,29),-0.0151704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,12),(12,12),(12,30),-0.135038 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,12),(12,12),(12,32),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,12),(12,12),(12,33),-0.241412 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,12),(12,14),(12,15),0.204957 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,14),(12,17),0.098377 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,14),(12,18),0.100931 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,14),(12,19),0.098377 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,14),(12,21),0.104629 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,14),(12,22),0.104629 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,14),(12,23),-0.143839 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,14),(12,28),-0.143839 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,14),(12,29),-0.190595 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,14),(12,30),-0.143839 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,14),(12,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,14),(12,33),-0.162405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,12),(12,15),(12,17),0.106759 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,15),(12,18),0.0709592 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,15),(12,19),0.106733 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,15),(12,21),0.109916 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,15),(12,22),0.109938 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,15),(12,23),-0.146516 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,15),(12,28),-0.146516 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,15),(12,29),-0.147342 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,15),(12,30),-0.146516 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,15),(12,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,15),(12,33),-0.114873 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,12),(12,17),(12,18),0.100931 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,17),(12,19),0.098377 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,17),(12,21),0.104629 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,17),(12,22),0.104629 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,17),(12,23),-0.143839 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,17),(12,28),-0.143839 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,17),(12,29),-0.190595 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,17),(12,30),-0.143839 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,17),(12,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,17),(12,33),-0.162399 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,12),(12,18),(12,19),0.120038 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,18),(12,21),0.136305 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,18),(12,22),0.136635 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,18),(12,23),-0.160163 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,18),(12,28),-0.160163 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,18),(12,29),-0.170492 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,18),(12,30),-0.160163 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,18),(12,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,18),(12,33),-0.118072 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,12),(12,19),(12,21),0.104629 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,19),(12,22),0.104629 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,19),(12,23),-0.143839 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,19),(12,28),-0.143839 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,19),(12,29),-0.190595 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,19),(12,30),-0.143839 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,19),(12,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,19),(12,33),-0.157771 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,12),(12,21),(12,22),0.100488 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,21),(12,23),-0.145075 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,21),(12,28),-0.145075 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,21),(12,29),-0.151909 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,21),(12,30),-0.145075 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,21),(12,32),-0.144704 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,21),(12,33),-0.145537 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,12),(12,22),(12,23),-0.145075 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,22),(12,28),-0.145075 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,22),(12,29),-0.151908 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,22),(12,30),-0.145075 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,22),(12,32),-0.144704 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,22),(12,33),-0.141995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,12),(12,23),(12,28),-0.145075 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,12),(12,23),(12,29),-0.151908 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,12),(12,23),(12,30),-0.145075 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,12),(12,23),(12,32),-0.144704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,12),(12,23),(12,33),-0.142265 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,12),(12,28),(12,29),-0.151908 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,28),(12,30),-0.145075 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,28),(12,32),-0.144704 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,28),(12,33),-0.142415 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,12),(12,29),(12,30),-0.147014 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,29),(12,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,29),(12,33),-0.147603 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,12),(12,30),(12,32),-0.144704 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,30),(12,33),-0.142265 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,12),(12,32),(12,33),-0.142848 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,12),(12,12),(12,10),0.0413643 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,12),(12,12),(12,8),-0.077842 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,12),(12,12),(12,-1),0.0830718 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,12),(12,10),(12,8),0.0182814 # DEPENDENCYPART_GRANDSIBL
(23,12),(12,10),(12,-1),-0.0248248 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,12),(12,8),(12,-1),0.0577603 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,14),(14,14),(14,15),0.163334 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,14),(14,14),(14,17),0.0234417 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
