# _root_ `` Most of the action was during the night session , '' said Michael Moore , trading manager at Continental Bank .
#goldHeads=6,6,2,5,3,13,6,10,10,7,6,6,0,15,13,15,18,15,18,21,19,13,
#predictedHeads=13,6,2,5,3,13,6,10,10,7,13,13,0,15,13,15,18,15,18,21,19,13,
(13,12),(13,14),-0.0245826 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.188009 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.180908 # DEPENDENCYPART_SIBL
(13,12),(13,17),0.0836312 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.0896767 # DEPENDENCYPART_SIBL
(13,12),(13,19),-0.115608 # DEPENDENCYPART_SIBL
(13,12),(13,21),-0.0593002 # DEPENDENCYPART_SIBL
(13,12),(13,22),0.163678 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.281357 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.0446793 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.219076 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.169111 # DEPENDENCYPART_SIBL
(13,14),(13,19),0.0191798 # DEPENDENCYPART_SIBL
(13,14),(13,21),-0.303799 # DEPENDENCYPART_SIBL
(13,14),(13,22),-0.0737017 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.0621126 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.245384 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.195419 # DEPENDENCYPART_SIBL
(13,15),(13,19),-0.00632752 # DEPENDENCYPART_SIBL
(13,15),(13,21),-0.330004 # DEPENDENCYPART_SIBL
(13,15),(13,22),-0.153473 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.00600238 # DEPENDENCYPART_SIBL
(13,16),(13,18),0.139079 # DEPENDENCYPART_SIBL
(13,16),(13,19),-0.0946348 # DEPENDENCYPART_SIBL
(13,16),(13,21),-0.0604377 # DEPENDENCYPART_SIBL
(13,16),(13,22),-0.220475 # DEPENDENCYPART_SIBL
(13,17),(13,18),-0.231595 # DEPENDENCYPART_SIBL
(13,17),(13,19),-0.0871476 # DEPENDENCYPART_SIBL
(13,17),(13,21),-0.173675 # DEPENDENCYPART_SIBL
(13,17),(13,22),-0.207456 # DEPENDENCYPART_SIBL
(13,18),(13,19),-0.0306031 # DEPENDENCYPART_SIBL
(13,18),(13,21),-0.154708 # DEPENDENCYPART_SIBL
(13,18),(13,22),-0.109902 # DEPENDENCYPART_SIBL
(13,19),(13,21),-0.0314878 # DEPENDENCYPART_SIBL
(13,19),(13,22),-0.0777125 # DEPENDENCYPART_SIBL
(13,21),(13,22),-0.128346 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.0229202 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.090114 # DEPENDENCYPART_SIBL
(14,15),(14,18),-0.0539252 # DEPENDENCYPART_SIBL
(14,15),(14,19),-0.0158623 # DEPENDENCYPART_SIBL
(14,15),(14,21),-0.0696467 # DEPENDENCYPART_SIBL
(14,16),(14,17),0.574276 # DEPENDENCYPART_SIBL
(14,16),(14,18),0.733084 # DEPENDENCYPART_SIBL
(14,16),(14,19),0.153255 # DEPENDENCYPART_SIBL
(14,16),(14,21),0.725635 # DEPENDENCYPART_SIBL
(14,17),(14,18),-0.237243 # DEPENDENCYPART_SIBL
(14,17),(14,19),0.0660753 # DEPENDENCYPART_SIBL
(14,17),(14,21),0.0270715 # DEPENDENCYPART_SIBL
(14,18),(14,19),0.0158304 # DEPENDENCYPART_SIBL
(14,18),(14,21),0.00226744 # DEPENDENCYPART_SIBL
(14,19),(14,21),0.041331 # DEPENDENCYPART_SIBL
(15,1),(15,2),0.0328951 # DEPENDENCYPART_SIBL
(15,1),(15,5),0.332545 # DEPENDENCYPART_SIBL
(15,1),(15,6),0.111071 # DEPENDENCYPART_SIBL
(15,1),(15,7),0.0902056 # DEPENDENCYPART_SIBL
(15,1),(15,8),0.113699 # DEPENDENCYPART_SIBL
(15,1),(15,9),0.342075 # DEPENDENCYPART_SIBL
(15,1),(15,10),0.298308 # DEPENDENCYPART_SIBL
(15,1),(15,11),0.0937833 # DEPENDENCYPART_SIBL
(15,1),(15,12),0.90245 # DEPENDENCYPART_SIBL
(15,1),(15,13),0.0830996 # DEPENDENCYPART_SIBL
(15,1),(15,14),0.102484 # DEPENDENCYPART_SIBL
(15,1),(15,16),0.0960553 # DEPENDENCYPART_SIBL
(15,1),(15,17),0.240021 # DEPENDENCYPART_SIBL
(15,1),(15,18),0.248821 # DEPENDENCYPART_SIBL
(15,1),(15,19),0.176056 # DEPENDENCYPART_SIBL
(15,1),(15,20),0.203599 # DEPENDENCYPART_SIBL
(15,1),(15,21),0.206671 # DEPENDENCYPART_SIBL
(15,1),(15,22),0.0460655 # DEPENDENCYPART_SIBL
(15,2),(15,5),0.0887665 # DEPENDENCYPART_SIBL
(15,2),(15,6),-0.0640604 # DEPENDENCYPART_SIBL
(15,2),(15,7),-0.0223079 # DEPENDENCYPART_SIBL
(15,2),(15,8),-0.0792367 # DEPENDENCYPART_SIBL
(15,2),(15,9),0.0920803 # DEPENDENCYPART_SIBL
(15,2),(15,10),0.084871 # DEPENDENCYPART_SIBL
(15,2),(15,11),-0.000936041 # DEPENDENCYPART_SIBL
(15,2),(15,12),0.0558346 # DEPENDENCYPART_SIBL
(15,2),(15,13),-0.0742909 # DEPENDENCYPART_SIBL
(15,2),(15,14),-0.0106307 # DEPENDENCYPART_SIBL
(15,2),(15,16),-0.112304 # DEPENDENCYPART_SIBL
(15,2),(15,17),-0.0334209 # DEPENDENCYPART_SIBL
(15,2),(15,18),-0.0380638 # DEPENDENCYPART_SIBL
(15,2),(15,19),-0.018849 # DEPENDENCYPART_SIBL
(15,2),(15,20),-0.048165 # DEPENDENCYPART_SIBL
(15,2),(15,21),-0.048805 # DEPENDENCYPART_SIBL
(15,2),(15,22),-0.0749207 # DEPENDENCYPART_SIBL
(15,5),(15,6),0.0773039 # DEPENDENCYPART_SIBL
(15,5),(15,7),0.15361 # DEPENDENCYPART_SIBL
(15,5),(15,8),-0.164961 # DEPENDENCYPART_SIBL
(15,5),(15,9),0.197018 # DEPENDENCYPART_SIBL
(15,5),(15,10),0.18814 # DEPENDENCYPART_SIBL
(15,5),(15,11),0.146162 # DEPENDENCYPART_SIBL
(15,5),(15,12),0.18972 # DEPENDENCYPART_SIBL
(15,5),(15,13),0.0638399 # DEPENDENCYPART_SIBL
(15,5),(15,14),0.169327 # DEPENDENCYPART_SIBL
(15,5),(15,16),-0.079557 # DEPENDENCYPART_SIBL
(15,5),(15,17),0.0012513 # DEPENDENCYPART_SIBL
(15,5),(15,18),0.00451019 # DEPENDENCYPART_SIBL
(15,5),(15,19),0.0324522 # DEPENDENCYPART_SIBL
(15,5),(15,20),-0.00179135 # DEPENDENCYPART_SIBL
(15,5),(15,21),-0.0282749 # DEPENDENCYPART_SIBL
(15,5),(15,22),-0.0659266 # DEPENDENCYPART_SIBL
(15,6),(15,7),-0.0451893 # DEPENDENCYPART_SIBL
(15,6),(15,8),0.0128092 # DEPENDENCYPART_SIBL
(15,6),(15,9),0.194376 # DEPENDENCYPART_SIBL
(15,6),(15,10),0.187238 # DEPENDENCYPART_SIBL
(15,6),(15,11),0.196746 # DEPENDENCYPART_SIBL
(15,6),(15,12),0.164099 # DEPENDENCYPART_SIBL
(15,6),(15,13),-0.145983 # DEPENDENCYPART_SIBL
(15,6),(15,14),0.129694 # DEPENDENCYPART_SIBL
(15,6),(15,16),-0.008236 # DEPENDENCYPART_SIBL
(15,6),(15,17),0.0331042 # DEPENDENCYPART_SIBL
(15,6),(15,18),0.0272955 # DEPENDENCYPART_SIBL
(15,6),(15,19),0.0935332 # DEPENDENCYPART_SIBL
(15,6),(15,20),0.0552929 # DEPENDENCYPART_SIBL
(15,6),(15,21),0.0568424 # DEPENDENCYPART_SIBL
(15,6),(15,22),-0.0184337 # DEPENDENCYPART_SIBL
(15,7),(15,8),-0.0354248 # DEPENDENCYPART_SIBL
(15,7),(15,9),0.130609 # DEPENDENCYPART_SIBL
(15,7),(15,10),0.115422 # DEPENDENCYPART_SIBL
(15,7),(15,11),0.251502 # DEPENDENCYPART_SIBL
(15,7),(15,12),0.0259008 # DEPENDENCYPART_SIBL
(15,7),(15,13),-0.105307 # DEPENDENCYPART_SIBL
(15,7),(15,14),-0.00286665 # DEPENDENCYPART_SIBL
(15,7),(15,16),-0.0576356 # DEPENDENCYPART_SIBL
(15,7),(15,17),-0.0175392 # DEPENDENCYPART_SIBL
(15,7),(15,18),-0.0235286 # DEPENDENCYPART_SIBL
(15,7),(15,19),-0.0359026 # DEPENDENCYPART_SIBL
(15,7),(15,20),-0.0680446 # DEPENDENCYPART_SIBL
(15,7),(15,21),-0.0543413 # DEPENDENCYPART_SIBL
(15,7),(15,22),-0.0505584 # DEPENDENCYPART_SIBL
(15,8),(15,9),0.267294 # DEPENDENCYPART_SIBL
(15,8),(15,10),0.25201 # DEPENDENCYPART_SIBL
(15,8),(15,11),0.0091595 # DEPENDENCYPART_SIBL
(15,8),(15,12),0.258976 # DEPENDENCYPART_SIBL
(15,8),(15,13),0.0874008 # DEPENDENCYPART_SIBL
(15,8),(15,14),0.118775 # DEPENDENCYPART_SIBL
(15,8),(15,16),0.0119404 # DEPENDENCYPART_SIBL
(15,8),(15,17),-0.00128091 # DEPENDENCYPART_SIBL
(15,8),(15,18),0.0071597 # DEPENDENCYPART_SIBL
(15,8),(15,19),0.136909 # DEPENDENCYPART_SIBL
(15,8),(15,20),0.00464403 # DEPENDENCYPART_SIBL
(15,8),(15,21),-0.0157469 # DEPENDENCYPART_SIBL
(15,8),(15,22),-0.0673586 # DEPENDENCYPART_SIBL
(15,9),(15,10),0.183072 # DEPENDENCYPART_SIBL
(15,9),(15,11),0.104859 # DEPENDENCYPART_SIBL
(15,9),(15,12),0.182445 # DEPENDENCYPART_SIBL
(15,9),(15,13),0.0556775 # DEPENDENCYPART_SIBL
(15,9),(15,14),0.156471 # DEPENDENCYPART_SIBL
(15,9),(15,16),-0.126687 # DEPENDENCYPART_SIBL
(15,9),(15,17),-0.0265591 # DEPENDENCYPART_SIBL
(15,9),(15,18),-0.0233734 # DEPENDENCYPART_SIBL
(15,9),(15,19),0.0610073 # DEPENDENCYPART_SIBL
(15,9),(15,20),-0.0130683 # DEPENDENCYPART_SIBL
(15,9),(15,21),-0.0395519 # DEPENDENCYPART_SIBL
(15,9),(15,22),-0.0923052 # DEPENDENCYPART_SIBL
(15,10),(15,11),0.0920178 # DEPENDENCYPART_SIBL
(15,10),(15,12),0.193042 # DEPENDENCYPART_SIBL
(15,10),(15,13),0.06713 # DEPENDENCYPART_SIBL
(15,10),(15,14),0.181557 # DEPENDENCYPART_SIBL
(15,10),(15,16),-0.0513713 # DEPENDENCYPART_SIBL
(15,10),(15,17),-0.00601203 # DEPENDENCYPART_SIBL
(15,10),(15,18),-0.00275218 # DEPENDENCYPART_SIBL
(15,10),(15,19),0.0181016 # DEPENDENCYPART_SIBL
(15,10),(15,20),0.000725702 # DEPENDENCYPART_SIBL
(15,10),(15,21),-0.0257579 # DEPENDENCYPART_SIBL
(15,10),(15,22),-0.0968636 # DEPENDENCYPART_SIBL
(15,11),(15,12),0.323174 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.0827921 # DEPENDENCYPART_SIBL
(15,11),(15,14),0.0604168 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.0181057 # DEPENDENCYPART_SIBL
(15,11),(15,17),-0.132772 # DEPENDENCYPART_SIBL
(15,11),(15,18),-0.12946 # DEPENDENCYPART_SIBL
(15,11),(15,19),0.00806014 # DEPENDENCYPART_SIBL
(15,11),(15,20),-0.112414 # DEPENDENCYPART_SIBL
(15,11),(15,21),-0.139381 # DEPENDENCYPART_SIBL
(15,11),(15,22),-0.118359 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.0766887 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.0244181 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.0560306 # DEPENDENCYPART_SIBL
(15,12),(15,17),0.0199809 # DEPENDENCYPART_SIBL
(15,12),(15,18),0.00179199 # DEPENDENCYPART_SIBL
(15,12),(15,19),-0.0132631 # DEPENDENCYPART_SIBL
(15,12),(15,20),-0.018501 # DEPENDENCYPART_SIBL
(15,12),(15,21),-0.0137953 # DEPENDENCYPART_SIBL
(15,12),(15,22),0.0420286 # DEPENDENCYPART_SIBL
(15,13),(15,14),0.085799 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.0497226 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.00393245 # DEPENDENCYPART_SIBL
(15,13),(15,18),-0.0101636 # DEPENDENCYPART_SIBL
(15,13),(15,19),0.0590339 # DEPENDENCYPART_SIBL
(15,13),(15,20),0.0260628 # DEPENDENCYPART_SIBL
(15,13),(15,21),0.0265449 # DEPENDENCYPART_SIBL
(15,13),(15,22),-0.0328863 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.096701 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.0973008 # DEPENDENCYPART_SIBL
(15,14),(15,18),0.0826765 # DEPENDENCYPART_SIBL
(15,14),(15,19),0.0763194 # DEPENDENCYPART_SIBL
(15,14),(15,20),0.0477174 # DEPENDENCYPART_SIBL
(15,14),(15,21),0.00805164 # DEPENDENCYPART_SIBL
(15,14),(15,22),0.0514774 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.520226 # DEPENDENCYPART_SIBL
(15,16),(15,18),0.679034 # DEPENDENCYPART_SIBL
(15,16),(15,19),0.128046 # DEPENDENCYPART_SIBL
(15,16),(15,20),0.66973 # DEPENDENCYPART_SIBL
(15,16),(15,21),0.698259 # DEPENDENCYPART_SIBL
(15,16),(15,22),-0.0196402 # DEPENDENCYPART_SIBL
(15,17),(15,18),-0.244141 # DEPENDENCYPART_SIBL
(15,17),(15,19),0.0688432 # DEPENDENCYPART_SIBL
(15,17),(15,20),0.00571179 # DEPENDENCYPART_SIBL
(15,17),(15,21),0.0287812 # DEPENDENCYPART_SIBL
(15,17),(15,22),0.0814034 # DEPENDENCYPART_SIBL
(15,18),(15,19),0.018599 # DEPENDENCYPART_SIBL
(15,18),(15,20),-0.0190918 # DEPENDENCYPART_SIBL
(15,18),(15,21),0.00397758 # DEPENDENCYPART_SIBL
(15,18),(15,22),0.0771296 # DEPENDENCYPART_SIBL
(15,19),(15,20),0.0104606 # DEPENDENCYPART_SIBL
(15,19),(15,21),0.0405317 # DEPENDENCYPART_SIBL
(15,19),(15,22),-0.0071922 # DEPENDENCYPART_SIBL
(15,20),(15,21),-0.0656966 # DEPENDENCYPART_SIBL
(15,20),(15,22),0.00516995 # DEPENDENCYPART_SIBL
(15,21),(15,22),-0.0347359 # DEPENDENCYPART_SIBL
(17,14),(17,15),0.047535 # DEPENDENCYPART_SIBL
(17,14),(17,16),0.0496003 # DEPENDENCYPART_SIBL
(17,14),(17,18),-0.171368 # DEPENDENCYPART_SIBL
(17,14),(17,19),-0.272598 # DEPENDENCYPART_SIBL
(17,14),(17,21),-0.126489 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.148404 # DEPENDENCYPART_SIBL
(17,15),(17,18),-0.161858 # DEPENDENCYPART_SIBL
(17,15),(17,19),-0.238302 # DEPENDENCYPART_SIBL
(17,15),(17,21),-0.108121 # DEPENDENCYPART_SIBL
(17,16),(17,18),-0.0706113 # DEPENDENCYPART_SIBL
(17,16),(17,19),-0.128789 # DEPENDENCYPART_SIBL
(17,16),(17,21),-0.0805675 # DEPENDENCYPART_SIBL
(17,18),(17,19),0.135927 # DEPENDENCYPART_SIBL
(17,18),(17,21),0.00172263 # DEPENDENCYPART_SIBL
(17,19),(17,21),0.104645 # DEPENDENCYPART_SIBL
(18,1),(18,2),0.0447221 # DEPENDENCYPART_SIBL
(18,1),(18,6),0.155916 # DEPENDENCYPART_SIBL
(18,1),(18,7),0.0204314 # DEPENDENCYPART_SIBL
(18,1),(18,8),-0.0162231 # DEPENDENCYPART_SIBL
(18,1),(18,9),0.178217 # DEPENDENCYPART_SIBL
(18,1),(18,10),0.15376 # DEPENDENCYPART_SIBL
(18,1),(18,11),0.0646554 # DEPENDENCYPART_SIBL
(18,1),(18,12),1.27793 # DEPENDENCYPART_SIBL
(18,1),(18,14),0.134751 # DEPENDENCYPART_SIBL
(18,1),(18,15),0.1393 # DEPENDENCYPART_SIBL
(18,1),(18,16),0.0646554 # DEPENDENCYPART_SIBL
(18,1),(18,17),0.226429 # DEPENDENCYPART_SIBL
(18,1),(18,19),-0.0324491 # DEPENDENCYPART_SIBL
(18,1),(18,20),0.080728 # DEPENDENCYPART_SIBL
(18,1),(18,21),0.0716903 # DEPENDENCYPART_SIBL
(18,2),(18,6),0.0167473 # DEPENDENCYPART_SIBL
(18,2),(18,7),-0.0200209 # DEPENDENCYPART_SIBL
(18,2),(18,8),-0.240699 # DEPENDENCYPART_SIBL
(18,2),(18,9),0.0460174 # DEPENDENCYPART_SIBL
(18,2),(18,10),0.0361321 # DEPENDENCYPART_SIBL
(18,2),(18,11),0.194708 # DEPENDENCYPART_SIBL
(18,2),(18,12),0.224237 # DEPENDENCYPART_SIBL
(18,2),(18,14),0.0172245 # DEPENDENCYPART_SIBL
(18,2),(18,15),0.0208424 # DEPENDENCYPART_SIBL
(18,2),(18,16),0.194708 # DEPENDENCYPART_SIBL
(18,2),(18,17),0.0918099 # DEPENDENCYPART_SIBL
(18,2),(18,19),-0.0540014 # DEPENDENCYPART_SIBL
(18,2),(18,20),-0.0066565 # DEPENDENCYPART_SIBL
(18,2),(18,21),-0.0194085 # DEPENDENCYPART_SIBL
(18,6),(18,7),-0.0190026 # DEPENDENCYPART_SIBL
(18,6),(18,8),-0.0461307 # DEPENDENCYPART_SIBL
(18,6),(18,9),0.124127 # DEPENDENCYPART_SIBL
(18,6),(18,10),0.114297 # DEPENDENCYPART_SIBL
(18,6),(18,11),0.386661 # DEPENDENCYPART_SIBL
(18,6),(18,12),0.327631 # DEPENDENCYPART_SIBL
(18,6),(18,14),0.153996 # DEPENDENCYPART_SIBL
(18,6),(18,15),0.157815 # DEPENDENCYPART_SIBL
(18,6),(18,16),0.386661 # DEPENDENCYPART_SIBL
(18,6),(18,17),0.172793 # DEPENDENCYPART_SIBL
(18,6),(18,19),0.0820156 # DEPENDENCYPART_SIBL
(18,6),(18,20),0.0948228 # DEPENDENCYPART_SIBL
(18,6),(18,21),0.08411 # DEPENDENCYPART_SIBL
(18,7),(18,8),-0.136045 # DEPENDENCYPART_SIBL
(18,7),(18,9),-0.0153789 # DEPENDENCYPART_SIBL
(18,7),(18,10),-0.0330642 # DEPENDENCYPART_SIBL
(18,7),(18,11),0.252899 # DEPENDENCYPART_SIBL
(18,7),(18,12),0.116184 # DEPENDENCYPART_SIBL
(18,7),(18,14),-0.0384779 # DEPENDENCYPART_SIBL
(18,7),(18,15),-0.0328683 # DEPENDENCYPART_SIBL
(18,7),(18,16),0.252899 # DEPENDENCYPART_SIBL
(18,7),(18,17),0.0425836 # DEPENDENCYPART_SIBL
(18,7),(18,19),-0.0919586 # DEPENDENCYPART_SIBL
(18,7),(18,20),-0.0339887 # DEPENDENCYPART_SIBL
(18,7),(18,21),-0.0389836 # DEPENDENCYPART_SIBL
(18,8),(18,9),0.294024 # DEPENDENCYPART_SIBL
(18,8),(18,10),0.272001 # DEPENDENCYPART_SIBL
(18,8),(18,11),0.207954 # DEPENDENCYPART_SIBL
(18,8),(18,12),0.389359 # DEPENDENCYPART_SIBL
(18,8),(18,14),0.224553 # DEPENDENCYPART_SIBL
(18,8),(18,15),0.237123 # DEPENDENCYPART_SIBL
(18,8),(18,16),0.207954 # DEPENDENCYPART_SIBL
(18,8),(18,17),0.510007 # DEPENDENCYPART_SIBL
(18,8),(18,19),-0.0451447 # DEPENDENCYPART_SIBL
(18,8),(18,20),0.10048 # DEPENDENCYPART_SIBL
(18,8),(18,21),0.0687012 # DEPENDENCYPART_SIBL
(18,9),(18,10),0.001719 # DEPENDENCYPART_SIBL
(18,9),(18,11),0.14371 # DEPENDENCYPART_SIBL
(18,9),(18,12),0.241024 # DEPENDENCYPART_SIBL
(18,9),(18,14),0.00367247 # DEPENDENCYPART_SIBL
(18,9),(18,15),-0.00504227 # DEPENDENCYPART_SIBL
(18,9),(18,16),0.14371 # DEPENDENCYPART_SIBL
(18,9),(18,17),0.0411872 # DEPENDENCYPART_SIBL
(18,9),(18,19),0.0473965 # DEPENDENCYPART_SIBL
(18,9),(18,20),0.100719 # DEPENDENCYPART_SIBL
(18,9),(18,21),0.0533629 # DEPENDENCYPART_SIBL
(18,10),(18,11),0.126698 # DEPENDENCYPART_SIBL
(18,10),(18,12),0.247444 # DEPENDENCYPART_SIBL
(18,10),(18,14),0.0128105 # DEPENDENCYPART_SIBL
(18,10),(18,15),0.00409575 # DEPENDENCYPART_SIBL
(18,10),(18,16),0.126698 # DEPENDENCYPART_SIBL
(18,10),(18,17),0.0400015 # DEPENDENCYPART_SIBL
(18,10),(18,19),-0.027651 # DEPENDENCYPART_SIBL
(18,10),(18,20),0.0858313 # DEPENDENCYPART_SIBL
(18,10),(18,21),0.0384757 # DEPENDENCYPART_SIBL
(18,11),(18,12),0.443184 # DEPENDENCYPART_SIBL
(18,11),(18,14),0.0781947 # DEPENDENCYPART_SIBL
(18,11),(18,15),0.0734071 # DEPENDENCYPART_SIBL
(18,11),(18,16),0.501436 # DEPENDENCYPART_SIBL
(18,11),(18,17),0.188966 # DEPENDENCYPART_SIBL
(18,11),(18,19),-0.113539 # DEPENDENCYPART_SIBL
(18,11),(18,20),-0.0446168 # DEPENDENCYPART_SIBL
(18,11),(18,21),-0.0848478 # DEPENDENCYPART_SIBL
(18,12),(18,14),0.00598526 # DEPENDENCYPART_SIBL
(18,12),(18,15),0.0106814 # DEPENDENCYPART_SIBL
(18,12),(18,16),-0.0369192 # DEPENDENCYPART_SIBL
(18,12),(18,17),0.142056 # DEPENDENCYPART_SIBL
(18,12),(18,19),-0.101219 # DEPENDENCYPART_SIBL
(18,12),(18,20),0.00823346 # DEPENDENCYPART_SIBL
(18,12),(18,21),0.000859226 # DEPENDENCYPART_SIBL
(18,14),(18,15),0.0133821 # DEPENDENCYPART_SIBL
(18,14),(18,16),0.0654453 # DEPENDENCYPART_SIBL
(18,14),(18,17),0.216125 # DEPENDENCYPART_SIBL
(18,14),(18,19),-0.153986 # DEPENDENCYPART_SIBL
(18,14),(18,20),0.0217037 # DEPENDENCYPART_SIBL
(18,14),(18,21),-0.0290324 # DEPENDENCYPART_SIBL
(18,15),(18,16),0.164666 # DEPENDENCYPART_SIBL
(18,15),(18,17),0.236008 # DEPENDENCYPART_SIBL
(18,15),(18,19),-0.11902 # DEPENDENCYPART_SIBL
(18,15),(18,20),0.0410319 # DEPENDENCYPART_SIBL
(18,15),(18,21),-0.00970128 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.188966 # DEPENDENCYPART_SIBL
(18,16),(18,19),-0.113539 # DEPENDENCYPART_SIBL
(18,16),(18,20),-0.0446168 # DEPENDENCYPART_SIBL
(18,16),(18,21),-0.0848478 # DEPENDENCYPART_SIBL
(18,17),(18,19),0.0525709 # DEPENDENCYPART_SIBL
(18,17),(18,20),0.128108 # DEPENDENCYPART_SIBL
(18,17),(18,21),0.0807528 # DEPENDENCYPART_SIBL
(18,19),(18,20),-0.0209278 # DEPENDENCYPART_SIBL
(18,19),(18,21),-0.0214518 # DEPENDENCYPART_SIBL
(18,20),(18,21),-0.114515 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.0422372 # DEPENDENCYPART_SIBL
(19,18),(19,21),-0.0786399 # DEPENDENCYPART_SIBL
(19,20),(19,21),-0.699405 # DEPENDENCYPART_SIBL
(21,1),(21,2),0.0254593 # DEPENDENCYPART_SIBL
(21,1),(21,14),0.0936753 # DEPENDENCYPART_SIBL
(21,1),(21,15),0.0961505 # DEPENDENCYPART_SIBL
(21,1),(21,16),0.111081 # DEPENDENCYPART_SIBL
(21,1),(21,17),0.307638 # DEPENDENCYPART_SIBL
(21,1),(21,18),0.301721 # DEPENDENCYPART_SIBL
(21,1),(21,19),0.104041 # DEPENDENCYPART_SIBL
(21,1),(21,20),0.0835542 # DEPENDENCYPART_SIBL
(21,1),(21,22),-0.0303051 # DEPENDENCYPART_SIBL
(21,2),(21,14),-0.0190494 # DEPENDENCYPART_SIBL
(21,2),(21,15),-0.0182339 # DEPENDENCYPART_SIBL
(21,2),(21,16),0.0153463 # DEPENDENCYPART_SIBL
(21,2),(21,17),0.0806496 # DEPENDENCYPART_SIBL
(21,2),(21,18),0.0834861 # DEPENDENCYPART_SIBL
(21,2),(21,19),-0.0377023 # DEPENDENCYPART_SIBL
(21,2),(21,20),-0.0309853 # DEPENDENCYPART_SIBL
(21,2),(21,22),-0.111844 # DEPENDENCYPART_SIBL
(21,14),(21,15),0.0546551 # DEPENDENCYPART_SIBL
(21,14),(21,16),0.421169 # DEPENDENCYPART_SIBL
(21,14),(21,17),0.325829 # DEPENDENCYPART_SIBL
(21,14),(21,18),0.316879 # DEPENDENCYPART_SIBL
(21,14),(21,19),0.146682 # DEPENDENCYPART_SIBL
(21,14),(21,20),0.0312134 # DEPENDENCYPART_SIBL
(21,14),(21,22),0.00579348 # DEPENDENCYPART_SIBL
(21,15),(21,16),0.455003 # DEPENDENCYPART_SIBL
(21,15),(21,17),0.313232 # DEPENDENCYPART_SIBL
(21,15),(21,18),0.304283 # DEPENDENCYPART_SIBL
(21,15),(21,19),0.143323 # DEPENDENCYPART_SIBL
(21,15),(21,20),0.0303037 # DEPENDENCYPART_SIBL
(21,15),(21,22),-0.00953022 # DEPENDENCYPART_SIBL
(21,16),(21,17),0.184138 # DEPENDENCYPART_SIBL
(21,16),(21,18),0.129946 # DEPENDENCYPART_SIBL
(21,16),(21,19),0.0303063 # DEPENDENCYPART_SIBL
(21,16),(21,20),0.0717516 # DEPENDENCYPART_SIBL
(21,16),(21,22),-0.184398 # DEPENDENCYPART_SIBL
(21,17),(21,18),0.125593 # DEPENDENCYPART_SIBL
(21,17),(21,19),0.079479 # DEPENDENCYPART_SIBL
(21,17),(21,20),0.0618885 # DEPENDENCYPART_SIBL
(21,17),(21,22),-0.182674 # DEPENDENCYPART_SIBL
(21,18),(21,19),0.100033 # DEPENDENCYPART_SIBL
(21,18),(21,20),0.1378 # DEPENDENCYPART_SIBL
(21,18),(21,22),-0.121304 # DEPENDENCYPART_SIBL
(21,19),(21,20),-0.0753861 # DEPENDENCYPART_SIBL
(21,19),(21,22),-0.122773 # DEPENDENCYPART_SIBL
(21,20),(21,22),-0.0237414 # DEPENDENCYPART_SIBL
(0,6),(6,1),0.708499 # DEPENDENCYPART_GRANDPAR
(0,6),(6,2),0.24601 # DEPENDENCYPART_GRANDPAR
(0,6),(6,3),-0.33065 # DEPENDENCYPART_GRANDPAR
(0,6),(6,4),-1.01238 # DEPENDENCYPART_GRANDPAR
(0,6),(6,5),-0.0931505 # DEPENDENCYPART_GRANDPAR
(0,6),(6,7),0.140568 # DEPENDENCYPART_GRANDPAR
(0,6),(6,8),-1.03043 # DEPENDENCYPART_GRANDPAR
(0,6),(6,9),-0.254993 # DEPENDENCYPART_GRANDPAR
(0,6),(6,10),-0.241262 # DEPENDENCYPART_GRANDPAR
(0,6),(6,11),0.594223 # DEPENDENCYPART_GRANDPAR
(0,6),(6,12),0.129526 # DEPENDENCYPART_GRANDPAR
(0,6),(6,13),0.386115 # DEPENDENCYPART_GRANDPAR
(0,6),(6,15),0.619248 # DEPENDENCYPART_GRANDPAR
(0,6),(6,16),-0.274175 # DEPENDENCYPART_GRANDPAR
