# _root_ It received more offers , but the auction was surprisingly won by IMA , which bid $ 28 a share and asked Mr. Gilleland to stay on as an equity participant .
#goldHeads=2,6,4,2,6,0,8,9,6,9,9,11,12,13,21,21,18,16,20,18,13,21,24,22,26,22,26,26,31,31,28,6,
#predictedHeads=2,6,4,2,6,0,8,9,6,9,9,11,12,13,21,21,18,16,20,18,13,21,24,22,26,22,26,26,31,31,28,6,
(12,8),(8,6),(8,5),0.107407 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,6),(8,4),0.050199 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,6),(8,3),0.0596361 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,6),(8,2),0.0353301 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,6),(8,-1),-0.0639463 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,8),(8,5),(8,4),-0.0612684 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,5),(8,3),-0.00985101 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,5),(8,2),0.0323174 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,5),(8,-1),-0.0185934 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,8),(8,4),(8,3),-0.0220179 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,4),(8,2),-0.0269586 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,4),(8,-1),-0.0890033 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,8),(8,3),(8,2),-0.0206504 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,3),(8,-1),-0.0135702 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,8),(8,2),(8,-1),-0.0145162 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,10),(10,11),0.115503 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,12),-0.144723 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,13),-0.150937 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,33),-0.176697 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,10),(10,11),(10,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,11),(10,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,11),(10,33),-0.149138 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,12),(10,13),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,12),(10,33),-0.156741 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,10),(10,13),(10,33),-0.0617089 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,10),(10,8),-0.0125977 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,6),-0.0151657 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,4),-0.0125977 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,-1),0.00986225 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,10),(10,8),(10,6),-0.0199816 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,8),(10,4),-0.0195211 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,8),(10,-1),0.0389499 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,6),(10,4),0.0524691 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,6),(10,-1),0.00230178 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,4),(10,-1),0.0389499 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,11),(11,11),(11,12),-0.145712 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,13),-0.153624 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,14),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,16),-0.124707 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,17),-0.144981 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,21),-0.145731 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,26),-0.124707 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,32),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,33),-0.154182 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,11),(11,12),(11,13),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,12),(11,14),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,12),(11,16),-0.144729 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,12),(11,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,12),(11,21),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,12),(11,26),-0.144729 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,12),(11,32),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,12),(11,33),-0.149727 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,11),(11,13),(11,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,13),(11,16),-0.144722 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,13),(11,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,13),(11,21),-0.144975 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,13),(11,26),-0.144722 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,13),(11,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,13),(11,33),-0.150909 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,11),(11,14),(11,16),-0.144943 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,14),(11,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,14),(11,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,14),(11,26),-0.144943 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,14),(11,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,14),(11,33),-0.15411 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,11),(11,16),(11,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,16),(11,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,16),(11,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,16),(11,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,16),(11,33),-0.13468 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,11),(11,17),(11,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,17),(11,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,17),(11,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,17),(11,33),-0.145141 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,11),(11,21),(11,26),-0.00701624 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,21),(11,32),-0.12069 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,21),(11,33),-0.148022 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,11),(11,26),(11,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,26),(11,33),-0.134678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,11),(11,32),(11,33),-0.144749 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,11),(11,11),(11,10),-0.0525809 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,9),-0.0166348 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,8),0.0445625 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,6),-0.0486093 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,5),-0.0513122 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,4),0.0445625 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,2),-0.0176715 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,-1),-0.0280626 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,11),(11,10),(11,9),-0.0372407 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,10),(11,8),-0.0281602 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,10),(11,6),-0.0202044 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,10),(11,5),-0.0231014 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,10),(11,4),-0.0281602 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,10),(11,2),-0.0372407 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,10),(11,-1),-0.00794478 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,11),(11,9),(11,8),-0.0207734 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,9),(11,6),-0.0199604 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,9),(11,5),-0.0215495 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,9),(11,4),-0.0207734 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,9),(11,2),-0.0203112 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,9),(11,-1),-0.0402488 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,11),(11,8),(11,6),-0.0142272 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,8),(11,5),-0.046063 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,8),(11,4),-0.0282775 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,8),(11,2),-0.0116129 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,8),(11,-1),-0.0591652 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,11),(11,6),(11,5),0.0795968 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,6),(11,4),0.0521098 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,6),(11,2),0.0298849 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,6),(11,-1),-0.0141424 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,11),(11,5),(11,4),-0.0248874 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,5),(11,2),-0.0380201 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,5),(11,-1),-0.0207001 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,11),(11,4),(11,2),-0.0116129 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,4),(11,-1),-0.0591652 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,11),(11,2),(11,-1),-0.0398199 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,13),(13,13),(13,14),-0.0436667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,13),(13,13),(13,16),-0.00308661 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,13),(13,13),(13,17),-0.00453406 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,13),(13,13),(13,18),0.0323642 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,13),(13,13),(13,20),-0.132985 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,13),(13,13),(13,21),-0.0831989 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,13),(13,13),(13,22),-0.00116216 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,13),(13,13),(13,24),-0.139645 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,13),(13,13),(13,33),0.158456 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,13),(13,14),(13,16),0.0313636 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,14),(13,17),-0.0271903 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,14),(13,18),-0.0477599 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,14),(13,20),-0.0645817 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,14),(13,21),0.00142582 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,14),(13,22),0.0310554 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,14),(13,24),-0.0612673 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,14),(13,33),-0.0211652 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,13),(13,16),(13,17),-0.0222083 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,16),(13,18),-0.0218251 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,16),(13,20),-0.0209548 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,16),(13,21),-0.0233963 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,16),(13,22),-0.0200604 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,16),(13,24),-0.0209545 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,16),(13,33),-0.0132733 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,13),(13,17),(13,18),-0.0217108 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,17),(13,20),-0.019998 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,17),(13,21),-0.0201007 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,17),(13,22),-0.0218957 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,17),(13,24),-0.019998 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,17),(13,33),-0.0281591 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,13),(13,18),(13,20),-0.0126406 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,18),(13,21),-0.0204938 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,18),(13,22),-0.0188507 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,18),(13,24),-0.0178865 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,18),(13,33),0.0106863 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,13),(13,20),(13,21),-0.0224728 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,20),(13,22),-0.0264493 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,20),(13,24),-0.0290553 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,20),(13,33),-0.0847955 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,13),(13,21),(13,22),0.110889 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,21),(13,24),-0.197216 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,21),(13,33),-0.0729493 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,13),(13,22),(13,24),-0.0209545 # DEPENDENCYPART_GRANDSIBL
(12,13),(13,22),(13,33),-0.0129542 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,13),(13,24),(13,33),-0.0889513 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,13),(13,13),(13,12),0.15146 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,13),(13,13),(13,10),-0.144736 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,13),(13,13),(13,-1),-0.173726 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,13),(13,12),(13,10),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,13),(13,12),(13,-1),-0.124201 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,13),(13,10),(13,-1),-0.164037 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,14),(14,14),(14,33),-0.0254344 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,14),(14,14),(14,-1),-0.15153 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,16),(16,16),(16,17),-0.0300852 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,18),0.0222615 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,20),0.0492192 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,21),-0.0671586 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,22),-0.0121242 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,23),0.0441835 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,24),0.0444797 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,25),-0.0462456 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,26),-0.0121212 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,28),-0.0271414 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,31),0.0444797 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,32),-0.0221917 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,33),-0.0429502 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,16),(16,17),(16,18),-0.0198917 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,17),(16,20),-0.0199071 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,17),(16,21),-0.0194879 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,17),(16,22),-0.0175866 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,17),(16,23),-0.0198893 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,17),(16,24),-0.0198893 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,17),(16,25),-0.0194441 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,17),(16,26),-0.0175866 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,17),(16,28),-0.0205024 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,17),(16,31),-0.0198893 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,17),(16,32),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,17),(16,33),-0.0314084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,18),(16,20),-0.0196626 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,18),(16,21),-0.00761424 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,18),(16,22),-0.0178206 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,18),(16,23),-0.0196442 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,18),(16,24),-0.0196442 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,18),(16,25),-0.0212305 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,18),(16,26),-0.0178206 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,18),(16,28),-0.0203248 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,18),(16,31),-0.0196442 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,18),(16,32),-0.0194415 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,18),(16,33),0.00563274 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,20),(16,21),-0.00686975 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,20),(16,22),-0.0116129 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,20),(16,23),-0.0282775 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,20),(16,24),-0.0282775 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,20),(16,25),0.021424 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,20),(16,26),-0.0116129 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,20),(16,28),0.0207727 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,20),(16,31),-0.0282775 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,20),(16,32),-0.0229206 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,20),(16,33),-0.0565454 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,21),(16,22),0.0988089 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,21),(16,23),-0.15484 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,21),(16,24),-0.193835 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,21),(16,25),0.284876 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,21),(16,26),0.115664 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,21),(16,28),-0.146934 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,21),(16,31),-0.383551 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,21),(16,32),0.00457027 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,21),(16,33),-0.010192 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,22),(16,23),-0.0214296 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,22),(16,24),-0.0214296 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,22),(16,25),-0.0194902 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,22),(16,26),-0.0203112 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,22),(16,28),-0.0248698 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,22),(16,31),-0.0214296 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,22),(16,32),-0.0197471 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,22),(16,33),-0.0339424 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,23),(16,24),-0.0282799 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,23),(16,25),0.021424 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,23),(16,26),-0.0116129 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,23),(16,28),0.0207793 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,23),(16,31),-0.0282799 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,23),(16,32),-0.0229206 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,23),(16,33),-0.0605051 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,24),(16,25),0.021424 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,24),(16,26),-0.0116129 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,24),(16,28),0.0207793 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,24),(16,31),-0.0282775 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,24),(16,32),-0.0229206 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,24),(16,33),-0.0602069 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,25),(16,26),-0.0213403 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,25),(16,28),-0.0226215 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,25),(16,31),-0.0114611 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,25),(16,32),-0.0205659 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,25),(16,33),0.0256789 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,26),(16,28),-0.0248698 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,26),(16,31),-0.0214296 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,26),(16,32),-0.0197471 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,26),(16,33),-0.0339393 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,28),(16,31),-0.0274626 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,28),(16,32),-0.0194454 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,28),(16,33),0.0229524 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,31),(16,32),-0.0229206 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,31),(16,33),-0.0602069 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,32),(16,33),-0.0257741 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,16),(16,15),0.0926648 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,14),0.0948883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,13),0.0980074 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,12),0.125502 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,11),-0.124722 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,10),-0.144764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,9),-0.121023 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,8),-0.153624 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,6),-0.1454 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,4),-0.153624 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,2),-0.124722 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,1),-0.145146 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,-1),-0.154611 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,16),(16,15),(16,14),0.109535 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,15),(16,13),0.109539 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,15),(16,12),0.109504 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,15),(16,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,15),(16,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,15),(16,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,15),(16,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,15),(16,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,15),(16,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,15),(16,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,15),(16,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,15),(16,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,15),(16,-1),-0.166156 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,14),(16,13),0.0884505 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,14),(16,12),0.102252 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,14),(16,11),-0.144943 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,14),(16,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,14),(16,9),-0.144943 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,14),(16,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,14),(16,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,14),(16,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,14),(16,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,14),(16,2),-0.144943 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,14),(16,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
