# _root_ Under the Racketeer Influenced and Corrupt Organizations law , or RICO , the government has the authority to seek to freeze or seize a defendant 's assets before trial .
#goldHeads=15,8,8,5,8,5,8,10,10,1,10,10,14,15,0,17,15,19,17,22,22,19,22,25,27,25,22,19,28,15,
#predictedHeads=15,8,8,5,8,5,8,10,10,1,10,15,14,15,0,17,15,19,17,22,22,19,22,25,27,25,23,23,28,15,
(19,22),(22,27),(22,28),-0.0295697 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,27),(22,29),0.0139195 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,27),(22,30),-0.0203491 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,27),(22,31),-0.0101547 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,28),(22,29),-0.0193652 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,28),(22,30),-0.0195161 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,28),(22,31),0.0185442 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,29),(22,30),-0.0203491 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,29),(22,31),-0.0117571 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,30),(22,31),-0.0274626 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,22),(22,21),0.143163 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,20),0.130616 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,19),0.142689 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,18),-0.145362 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,17),-0.152262 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,16),-0.144764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,15),-0.159374 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,14),-0.152262 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,13),-0.144764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,11),-0.152262 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,10),-0.147844 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,9),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,8),-0.152262 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,7),-0.152262 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,6),-0.152262 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,5),-0.148009 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,4),-0.152262 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,3),-0.152262 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,2),-0.144764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,1),-0.150298 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,-1),-0.176977 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,22),(22,21),(22,20),0.152862 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,19),0.0824447 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,18),-0.144888 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,17),-0.147684 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,16),-0.144994 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,15),-0.140213 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,14),-0.147715 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,13),-0.144994 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,12),-0.145361 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,11),-0.147684 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,10),-0.144954 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,9),-0.145361 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,8),-0.147684 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,7),-0.147684 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,6),-0.147684 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,5),-0.144937 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,4),-0.147684 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,3),-0.147684 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,2),-0.144994 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,1),-0.150018 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,-1),-0.170704 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,20),(22,19),0.093955 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,17),-0.144705 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,15),-0.144702 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,14),-0.144705 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,11),-0.144705 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,10),-0.146329 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,8),-0.144705 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,7),-0.144705 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,6),-0.144705 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,5),-0.146074 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,4),-0.144705 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,3),-0.144705 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,1),-0.14584 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,-1),-0.0997102 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,19),(22,18),-0.144888 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,17),-0.147684 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,16),-0.144994 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,15),-0.140213 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,14),-0.147715 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,13),-0.144994 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,12),-0.145361 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,11),-0.147684 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,10),-0.144954 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,9),-0.145361 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,8),-0.147684 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,7),-0.147684 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,6),-0.147684 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,5),-0.144937 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,4),-0.147684 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,3),-0.147684 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,2),-0.144994 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,1),-0.150018 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,-1),-0.167456 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,22),(22,18),(22,17),-0.144705 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,15),-0.144702 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,14),-0.144705 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,11),-0.144705 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,10),-0.146329 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,8),-0.144705 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,7),-0.144705 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,6),-0.144705 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,5),-0.146074 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,4),-0.144705 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,3),-0.144705 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,1),-0.14584 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,-1),-0.0997102 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,17),(22,16),-0.145989 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,15),-0.145796 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,14),-0.146278 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,13),-0.145989 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,12),-0.148011 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,11),-0.146278 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,10),-0.144779 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,9),-0.148011 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,8),-0.146278 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,7),-0.146278 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,6),-0.146278 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,5),-0.144787 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,4),-0.146278 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,3),-0.146278 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,2),-0.145989 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,1),-0.147486 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,-1),-0.14995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,16),(22,15),-0.144702 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,14),-0.144769 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,11),-0.144769 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,8),-0.144769 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,7),-0.144769 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,6),-0.144769 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,4),-0.144769 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,3),-0.144769 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,1),-0.144706 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,-1),-0.13777 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,15),(22,14),-0.147718 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,15),(22,13),-0.144994 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,15),(22,12),-0.14537 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,15),(22,11),-0.147687 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,15),(22,10),-0.144954 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,15),(22,9),-0.14537 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,15),(22,8),-0.147687 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,15),(22,7),-0.147687 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,15),(22,6),-0.147687 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,15),(22,5),-0.144937 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,15),(22,4),-0.147687 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,15),(22,3),-0.147687 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,15),(22,2),-0.144994 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,15),(22,1),-0.150232 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,15),(22,-1),-0.173126 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,14),(22,13),-0.145989 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,14),(22,12),-0.148011 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,14),(22,11),-0.146278 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,14),(22,10),-0.144779 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,14),(22,9),-0.148011 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,14),(22,8),-0.146278 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,14),(22,7),-0.146278 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,14),(22,6),-0.146278 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,14),(22,5),-0.144787 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,14),(22,4),-0.146278 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,14),(22,3),-0.146278 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,14),(22,2),-0.145989 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,14),(22,1),-0.147581 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,14),(22,-1),-0.15596 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,13),(22,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,13),(22,11),-0.144769 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,13),(22,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,13),(22,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,13),(22,8),-0.144769 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,13),(22,7),-0.144769 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,13),(22,6),-0.144769 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,13),(22,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,13),(22,4),-0.144769 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,13),(22,3),-0.144769 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,13),(22,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,13),(22,1),-0.144706 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,13),(22,-1),-0.13777 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,12),(22,11),-0.150392 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,12),(22,10),-0.147228 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,12),(22,9),-0.144825 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,12),(22,8),-0.150392 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,12),(22,7),-0.150392 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,12),(22,6),-0.150392 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,12),(22,5),-0.148231 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,12),(22,4),-0.150392 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,12),(22,3),-0.150392 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,12),(22,2),-0.144976 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,12),(22,1),-0.154323 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,12),(22,-1),-0.143856 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,11),(22,10),-0.144779 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,11),(22,9),-0.148011 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,11),(22,8),-0.146278 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,11),(22,7),-0.146278 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,11),(22,6),-0.146278 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,11),(22,5),-0.144787 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,11),(22,4),-0.146278 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,11),(22,3),-0.146278 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,11),(22,2),-0.145989 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,11),(22,1),-0.147486 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,11),(22,-1),-0.149783 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,10),(22,9),-0.0392002 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,10),(22,8),-0.147893 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,10),(22,7),-0.142012 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,10),(22,6),-0.149465 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,10),(22,5),-0.211873 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,10),(22,4),-0.205373 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,10),(22,3),-0.190678 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,10),(22,2),-0.444145 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,10),(22,1),-0.104172 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,10),(22,-1),-0.125549 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,9),(22,8),-0.150392 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,9),(22,7),-0.150392 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,9),(22,6),-0.150392 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,9),(22,5),-0.148231 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,9),(22,4),-0.150392 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,9),(22,3),-0.150392 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,9),(22,2),-0.144976 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,9),(22,1),-0.154323 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,9),(22,-1),-0.143856 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,8),(22,7),-0.146278 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,8),(22,6),-0.146278 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,8),(22,5),-0.144787 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,8),(22,4),-0.146278 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,8),(22,3),-0.146278 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,8),(22,2),-0.145989 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,8),(22,1),-0.147486 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,8),(22,-1),-0.148372 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,7),(22,6),-0.146278 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,7),(22,5),-0.144787 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,7),(22,4),-0.146278 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,7),(22,3),-0.146278 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,7),(22,2),-0.145989 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,7),(22,1),-0.147486 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,7),(22,-1),-0.149872 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,6),(22,5),-0.144787 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,6),(22,4),-0.146278 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,6),(22,3),-0.146278 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,6),(22,2),-0.145989 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,6),(22,1),-0.147486 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,6),(22,-1),-0.149727 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,5),(22,4),-0.205372 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,5),(22,3),-0.190678 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,5),(22,2),-0.444153 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,5),(22,1),-0.104417 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,5),(22,-1),-0.136266 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,4),(22,3),-0.146278 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,4),(22,2),-0.145989 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,4),(22,1),-0.147486 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,4),(22,-1),-0.149733 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,3),(22,2),-0.145989 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,3),(22,1),-0.147486 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,3),(22,-1),-0.149727 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,2),(22,1),-0.144706 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,2),(22,-1),-0.13777 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,1),(22,-1),-0.0823494 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,23),(23,23),(23,24),-0.0391946 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,23),(23,23),(23,25),0.0442572 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,23),(23,23),(23,27),0.0417145 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,23),(23,23),(23,28),-0.0701227 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,23),(23,23),(23,29),0.0442279 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,23),(23,23),(23,30),-0.0411165 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,23),(23,23),(23,31),0.0825784 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,23),(23,24),(23,25),-0.0237222 # DEPENDENCYPART_GRANDSIBL
(19,23),(23,24),(23,27),-0.0237222 # DEPENDENCYPART_GRANDSIBL
(19,23),(23,24),(23,28),-0.012494 # DEPENDENCYPART_GRANDSIBL
(19,23),(23,24),(23,29),-0.0237222 # DEPENDENCYPART_GRANDSIBL
(19,23),(23,24),(23,30),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(19,23),(23,24),(23,31),-0.040212 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,23),(23,25),(23,27),-0.00440948 # DEPENDENCYPART_GRANDSIBL
(19,23),(23,25),(23,28),0.00950718 # DEPENDENCYPART_GRANDSIBL
(19,23),(23,25),(23,29),-0.00440948 # DEPENDENCYPART_GRANDSIBL
(19,23),(23,25),(23,30),-0.0145716 # DEPENDENCYPART_GRANDSIBL
(19,23),(23,25),(23,31),-0.024784 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,23),(23,27),(23,28),0.00754953 # DEPENDENCYPART_GRANDSIBL
(19,23),(23,27),(23,29),-0.00445113 # DEPENDENCYPART_GRANDSIBL
(19,23),(23,27),(23,30),-0.0145716 # DEPENDENCYPART_GRANDSIBL
(19,23),(23,27),(23,31),-0.0253063 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,23),(23,28),(23,29),-0.0127004 # DEPENDENCYPART_GRANDSIBL
(19,23),(23,28),(23,30),-0.0302553 # DEPENDENCYPART_GRANDSIBL
(19,23),(23,28),(23,31),0.0467503 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,23),(23,29),(23,30),-0.0145716 # DEPENDENCYPART_GRANDSIBL
(19,23),(23,29),(23,31),-0.0251533 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,23),(23,30),(23,31),-0.0327537 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,23),(23,23),(23,21),0.138603 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,23),(23,23),(23,20),0.193742 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,23),(23,23),(23,19),0.138962 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,23),(23,23),(23,17),-0.190315 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,23),(23,23),(23,14),-0.19033 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,23),(23,23),(23,8),-0.190315 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,23),(23,23),(23,-1),-0.241131 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,23),(23,21),(23,20),0.096386 # DEPENDENCYPART_GRANDSIBL
(19,23),(23,21),(23,19),0.100488 # DEPENDENCYPART_GRANDSIBL
(19,23),(23,21),(23,17),-0.145197 # DEPENDENCYPART_GRANDSIBL
(19,23),(23,21),(23,14),-0.145197 # DEPENDENCYPART_GRANDSIBL
(19,23),(23,21),(23,8),-0.145197 # DEPENDENCYPART_GRANDSIBL
(19,23),(23,21),(23,-1),-0.142265 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,23),(23,20),(23,19),0.126201 # DEPENDENCYPART_GRANDSIBL
(19,23),(23,20),(23,17),-0.121778 # DEPENDENCYPART_GRANDSIBL
(19,23),(23,20),(23,14),-0.121778 # DEPENDENCYPART_GRANDSIBL
(19,23),(23,20),(23,8),-0.121778 # DEPENDENCYPART_GRANDSIBL
(19,23),(23,20),(23,-1),-0.22406 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
