# _root_ In a statement prepared by lawyers for the university and Connaught , the parties said they agreed that as a result of reaching a C 415 million research accord , `` It is unnecessary that there be a judgment on the merits { of the case } at this time . ''
#goldHeads=15,3,1,3,4,5,4,9,10,7,10,15,14,15,0,17,15,33,33,21,19,21,22,29,29,25,25,29,23,33,33,33,17,33,37,37,33,39,37,39,42,40,42,42,46,44,42,37,50,48,15,15,
#predictedHeads=15,3,1,3,4,5,6,10,10,7,10,15,14,15,0,17,15,33,17,21,19,21,22,29,29,25,25,29,23,17,33,33,17,33,37,37,33,39,37,39,42,40,44,42,46,44,44,37,50,48,15,15,
(29,23),(23,22),(23,18),-0.0328685 # DEPENDENCYPART_GRANDSIBL
(29,23),(23,22),(23,16),-0.0195473 # DEPENDENCYPART_GRANDSIBL
(29,23),(23,22),(23,14),-0.0147368 # DEPENDENCYPART_GRANDSIBL
(29,23),(23,22),(23,-1),0.00245317 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,23),(23,21),(23,19),0.00663131 # DEPENDENCYPART_GRANDSIBL
(29,23),(23,21),(23,18),-0.000347058 # DEPENDENCYPART_GRANDSIBL
(29,23),(23,21),(23,16),-0.0173987 # DEPENDENCYPART_GRANDSIBL
(29,23),(23,21),(23,14),-0.00100245 # DEPENDENCYPART_GRANDSIBL
(29,23),(23,21),(23,-1),-0.0280337 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,23),(23,19),(23,18),-0.0214427 # DEPENDENCYPART_GRANDSIBL
(29,23),(23,19),(23,16),-0.0195473 # DEPENDENCYPART_GRANDSIBL
(29,23),(23,19),(23,14),-0.0135101 # DEPENDENCYPART_GRANDSIBL
(29,23),(23,19),(23,-1),0.011788 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,23),(23,18),(23,16),-0.0196382 # DEPENDENCYPART_GRANDSIBL
(29,23),(23,18),(23,14),-0.015063 # DEPENDENCYPART_GRANDSIBL
(29,23),(23,18),(23,-1),-0.0278024 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,23),(23,16),(23,14),-0.0207311 # DEPENDENCYPART_GRANDSIBL
(29,23),(23,16),(23,-1),-0.0572024 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,23),(23,14),(23,-1),-0.0280098 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,24),(24,24),(24,53),0.0757736 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(29,24),(24,24),(24,-1),0.194451 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(29,25),(25,25),(25,26),0.1624 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,25),(25,25),(25,27),0.162324 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,25),(25,25),(25,28),0.10329 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,25),(25,25),(25,29),-0.144717 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,25),(25,25),(25,30),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,25),(25,25),(25,33),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,25),(25,25),(25,34),-0.144707 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,25),(25,25),(25,35),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,25),(25,25),(25,39),-0.144717 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,25),(25,25),(25,40),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,25),(25,25),(25,44),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,25),(25,25),(25,53),-0.231055 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(29,25),(25,26),(25,27),0.0658782 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,26),(25,28),0.113492 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,26),(25,29),-0.144708 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,26),(25,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,26),(25,33),-0.144861 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,26),(25,34),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,26),(25,35),-0.144703 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,26),(25,39),-0.144708 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,26),(25,40),-0.144703 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,26),(25,44),-0.144705 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,26),(25,53),-0.0507897 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,25),(25,27),(25,28),0.113411 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,27),(25,29),-0.144708 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,27),(25,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,27),(25,33),-0.144861 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,27),(25,34),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,27),(25,35),-0.144705 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,27),(25,39),-0.144708 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,27),(25,40),-0.144705 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,27),(25,44),-0.144708 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,27),(25,53),-0.0561233 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,25),(25,28),(25,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,28),(25,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,28),(25,33),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,28),(25,34),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,28),(25,35),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,28),(25,39),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,28),(25,40),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,28),(25,44),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,28),(25,53),-0.140209 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,25),(25,29),(25,30),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,25),(25,29),(25,33),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,25),(25,29),(25,34),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,25),(25,29),(25,35),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,25),(25,29),(25,39),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,25),(25,29),(25,40),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,25),(25,29),(25,44),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,25),(25,29),(25,53),-0.140209 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(29,25),(25,30),(25,33),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,30),(25,34),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,30),(25,35),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,30),(25,39),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,30),(25,40),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,30),(25,44),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,30),(25,53),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,25),(25,33),(25,34),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,33),(25,35),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,33),(25,39),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,33),(25,40),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,33),(25,44),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,33),(25,53),-0.146735 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,25),(25,34),(25,35),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,34),(25,39),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,34),(25,40),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,34),(25,44),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,34),(25,53),-0.0994507 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,25),(25,35),(25,39),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,35),(25,40),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,35),(25,44),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,35),(25,53),-0.187715 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,25),(25,39),(25,40),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,39),(25,44),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,39),(25,53),-0.140209 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,25),(25,40),(25,44),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,40),(25,53),-0.187735 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,25),(25,44),(25,53),-0.199652 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,25),(25,25),(25,24),-0.0232463 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,25),(25,25),(25,22),-0.00940706 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,25),(25,25),(25,20),-0.0232463 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,25),(25,25),(25,-1),0.0668356 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(29,25),(25,24),(25,22),-0.021226 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,24),(25,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,24),(25,-1),-0.0228893 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,25),(25,22),(25,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(29,25),(25,22),(25,-1),-0.0409557 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,25),(25,20),(25,-1),-0.0228893 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,26),(26,26),(26,27),0.0896785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,26),(26,26),(26,28),0.172135 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,26),(26,26),(26,29),-0.145666 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,26),(26,26),(26,30),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,26),(26,26),(26,35),-0.144909 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,26),(26,26),(26,53),-0.0441365 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(29,26),(26,27),(26,28),0.109484 # DEPENDENCYPART_GRANDSIBL
(29,26),(26,27),(26,29),-0.144702 # DEPENDENCYPART_GRANDSIBL
(29,26),(26,27),(26,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,26),(26,27),(26,35),-0.144703 # DEPENDENCYPART_GRANDSIBL
(29,26),(26,27),(26,53),-0.173968 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,26),(26,28),(26,29),-0.144703 # DEPENDENCYPART_GRANDSIBL
(29,26),(26,28),(26,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,26),(26,28),(26,35),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,26),(26,28),(26,53),-0.0825531 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,26),(26,29),(26,30),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,26),(26,29),(26,35),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,26),(26,29),(26,53),-0.082553 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(29,26),(26,30),(26,35),-0.144705 # DEPENDENCYPART_GRANDSIBL
(29,26),(26,30),(26,53),-0.158234 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,26),(26,35),(26,53),-0.175072 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,26),(26,26),(26,25),-0.0720076 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,26),(26,26),(26,24),-0.0409813 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,26),(26,26),(26,-1),0.15816 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(29,26),(26,25),(26,24),-0.0216997 # DEPENDENCYPART_GRANDSIBL
(29,26),(26,25),(26,-1),-0.0650547 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,26),(26,24),(26,-1),-0.0571938 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,27),(27,27),(27,28),0.176124 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,27),(27,27),(27,29),-0.145671 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,27),(27,27),(27,33),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,27),(27,27),(27,53),-0.0716795 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(29,27),(27,28),(27,29),-0.144703 # DEPENDENCYPART_GRANDSIBL
(29,27),(27,28),(27,33),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,27),(27,28),(27,53),-0.0785816 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,27),(27,29),(27,33),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,27),(27,29),(27,53),-0.0785815 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(29,27),(27,33),(27,53),-0.149084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,27),(27,27),(27,26),0.0212293 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,27),(27,27),(27,25),-0.0720087 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,27),(27,27),(27,24),-0.0409824 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,27),(27,27),(27,-1),0.117473 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(29,27),(27,26),(27,25),-0.0198797 # DEPENDENCYPART_GRANDSIBL
(29,27),(27,26),(27,24),-0.0194882 # DEPENDENCYPART_GRANDSIBL
(29,27),(27,26),(27,-1),0.118852 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,27),(27,25),(27,24),-0.0217001 # DEPENDENCYPART_GRANDSIBL
(29,27),(27,25),(27,-1),-0.065056 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,27),(27,24),(27,-1),-0.0579954 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,28),(28,28),(28,29),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,28),(28,28),(28,31),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,28),(28,28),(28,33),-0.173233 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,28),(28,28),(28,34),-0.147939 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,28),(28,28),(28,37),-0.172285 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,28),(28,28),(28,53),-0.0206252 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(29,28),(28,29),(28,31),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,28),(28,29),(28,33),-0.14473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,28),(28,29),(28,34),-0.144729 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,28),(28,29),(28,37),-0.14473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,28),(28,29),(28,53),-0.173995 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(29,28),(28,31),(28,33),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,28),(28,31),(28,34),-0.144712 # DEPENDENCYPART_GRANDSIBL
(29,28),(28,31),(28,37),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,28),(28,31),(28,53),-0.125565 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,28),(28,33),(28,34),-0.144714 # DEPENDENCYPART_GRANDSIBL
(29,28),(28,33),(28,37),-0.144701 # DEPENDENCYPART_GRANDSIBL
(29,28),(28,33),(28,53),-0.198887 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,28),(28,34),(28,37),-0.144706 # DEPENDENCYPART_GRANDSIBL
(29,28),(28,34),(28,53),-0.193496 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,28),(28,37),(28,53),-0.196991 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,28),(28,28),(28,27),-0.106444 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,28),(28,28),(28,26),-0.0983143 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,28),(28,28),(28,25),-0.0244171 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,28),(28,28),(28,24),-0.0491679 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,28),(28,28),(28,-1),0.132742 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(29,28),(28,27),(28,26),-0.0139568 # DEPENDENCYPART_GRANDSIBL
(29,28),(28,27),(28,25),-0.0201006 # DEPENDENCYPART_GRANDSIBL
(29,28),(28,27),(28,24),-0.0129776 # DEPENDENCYPART_GRANDSIBL
(29,28),(28,27),(28,-1),-0.100901 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,28),(28,26),(28,25),-0.0201006 # DEPENDENCYPART_GRANDSIBL
(29,28),(28,26),(28,24),-0.0124197 # DEPENDENCYPART_GRANDSIBL
(29,28),(28,26),(28,-1),-0.0967564 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,28),(28,25),(28,24),-0.020854 # DEPENDENCYPART_GRANDSIBL
(29,28),(28,25),(28,-1),-0.026358 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,28),(28,24),(28,-1),-0.0721292 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,30),(30,30),(30,53),-0.0473685 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(29,30),(30,30),(30,-1),-0.187803 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(29,31),(31,31),(31,53),-0.0602178 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(29,31),(31,31),(31,-1),-0.181854 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(29,33),(33,33),(33,34),0.0115305 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,35),-0.0390898 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,37),-0.0316058 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,39),-0.0251642 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,40),-0.021619 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,42),-0.0253757 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,47),-0.000188481 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,48),0.00561132 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,51),-0.0230611 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,52),-0.00513381 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,53),0.0465838 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(29,33),(33,34),(33,35),-0.0360717 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,34),(33,37),-0.0222225 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,34),(33,39),-0.00976504 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,34),(33,40),-0.0363295 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,34),(33,42),-0.00976504 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,34),(33,47),-0.0155217 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,34),(33,48),-0.0338754 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,34),(33,51),-0.0260067 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,34),(33,52),-0.0234636 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,34),(33,53),0.0295065 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,33),(33,35),(33,37),-0.00607515 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,35),(33,39),-0.0153511 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,35),(33,40),-0.032701 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,35),(33,42),-0.0153511 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,35),(33,47),-0.0203049 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,35),(33,48),-0.0226354 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,35),(33,51),-0.0310944 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,35),(33,52),-0.00476329 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,35),(33,53),-0.0275054 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,33),(33,37),(33,39),-0.0219057 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,37),(33,40),-0.0268984 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,37),(33,42),-0.0219057 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,37),(33,47),-0.0181056 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,37),(33,48),-0.0273 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,37),(33,51),-0.0231875 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,37),(33,52),-0.0106757 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,37),(33,53),-0.0367276 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,33),(33,39),(33,40),0.00460251 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,39),(33,42),0.000108049 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,39),(33,47),-0.0178452 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,39),(33,48),0.000632875 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,39),(33,51),-0.0256193 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,39),(33,52),-0.0131715 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,39),(33,53),-0.0272432 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,33),(33,40),(33,42),-0.00484704 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,40),(33,47),-0.0210829 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,40),(33,48),-0.015095 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,40),(33,51),-0.031756 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,40),(33,52),-0.00485851 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,40),(33,53),-0.0210901 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,33),(33,42),(33,47),-0.0178452 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,42),(33,48),0.00225042 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,42),(33,51),-0.0256193 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,42),(33,52),-0.0131715 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,42),(33,53),-0.0272431 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,33),(33,47),(33,48),-0.0204817 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,47),(33,51),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,47),(33,52),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,47),(33,53),-0.0001275 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,33),(33,48),(33,51),-0.0311381 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,48),(33,52),-0.00481266 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,48),(33,53),0.00664856 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,33),(33,51),(33,52),-0.0312201 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,51),(33,53),-0.063563 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,33),(33,52),(33,53),-0.0224943 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(29,33),(33,33),(33,32),0.122647 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,31),0.103997 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,30),0.113183 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,29),0.180391 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,28),-0.193582 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,27),-0.146529 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,26),-0.146529 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,25),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,24),-0.145309 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,23),-0.189853 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,22),-0.175234 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,21),-0.193582 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,19),-0.172368 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,18),-0.172314 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,17),-0.189853 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,15),-0.189919 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,12),-0.144717 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,11),-0.193582 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,10),-0.177966 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,9),-0.193582 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,7),-0.172922 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,5),-0.172528 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,3),-0.193582 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,1),-0.176794 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(29,33),(33,33),(33,-1),-0.046575 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(29,33),(33,32),(33,31),0.103942 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,32),(33,30),0.0926384 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,32),(33,29),0.1034 # DEPENDENCYPART_GRANDSIBL
(29,33),(33,32),(33,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
