# _root_ J. Nicholas Hahn , Cotton Inc. 's president and chief executive , was an outspoken critic of WPP Group 's acquisition of Ogilvy Group earlier this year .
#goldHeads=3,3,13,3,6,9,6,9,3,11,9,3,0,16,16,13,16,19,21,19,17,21,24,22,27,27,21,13,
#predictedHeads=3,3,13,3,6,8,6,9,3,11,9,3,0,16,16,13,16,19,21,19,17,21,24,22,27,27,21,13,
(8,13),(13,15),(13,23),-0.0110893 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,24),-0.0110893 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,27),-0.00923362 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,28),-0.0243432 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,29),0.0343238 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,16),(13,17),-0.00771745 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,16),(13,18),-0.00114086 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,16),(13,19),-0.00114086 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,16),(13,21),-0.00114401 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,16),(13,22),-0.00771745 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,16),(13,23),-0.00114086 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,16),(13,24),-0.00114086 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,16),(13,27),0.00361693 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,16),(13,28),-0.0254121 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,16),(13,29),-0.0266874 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,17),(13,18),-0.014826 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,17),(13,19),-0.0148302 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,17),(13,21),-0.014826 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,17),(13,22),-0.0356318 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,17),(13,23),-0.014826 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,17),(13,24),-0.0148302 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,17),(13,27),-0.0115395 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,17),(13,28),-0.0307027 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,17),(13,29),-0.0253994 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,18),(13,19),-0.00114086 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,18),(13,21),-0.00114401 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,18),(13,22),-0.00771745 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,18),(13,23),-0.00114086 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,18),(13,24),-0.00114086 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,18),(13,27),0.00361693 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,18),(13,28),-0.0254121 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,18),(13,29),-0.0266874 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,19),(13,21),-0.00114419 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,19),(13,22),-0.00802593 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,19),(13,23),-0.00114103 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,19),(13,24),-0.00114103 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,19),(13,27),0.00361676 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,19),(13,28),-0.0254121 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,19),(13,29),-0.0228936 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,21),(13,22),-0.00796259 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,21),(13,23),-0.001714 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,21),(13,24),-0.001714 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,21),(13,27),0.00304379 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,21),(13,28),-0.0254121 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,21),(13,29),-0.0278542 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,22),(13,23),-0.014826 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,22),(13,24),-0.0148302 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,22),(13,27),-0.0115395 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,22),(13,28),-0.0307027 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,22),(13,29),-0.0253994 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,23),(13,24),-0.00114086 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,23),(13,27),0.00361693 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,23),(13,28),-0.0254121 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,23),(13,29),-0.0267403 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,24),(13,27),0.00361676 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,24),(13,28),-0.0254121 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,24),(13,29),-0.0228936 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,27),(13,28),-0.0254121 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,27),(13,29),-0.00542601 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,28),(13,29),-0.0619727 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,13),(13,12),0.117121 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,11),0.134895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,10),0.0442499 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,9),0.12815 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,8),0.135834 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,6),-0.194113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,5),-0.194113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,4),-0.144717 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,3),-0.194113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,2),-0.194113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,1),-0.194113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,-1),-0.0307848 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,13),(13,12),(13,11),0.118883 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,12),(13,10),0.105055 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,12),(13,9),0.110399 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,12),(13,8),0.118696 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,12),(13,6),-0.144849 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,12),(13,5),-0.144849 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,12),(13,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,12),(13,3),-0.144849 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,12),(13,2),-0.144849 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,12),(13,1),-0.144849 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,12),(13,-1),-0.211905 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,11),(13,10),0.105508 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,11),(13,9),0.101958 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,11),(13,8),0.0931971 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,11),(13,6),-0.144891 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,11),(13,5),-0.144891 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,11),(13,4),-0.144936 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,11),(13,3),-0.144891 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,11),(13,2),-0.144891 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,11),(13,1),-0.144891 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,11),(13,-1),-0.0712521 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,10),(13,9),0.109495 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,10),(13,8),0.108598 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,10),(13,6),-0.144961 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,10),(13,5),-0.144961 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,10),(13,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,10),(13,3),-0.144961 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,10),(13,2),-0.144961 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,10),(13,1),-0.144961 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,10),(13,-1),-0.226198 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,9),(13,8),0.187505 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,9),(13,6),-0.0137068 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,9),(13,5),-0.00520505 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,9),(13,4),0.0219915 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,9),(13,3),-0.00116669 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,9),(13,2),-0.0392957 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,9),(13,1),-0.0305946 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,9),(13,-1),-0.145027 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,8),(13,6),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,8),(13,5),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,8),(13,4),-0.144936 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,8),(13,3),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,8),(13,2),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,8),(13,1),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,8),(13,-1),-0.0707524 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,13),(13,6),(13,5),-0.144891 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,6),(13,4),-0.144936 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,6),(13,3),-0.144891 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,6),(13,2),-0.144891 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,6),(13,1),-0.144891 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,6),(13,-1),-0.0686616 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,5),(13,4),-0.144936 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,5),(13,3),-0.144891 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,5),(13,2),-0.144891 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,5),(13,1),-0.144891 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,5),(13,-1),-0.0699493 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,4),(13,3),-0.144849 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,4),(13,2),-0.144849 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,4),(13,1),-0.144849 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,4),(13,-1),-0.211905 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,3),(13,2),-0.144891 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,3),(13,1),-0.144891 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,3),(13,-1),-0.0699653 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,2),(13,1),-0.144891 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,2),(13,-1),-0.0699524 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,1),(13,-1),-0.0699491 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,16),(16,17),0.00327513 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,18),-0.13253 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,19),-0.126972 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,21),-0.13299 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,22),0.00327513 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,23),-0.13253 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,24),-0.126972 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,25),-0.0308679 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,26),-0.0237536 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,27),-0.133227 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,28),0.0820528 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,29),0.12223 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,16),(16,17),(16,18),-0.0174492 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,19),-0.0174516 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,21),-0.0174492 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,22),-0.0321964 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,23),-0.0174492 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,24),-0.0174516 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,25),-0.0214247 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,26),-0.0194477 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,27),-0.0156136 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,28),-0.0210534 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,29),-0.0136922 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,18),(16,19),-0.00363348 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,21),-0.00260153 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,22),-0.0236766 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,23),-0.00260153 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,24),-0.00363348 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,25),-0.0145191 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,26),-0.0186242 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,27),-0.00323484 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,28),-0.011175 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,29),0.0289237 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,19),(16,21),-0.00192624 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,19),(16,22),-0.0236766 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,19),(16,23),-0.00192624 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,19),(16,24),-0.00295819 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,19),(16,25),-0.0145191 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,19),(16,26),-0.0186243 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,19),(16,27),-0.00255954 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,19),(16,28),-0.011215 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,19),(16,29),0.0312969 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,21),(16,22),-0.023677 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,21),(16,23),-0.00297458 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,21),(16,24),-0.00400653 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,21),(16,25),-0.0145191 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,21),(16,26),-0.0186242 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,21),(16,27),-0.00360788 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,21),(16,28),-0.011175 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,21),(16,29),0.0289231 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,22),(16,23),-0.0174492 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,22),(16,24),-0.0174516 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,22),(16,25),-0.0214247 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,22),(16,26),-0.0194477 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,22),(16,27),-0.0156136 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,22),(16,28),-0.0210534 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,22),(16,29),-0.0136922 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,23),(16,24),-0.00363348 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,23),(16,25),-0.0145191 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,23),(16,26),-0.0186242 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,23),(16,27),-0.00323484 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,23),(16,28),-0.011175 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,23),(16,29),0.0289237 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,24),(16,25),-0.0145191 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,24),(16,26),-0.0186243 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,24),(16,27),-0.00255954 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,24),(16,28),-0.011215 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,24),(16,29),0.0312969 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,25),(16,26),-0.0212741 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,25),(16,27),-0.0205831 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,25),(16,28),-0.0198722 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,25),(16,29),-0.0373679 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,26),(16,27),-0.0161868 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,26),(16,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,26),(16,29),-0.0275174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,27),(16,28),-0.011175 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,27),(16,29),0.0283649 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,28),(16,29),0.0742694 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,16),(16,15),0.0867307 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,14),0.101743 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,13),0.0926419 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,12),0.18051 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,11),0.172405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,10),0.0948313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,9),0.0273073 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,-1),-0.0350824 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,16),(16,15),(16,14),0.12737 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,13),0.114 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,12),0.077551 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,11),0.122619 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,10),0.118065 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,9),0.101359 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,-1),-0.193892 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,14),(16,13),0.108277 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,12),0.107294 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,11),0.121146 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,10),0.117797 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,9),0.127431 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,-1),-0.123025 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,13),(16,12),0.106115 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,13),(16,11),0.113733 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,13),(16,10),0.112455 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,13),(16,9),0.108857 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,13),(16,-1),-0.197839 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,12),(16,11),0.117963 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,12),(16,10),0.0749097 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,12),(16,9),0.10616 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,12),(16,-1),-0.0348231 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,11),(16,10),0.129764 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,11),(16,9),0.101279 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,11),(16,-1),-0.154457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,10),(16,9),0.101334 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,10),(16,-1),-0.191502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,9),(16,-1),-0.226559 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,1),(1,1),(1,2),0.0389321 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,1),(1,1),(1,3),0.0410317 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,1),(1,1),(1,4),0.230971 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,1),(1,1),(1,6),0.04073 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,1),(1,1),(1,7),0.159582 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,1),(1,1),(1,8),0.0387095 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,1),(1,1),(1,9),-0.150001 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,1),(1,1),(1,11),-0.136463 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,1),(1,1),(1,12),-0.147623 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,1),(1,1),(1,13),-0.150756 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,1),(1,1),(1,29),-0.017567 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,1),(1,2),(1,3),0.175876 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,2),(1,4),0.0988774 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,2),(1,6),0.176107 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,2),(1,7),0.108109 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,2),(1,8),0.174424 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,2),(1,9),-0.144704 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,2),(1,11),-0.151088 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,2),(1,12),-0.152579 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,2),(1,13),-0.144804 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,2),(1,29),-0.160046 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,1),(1,3),(1,4),0.0988774 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,3),(1,6),0.178207 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,3),(1,7),0.108109 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,3),(1,8),0.176524 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,3),(1,9),-0.144704 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,3),(1,11),-0.151088 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,3),(1,12),-0.152579 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,3),(1,13),-0.144804 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,3),(1,29),-0.160046 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,1),(1,4),(1,6),0.113664 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,4),(1,7),0.108 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,4),(1,8),0.113986 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,4),(1,9),-0.149799 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,4),(1,11),-0.157847 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,4),(1,12),-0.144766 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,4),(1,13),-0.14778 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,4),(1,29),-0.14924 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,1),(1,6),(1,7),0.108109 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,6),(1,8),0.17633 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,6),(1,9),-0.144704 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,6),(1,11),-0.151088 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,6),(1,12),-0.152579 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,6),(1,13),-0.144804 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,6),(1,29),-0.154447 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,1),(1,7),(1,8),0.0979731 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,7),(1,9),-0.144725 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,7),(1,11),-0.144702 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,7),(1,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,7),(1,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,7),(1,29),-0.100887 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,1),(1,8),(1,9),-0.144704 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,8),(1,11),-0.151088 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,8),(1,12),-0.152579 # DEPENDENCYPART_GRANDSIBL
(9,1),(1,8),(1,13),-0.144804 # DEPENDENCYPART_GRANDSIBL
