# _root_ Humana contends that $ 8,000 represents an extreme case and that its regular charge for lithotripsy is $ 4,900 .
#goldHeads=2,0,6,5,6,10,9,9,6,2,17,14,14,17,14,15,10,19,17,2,
#predictedHeads=2,0,10,5,6,10,9,9,6,2,17,14,14,17,14,15,10,19,17,2,
(14,17),(17,14),(17,11),-0.126308 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,17),(17,14),(17,10),-0.125032 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,17),(17,14),(17,9),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,17),(17,14),(17,8),-0.12492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,17),(17,14),(17,7),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,17),(17,14),(17,6),-0.12524 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,17),(17,14),(17,5),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,17),(17,14),(17,4),-0.125468 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,17),(17,14),(17,3),-0.126308 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,17),(17,14),(17,2),-0.12524 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,17),(17,14),(17,1),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,17),(17,14),(17,-1),0.0160422 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,17),(17,13),(17,11),-0.125435 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,13),(17,10),-0.12491 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,13),(17,9),-0.124926 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,13),(17,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,13),(17,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,13),(17,6),-0.125065 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,13),(17,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,13),(17,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,13),(17,3),-0.125435 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,13),(17,2),-0.125065 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,13),(17,1),-0.124926 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,13),(17,-1),-0.204928 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,17),(17,11),(17,10),-0.124896 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,11),(17,9),-0.125063 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,11),(17,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,11),(17,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,11),(17,6),-0.124989 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,11),(17,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,11),(17,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,11),(17,3),-0.124895 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,11),(17,2),-0.124989 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,11),(17,1),-0.125063 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,11),(17,-1),-0.143732 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,17),(17,10),(17,9),0.12158 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,10),(17,8),0.0858804 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,10),(17,7),-0.0264009 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,10),(17,6),0.0431962 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,10),(17,5),0.0794082 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,10),(17,4),0.106138 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,10),(17,3),0.0600058 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,10),(17,2),0.0555799 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,10),(17,1),0.0864547 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,10),(17,-1),-0.132287 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,17),(17,9),(17,8),-0.12492 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,9),(17,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,9),(17,6),-0.12524 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,9),(17,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,9),(17,4),-0.125468 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,9),(17,3),-0.126308 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,9),(17,2),-0.12524 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,9),(17,1),-0.124895 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,9),(17,-1),0.0177589 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,17),(17,8),(17,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,8),(17,6),-0.125065 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,8),(17,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,8),(17,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,8),(17,3),-0.125435 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,8),(17,2),-0.125065 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,8),(17,1),-0.124926 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,8),(17,-1),-0.204943 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,17),(17,7),(17,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,7),(17,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,7),(17,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,7),(17,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,7),(17,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,7),(17,1),-0.124888 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,7),(17,-1),-0.130858 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,17),(17,6),(17,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,6),(17,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,6),(17,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,6),(17,2),-0.124903 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,6),(17,1),-0.124893 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,6),(17,-1),-0.138806 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,17),(17,5),(17,4),-0.124915 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,5),(17,3),-0.124944 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,5),(17,2),-0.125064 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,5),(17,1),-0.124935 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,5),(17,-1),-0.187487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,17),(17,4),(17,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,4),(17,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,4),(17,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,4),(17,-1),-0.132002 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,17),(17,3),(17,2),-0.124989 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,3),(17,1),-0.125063 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,3),(17,-1),-0.143732 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,17),(17,2),(17,1),-0.124893 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,2),(17,-1),-0.138806 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,17),(17,1),(17,-1),0.0165981 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,18),(18,19),-0.0653409 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,21),0.0944794 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,18),(18,19),(18,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,19),(18,21),-0.0523027 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,20),(18,21),-0.0449236 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,18),(18,16),0.10262 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,15),0.123326 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,14),0.10262 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,18),(18,18),(18,13),-0.125303 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,-1),-0.257877 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,18),(18,16),(18,15),0.119125 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,16),(18,14),0.119163 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,16),(18,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,16),(18,-1),-0.120879 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,15),(18,14),0.118863 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,15),(18,13),-0.124917 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,15),(18,-1),-0.185012 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,14),(18,13),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,14),(18,-1),-0.120879 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,18),(18,13),(18,-1),-0.0384088 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,19),(19,19),(19,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,19),(19,19),(19,21),0.145662 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,19),(19,20),(19,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,19),(19,19),(19,18),0.146313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,19),(19,19),(19,16),0.193763 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,19),(19,19),(19,15),0.0823084 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,19),(19,19),(19,14),0.193763 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,19),(19,19),(19,11),-0.125592 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,19),(19,19),(19,-1),-0.0470891 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,19),(19,18),(19,16),0.118932 # DEPENDENCYPART_GRANDSIBL
(14,19),(19,18),(19,15),0.118482 # DEPENDENCYPART_GRANDSIBL
(14,19),(19,18),(19,14),0.118932 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,19),(19,18),(19,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,19),(19,18),(19,-1),-0.0615871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,19),(19,16),(19,15),0.118961 # DEPENDENCYPART_GRANDSIBL
(14,19),(19,16),(19,14),0.12178 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,19),(19,16),(19,11),-0.125049 # DEPENDENCYPART_GRANDSIBL
(14,19),(19,16),(19,-1),-0.0584461 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,19),(19,15),(19,14),0.118581 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,19),(19,15),(19,11),-0.12489 # DEPENDENCYPART_GRANDSIBL
(14,19),(19,15),(19,-1),-0.163659 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,19),(19,14),(19,11),-0.125049 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,19),(19,14),(19,-1),-0.0584464 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,19),(19,11),(19,-1),-0.164258 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,20),(20,20),(20,21),-0.0044571 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,20),(20,20),(20,-1),-0.0502376 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,13),(13,13),(13,15),-0.127217 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,13),(13,13),(13,16),-0.132129 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,13),(13,13),(13,18),-0.125385 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,13),(13,13),(13,21),-0.217204 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,13),(13,15),(13,16),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,13),(13,15),(13,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,13),(13,15),(13,21),-0.131353 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,13),(13,16),(13,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,13),(13,16),(13,21),-0.122829 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,13),(13,18),(13,21),-0.0810918 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,13),(13,13),(13,12),-0.0442979 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,13),(13,13),(13,11),-0.0814771 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,13),(13,13),(13,9),-0.0366947 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,13),(13,13),(13,8),-0.0377364 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,13),(13,13),(13,-1),0.0302251 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,13),(13,12),(13,11),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(15,13),(13,12),(13,9),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(15,13),(13,12),(13,8),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(15,13),(13,12),(13,-1),-0.0442979 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,13),(13,11),(13,9),-0.0352861 # DEPENDENCYPART_GRANDSIBL
(15,13),(13,11),(13,8),-0.0428117 # DEPENDENCYPART_GRANDSIBL
(15,13),(13,11),(13,-1),-0.110136 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,13),(13,9),(13,8),-0.0421102 # DEPENDENCYPART_GRANDSIBL
(15,13),(13,9),(13,-1),0.000378931 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,13),(13,8),(13,-1),-0.0228093 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,14),(14,14),(14,15),-0.136792 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,14),(14,14),(14,16),-0.133805 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,14),(14,17),-0.134444 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,14),(14,18),-0.126741 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,14),(14,19),-0.124998 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,14),(14,20),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,14),(14,21),-0.162386 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,14),(14,15),(14,16),-0.124992 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,15),(14,17),-0.1249 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,15),(14,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,15),(14,19),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,15),(14,20),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,15),(14,21),-0.0973811 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,14),(14,16),(14,17),-0.125589 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,16),(14,18),-0.12492 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,16),(14,19),-0.125106 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,16),(14,20),-0.124886 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,16),(14,21),-0.0851586 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,14),(14,17),(14,18),-0.124896 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,17),(14,19),-0.124919 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,17),(14,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,17),(14,21),-0.0856719 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,14),(14,18),(14,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,18),(14,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,18),(14,21),-0.191717 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,14),(14,19),(14,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,19),(14,21),-0.170204 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,14),(14,20),(14,21),-0.124886 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,14),(14,14),(14,13),-0.0241968 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,14),(14,12),-0.0757669 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,14),(14,11),-0.105312 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,14),(14,10),-0.128068 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,14),(14,9),-0.162331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,14),(14,8),-0.0241968 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,14),(14,7),-0.00576903 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,14),(14,5),-0.0175122 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,14),(14,14),(14,-1),0.141084 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,14),(14,13),(14,12),-0.0428949 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,13),(14,11),-0.0569528 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,13),(14,10),-0.0441615 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,13),(14,9),-0.0446299 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,13),(14,8),-0.0490954 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,13),(14,7),-0.0447855 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,13),(14,5),-0.0446352 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,13),(14,-1),-0.0522413 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,14),(14,12),(14,11),-0.0427369 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,12),(14,10),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,12),(14,9),-0.042308 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,12),(14,8),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,12),(14,7),-0.041999 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,12),(14,5),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,12),(14,-1),-0.0702859 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,14),(14,11),(14,10),-0.0820781 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,11),(14,9),-0.0535853 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,11),(14,8),-0.0406778 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,11),(14,7),-0.0448419 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,11),(14,5),-0.0333861 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,11),(14,-1),-0.0408191 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,14),(14,10),(14,9),0.190747 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,10),(14,8),0.21346 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,10),(14,7),0.160551 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,10),(14,5),0.248162 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,10),(14,-1),-0.132352 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,14),(14,9),(14,8),-0.0458002 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,9),(14,7),-0.0435118 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,9),(14,5),-0.0367752 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,9),(14,-1),-0.124485 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,14),(14,8),(14,7),-0.0447855 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,8),(14,5),-0.0446352 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,8),(14,-1),-0.0522401 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,14),(14,7),(14,5),-0.041999 # DEPENDENCYPART_GRANDSIBL
(15,14),(14,7),(14,-1),-0.0364091 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,14),(14,5),(14,-1),-0.0333827 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,16),(16,16),(16,17),-0.0492826 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,16),(16,16),(16,18),-0.009985 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,16),(16,16),(16,19),-0.0175109 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,16),(16,16),(16,21),0.144186 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,16),(16,17),(16,18),-0.0430587 # DEPENDENCYPART_GRANDSIBL
(15,16),(16,17),(16,19),-0.0428168 # DEPENDENCYPART_GRANDSIBL
(15,16),(16,17),(16,21),-0.0508772 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,16),(16,18),(16,19),-0.044145 # DEPENDENCYPART_GRANDSIBL
(15,16),(16,18),(16,21),-0.0160166 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,16),(16,19),(16,21),-0.0333742 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,16),(16,16),(16,15),0.182352 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,16),(16,16),(16,14),-0.133805 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,16),(16,16),(16,13),-0.12618 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,16),(16,16),(16,12),-0.125024 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,16),(16,16),(16,7),-0.132945 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,16),(16,16),(16,-1),-0.163473 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,16),(16,15),(16,14),-0.124992 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,16),(16,15),(16,13),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,16),(16,15),(16,12),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,16),(16,15),(16,7),-0.124888 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,16),(16,15),(16,-1),-0.097381 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,16),(16,14),(16,13),-0.12511 # DEPENDENCYPART_GRANDSIBL
(15,16),(16,14),(16,12),-0.125643 # DEPENDENCYPART_GRANDSIBL
(15,16),(16,14),(16,7),-0.126436 # DEPENDENCYPART_GRANDSIBL
(15,16),(16,14),(16,-1),-0.0851632 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,16),(16,13),(16,12),-0.12563 # DEPENDENCYPART_GRANDSIBL
(15,16),(16,13),(16,7),-0.132281 # DEPENDENCYPART_GRANDSIBL
(15,16),(16,13),(16,-1),-0.0627757 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,16),(16,12),(16,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,16),(16,12),(16,-1),-0.11643 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,16),(16,7),(16,-1),-0.0839132 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,17),(17,17),(17,18),-0.0613652 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,17),(17,19),-0.00524388 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,17),(17,20),-0.0448079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,17),(17,21),-0.0303949 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,17),(17,18),(17,19),-0.0433304 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,18),(17,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,18),(17,21),-0.0580242 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,17),(17,19),(17,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,19),(17,21),-0.000123271 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,17),(17,20),(17,21),-0.0409641 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,17),(17,17),(17,16),0.126555 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,17),(17,15),0.106578 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,17),(17,17),(17,14),-0.130437 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,17),(17,13),-0.125041 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,17),(17,11),-0.131109 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,17),(17,10),-0.125717 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,17),(17,9),-0.130441 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,17),(17,8),-0.125041 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,17),(17,7),-0.125057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,17),(17,6),-0.105886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,17),(17,5),-0.126525 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,17),(17,4),-0.125333 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,17),(17,3),-0.131109 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,17),(17,2),-0.105886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,17),(17,1),-0.130437 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,17),(17,-1),-0.153585 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,17),(17,16),(17,15),0.117254 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
