# _root_ The buy-back , coupled with a nearly completed earlier purchase of 20 million shares , would reduce shares outstanding by more than 26 % .
#goldHeads=2,16,2,2,4,10,8,10,10,5,10,13,14,11,2,0,16,17,18,17,22,24,22,20,16,
#predictedHeads=2,16,2,2,4,10,8,10,10,5,10,13,14,11,2,0,16,17,18,17,22,24,22,20,16,
(7,14),(14,17),(14,18),-0.0129132 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,17),(14,19),-0.0194421 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,17),(14,20),-0.0194514 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,17),(14,22),-0.0194514 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,17),(14,23),-0.0194418 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,17),(14,24),-0.0129132 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,17),(14,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,17),(14,26),-0.00282863 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,18),(14,19),-0.0206181 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,18),(14,20),-0.0202323 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,18),(14,22),-0.0202318 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,18),(14,23),-0.0211777 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,18),(14,24),-0.0168109 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,18),(14,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,18),(14,26),-0.0426282 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,19),(14,20),-0.0201943 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,19),(14,22),-0.0201943 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,19),(14,23),-0.0197811 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,19),(14,24),-0.0148538 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,19),(14,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,19),(14,26),0.00871242 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,20),(14,22),-0.019706 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,20),(14,23),-0.0194412 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,20),(14,24),-0.0195682 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,20),(14,25),-0.020458 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,20),(14,26),-0.0246547 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,22),(14,23),-0.0194412 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,22),(14,24),-0.0195682 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,22),(14,25),-0.020458 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,22),(14,26),-0.0206733 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,23),(14,24),-0.0230337 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,23),(14,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,23),(14,26),-0.00585088 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,24),(14,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,24),(14,26),-0.0420115 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,25),(14,26),-0.0300947 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,14),(14,13),0.101009 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,12),0.105617 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,11),0.156123 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,10),0.122362 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,9),0.104131 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,8),0.136193 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,7),0.112446 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,6),-0.144969 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,5),-0.146989 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,4),-0.145995 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,-1),-0.205267 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,14),(14,13),(14,12),0.109135 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,13),(14,11),0.107384 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,13),(14,10),0.113405 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,13),(14,9),0.109663 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,13),(14,8),0.109416 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,13),(14,7),0.104047 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,13),(14,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,13),(14,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,13),(14,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,13),(14,-1),-0.151471 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,12),(14,11),0.107384 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,12),(14,10),0.113405 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,12),(14,9),0.109663 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,12),(14,8),0.109416 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,12),(14,7),0.104047 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,12),(14,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,12),(14,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,12),(14,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,12),(14,-1),-0.146478 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,11),(14,10),0.108117 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,11),(14,9),0.10922 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,11),(14,8),0.104755 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,11),(14,7),0.107638 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,11),(14,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,11),(14,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,11),(14,4),-0.144719 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,11),(14,-1),-0.101611 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,10),(14,9),0.110558 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,10),(14,8),0.109035 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,10),(14,7),0.108707 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,10),(14,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,10),(14,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,10),(14,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,10),(14,-1),-0.128353 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,9),(14,8),0.111411 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,9),(14,7),0.106742 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,9),(14,6),-0.145297 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,9),(14,5),-0.144794 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,9),(14,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,9),(14,-1),-0.132279 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,8),(14,7),0.109481 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,8),(14,6),-0.144759 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,8),(14,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,8),(14,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,8),(14,-1),-0.129066 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,7),(14,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,7),(14,5),-0.144855 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,7),(14,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,7),(14,-1),-0.152281 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,14),(14,6),(14,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,6),(14,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,6),(14,-1),-0.184134 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,5),(14,4),-0.144719 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,5),(14,-1),-0.119792 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,4),(14,-1),-0.129062 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,2),(2,3),0.0499483 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,4),0.133364 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,5),0.156264 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,6),0.10416 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,7),0.132419 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,8),-0.125785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,10),-0.0539933 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,15),-0.144869 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,16),-0.156546 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,17),-0.125783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,18),-0.0540911 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,19),-0.155976 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,25),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,26),-0.185953 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,2),(2,3),(2,4),0.124005 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,3),(2,5),0.0942641 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,3),(2,6),0.0885427 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,3),(2,7),0.0758429 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,3),(2,8),-0.160098 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,3),(2,10),-0.161414 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,3),(2,15),-0.144812 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,3),(2,16),-0.144777 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,3),(2,17),-0.159868 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,3),(2,18),-0.161415 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,3),(2,19),-0.14673 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,3),(2,25),-0.144938 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,3),(2,26),-0.136196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,4),(2,5),0.0949514 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,4),(2,6),0.149616 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,4),(2,7),0.108519 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,4),(2,8),-0.142049 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,4),(2,10),-0.142064 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,4),(2,15),-0.161397 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,4),(2,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,4),(2,17),-0.142049 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,4),(2,18),-0.142064 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,4),(2,19),-0.144892 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,4),(2,25),-0.144708 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,4),(2,26),-0.136679 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,5),(2,6),0.103308 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,5),(2,7),0.118462 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,5),(2,8),-0.143809 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,5),(2,10),-0.14562 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,5),(2,15),-0.148968 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,5),(2,16),-0.144703 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,5),(2,17),-0.143809 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,5),(2,18),-0.14562 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,5),(2,19),-0.146327 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,5),(2,25),-0.144742 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,5),(2,26),-0.0462927 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,6),(2,7),0.0867021 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,6),(2,8),-0.144724 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,6),(2,10),-0.144889 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,6),(2,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,6),(2,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,6),(2,17),-0.144724 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,6),(2,18),-0.144889 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,6),(2,19),-0.144704 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,6),(2,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,6),(2,26),-0.170738 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,7),(2,8),-0.145353 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,7),(2,10),-0.144852 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,7),(2,15),-0.144746 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,7),(2,16),-0.144702 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,7),(2,17),-0.145353 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,7),(2,18),-0.144852 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,7),(2,19),-0.144753 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,7),(2,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,7),(2,26),-0.111052 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,8),(2,10),-0.142064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,8),(2,15),-0.161397 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,8),(2,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,8),(2,17),-0.142049 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,8),(2,18),-0.142064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,8),(2,19),-0.144892 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,8),(2,25),-0.144708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,8),(2,26),-0.132213 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,2),(2,10),(2,15),-0.158908 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,10),(2,16),-0.144702 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,10),(2,17),-0.145067 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,10),(2,18),-0.139044 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,10),(2,19),-0.145686 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,10),(2,25),-0.144958 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,10),(2,26),-0.117066 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,15),(2,16),-0.144777 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,15),(2,17),-0.159868 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,15),(2,18),-0.161415 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,15),(2,19),-0.14673 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,15),(2,25),-0.144938 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,15),(2,26),-0.136196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,16),(2,17),-0.144745 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,16),(2,18),-0.14471 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,16),(2,19),-0.144716 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,16),(2,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,16),(2,26),-0.179103 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,17),(2,18),-0.142064 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,17),(2,19),-0.144892 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,17),(2,25),-0.144708 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,17),(2,26),-0.137053 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,18),(2,19),-0.145686 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,18),(2,25),-0.144958 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,18),(2,26),-0.117812 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,19),(2,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,19),(2,26),-0.0911478 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,25),(2,26),-0.14799 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,2),(2,1),-0.0850276 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,-1),0.0603929 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,2),(2,1),(2,-1),0.0460866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,3),(3,3),(3,5),0.103134 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,3),(3,3),(3,26),-0.112329 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,3),(3,5),(3,26),-0.151108 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,3),(3,3),(3,-1),0.0300687 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,5),(5,5),(5,6),0.116885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,5),(5,5),(5,7),0.182175 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,5),(5,5),(5,9),-0.145367 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,5),(5,5),(5,10),-0.179944 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,5),(5,5),(5,11),-0.120436 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,5),(5,5),(5,14),-0.179989 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,5),(5,5),(5,16),-0.144713 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,5),(5,5),(5,18),-0.179989 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,5),(5,5),(5,26),0.0588956 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,5),(5,6),(5,7),0.1087 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,6),(5,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,6),(5,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,6),(5,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,6),(5,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,6),(5,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,6),(5,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,6),(5,26),-0.176901 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,5),(5,7),(5,9),-0.144702 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,7),(5,10),-0.144702 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,7),(5,11),-0.14471 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,7),(5,14),-0.144702 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,7),(5,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,7),(5,18),-0.144702 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,7),(5,26),-0.116005 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,5),(5,9),(5,10),-0.144703 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,9),(5,11),-0.144706 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,9),(5,14),-0.144703 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,9),(5,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,9),(5,18),-0.144703 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,9),(5,26),-0.158486 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,5),(5,10),(5,11),-0.144767 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,10),(5,14),-0.144707 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,10),(5,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,10),(5,18),-0.144707 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,10),(5,26),-0.209049 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,5),(5,11),(5,14),-0.145038 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,11),(5,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,11),(5,18),-0.145038 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,11),(5,26),-0.16363 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,5),(5,14),(5,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,14),(5,18),-0.144707 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,14),(5,26),-0.210537 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,5),(5,16),(5,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,16),(5,26),-0.153997 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,5),(5,18),(5,26),-0.210537 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,5),(5,5),(5,4),0.0417741 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,5),(5,5),(5,3),-0.0435411 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,5),(5,5),(5,2),0.0436354 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,5),(5,5),(5,-1),-0.104453 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,5),(5,4),(5,3),0.00863249 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,4),(5,2),-0.0237927 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,4),(5,-1),-0.0323886 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,5),(5,3),(5,2),-0.0242396 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,3),(5,-1),0.0303903 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,5),(5,2),(5,-1),0.117107 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,6),(6,7),0.102236 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,8),-0.147699 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,26),-0.330053 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,6),(6,7),(6,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,7),(6,26),-0.149712 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,8),(6,26),-0.144634 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,6),(6,6),(6,5),-0.013415 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,-1),-0.0579373 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,6),(6,5),(6,-1),-0.0201134 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,7),(7,8),-0.138208 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,9),-0.144703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,10),-0.1487 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,11),-0.134724 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,12),-0.145167 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,13),-0.145167 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,14),-0.1487 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,26),-0.0845832 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,7),(7,8),(7,9),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,10),-0.144703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,11),-0.144706 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,13),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,14),-0.144703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,26),-0.16354 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,7),(7,9),(7,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,9),(7,11),-0.144761 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,9),(7,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,9),(7,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,9),(7,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,9),(7,26),-0.138342 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,10),(7,11),-0.144777 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,10),(7,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,10),(7,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,10),(7,14),-0.144923 # DEPENDENCYPART_GRANDSIBL
