# _root_ London-based LIT Holdings , the largest financer of traders in the Chicago options and futures markets , said yesterday it will incur a second-half loss as a result of the market plunge .
#goldHeads=3,3,18,3,7,7,3,7,8,7,16,16,14,16,14,10,3,0,18,21,18,21,25,25,22,22,28,26,28,32,32,29,18,
#predictedHeads=3,3,18,3,7,7,3,7,8,9,16,16,14,16,14,10,3,0,18,21,18,21,25,25,22,22,28,26,28,32,32,29,18,
(21,14),(14,7),(14,2),-0.0175442 # DEPENDENCYPART_GRANDSIBL
(21,14),(14,7),(14,1),0.00642812 # DEPENDENCYPART_GRANDSIBL
(21,14),(14,7),(14,-1),-0.0488759 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,14),(14,5),(14,4),-0.019613 # DEPENDENCYPART_GRANDSIBL
(21,14),(14,5),(14,3),-0.0199486 # DEPENDENCYPART_GRANDSIBL
(21,14),(14,5),(14,2),-0.0199486 # DEPENDENCYPART_GRANDSIBL
(21,14),(14,5),(14,1),-0.0197565 # DEPENDENCYPART_GRANDSIBL
(21,14),(14,5),(14,-1),-0.0352337 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,14),(14,4),(14,3),-0.0154388 # DEPENDENCYPART_GRANDSIBL
(21,14),(14,4),(14,2),-0.0154388 # DEPENDENCYPART_GRANDSIBL
(21,14),(14,4),(14,1),-0.00789215 # DEPENDENCYPART_GRANDSIBL
(21,14),(14,4),(14,-1),-0.0309617 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,14),(14,3),(14,2),-0.0175442 # DEPENDENCYPART_GRANDSIBL
(21,14),(14,3),(14,1),0.00642812 # DEPENDENCYPART_GRANDSIBL
(21,14),(14,3),(14,-1),-0.0488759 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,14),(14,2),(14,1),0.00642812 # DEPENDENCYPART_GRANDSIBL
(21,14),(14,2),(14,-1),-0.0488759 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,14),(14,1),(14,-1),-0.0145832 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,15),(15,15),(15,16),0.117744 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,15),(15,15),(15,34),-0.32461 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,15),(15,16),(15,34),-0.0948913 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,15),(15,15),(15,12),0.0214455 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,15),(15,15),(15,11),-0.0574036 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,15),(15,15),(15,-1),0.0985886 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,15),(15,12),(15,11),0.0521266 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,12),(15,-1),-0.00443977 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,15),(15,11),(15,-1),0.0511139 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,16),(16,16),(16,17),0.125237 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,16),(16,16),(16,18),0.147576 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,16),(16,16),(16,19),0.117743 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,16),(16,16),(16,21),-0.142231 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,16),(16,16),(16,25),-0.0993594 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,16),(16,16),(16,28),-0.0993665 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,16),(16,16),(16,32),-0.0993594 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,16),(16,16),(16,34),-0.32372 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,16),(16,17),(16,18),0.137556 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,17),(16,19),0.103469 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,17),(16,21),-0.145806 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,17),(16,25),-0.145598 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,17),(16,28),-0.145598 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,17),(16,32),-0.145598 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,17),(16,34),-0.152898 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,16),(16,18),(16,19),0.107879 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,18),(16,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,18),(16,25),-0.145033 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,18),(16,28),-0.145033 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,18),(16,32),-0.145033 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,18),(16,34),-0.126871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,16),(16,19),(16,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,19),(16,25),-0.144716 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,19),(16,28),-0.144716 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,19),(16,32),-0.144716 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,19),(16,34),-0.0948941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,16),(16,21),(16,25),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,16),(16,21),(16,28),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,16),(16,21),(16,32),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,16),(16,21),(16,34),-0.126328 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,16),(16,25),(16,28),-0.144716 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,25),(16,32),-0.144716 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,25),(16,34),-0.0948941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,16),(16,28),(16,32),-0.144716 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,28),(16,34),-0.0949024 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,16),(16,32),(16,34),-0.0948947 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,16),(16,16),(16,15),0.0214407 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,16),(16,16),(16,14),-0.0703328 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,16),(16,16),(16,13),0.0214435 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,16),(16,16),(16,12),0.0214435 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,16),(16,16),(16,11),-0.055797 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,16),(16,16),(16,10),-0.0147035 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,16),(16,16),(16,9),0.0213584 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,16),(16,16),(16,8),-0.0131319 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,16),(16,16),(16,7),0.0214435 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,16),(16,16),(16,-1),0.0977906 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,16),(16,15),(16,14),-0.00662805 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,15),(16,13),-0.02415 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,15),(16,12),-0.0241526 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,15),(16,11),0.0521266 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,15),(16,10),-0.0242593 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,15),(16,9),-0.02415 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,15),(16,8),-0.0223905 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,15),(16,7),-0.02415 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,15),(16,-1),-0.00444024 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,16),(16,14),(16,13),0.0662735 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,14),(16,12),0.0453294 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,14),(16,11),0.142874 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,14),(16,10),0.31714 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,14),(16,9),0.0440636 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,14),(16,8),0.366808 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,14),(16,7),0.0211813 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,14),(16,-1),-0.0651762 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,16),(16,13),(16,12),-0.02415 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,13),(16,11),0.0521266 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,13),(16,10),-0.0242592 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,13),(16,9),-0.0241474 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,13),(16,8),-0.0223903 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,13),(16,7),-0.0241474 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,13),(16,-1),-0.00444024 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,16),(16,12),(16,11),0.0521257 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,12),(16,10),-0.0242592 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,12),(16,9),-0.0241474 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,12),(16,8),-0.0223903 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,12),(16,7),-0.0241474 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,12),(16,-1),-0.00444196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,16),(16,11),(16,10),-0.0305151 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,11),(16,9),-0.0254393 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,11),(16,8),-0.031314 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,11),(16,7),-0.0254393 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,11),(16,-1),0.0527215 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,16),(16,10),(16,9),-0.0219007 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,10),(16,8),-0.027183 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,10),(16,7),-0.0219007 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,10),(16,-1),-0.0378583 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,16),(16,9),(16,8),-0.0223903 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,9),(16,7),-0.0241474 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,9),(16,-1),-0.00444024 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,16),(16,8),(16,7),-0.0221542 # DEPENDENCYPART_GRANDSIBL
(21,16),(16,8),(16,-1),-0.0310604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,16),(16,7),(16,-1),-0.00444024 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,17),(17,17),(17,34),-0.134281 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,17),(17,17),(17,-1),-0.0075704 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,18),(18,18),(18,19),0.0616114 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,20),0.0828107 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,21),-0.134637 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,22),-0.138886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,25),-0.138959 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,26),-0.0985222 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,28),-0.138964 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,33),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,34),-0.161246 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,18),(18,19),(18,20),0.109511 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,19),(18,21),-0.144825 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,19),(18,22),-0.145353 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,19),(18,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,19),(18,26),-0.154267 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,19),(18,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,19),(18,33),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,19),(18,34),-0.140548 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,20),(18,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,20),(18,22),-0.14615 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,20),(18,25),-0.144706 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,20),(18,26),-0.151962 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,20),(18,28),-0.144706 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,20),(18,33),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,20),(18,34),-0.179201 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,21),(18,22),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,21),(18,25),-0.144709 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,21),(18,26),-0.144735 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,21),(18,28),-0.144709 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,21),(18,33),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,21),(18,34),-0.149336 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,18),(18,22),(18,25),-0.144735 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,22),(18,26),-0.145382 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,22),(18,28),-0.144735 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,22),(18,33),-0.144714 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,22),(18,34),-0.174681 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,25),(18,26),-0.154267 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,25),(18,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,25),(18,33),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,25),(18,34),-0.140599 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,26),(18,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,26),(18,33),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,26),(18,34),-0.164861 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,28),(18,33),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,28),(18,34),-0.140553 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,33),(18,34),-0.144755 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,18),(18,17),-0.105269 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,16),-0.0143521 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,15),-0.0122833 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,14),0.0781464 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,13),-0.0127156 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,12),-0.0127156 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,11),-0.00380204 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,10),-0.0904933 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,9),-0.0153867 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,8),-0.0811424 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,7),-0.0127156 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,5),-0.00380204 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,4),-0.105269 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,3),-0.0127156 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,2),-0.0127156 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,1),0.00933146 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,-1),0.108349 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,18),(18,17),(18,16),-0.0516929 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,17),(18,15),-0.0516929 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,17),(18,14),-0.0045667 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,17),(18,13),-0.0516929 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,17),(18,12),-0.0516929 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,17),(18,11),-0.0195296 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,17),(18,10),-0.0658373 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,17),(18,9),-0.0516929 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,17),(18,8),-0.0554436 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,17),(18,7),-0.0516929 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,17),(18,5),-0.0195296 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,17),(18,4),-0.0213193 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,17),(18,3),-0.0516929 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,17),(18,2),-0.0516929 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,17),(18,1),-0.0263678 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,17),(18,-1),0.0959451 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,16),(18,15),0.0144514 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,16),(18,14),-0.031045 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,16),(18,13),0.0144514 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,16),(18,12),0.0144514 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,16),(18,11),-0.0235523 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,16),(18,10),-0.0395171 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,16),(18,9),0.0144514 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,16),(18,8),-0.0271028 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,16),(18,7),0.0144514 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,16),(18,5),-0.0235523 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,16),(18,4),0.0316626 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,16),(18,3),0.0144514 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,16),(18,2),0.0144514 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,16),(18,1),-0.0267201 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,16),(18,-1),-0.100626 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,15),(18,14),-0.0310409 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,15),(18,13),0.0134209 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,15),(18,12),0.0134209 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,15),(18,11),-0.0235523 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,15),(18,10),-0.0421317 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,15),(18,9),0.0134209 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,15),(18,8),-0.0297175 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,15),(18,7),0.0134209 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,15),(18,5),-0.0235523 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,15),(18,4),0.0344209 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,15),(18,3),0.0134209 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,15),(18,2),0.0134209 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,15),(18,1),-0.0267201 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,15),(18,-1),-0.0981452 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,14),(18,13),0.0614045 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,14),(18,12),0.0404604 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,14),(18,11),0.144313 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,14),(18,10),0.332955 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,14),(18,9),0.0391946 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,14),(18,8),0.387355 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,14),(18,7),0.0163123 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,14),(18,5),0.151489 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,14),(18,4),-0.0260243 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,14),(18,3),0.0228742 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,14),(18,2),0.0266618 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,14),(18,1),0.144861 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,14),(18,-1),0.0416911 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,13),(18,12),0.0144514 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,13),(18,11),-0.0235523 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,13),(18,10),-0.0436013 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,13),(18,9),0.0144514 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,13),(18,8),-0.0311871 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,13),(18,7),0.0144514 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,13),(18,5),-0.0235523 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,13),(18,4),0.0316629 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,13),(18,3),0.0144514 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,13),(18,2),0.0144514 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,13),(18,1),-0.0267201 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,13),(18,-1),-0.0953871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,12),(18,11),-0.0235523 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,12),(18,10),-0.0436013 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,12),(18,9),0.0144514 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,12),(18,8),-0.0311871 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,12),(18,7),0.0144514 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,12),(18,5),-0.0235523 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,12),(18,4),0.0316629 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,12),(18,3),0.0144514 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,12),(18,2),0.0144514 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,12),(18,1),-0.0267201 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,12),(18,-1),-0.0953871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,11),(18,10),-0.0105488 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,11),(18,9),-0.0238976 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,11),(18,8),-0.0136445 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,11),(18,7),-0.0238976 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,11),(18,5),-0.0194563 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,11),(18,4),-0.0198808 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,11),(18,3),-0.0238976 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,11),(18,2),-0.0238976 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,11),(18,1),-0.0195246 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,11),(18,-1),-0.00697854 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,10),(18,9),-0.0166886 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,10),(18,8),0.000428437 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,10),(18,7),-0.0166886 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,10),(18,5),-0.0226903 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,10),(18,4),0.00164275 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,10),(18,3),-0.0166886 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,10),(18,2),-0.0166886 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,10),(18,1),-0.0112549 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,10),(18,-1),0.00288157 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,9),(18,8),-0.0312146 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,9),(18,7),0.0144514 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,9),(18,5),-0.0235523 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,9),(18,4),0.0316622 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,9),(18,3),0.0144514 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,9),(18,2),0.0144514 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,9),(18,1),-0.0267201 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,9),(18,-1),-0.0963229 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,8),(18,7),-0.0172135 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,8),(18,5),-0.0224071 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,8),(18,4),0.0072239 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,8),(18,3),-0.0172135 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,8),(18,2),-0.0172135 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,8),(18,1),-0.0112571 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,8),(18,-1),0.0107049 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,7),(18,5),-0.0235523 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,7),(18,4),0.0316629 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,7),(18,3),0.0144514 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,7),(18,2),0.0144514 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,7),(18,1),-0.0267201 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,7),(18,-1),-0.0953871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
