# _root_ In the 45 minutes before the 9:30 opening bell , the Jacobson specialists kept getting sell orders , heavier than they imagined .
#goldHeads=14,4,4,1,4,9,9,9,5,14,13,13,14,0,14,17,15,17,17,22,22,19,14,
#predictedHeads=14,4,4,1,4,9,9,9,5,14,13,13,14,0,14,17,15,17,17,22,22,19,14,
(15,22),(22,16),(22,1),-0.145981 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,16),(22,-1),-0.117011 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,22),(22,15),(22,14),-0.145075 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,22),(22,15),(22,13),-0.145197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,22),(22,15),(22,10),-0.146214 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,22),(22,15),(22,9),-0.145197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,22),(22,15),(22,8),-0.145197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,22),(22,15),(22,6),-0.144725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,22),(22,15),(22,5),-0.152086 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,22),(22,15),(22,4),-0.145197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,22),(22,15),(22,1),-0.151956 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,22),(22,15),(22,-1),-0.137508 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,22),(22,14),(22,13),-0.145197 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,14),(22,10),-0.146214 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,14),(22,9),-0.145197 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,14),(22,8),-0.145197 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,14),(22,6),-0.144725 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,14),(22,5),-0.152086 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,14),(22,4),-0.145197 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,14),(22,1),-0.151956 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,14),(22,-1),-0.140024 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,22),(22,13),(22,10),-0.147788 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,13),(22,9),-0.147956 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,13),(22,8),-0.147956 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,13),(22,6),-0.144713 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,13),(22,5),-0.193034 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,13),(22,4),-0.147956 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,13),(22,1),-0.191138 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,13),(22,-1),-0.163747 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,22),(22,10),(22,9),-0.146784 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,10),(22,8),-0.146784 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,10),(22,6),-0.144713 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,10),(22,5),-0.170429 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,10),(22,4),-0.146784 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,10),(22,1),-0.171765 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,10),(22,-1),-0.118075 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,22),(22,9),(22,8),-0.147956 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,9),(22,6),-0.144713 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,9),(22,5),-0.193034 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,9),(22,4),-0.147956 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,9),(22,1),-0.191138 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,9),(22,-1),-0.16312 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,22),(22,8),(22,6),-0.144713 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,8),(22,5),-0.193034 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,8),(22,4),-0.147956 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,8),(22,1),-0.191138 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,8),(22,-1),-0.163254 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,22),(22,6),(22,5),-0.144774 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,6),(22,4),-0.144737 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,6),(22,1),-0.144774 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,6),(22,-1),-0.141033 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,22),(22,5),(22,4),-0.145338 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,5),(22,1),-0.147642 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,5),(22,-1),-0.10902 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,22),(22,4),(22,1),-0.191138 # DEPENDENCYPART_GRANDSIBL
(15,22),(22,4),(22,-1),-0.163129 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,22),(22,1),(22,-1),-0.133958 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,23),(23,23),(23,24),-0.008544 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,23),(23,23),(23,-1),0.017827 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,9),(9,9),(9,10),0.0998047 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,11),0.108165 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,12),0.112805 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,13),0.112805 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,14),0.103264 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,15),0.103264 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,16),-0.14637 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,17),-0.145339 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,18),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,20),-0.150919 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,22),-0.145198 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,23),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,24),-0.0836966 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,9),(9,10),(9,11),0.109534 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,10),(9,12),0.107219 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,10),(9,13),0.107219 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,10),(9,14),0.109277 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,10),(9,15),0.109277 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,10),(9,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,10),(9,17),-0.144756 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,10),(9,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,10),(9,20),-0.145129 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,10),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,10),(9,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,10),(9,24),-0.147379 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,11),(9,12),0.109479 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,11),(9,13),0.109479 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,11),(9,14),0.109532 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,11),(9,15),0.109532 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,11),(9,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,11),(9,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,11),(9,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,11),(9,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,11),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,11),(9,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,11),(9,24),-0.151679 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,12),(9,13),0.107215 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,12),(9,14),0.111599 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,12),(9,15),0.111599 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,12),(9,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,12),(9,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,12),(9,18),-0.144702 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,12),(9,20),-0.14471 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,12),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,12),(9,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,12),(9,24),-0.154145 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,13),(9,14),0.111599 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,13),(9,15),0.111599 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,13),(9,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,13),(9,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,13),(9,18),-0.144702 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,13),(9,20),-0.14471 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,13),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,13),(9,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,13),(9,24),-0.154145 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,14),(9,15),0.109444 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,14),(9,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,14),(9,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,14),(9,18),-0.144704 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,14),(9,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,14),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,14),(9,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,14),(9,24),-0.153035 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,15),(9,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,15),(9,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,15),(9,18),-0.144704 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,15),(9,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,15),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,15),(9,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,15),(9,24),-0.153035 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,16),(9,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,16),(9,18),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,16),(9,20),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,16),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,16),(9,23),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,16),(9,24),-0.166856 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,9),(9,17),(9,18),-0.144702 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,17),(9,20),-0.14471 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,17),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,17),(9,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,17),(9,24),-0.154145 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,18),(9,20),-0.145129 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,18),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,18),(9,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,18),(9,24),-0.147379 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,20),(9,22),-0.14472 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,20),(9,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,20),(9,24),-0.150431 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,22),(9,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,22),(9,24),-0.153035 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,23),(9,24),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,9),(9,8),-0.0381855 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,7),0.00546616 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,6),0.0114077 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,5),0.00574845 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,4),-0.0381855 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,3),0.00497478 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,2),0.0114077 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,1),-0.0023894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,-1),-0.0365865 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,9),(9,8),(9,7),-0.0201235 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,8),(9,6),-0.0241677 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,8),(9,5),-0.0160372 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,8),(9,4),-0.021407 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,8),(9,3),-0.0201235 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,8),(9,2),-0.0241677 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,8),(9,1),-0.0160373 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,8),(9,-1),-0.0468526 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,7),(9,6),-0.0239867 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,7),(9,5),-0.0211013 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,7),(9,4),-0.0221289 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,7),(9,3),-0.0246001 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,7),(9,2),-0.0239867 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,7),(9,1),-0.0211013 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,7),(9,-1),0.0218353 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,6),(9,5),-0.0195266 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,6),(9,4),-0.019999 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,6),(9,3),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,6),(9,2),-0.0194762 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,6),(9,1),-0.0195267 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,6),(9,-1),-0.0100043 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,5),(9,4),-0.0194978 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,5),(9,3),-0.0194943 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,5),(9,2),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,5),(9,1),-0.0157182 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,5),(9,-1),0.000101269 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,4),(9,3),-0.0201235 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,4),(9,2),-0.0241677 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,4),(9,1),-0.0160373 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,4),(9,-1),-0.0468526 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,3),(9,2),-0.0239867 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,3),(9,1),-0.0211013 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,3),(9,-1),0.0213439 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,2),(9,1),-0.0195267 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,2),(9,-1),-0.0100043 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,1),(9,-1),-0.00496462 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,12),(12,12),(12,13),0.112805 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,12),(12,12),(12,14),0.103264 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,12),(12,12),(12,15),0.103264 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,12),(12,12),(12,17),-0.145339 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,12),(12,12),(12,24),-0.0836966 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,12),(12,13),(12,14),0.111599 # DEPENDENCYPART_GRANDSIBL
(16,12),(12,13),(12,15),0.111599 # DEPENDENCYPART_GRANDSIBL
(16,12),(12,13),(12,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,12),(12,13),(12,24),-0.154145 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,12),(12,14),(12,15),0.109444 # DEPENDENCYPART_GRANDSIBL
(16,12),(12,14),(12,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,12),(12,14),(12,24),-0.153035 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,12),(12,15),(12,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,12),(12,15),(12,24),-0.153035 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,12),(12,17),(12,24),-0.154145 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,12),(12,12),(12,11),0.0114077 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,12),(12,12),(12,-1),-0.0365865 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,12),(12,11),(12,-1),-0.0100043 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,13),(13,14),0.103264 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,15),0.103264 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,17),-0.145339 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,18),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,19),-0.14637 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,23),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,24),-0.0836966 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,13),(13,14),(13,15),0.109444 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,14),(13,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,14),(13,18),-0.144704 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,14),(13,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,14),(13,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,14),(13,24),-0.153035 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,15),(13,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,15),(13,18),-0.144704 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,15),(13,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,15),(13,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,15),(13,24),-0.153035 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,17),(13,18),-0.144702 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,17),(13,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,17),(13,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,17),(13,24),-0.154145 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,18),(13,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,18),(13,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,18),(13,24),-0.147379 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,19),(13,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,19),(13,24),-0.166854 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,23),(13,24),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,13),(13,12),-0.0381855 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,11),0.0114077 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,10),-0.0355418 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,9),-0.0381855 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,8),-0.0381855 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,7),0.00546616 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,6),0.0114077 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,5),0.00574845 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,1),-0.0023894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,-1),-0.0365865 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,13),(13,12),(13,11),-0.0241677 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,12),(13,10),-0.0214158 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,12),(13,9),-0.021407 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,12),(13,8),-0.021407 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,12),(13,7),-0.0201235 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,12),(13,6),-0.0241677 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,12),(13,5),-0.0160372 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,12),(13,1),-0.0160373 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,12),(13,-1),-0.0468526 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,11),(13,10),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,11),(13,9),-0.019999 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,11),(13,8),-0.019999 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,11),(13,7),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,11),(13,6),-0.0194762 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,11),(13,5),-0.0195266 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,11),(13,1),-0.0195267 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,11),(13,-1),-0.0100043 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,10),(13,9),-0.0244792 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,10),(13,8),-0.0244792 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,10),(13,7),-0.0116917 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,10),(13,6),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,10),(13,5),-0.0257143 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,10),(13,1),-0.0257143 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,10),(13,-1),-0.0314406 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,9),(13,8),-0.021407 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,9),(13,7),-0.0201235 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,9),(13,6),-0.0241677 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,9),(13,5),-0.0160372 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,9),(13,1),-0.0160373 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,9),(13,-1),-0.0468526 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,8),(13,7),-0.0201235 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,8),(13,6),-0.0241677 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,8),(13,5),-0.0160372 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,8),(13,1),-0.0160373 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,8),(13,-1),-0.0468526 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,7),(13,6),-0.0239867 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,7),(13,5),-0.0211013 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,7),(13,1),-0.0211013 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,7),(13,-1),0.0218353 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,6),(13,5),-0.0195266 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,6),(13,1),-0.0195267 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,6),(13,-1),-0.0100043 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,5),(13,1),-0.0157182 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,5),(13,-1),0.000101269 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,1),(13,-1),-0.00496462 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,17),(17,18),-0.0355418 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,19),-0.0252241 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,20),0.00450217 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,22),-0.0391467 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,23),-0.0194814 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,24),-0.0366046 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
