# _root_ Martin Fabi , Innopac 's president and chief executive , said Innopac viewed Mr. Pattison 's decision to seek control as a `` very positive '' move .
#goldHeads=2,11,2,7,4,7,2,9,7,2,0,13,11,15,17,15,13,19,17,19,13,27,27,25,27,27,21,11,
#predictedHeads=2,11,2,6,4,7,2,9,7,2,0,13,11,15,17,15,13,19,17,19,13,27,27,25,27,27,21,11,
(9,4),(4,4),(4,2),-0.13299 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,1),-0.132994 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,-1),0.13965 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,4),(4,3),(4,2),0.135171 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,3),(4,1),0.135171 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,3),(4,-1),-0.0201838 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,2),(4,1),-0.00228081 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,2),(4,-1),0.0249166 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,1),(4,-1),0.0249118 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,6),(6,7),0.0272651 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,8),0.0869733 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,9),-0.157296 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,10),-0.145498 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,29),-0.00398111 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,6),(6,7),(6,8),0.351844 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,7),(6,9),-0.24839 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,7),(6,10),-0.128083 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,7),(6,29),-0.226885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,8),(6,9),-0.144712 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,8),(6,10),-0.144778 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,8),(6,29),-0.181523 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,9),(6,10),-0.145732 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,9),(6,29),-0.155677 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,6),(6,10),(6,29),-0.0354137 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,6),(6,5),-0.0477716 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,4),-0.130824 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,3),0.138618 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,2),-0.130824 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,1),-0.130829 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,-1),0.121795 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,6),(6,5),(6,4),-0.0214778 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,5),(6,3),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,5),(6,2),-0.0214778 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,5),(6,1),-0.0214778 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,5),(6,-1),-0.0486165 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,4),(6,3),0.00111125 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,4),(6,2),-0.00365507 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,4),(6,1),-0.00365507 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,4),(6,-1),0.0269235 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,3),(6,2),0.135835 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,3),(6,1),0.135835 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,3),(6,-1),-0.0253651 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,2),(6,1),-0.00365507 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,2),(6,-1),0.0269235 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,1),(6,-1),0.0269187 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,7),(7,8),0.165102 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,9),-0.161073 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,10),-0.144719 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,11),-0.155774 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,12),-0.161073 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,13),-0.155774 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,15),-0.161073 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,17),-0.161073 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,19),-0.155774 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,20),-0.161073 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,26),-0.144848 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,27),-0.161073 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,28),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,29),-0.452832 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,7),(7,8),(7,9),-0.149473 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,8),(7,10),-0.144722 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,8),(7,11),-0.145362 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,8),(7,12),-0.149473 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,8),(7,13),-0.145362 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,8),(7,15),-0.149473 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,8),(7,17),-0.149473 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,8),(7,19),-0.145362 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,8),(7,20),-0.149473 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,8),(7,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,8),(7,27),-0.149473 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,8),(7,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,8),(7,29),-0.0760697 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,9),(7,10),-0.147051 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,9),(7,11),-0.146269 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,9),(7,12),-0.146776 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,9),(7,13),-0.146269 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,9),(7,15),-0.146776 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,9),(7,17),-0.146776 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,9),(7,19),-0.146269 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,9),(7,20),-0.146776 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,9),(7,26),-0.144758 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,9),(7,27),-0.146776 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,9),(7,28),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,9),(7,29),-0.206717 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,7),(7,10),(7,11),-0.148431 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,10),(7,12),-0.147778 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,10),(7,13),-0.148431 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,10),(7,15),-0.147778 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,10),(7,17),-0.147778 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,10),(7,19),-0.148431 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,10),(7,20),-0.147781 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,10),(7,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,10),(7,27),-0.147778 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,10),(7,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,10),(7,29),-0.165062 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,11),(7,12),-0.14523 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,11),(7,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,11),(7,15),-0.14523 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,11),(7,17),-0.14523 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,11),(7,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,11),(7,20),-0.14523 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,11),(7,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,11),(7,27),-0.14523 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,11),(7,28),-0.144745 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,11),(7,29),-0.169005 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,12),(7,13),-0.146269 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,12),(7,15),-0.146776 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,12),(7,17),-0.146776 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,12),(7,19),-0.146269 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,12),(7,20),-0.146776 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,12),(7,26),-0.144758 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,12),(7,27),-0.146776 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,12),(7,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,12),(7,29),-0.201211 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,13),(7,15),-0.14523 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,13),(7,17),-0.14523 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,13),(7,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,13),(7,20),-0.14523 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,13),(7,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,13),(7,27),-0.14523 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,13),(7,28),-0.144745 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,13),(7,29),-0.171655 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,15),(7,17),-0.146776 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,15),(7,19),-0.146269 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,15),(7,20),-0.146776 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,15),(7,26),-0.144758 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,15),(7,27),-0.146776 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,15),(7,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,15),(7,29),-0.201211 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,17),(7,19),-0.146269 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,17),(7,20),-0.146776 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,17),(7,26),-0.144758 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,17),(7,27),-0.146776 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,17),(7,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,17),(7,29),-0.20147 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,19),(7,20),-0.14523 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,19),(7,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,19),(7,27),-0.14523 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,19),(7,28),-0.144745 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,19),(7,29),-0.171667 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,20),(7,26),-0.144758 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,20),(7,27),-0.146776 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,20),(7,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,20),(7,29),-0.200294 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,26),(7,27),-0.144709 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,26),(7,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,26),(7,29),-0.105303 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,27),(7,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,27),(7,29),-0.201211 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,28),(7,29),-0.14479 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,7),(7,6),-0.0694638 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,4),-0.0769148 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,3),-0.0290987 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,2),-0.0741085 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,1),-0.0741085 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,-1),-0.253237 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,7),(7,6),(7,4),-0.00299582 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,6),(7,3),-0.0754313 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,6),(7,2),-0.00299582 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,6),(7,1),-0.00299582 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,6),(7,-1),-0.0133117 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,4),(7,3),-0.075268 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,4),(7,2),-0.00255124 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,4),(7,1),-0.00255124 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,4),(7,-1),-0.0193275 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,3),(7,2),-0.0888376 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,3),(7,1),-0.0888376 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,3),(7,-1),-0.0594568 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,2),(7,1),-0.00255124 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,2),(7,-1),-0.0165211 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,1),(7,-1),-0.0165211 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,8),(8,9),-0.146105 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,11),-0.153177 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,29),0.0168764 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,8),(8,9),(8,11),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,9),(8,29),-0.120904 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,8),(8,11),(8,29),-0.146899 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,8),(8,6),-0.0160636 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,-1),0.0826199 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,8),(8,6),(8,-1),0.0167044 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,10),(10,29),-0.0495034 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,10),(10,10),(10,-1),-0.189928 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,11),(11,11),(11,12),-0.0364248 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,13),-0.0350987 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,15),-0.0364248 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,17),-0.0374465 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,18),-0.0364321 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,19),-0.0387597 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,21),0.00525784 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,23),-0.022251 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,24),0.0192565 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,25),0.00496748 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,26),-0.00549974 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,28),-0.0230578 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,29),0.038866 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,11),(11,12),(11,13),-0.0344236 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,15),-0.00139161 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,17),-0.00169828 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,18),-0.0402213 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,19),-0.0358007 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,21),0.00780758 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,23),-0.0245502 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,24),-0.00722261 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,25),-0.0186824 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,26),-0.0117282 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,28),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,29),-0.0412955 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,13),(11,15),-0.0218316 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,17),-0.0218316 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,18),-0.0249703 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,19),-0.0224053 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,21),-0.0262397 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,23),-0.0194936 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,24),-0.0211147 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,25),-0.0198316 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,26),-0.0102307 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,28),-0.0229558 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,29),-0.00826753 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,15),(11,17),-0.00169828 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,15),(11,18),-0.0402213 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,15),(11,19),-0.0358007 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,15),(11,21),0.00780758 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,15),(11,23),-0.0245502 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,15),(11,24),-0.00722261 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,15),(11,25),-0.0186824 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,15),(11,26),-0.0117282 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,15),(11,28),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,15),(11,29),-0.0412955 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,17),(11,18),-0.0402213 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,17),(11,19),-0.0362245 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,17),(11,21),0.00780732 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,17),(11,23),-0.0245502 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,17),(11,24),-0.00722261 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,17),(11,25),-0.0186865 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,17),(11,26),-0.0117282 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,17),(11,28),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,17),(11,29),-0.0421998 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,18),(11,19),-0.0270471 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,18),(11,21),-0.0313491 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,18),(11,23),-0.0203792 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,18),(11,24),-0.0229883 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,18),(11,25),-0.0199632 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,18),(11,26),-0.0197566 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,18),(11,28),-0.0201925 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,18),(11,29),-0.0463884 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,19),(11,21),-0.0262397 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,19),(11,23),-0.0194936 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,19),(11,24),-0.0211147 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,19),(11,25),-0.0198316 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,19),(11,26),-0.0102307 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,19),(11,28),-0.0229558 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,19),(11,29),-0.0133464 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,21),(11,23),-0.0136621 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,21),(11,24),-0.0190659 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,21),(11,25),-0.0236112 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,21),(11,26),-0.00848838 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,21),(11,28),-0.0311188 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,21),(11,29),0.00844004 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,23),(11,24),-0.0225515 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,23),(11,25),-0.0190084 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,23),(11,26),-0.0203029 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,23),(11,28),-0.0100466 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,23),(11,29),-0.0198111 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,24),(11,25),-0.0212608 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,24),(11,26),-0.0198719 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,24),(11,28),-0.0252755 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,24),(11,29),0.027325 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,25),(11,26),-0.0230175 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,25),(11,28),-0.0243432 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,25),(11,29),0.0206596 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,26),(11,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,26),(11,29),-0.0207028 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,28),(11,29),-0.0609297 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,11),(11,10),0.11242 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,9),0.122961 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,8),-0.1507 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,7),-0.177573 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,6),-0.194622 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,4),-0.194622 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,3),-0.144722 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,2),-0.194622 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,1),-0.194622 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,-1),-0.0394411 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,11),(11,10),(11,9),0.119585 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,10),(11,8),-0.144776 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,10),(11,7),-0.145857 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,10),(11,6),-0.144819 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,10),(11,4),-0.144819 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,10),(11,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,10),(11,2),-0.144819 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,10),(11,1),-0.144819 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,10),(11,-1),-0.211224 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,9),(11,8),-0.144711 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,9),(11,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,9),(11,6),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,9),(11,4),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,9),(11,3),-0.144939 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,9),(11,2),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
