# _root_ Vegetables are abundant and full of flavor in Poland , the pickles and sauerkraut sublime , the state monopolies long broken .
#goldHeads=2,0,4,2,4,5,6,2,8,2,13,13,1,13,4,2,19,19,1,21,4,2,
#predictedHeads=2,0,4,2,4,5,6,2,13,13,12,13,8,13,13,13,19,19,13,21,19,2,
(11,12),(12,12),(12,23),-0.0482842 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,12),(12,14),(12,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,14),(12,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,14),(12,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,14),(12,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,14),(12,23),-0.0222016 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,15),(12,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,15),(12,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,15),(12,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,15),(12,23),-0.0194551 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,19),(12,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,19),(12,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,19),(12,23),-0.0222016 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,20),(12,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,20),(12,23),-0.0195913 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,21),(12,23),-0.0194551 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,12),(12,11),0.106033 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,9),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,-1),-0.169751 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,12),(12,11),(12,9),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,11),(12,-1),-0.148209 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,12),(12,9),(12,-1),-0.144705 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,9),(9,10),0.182057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,12),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,13),-0.1512 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,14),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,16),-0.145466 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,18),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,23),-0.0183881 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,9),(9,10),(9,12),-0.14942 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,10),(9,13),-0.150847 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,10),(9,14),-0.14942 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,10),(9,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,10),(9,18),-0.14942 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,10),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,10),(9,23),-0.0334281 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,12),(9,13),-0.14471 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,12),(9,14),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,12),(9,16),-0.145732 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,12),(9,18),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,12),(9,22),-0.144801 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,12),(9,23),-0.173848 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,9),(9,13),(9,14),0.0140283 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,13),(9,16),0.111653 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,13),(9,18),-0.0838178 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,13),(9,22),0.0847161 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,13),(9,23),-0.226199 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,14),(9,16),-0.145732 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,14),(9,18),-0.145195 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,14),(9,22),-0.144801 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,14),(9,23),-0.173848 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,16),(9,18),-0.14942 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,16),(9,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,16),(9,23),-0.0334281 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,18),(9,22),-0.144801 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,18),(9,23),-0.174383 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,22),(9,23),-0.151487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,9),(9,8),-0.00420483 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,7),-0.131973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,5),-0.0418516 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,4),-0.0402695 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,-1),0.134096 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,9),(9,8),(9,7),-0.0221573 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,8),(9,5),-0.0193941 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,8),(9,4),-0.0150168 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,8),(9,-1),-0.0465022 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,7),(9,5),-0.0323083 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,7),(9,4),-0.0202714 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,7),(9,-1),0.0259137 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,5),(9,4),-0.0198425 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,5),(9,-1),-0.0297423 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,4),(9,-1),-0.034307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,11),(11,11),(11,12),-0.144963 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,23),0.0952689 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,11),(11,12),(11,23),-0.154196 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,11),(11,11),(11,10),-0.0275126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,-1),0.214463 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,11),(11,10),(11,-1),-0.014727 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,14),(14,14),(14,15),-0.0415639 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,16),0.133904 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,18),-0.133674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,19),-0.131973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,20),-0.0310422 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,21),-0.0415639 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,23),0.134108 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,14),(14,15),(14,16),-0.0272133 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,15),(14,18),-0.0393347 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,15),(14,19),-0.0388087 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,15),(14,20),-0.0213569 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,15),(14,21),-0.0312175 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,15),(14,23),-0.0294546 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,14),(14,16),(14,18),0.135126 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,16),(14,19),0.135171 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,16),(14,20),-0.0275909 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,16),(14,21),-0.0310298 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,16),(14,23),-0.020159 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,14),(14,18),(14,19),-0.0019223 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,18),(14,20),-0.0145043 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,18),(14,21),-0.0323083 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,18),(14,23),0.0220501 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,14),(14,19),(14,20),-0.0145043 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,19),(14,21),-0.0323083 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,19),(14,23),0.0259136 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,14),(14,20),(14,21),-0.0195969 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,20),(14,23),-0.0376039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,14),(14,21),(14,23),-0.0294546 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,14),(14,14),(14,12),0.161031 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,11),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,-1),-0.0183774 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,14),(14,12),(14,11),-0.145039 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,12),(14,-1),-0.173847 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,14),(14,11),(14,-1),-0.159238 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,15),(15,15),(15,16),0.0396314 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,15),(15,15),(15,18),-0.014884 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,15),(15,15),(15,19),-0.0136458 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,15),(15,15),(15,20),-0.0251154 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,15),(15,15),(15,21),-0.0326725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,15),(15,15),(15,22),-0.0227206 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,15),(15,15),(15,23),0.0399671 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,15),(15,16),(15,18),0.0450757 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,16),(15,19),0.0450757 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,16),(15,20),-0.0245879 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,16),(15,21),-0.0280961 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,16),(15,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,16),(15,23),-0.0458211 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,15),(15,18),(15,19),0.00247557 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,18),(15,20),-0.0126916 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,18),(15,21),-0.0195274 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,18),(15,22),-0.0194623 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,18),(15,23),0.0180294 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,15),(15,19),(15,20),-0.0126916 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,19),(15,21),-0.0195274 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,19),(15,22),-0.0194623 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,19),(15,23),0.0192676 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,15),(15,20),(15,21),-0.0190111 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,20),(15,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,20),(15,23),-0.0197317 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,15),(15,21),(15,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,21),(15,23),-0.016301 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,15),(15,22),(15,23),-0.0225426 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,15),(15,15),(15,14),0.125167 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,15),(15,15),(15,13),0.123364 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,15),(15,15),(15,12),0.125167 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,15),(15,15),(15,11),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,15),(15,15),(15,8),-0.149022 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,15),(15,15),(15,7),-0.146105 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,15),(15,15),(15,-1),-0.0114955 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,15),(15,14),(15,13),0.109206 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,14),(15,12),0.10791 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,14),(15,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,14),(15,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,14),(15,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,14),(15,-1),-0.121725 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,15),(15,13),(15,12),0.195029 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,13),(15,11),-0.00296228 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,13),(15,8),-0.0541635 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,13),(15,7),-0.00943307 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,13),(15,-1),-0.13401 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,15),(15,12),(15,11),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,15),(15,12),(15,8),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,15),(15,12),(15,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,15),(15,12),(15,-1),-0.121725 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,15),(15,11),(15,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,11),(15,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,11),(15,-1),-0.14543 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,15),(15,8),(15,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,8),(15,-1),-0.17962 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,15),(15,7),(15,-1),-0.121725 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,19),(19,19),(19,20),-0.0310422 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,19),(19,19),(19,21),-0.0415639 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,19),(19,19),(19,22),0.0757667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,19),(19,19),(19,23),0.134094 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,19),(19,20),(19,21),-0.0195969 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,20),(19,22),-0.0198722 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,20),(19,23),-0.0376039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,19),(19,21),(19,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,21),(19,23),-0.0294546 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,19),(19,22),(19,23),0.0744321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,19),(19,19),(19,18),0.162942 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,19),(19,19),(19,17),0.102301 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,19),(19,19),(19,16),0.182057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,19),(19,19),(19,15),0.0806917 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,19),(19,19),(19,14),0.161028 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,19),(19,19),(19,13),0.0279649 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,19),(19,19),(19,12),0.161028 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,19),(19,19),(19,11),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,19),(19,19),(19,6),-0.158083 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,19),(19,19),(19,-1),-0.0183843 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,19),(19,18),(19,17),0.12951 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,18),(19,16),0.116649 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,18),(19,15),0.1355 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,18),(19,14),0.0945158 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,18),(19,13),0.0980592 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,18),(19,12),0.0945158 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,18),(19,11),-0.145039 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,18),(19,6),-0.14479 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,18),(19,-1),-0.174384 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,19),(19,17),(19,16),0.107471 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,17),(19,15),0.128995 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,17),(19,14),0.129835 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,17),(19,13),0.127291 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,17),(19,12),0.129835 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,17),(19,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,17),(19,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,17),(19,-1),-0.159238 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,19),(19,16),(19,15),0.0749665 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,16),(19,14),0.118238 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,16),(19,13),0.10616 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,16),(19,12),0.118238 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,16),(19,11),-0.144709 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,16),(19,6),-0.144935 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,16),(19,-1),-0.0334293 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,19),(19,15),(19,14),0.123256 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,15),(19,13),0.10137 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,15),(19,12),0.123256 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,15),(19,11),-0.144709 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,15),(19,6),-0.144704 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,15),(19,-1),-0.193454 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,19),(19,14),(19,13),0.0980611 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,14),(19,12),0.0911065 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,14),(19,11),-0.145039 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,14),(19,6),-0.14479 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,14),(19,-1),-0.173849 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,19),(19,13),(19,12),0.181086 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,13),(19,11),-0.00299083 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,13),(19,6),-0.0689223 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,13),(19,-1),-0.226199 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,19),(19,12),(19,11),-0.145039 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,19),(19,12),(19,6),-0.14479 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,19),(19,12),(19,-1),-0.173849 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,19),(19,11),(19,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,19),(19,11),(19,-1),-0.159238 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,19),(19,6),(19,-1),-0.0828516 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,20),(20,20),(20,21),-0.0230815 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,20),(20,20),(20,22),-0.0220133 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,20),(20,20),(20,23),0.00548337 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,20),(20,21),(20,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(12,20),(20,21),(20,23),0.000711885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,20),(20,22),(20,23),-0.0220133 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,20),(20,20),(20,19),0.0991215 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,20),(20,20),(20,18),0.0991215 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,20),(20,20),(20,15),0.100993 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,20),(20,20),(20,14),0.0991215 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,20),(20,20),(20,9),-0.145509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,20),(20,20),(20,7),-0.145509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,20),(20,20),(20,4),-0.148812 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,20),(20,20),(20,-1),-0.251587 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,20),(20,19),(20,18),0.108985 # DEPENDENCYPART_GRANDSIBL
(12,20),(20,19),(20,15),0.10953 # DEPENDENCYPART_GRANDSIBL
(12,20),(20,19),(20,14),0.108985 # DEPENDENCYPART_GRANDSIBL
(12,20),(20,19),(20,9),-0.144702 # DEPENDENCYPART_GRANDSIBL
(12,20),(20,19),(20,7),-0.144702 # DEPENDENCYPART_GRANDSIBL
(12,20),(20,19),(20,4),-0.144707 # DEPENDENCYPART_GRANDSIBL
(12,20),(20,19),(20,-1),-0.16765 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,20),(20,18),(20,15),0.10953 # DEPENDENCYPART_GRANDSIBL
(12,20),(20,18),(20,14),0.108985 # DEPENDENCYPART_GRANDSIBL
(12,20),(20,18),(20,9),-0.144702 # DEPENDENCYPART_GRANDSIBL
(12,20),(20,18),(20,7),-0.144702 # DEPENDENCYPART_GRANDSIBL
(12,20),(20,18),(20,4),-0.144707 # DEPENDENCYPART_GRANDSIBL
(12,20),(20,18),(20,-1),-0.167651 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,20),(20,15),(20,14),0.109524 # DEPENDENCYPART_GRANDSIBL
(12,20),(20,15),(20,9),-0.144751 # DEPENDENCYPART_GRANDSIBL
(12,20),(20,15),(20,7),-0.144751 # DEPENDENCYPART_GRANDSIBL
(12,20),(20,15),(20,4),-0.14473 # DEPENDENCYPART_GRANDSIBL
(12,20),(20,15),(20,-1),-0.111754 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,20),(20,14),(20,9),-0.144702 # DEPENDENCYPART_GRANDSIBL
(12,20),(20,14),(20,7),-0.144702 # DEPENDENCYPART_GRANDSIBL
(12,20),(20,14),(20,4),-0.144707 # DEPENDENCYPART_GRANDSIBL
(12,20),(20,14),(20,-1),-0.16765 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,20),(20,9),(20,7),-0.144702 # DEPENDENCYPART_GRANDSIBL
(12,20),(20,9),(20,4),-0.144707 # DEPENDENCYPART_GRANDSIBL
(12,20),(20,9),(20,-1),-0.16765 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,20),(20,7),(20,4),-0.144707 # DEPENDENCYPART_GRANDSIBL
(12,20),(20,7),(20,-1),-0.16765 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,20),(20,4),(20,-1),-0.122714 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,21),(21,21),(21,22),-0.0227206 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,21),(21,21),(21,23),0.0413694 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,21),(21,22),(21,23),-0.0225426 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,21),(21,21),(21,20),0.115557 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,21),(21,21),(21,19),0.125167 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,21),(21,21),(21,18),0.125166 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,21),(21,21),(21,17),0.116057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,21),(21,21),(21,15),0.103617 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,21),(21,21),(21,14),0.125167 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,21),(21,21),(21,-1),-0.0101125 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,21),(21,20),(21,19),0.108976 # DEPENDENCYPART_GRANDSIBL
(12,21),(21,20),(21,18),0.108976 # DEPENDENCYPART_GRANDSIBL
(12,21),(21,20),(21,17),0.104171 # DEPENDENCYPART_GRANDSIBL
(12,21),(21,20),(21,15),0.109082 # DEPENDENCYPART_GRANDSIBL
(12,21),(21,20),(21,14),0.108976 # DEPENDENCYPART_GRANDSIBL
(12,21),(21,20),(21,-1),-0.13209 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,21),(21,19),(21,18),0.10791 # DEPENDENCYPART_GRANDSIBL
(12,21),(21,19),(21,17),0.10812 # DEPENDENCYPART_GRANDSIBL
(12,21),(21,19),(21,15),0.109277 # DEPENDENCYPART_GRANDSIBL
