# _root_ There is such a maze of federal , state and local codes that `` building inspectors are backing away from interpreting them , '' Mr. Dooling says .
#goldHeads=2,27,5,5,2,5,10,10,10,12,10,6,17,17,16,17,5,17,18,19,20,21,27,27,26,27,0,27,
#predictedHeads=2,27,5,5,2,5,10,10,10,12,10,6,17,17,16,17,12,17,18,18,20,21,27,27,26,27,0,27,
(15,17),(17,24),(17,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,24),(17,29),-0.0227279 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,17),(17,27),(17,28),-0.0419658 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,27),(17,29),-0.0691964 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,17),(17,28),(17,29),-0.0882404 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,17),(17,17),(17,16),0.190507 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,17),(17,15),0.193079 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,17),(17,17),(17,14),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,17),(17,13),-0.157755 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,17),(17,12),-0.175857 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,17),(17,11),-0.130884 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,17),(17,10),-0.162755 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,17),(17,9),-0.175857 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,17),(17,8),-0.12509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,17),(17,7),-0.130884 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,17),(17,5),-0.175857 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,17),(17,2),-0.170818 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,17),(17,-1),-0.00810725 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,17),(17,16),(17,15),0.0926093 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,17),(17,16),(17,14),-0.125538 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,16),(17,13),-0.126315 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,16),(17,12),-0.124895 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,16),(17,11),-0.12492 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,16),(17,10),-0.125032 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,16),(17,9),-0.124895 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,16),(17,8),-0.125057 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,16),(17,7),-0.12492 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,16),(17,5),-0.124895 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,16),(17,2),-0.125221 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,16),(17,-1),0.00820712 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,17),(17,15),(17,14),-0.125538 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,15),(17,13),-0.126315 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,15),(17,12),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,15),(17,11),-0.12492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,15),(17,10),-0.125032 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,15),(17,9),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,15),(17,8),-0.125057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,15),(17,7),-0.12492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,15),(17,5),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,15),(17,2),-0.125221 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,17),(17,15),(17,-1),0.0107782 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,17),(17,14),(17,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,14),(17,12),-0.124891 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,14),(17,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,14),(17,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,14),(17,9),-0.124891 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,14),(17,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,14),(17,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,14),(17,5),-0.124891 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,14),(17,2),-0.125154 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,14),(17,-1),-0.119522 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,17),(17,13),(17,12),-0.125063 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,13),(17,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,13),(17,10),-0.124896 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,13),(17,9),-0.125063 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,13),(17,8),-0.124887 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,13),(17,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,13),(17,5),-0.125063 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,13),(17,2),-0.124989 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,13),(17,-1),-0.150974 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,17),(17,12),(17,11),-0.12492 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,12),(17,10),-0.125032 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,12),(17,9),-0.124895 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,12),(17,8),-0.125057 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,12),(17,7),-0.12492 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,12),(17,5),-0.124895 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,12),(17,2),-0.125221 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,12),(17,-1),0.0107831 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,17),(17,11),(17,10),-0.124908 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,11),(17,9),-0.124907 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,11),(17,8),-0.12494 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,11),(17,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,11),(17,5),-0.124907 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,11),(17,2),-0.125064 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,11),(17,-1),-0.201856 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,17),(17,10),(17,9),0.172706 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,10),(17,8),0.141564 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,10),(17,7),0.140175 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,10),(17,5),0.170111 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,10),(17,2),0.0173621 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,10),(17,-1),-0.126979 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,17),(17,9),(17,8),-0.125057 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,9),(17,7),-0.12492 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,9),(17,5),-0.124895 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,9),(17,2),-0.125221 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,9),(17,-1),0.0100732 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,17),(17,8),(17,7),-0.124971 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,8),(17,5),-0.125259 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,8),(17,2),-0.127315 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,8),(17,-1),-0.189193 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,17),(17,7),(17,5),-0.124907 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,7),(17,2),-0.125064 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,7),(17,-1),-0.202071 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,17),(17,5),(17,2),-0.125221 # DEPENDENCYPART_GRANDSIBL
(15,17),(17,5),(17,-1),0.0107831 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,17),(17,2),(17,-1),-0.148116 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,18),(18,19),0.0086046 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,18),(18,20),-0.042655 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,18),(18,21),-0.0447933 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,18),(18,23),-0.0734363 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,18),(18,24),-0.0321688 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,18),(18,26),-0.0287714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,18),(18,27),-0.0456502 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,18),(18,28),-0.048883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,18),(18,29),0.0670982 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,18),(18,19),(18,20),-0.0239796 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,19),(18,21),-0.0303809 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,19),(18,23),-0.0470982 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,19),(18,24),-0.044174 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,19),(18,26),-0.0427646 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,19),(18,27),-0.0303915 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,19),(18,28),-0.0452914 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,19),(18,29),0.0161409 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,20),(18,21),-0.0326616 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,20),(18,23),-0.0206221 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,20),(18,24),-0.0303481 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,20),(18,26),-0.0440771 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,20),(18,27),-0.0326834 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,20),(18,28),-0.0531827 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,20),(18,29),-0.0302643 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,21),(18,23),-0.0347739 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,21),(18,24),-0.0249853 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,21),(18,26),-0.0470011 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,21),(18,27),-0.0436735 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,21),(18,28),-0.0419652 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,21),(18,29),-0.0893344 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,23),(18,24),-0.0407969 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,23),(18,26),-0.0356703 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,23),(18,27),-0.0763334 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,23),(18,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,23),(18,29),-0.0932716 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,24),(18,26),-0.0284415 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,24),(18,27),-0.0384912 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,24),(18,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,24),(18,29),-0.0227168 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,26),(18,27),-0.0547032 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,26),(18,28),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,26),(18,29),-0.050072 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,27),(18,28),-0.0419652 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,27),(18,29),-0.0906447 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,28),(18,29),-0.0871039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,18),(18,16),0.159812 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,18),(18,15),0.162384 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,18),(18,18),(18,13),-0.157578 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,18),(18,12),-0.175297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,18),(18,9),-0.175297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,18),(18,-1),0.0439237 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,18),(18,16),(18,15),0.0946108 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,16),(18,13),-0.126308 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,16),(18,12),-0.124895 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,16),(18,9),-0.124895 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,16),(18,-1),-0.0384968 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,15),(18,13),-0.126308 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,15),(18,12),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,15),(18,9),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,18),(18,15),(18,-1),-0.0359258 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,18),(18,13),(18,12),-0.125063 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,13),(18,9),-0.125063 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,13),(18,-1),-0.151735 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,12),(18,9),-0.124895 # DEPENDENCYPART_GRANDSIBL
(15,18),(18,12),(18,-1),-0.0359209 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,18),(18,9),(18,-1),-0.0366308 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,20),(20,21),-0.0570092 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,23),-0.081437 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,24),-0.0559373 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,25),0.103356 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,26),0.108721 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,27),-0.0560802 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,28),-0.0541666 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,29),-0.377993 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,20),(20,21),(20,23),-0.0454262 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,21),(20,24),-0.0362632 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,21),(20,25),-0.045213 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,21),(20,26),-0.045213 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,21),(20,27),-0.0420167 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,21),(20,28),-0.0422868 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,21),(20,29),-0.0449276 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,23),(20,24),-0.0495045 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,23),(20,25),-0.0597715 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,23),(20,26),-0.0597715 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,23),(20,27),-0.0371345 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,23),(20,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,23),(20,29),-0.0353656 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,24),(20,25),-0.049205 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,24),(20,26),-0.049205 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,24),(20,27),-0.0420092 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,24),(20,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,24),(20,29),0.0143635 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,25),(20,26),-0.0782591 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,25),(20,27),-0.0515407 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,25),(20,28),-0.0425555 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,25),(20,29),0.0487528 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,26),(20,27),-0.0515407 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,26),(20,28),-0.0425555 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,26),(20,29),0.0541179 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,27),(20,28),-0.0422868 # DEPENDENCYPART_GRANDSIBL
(15,20),(20,27),(20,29),-0.0440799 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,28),(20,29),-0.0553485 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,20),(20,20),(20,19),0.130482 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,20),(20,20),(20,-1),-0.0394418 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,20),(20,19),(20,-1),-0.163095 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,7),(7,7),(7,8),0.123894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,7),(7,7),(7,9),0.123346 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,7),(7,7),(7,10),0.163177 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,7),(7,7),(7,11),0.101903 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,7),(7,7),(7,29),0.00356153 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,7),(7,8),(7,9),0.115249 # DEPENDENCYPART_GRANDSIBL
(16,7),(7,8),(7,10),0.119158 # DEPENDENCYPART_GRANDSIBL
(16,7),(7,8),(7,11),0.114325 # DEPENDENCYPART_GRANDSIBL
(16,7),(7,8),(7,29),-0.111979 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,7),(7,9),(7,10),0.118185 # DEPENDENCYPART_GRANDSIBL
(16,7),(7,9),(7,11),0.119112 # DEPENDENCYPART_GRANDSIBL
(16,7),(7,9),(7,29),-0.121584 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,7),(7,10),(7,11),0.432234 # DEPENDENCYPART_GRANDSIBL
(16,7),(7,10),(7,29),-0.0877085 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,7),(7,11),(7,29),-0.117111 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,7),(7,7),(7,6),0.0379145 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,7),(7,7),(7,5),-0.0443668 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,7),(7,7),(7,4),-0.0401999 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,7),(7,7),(7,-1),0.0400442 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,7),(7,6),(7,5),-0.0445315 # DEPENDENCYPART_GRANDSIBL
(16,7),(7,6),(7,4),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(16,7),(7,6),(7,-1),0.0193815 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,7),(7,5),(7,4),-0.0420099 # DEPENDENCYPART_GRANDSIBL
(16,7),(7,5),(7,-1),0.00231865 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,7),(7,4),(7,-1),-0.0868088 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,8),(8,8),(8,29),-0.091128 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,8),(8,8),(8,-1),-0.00625752 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,9),(9,9),(9,11),0.0937901 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,17),-0.155333 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,29),0.00483814 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,9),(9,11),(9,17),-0.124918 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,11),(9,29),-0.157378 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,17),(9,29),-0.175065 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,9),(9,8),0.138961 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,7),-0.0654908 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,6),-0.0208408 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,5),-0.184191 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,4),-0.0615699 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,-1),0.0825013 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,9),(9,8),(9,7),-0.0511051 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,8),(9,6),-0.0267764 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,8),(9,5),0.134081 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,8),(9,4),-0.0458543 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,8),(9,-1),-0.0437632 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,7),(9,6),-0.0395578 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,7),(9,5),-0.0605671 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,7),(9,4),-0.0670388 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,7),(9,-1),-0.0535698 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,6),(9,5),-0.0365721 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,6),(9,4),-0.0424767 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,6),(9,-1),-0.050269 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,5),(9,4),-0.0455689 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,5),(9,-1),0.0013953 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,4),(9,-1),-0.0826409 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,10),(10,11),0.213795 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,12),0.20032 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,13),0.226138 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,14),0.138328 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,15),0.204446 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,16),-0.145575 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,10),(10,10),(10,17),-0.137404 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,18),-0.136584 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,19),-0.125397 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,20),-0.12739 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,21),-0.136584 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,23),-0.125566 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,24),-0.125486 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,26),-0.145575 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,27),-0.136584 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,28),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,29),-0.515856 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,10),(10,11),(10,12),0.0738576 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,11),(10,13),0.117445 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,11),(10,14),0.121905 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,11),(10,15),0.0738576 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,11),(10,16),-0.126474 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,11),(10,17),-0.126924 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,11),(10,18),-0.126881 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,11),(10,19),-0.124886 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,11),(10,20),-0.125542 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,11),(10,21),-0.126881 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,11),(10,23),-0.124886 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,11),(10,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,11),(10,26),-0.126474 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,11),(10,27),-0.126881 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,11),(10,28),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,11),(10,29),0.023639 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,12),(10,13),0.0643808 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,12),(10,14),0.118865 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,12),(10,15),0.160171 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,12),(10,16),-0.130147 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,12),(10,17),-0.127408 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,12),(10,18),-0.127112 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,12),(10,19),-0.124993 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,12),(10,20),-0.127893 # DEPENDENCYPART_GRANDSIBL
