# _root_ We think it is n't such a great burden , that it carries no stigma , and we are prepared to do it . ''
#goldHeads=2,17,4,13,4,9,9,9,4,13,13,13,2,15,13,17,0,19,17,19,22,20,22,17,17,
#predictedHeads=2,17,4,2,4,9,9,9,4,17,13,13,17,15,13,17,0,19,17,19,22,20,22,17,17,
(13,22),(22,17),(22,11),-0.0044838 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,17),(22,10),0.269327 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,17),(22,9),-0.0422963 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,17),(22,-1),-0.207661 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,16),(22,15),0.123015 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,16),(22,13),0.140385 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,16),(22,11),-0.171705 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,16),(22,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,16),(22,9),-0.146784 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,16),(22,-1),-0.119995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,15),(22,13),0.104322 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,15),(22,11),-0.200891 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,15),(22,10),-0.147788 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,15),(22,9),-0.147956 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,15),(22,-1),-0.167357 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,13),(22,11),-0.156037 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,13),(22,10),-0.146214 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,13),(22,9),-0.145197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,13),(22,-1),-0.138013 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,22),(22,11),(22,10),-0.146036 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,11),(22,9),-0.145338 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,11),(22,-1),-0.0784185 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,10),(22,9),-0.146784 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,10),(22,-1),-0.119995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,9),(22,-1),-0.171693 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,24),(24,24),(24,26),-0.00626734 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,24),(24,24),(24,-1),0.0201039 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,25),(25,25),(25,26),-0.0550229 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,25),(25,25),(25,-1),-0.179129 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,15),(15,15),(15,16),-0.0198762 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,17),-0.019805 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,19),-0.0212646 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,20),-0.0194551 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,21),-0.0195026 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,22),-0.0212537 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,26),-0.0483275 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,15),(15,16),(15,17),-0.019596 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,16),(15,19),-0.0194591 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,16),(15,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,16),(15,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,16),(15,22),-0.0194591 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,16),(15,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,16),(15,26),-0.0194465 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,17),(15,19),0.123492 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,17),(15,20),0.12642 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,17),(15,21),0.13735 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,17),(15,22),0.187465 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,17),(15,25),0.0966799 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,17),(15,26),-0.0198752 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,19),(15,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,19),(15,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,19),(15,22),-0.019448 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,19),(15,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,19),(15,26),-0.0214342 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,20),(15,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,20),(15,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,20),(15,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,20),(15,26),-0.0194551 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,21),(15,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,21),(15,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,21),(15,26),-0.0195025 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,22),(15,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,22),(15,26),-0.0214233 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,25),(15,26),-0.019541 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,15),(15,14),0.106165 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,13),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,11),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,-1),-0.170325 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,15),(15,14),(15,13),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,14),(15,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,14),(15,11),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,14),(15,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,14),(15,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,14),(15,-1),-0.148076 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,15),(15,13),(15,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,13),(15,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,13),(15,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,13),(15,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,13),(15,-1),-0.144702 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,12),(15,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,12),(15,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,12),(15,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,12),(15,-1),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,11),(15,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,11),(15,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,11),(15,-1),-0.144892 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,6),(15,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,6),(15,-1),-0.144708 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,2),(15,-1),-0.144702 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,16),(16,16),(16,26),-0.0378089 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,16),(16,16),(16,-1),-0.162027 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,2),(2,2),(2,3),0.110068 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,4),0.137094 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,5),0.196165 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,6),0.0462888 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,7),0.0882056 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,8),0.0464753 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,9),0.129807 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,10),0.114419 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,13),0.137856 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,16),-0.144717 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,17),-0.177529 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,19),-0.193527 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,22),-0.190061 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,24),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,25),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,26),-0.018504 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,2),(2,3),(2,4),0.109116 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,3),(2,5),0.103876 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,3),(2,6),0.116042 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,3),(2,7),0.109358 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,3),(2,8),0.116042 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,3),(2,9),0.103952 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,3),(2,10),0.0938821 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,3),(2,13),0.10912 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,3),(2,16),-0.144769 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,3),(2,17),-0.144742 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,3),(2,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,3),(2,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,3),(2,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,3),(2,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,3),(2,26),0.0105799 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,4),(2,5),0.107773 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,4),(2,6),0.109354 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,4),(2,7),0.109259 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,4),(2,8),0.109354 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,4),(2,9),0.107358 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,4),(2,10),0.114416 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,4),(2,13),0.109439 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,4),(2,16),-0.144702 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,4),(2,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,4),(2,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,4),(2,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,4),(2,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,4),(2,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,4),(2,26),-0.155663 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,5),(2,6),0.107878 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,5),(2,7),0.108152 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,5),(2,8),0.107878 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,5),(2,9),0.109105 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,5),(2,10),0.0984391 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,5),(2,13),0.120287 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,5),(2,16),-0.144814 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,5),(2,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,5),(2,19),-0.144703 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,5),(2,22),-0.144703 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,5),(2,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,5),(2,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,5),(2,26),-0.198026 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,6),(2,7),0.109415 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,6),(2,8),0.108871 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,6),(2,9),0.10863 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,6),(2,10),0.114014 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,6),(2,13),0.109496 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,6),(2,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,6),(2,17),-0.144962 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,6),(2,19),-0.144705 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,6),(2,22),-0.144705 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,6),(2,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,6),(2,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,6),(2,26),-0.226306 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,7),(2,8),0.109525 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,7),(2,9),0.108709 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,7),(2,10),0.114132 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,7),(2,13),0.109468 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,7),(2,16),-0.144726 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,7),(2,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,7),(2,19),-0.144756 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,7),(2,22),-0.144756 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,7),(2,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,7),(2,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,7),(2,26),-0.164013 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,8),(2,9),0.108638 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,8),(2,10),0.114014 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,8),(2,13),0.109496 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,8),(2,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,8),(2,17),-0.144962 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,8),(2,19),-0.144705 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,8),(2,22),-0.144705 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,8),(2,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,8),(2,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,8),(2,26),-0.225547 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,9),(2,10),0.0646626 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,9),(2,13),0.103748 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,9),(2,16),-0.144936 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,9),(2,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,9),(2,19),-0.146174 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,9),(2,22),-0.146174 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,9),(2,24),-0.144704 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,9),(2,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,9),(2,26),-0.0846851 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,10),(2,13),0.123206 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,10),(2,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,10),(2,17),-0.145857 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,10),(2,19),-0.145031 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,10),(2,22),-0.145031 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,10),(2,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,10),(2,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,10),(2,26),-0.208898 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,13),(2,16),-0.144702 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,13),(2,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,13),(2,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,13),(2,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,13),(2,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,13),(2,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,13),(2,26),-0.154755 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,16),(2,17),-0.145857 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,16),(2,19),-0.145031 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,16),(2,22),-0.145031 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,16),(2,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,16),(2,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,16),(2,26),-0.208898 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,17),(2,19),0.0331487 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,17),(2,22),0.0873681 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,17),(2,24),0.00949179 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,17),(2,25),-0.045122 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,17),(2,26),-0.1444 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,19),(2,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,19),(2,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,19),(2,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,19),(2,26),-0.158943 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,22),(2,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,22),(2,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,22),(2,26),-0.155072 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,24),(2,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,2),(2,24),(2,26),-0.145637 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,25),(2,26),-0.169178 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,2),(2,2),(2,1),-0.0359762 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,2),(2,2),(2,-1),0.0549886 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,2),(2,1),(2,-1),-0.056208 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,6),(6,8),0.103327 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,9),0.124344 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,10),0.114846 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,11),0.0986264 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,13),0.128478 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,15),-0.146105 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,17),-0.147163 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,22),-0.153177 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,24),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,26),-0.0147339 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,6),(6,8),(6,9),0.109403 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,8),(6,10),0.107854 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,8),(6,11),0.109538 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,8),(6,13),0.109539 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,8),(6,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,8),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,8),(6,22),-0.144712 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,8),(6,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,8),(6,26),-0.137254 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,9),(6,10),0.109054 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,9),(6,11),0.108644 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,9),(6,13),0.10954 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,9),(6,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,9),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,9),(6,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,9),(6,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,9),(6,26),-0.122996 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,10),(6,11),0.109441 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,10),(6,13),0.109512 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,10),(6,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,10),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,10),(6,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,10),(6,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,10),(6,26),-0.1367 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,11),(6,13),0.109539 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,11),(6,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,11),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,11),(6,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,11),(6,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,11),(6,26),-0.177867 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,13),(6,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,13),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,13),(6,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,13),(6,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,13),(6,26),-0.146541 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,15),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,15),(6,22),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,15),(6,24),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,15),(6,26),-0.123007 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,6),(6,17),(6,22),0.0873681 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,17),(6,24),0.00949179 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,17),(6,26),-0.134013 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,22),(6,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,22),(6,26),-0.146541 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,24),(6,26),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,6),(6,5),-0.0275166 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,3),-0.0290092 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,1),-0.0290092 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,6),(6,6),(6,-1),0.0527195 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,6),(6,5),(6,3),-0.020387 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,5),(6,1),-0.020387 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,5),(6,-1),-0.0221431 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,3),(6,1),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(15,6),(6,3),(6,-1),-0.0289284 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,6),(6,1),(6,-1),-0.0289284 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,11),(11,11),(11,12),0.108601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,11),(11,11),(11,15),-0.161203 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,11),(11,11),(11,25),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,11),(11,11),(11,26),-0.197578 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,11),(11,12),(11,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(15,11),(11,12),(11,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
