# _root_ But , IRS private ruling 8940061 notes , no rule or court case bears directly on the issue of adding land to a principal residence .
#goldHeads=14,7,5,5,7,5,14,7,11,11,14,13,11,0,14,14,18,16,18,19,20,20,25,25,22,14,
#predictedHeads=14,14,5,5,7,7,11,11,10,11,14,11,11,0,14,14,18,16,18,19,20,21,25,25,22,14,
(9,11),(11,9),(11,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,9),(11,3),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,9),(11,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,9),(11,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,9),(11,-1),-0.147255 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,11),(11,8),(11,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,8),(11,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,8),(11,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,8),(11,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,8),(11,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,8),(11,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,8),(11,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,8),(11,-1),-0.145767 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,7),(11,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,7),(11,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,7),(11,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,7),(11,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,7),(11,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,7),(11,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,7),(11,-1),-0.150102 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,6),(11,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,6),(11,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,6),(11,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,6),(11,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,6),(11,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,6),(11,-1),-0.144709 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,5),(11,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,5),(11,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,5),(11,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,5),(11,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,5),(11,-1),-0.150102 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,4),(11,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,4),(11,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,4),(11,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,4),(11,-1),-0.144823 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,3),(11,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,3),(11,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,3),(11,-1),-0.150102 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,2),(11,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,2),(11,-1),-0.145767 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,1),(11,-1),-0.144708 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,2),(2,27),-0.187997 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,2),(2,2),(2,-1),-0.0475604 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,3),(3,3),(3,4),0.0763759 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,5),0.16103 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,6),0.16627 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,7),0.161026 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,8),0.181376 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,10),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,13),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,14),-0.172272 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,16),-0.156057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,27),-0.0196541 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,3),(3,4),(3,5),0.123256 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,6),0.100957 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,7),0.123193 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,8),0.0775511 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,10),-0.144705 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,13),-0.144705 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,14),-0.144706 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,16),-0.144704 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,27),-0.194739 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,5),(3,6),0.1026 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,7),0.0911065 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,8),0.116649 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,10),-0.145195 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,13),-0.145195 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,14),-0.14473 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,16),-0.14479 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,27),-0.174126 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,6),(3,7),0.112073 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,8),0.119758 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,16),-0.144705 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,27),-0.143358 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,7),(3,8),0.116649 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,7),(3,10),-0.145195 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,7),(3,13),-0.145195 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,7),(3,14),-0.14473 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,7),(3,16),-0.14479 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,7),(3,27),-0.17419 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,8),(3,10),-0.14942 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,8),(3,13),-0.14942 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,8),(3,14),-0.146635 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,8),(3,16),-0.14486 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,8),(3,27),-0.0341095 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,10),(3,13),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,10),(3,14),-0.14473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,10),(3,16),-0.14479 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,10),(3,27),-0.174403 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,3),(3,13),(3,14),-0.14473 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,13),(3,16),-0.14479 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,13),(3,27),-0.174142 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,14),(3,16),-0.144703 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,14),(3,27),-0.196696 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,16),(3,27),-0.123296 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,3),(3,2),0.133625 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,1),-0.0361781 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,-1),0.130589 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,3),(3,2),(3,1),-0.023976 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,2),(3,-1),-0.020159 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,1),(3,-1),-0.033382 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,4),(4,5),0.125166 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,6),0.128583 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,7),0.124552 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,8),0.115316 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,27),-0.00815284 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,4),(4,5),(4,6),0.109113 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,5),(4,7),0.10791 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,5),(4,8),0.109054 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,5),(4,27),-0.121726 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,6),(4,7),0.109513 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,6),(4,8),0.109416 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,6),(4,27),-0.129051 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,7),(4,8),0.109054 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,7),(4,27),-0.122216 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,8),(4,27),-0.136689 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,4),(4,3),-0.0144269 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,2),0.0396189 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,1),-0.0282156 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,-1),0.0460794 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,4),(4,3),(4,2),-0.0177368 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,3),(4,1),-0.019548 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,3),(4,-1),0.018474 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,2),(4,1),-0.0194993 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,2),(4,-1),-0.0458211 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,1),(4,-1),-0.0294594 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,5),(5,6),0.166267 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,7),0.160983 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,8),0.181961 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,9),0.0873282 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,10),-0.156051 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,11),-0.151135 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,12),-0.156051 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,13),-0.156051 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,14),-0.172272 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,15),-0.144731 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,16),-0.156057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,18),-0.156051 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,27),-0.021419 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,5),(5,6),(5,7),0.112073 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,8),0.119758 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,9),0.103961 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,15),-0.144704 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,16),-0.144705 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,27),-0.143456 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,7),(5,8),0.116649 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,7),(5,9),0.13333 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,7),(5,10),-0.145195 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,7),(5,11),-0.144705 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,7),(5,12),-0.145202 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,7),(5,13),-0.145195 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,7),(5,14),-0.14473 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,7),(5,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,7),(5,16),-0.14479 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,7),(5,18),-0.145195 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,7),(5,27),-0.174401 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,8),(5,9),0.108781 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,8),(5,10),-0.14942 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,8),(5,11),-0.148963 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,8),(5,12),-0.14942 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,8),(5,13),-0.14942 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,8),(5,14),-0.146635 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,8),(5,15),-0.144748 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,8),(5,16),-0.14486 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,8),(5,18),-0.14942 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,8),(5,27),-0.0334281 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,9),(5,10),-0.144709 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,9),(5,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,9),(5,12),-0.144709 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,9),(5,13),-0.144709 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,9),(5,14),-0.144713 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,9),(5,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,9),(5,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,9),(5,18),-0.144709 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,9),(5,27),-0.14899 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,10),(5,11),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,10),(5,12),-0.145202 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,10),(5,13),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,10),(5,14),-0.14473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,10),(5,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,10),(5,16),-0.14479 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,10),(5,18),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,10),(5,27),-0.174615 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,5),(5,11),(5,12),-0.022161 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,11),(5,13),-0.0526809 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,11),(5,14),0.120227 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,11),(5,15),0.0826783 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,11),(5,16),0.194243 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,11),(5,18),-0.0699966 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,11),(5,27),-0.219527 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,12),(5,13),-0.145195 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,12),(5,14),-0.14473 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,12),(5,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,12),(5,16),-0.14479 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,12),(5,18),-0.145195 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,12),(5,27),-0.17237 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,13),(5,14),-0.14473 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,13),(5,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,13),(5,16),-0.14479 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,13),(5,18),-0.145195 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,13),(5,27),-0.174354 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,14),(5,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,14),(5,16),-0.144703 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,14),(5,18),-0.14472 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,14),(5,27),-0.196696 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,15),(5,16),-0.144703 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,15),(5,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,15),(5,27),-0.126567 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,16),(5,18),-0.14498 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,16),(5,27),-0.123296 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,18),(5,27),-0.174338 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,5),(5,4),-0.0415404 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,3),-0.131975 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,2),0.133904 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,1),-0.0361796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,-1),0.128102 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,5),(5,4),(5,3),-0.0388186 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,4),(5,2),-0.0272133 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,4),(5,1),-0.0198356 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,4),(5,-1),-0.029455 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,3),(5,2),0.00445263 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,3),(5,1),-0.0218819 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,3),(5,-1),0.0259118 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,2),(5,1),-0.0239743 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,2),(5,-1),-0.020159 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,1),(5,-1),-0.0333834 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,6),(6,8),0.121571 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,27),-0.0437407 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,6),(6,8),(6,27),-0.158234 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,6),(6,5),-0.038664 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,4),-0.0600181 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,3),-0.038664 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,-1),0.158558 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,6),(6,5),(6,4),-0.0194548 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,5),(6,3),-0.0195846 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,5),(6,-1),-0.0461498 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,4),(6,3),-0.0194422 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,4),(6,-1),-0.0594627 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,3),(6,-1),-0.0461498 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,7),(7,8),0.182057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,9),0.087328 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,10),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,11),-0.151135 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,12),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,13),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,14),-0.172272 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,15),-0.144731 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,16),-0.156057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,18),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,25),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,26),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,27),-0.0261681 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,7),(7,8),(7,9),0.108781 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,10),-0.14942 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,11),-0.148963 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,12),-0.14942 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,13),-0.14942 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,14),-0.146635 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,15),-0.144748 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,16),-0.14486 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,18),-0.14942 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,25),-0.14942 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,27),-0.0334281 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,9),(7,10),-0.144709 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,12),-0.144709 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,13),-0.144709 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,14),-0.144713 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,18),-0.144709 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,25),-0.144709 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,27),-0.149502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,10),(7,11),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,12),-0.145202 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,13),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,14),-0.14473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,16),-0.14479 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,18),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,25),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,26),-0.144801 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,27),-0.175208 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,7),(7,11),(7,12),-0.022161 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,11),(7,13),-0.0526809 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,11),(7,14),0.120227 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,11),(7,15),0.0826783 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,11),(7,16),0.194243 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,11),(7,18),-0.0699966 # DEPENDENCYPART_GRANDSIBL
