# _root_ But Merrill Lynch , in its statement about pulling out of index arbitrage , suggested that the current debate has missed the mark .
#goldHeads=15,3,15,15,15,7,5,7,8,9,10,13,11,15,0,20,19,19,20,15,20,23,21,15,
#predictedHeads=15,3,15,15,15,7,5,7,8,9,10,13,11,15,0,20,19,19,20,15,20,23,21,15,
(8,9),(9,12),(9,14),-0.0720282 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,12),(9,15),-0.0270766 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,12),(9,16),-0.00740711 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,12),(9,19),-0.0476581 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,12),(9,20),-0.0251136 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,12),(9,21),-0.0270765 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,12),(9,24),-0.0443732 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,12),(9,25),-0.0531483 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,13),(9,14),-0.0720282 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,13),(9,15),-0.0270766 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,13),(9,16),-0.00740899 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,13),(9,19),-0.0476581 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,13),(9,20),-0.0251136 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,13),(9,21),-0.0270765 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,13),(9,24),-0.0443732 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,13),(9,25),-0.0531382 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,14),(9,15),-0.0543966 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,14),(9,16),-0.0621641 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,14),(9,19),-0.0529041 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,14),(9,20),-0.0544793 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,14),(9,21),-0.0543966 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,14),(9,24),-0.0420085 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,14),(9,25),-0.0405342 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,15),(9,16),-0.0499152 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,15),(9,19),-0.0450511 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,15),(9,20),-0.0362346 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,15),(9,21),-0.0362346 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,15),(9,24),-0.0429697 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,15),(9,25),-0.0601068 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,16),(9,19),-0.0472821 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,16),(9,20),-0.0332362 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,16),(9,21),-0.0319404 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,16),(9,24),-0.0424293 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,16),(9,25),-0.0328728 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,19),(9,20),-0.0251136 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,19),(9,21),-0.0270765 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,19),(9,24),-0.0443732 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,19),(9,25),-0.0547546 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,20),(9,21),-0.0362346 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,20),(9,24),-0.0429697 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,20),(9,25),-0.0621276 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,21),(9,24),-0.0429697 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,21),(9,25),-0.0601067 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,24),(9,25),-0.0447628 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,9),(9,8),0.108528 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,9),(9,9),(9,7),-0.130389 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,5),-0.129104 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,-1),-0.180752 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,9),(9,8),(9,7),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,8),(9,5),-0.124886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,8),(9,-1),-0.13483 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,9),(9,7),(9,5),-0.12791 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,7),(9,-1),-0.0932042 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,5),(9,-1),-0.124483 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,10),(10,11),0.0191001 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,12),-0.0464344 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,13),-0.0464344 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,14),-0.022974 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,15),-0.0810896 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,16),-0.00241931 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,20),-0.0811282 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,25),-0.0418186 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,11),(10,12),-0.00801013 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,11),(10,13),-0.00801013 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,11),(10,14),-0.0488314 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,11),(10,15),-0.00572236 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,11),(10,16),-0.0511582 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,11),(10,20),-0.00572312 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,11),(10,25),-0.118299 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,12),(10,13),-0.0425452 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,14),-0.0500814 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,15),-0.0423323 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,16),-0.0467525 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,20),-0.0423323 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,25),0.0177044 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,13),(10,14),-0.0500814 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,15),-0.0423323 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,16),-0.0467525 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,20),-0.0423323 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,25),0.0177044 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,14),(10,15),-0.0467754 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,14),(10,16),-0.042349 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,14),(10,20),-0.0467754 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,14),(10,25),-0.0349001 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,15),(10,16),-0.0422316 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,15),(10,20),-0.0422924 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,15),(10,25),-0.0357542 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,16),(10,20),-0.0184439 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,16),(10,25),-0.113779 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,20),(10,25),-0.035804 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,10),(10,9),0.150255 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,8),0.117698 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,10),(10,7),-0.132354 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,5),-0.127053 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,4),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,3),-0.132354 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,1),-0.126401 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,-1),-0.17212 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,9),(10,8),0.119146 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,9),(10,7),-0.124921 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,3),-0.124921 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,-1),-0.109207 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,8),(10,7),-0.124897 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,5),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,4),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,3),-0.124897 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,1),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,-1),-0.134306 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,7),(10,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,4),-0.124895 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,3),-0.125216 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,-1),-0.063616 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,5),(10,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,5),(10,3),-0.124897 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,5),(10,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,5),(10,-1),-0.13392 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,4),(10,3),-0.125218 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,4),(10,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,4),(10,-1),-0.148947 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,3),(10,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,3),(10,-1),-0.0636165 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,1),(10,-1),-0.113075 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,11),(11,12),-0.140388 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,13),-0.140551 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,14),-0.0444965 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,15),-0.0529296 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,25),0.0973646 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,11),(11,12),(11,13),-0.0403423 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,12),(11,14),-0.0441609 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,12),(11,15),-0.0428612 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,12),(11,25),-0.0802381 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,13),(11,14),-0.0441609 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,13),(11,15),-0.0428612 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,13),(11,25),-0.0803008 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,14),(11,15),-0.0422124 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,14),(11,25),-0.0305583 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,15),(11,25),-0.0578574 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,11),(11,10),0.0926835 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,8),0.114701 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,11),(11,11),(11,7),-0.139212 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,-1),0.0256671 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,11),(11,10),(11,8),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,10),(11,7),-0.12489 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,10),(11,-1),-0.129346 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,8),(11,7),-0.124907 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,8),(11,-1),-0.122727 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,11),(11,7),(11,-1),-0.0997566 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,13),(13,14),-0.0757943 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,15),-0.0531633 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,19),-0.168239 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,20),-0.0593221 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,23),-0.168419 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,24),-0.0688322 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,25),0.099052 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,13),(13,14),(13,15),0.037356 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,19),-0.0784414 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,20),0.0418725 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,23),-0.0784414 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,24),-0.0420212 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,25),-0.066491 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,15),(13,19),-0.044295 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,20),-0.0295335 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,23),-0.044295 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,24),-0.0426243 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,25),-0.083386 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,19),(13,20),-0.0580893 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,19),(13,23),-0.0505612 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,19),(13,24),-0.0457852 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,19),(13,25),-0.116973 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,20),(13,23),-0.0444171 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,20),(13,24),-0.0426293 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,20),(13,25),-0.0788571 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,23),(13,24),-0.0457852 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,23),(13,25),-0.116973 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,24),(13,25),-0.0634498 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,13),(13,12),0.156093 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,11),0.168784 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,10),0.167603 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,9),0.112113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,8),0.151068 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,13),(13,13),(13,6),-0.125024 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,4),-0.1257 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,-1),-0.119418 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,13),(13,12),(13,11),0.116939 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,12),(13,10),0.118447 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,12),(13,9),0.145467 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,12),(13,8),0.124551 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,12),(13,6),-0.125643 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,12),(13,4),-0.124915 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,12),(13,-1),-0.112345 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,11),(13,10),0.125015 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,11),(13,9),0.118669 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,11),(13,8),0.117589 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,11),(13,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,11),(13,4),-0.124893 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,11),(13,-1),-0.10021 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,10),(13,9),0.11883 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,10),(13,8),0.118305 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,10),(13,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,10),(13,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,10),(13,-1),-0.164984 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,9),(13,8),0.11769 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,9),(13,6),-0.125176 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,9),(13,4),-0.124915 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,9),(13,-1),-0.073537 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,8),(13,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,8),(13,4),-0.124893 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,8),(13,-1),-0.107335 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,13),(13,6),(13,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,6),(13,-1),-0.0952287 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,4),(13,-1),-0.140587 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,14),(14,25),-0.0858886 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,14),(14,14),(14,11),0.11904 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,-1),-0.15959 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,14),(14,11),(14,-1),-0.125141 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,15),(15,16),-0.0855099 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,17),-0.0425576 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,18),-0.0316316 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,19),0.0521454 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,20),-0.0456595 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,21),-0.0430344 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,23),0.0535498 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,24),-0.0448079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,25),-0.0379049 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,15),(15,16),(15,17),-0.0419998 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,16),(15,18),-0.0420091 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,16),(15,19),-0.0472821 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,16),(15,20),-0.0332362 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,16),(15,21),-0.0319404 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,16),(15,23),-0.0472821 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,16),(15,24),-0.0424293 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,16),(15,25),-0.0351977 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,17),(15,18),-0.0419995 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,17),(15,19),-0.0368072 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,17),(15,20),-0.0427326 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,17),(15,21),-0.0427326 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,17),(15,23),-0.0368072 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,17),(15,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,17),(15,25),-0.0435744 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,18),(15,19),-0.0460118 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,18),(15,20),-0.0454241 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,18),(15,21),-0.0454241 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,18),(15,23),-0.0460118 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,18),(15,24),-0.0427869 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,18),(15,25),-0.0348464 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,19),(15,20),-0.028436 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,19),(15,21),-0.0303989 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,19),(15,23),-0.0476581 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,19),(15,24),-0.0443732 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,19),(15,25),-0.0532578 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,20),(15,21),-0.0362346 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,20),(15,23),-0.0450511 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,20),(15,24),-0.0429697 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,20),(15,25),-0.0614864 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,21),(15,23),-0.0450511 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,21),(15,24),-0.0429697 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,21),(15,25),-0.0594655 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,23),(15,24),-0.0443732 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,23),(15,25),-0.0516358 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,24),(15,25),-0.0447628 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,15),(15,14),0.104682 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,13),0.154255 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,12),0.154255 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,11),0.108705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,10),0.150464 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,9),0.10437 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,8),0.108528 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,15),(15,15),(15,7),-0.130389 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,5),-0.129104 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,4),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,3),-0.130389 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,2),-0.130389 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,1),-0.12544 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,-1),-0.184886 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,15),(15,14),(15,13),0.0969578 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,14),(15,12),0.0969597 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,14),(15,11),0.119564 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,14),(15,10),0.125899 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,14),(15,9),0.109823 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,14),(15,8),0.119469 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,14),(15,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,14),(15,5),-0.125867 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,14),(15,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,14),(15,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,14),(15,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,14),(15,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,14),(15,-1),-0.142764 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,13),(15,12),0.107723 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,13),(15,11),0.12321 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,13),(15,10),0.118169 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,13),(15,9),0.118701 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,13),(15,8),0.124551 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
