# _root_ UAL , which closed on the Big Board Monday at $ 178.375 a share , traded in the third market afterward as low as $ 158 a share .
#goldHeads=16,1,4,1,4,8,8,5,4,4,12,10,14,12,1,0,16,20,20,17,16,16,22,22,26,24,28,26,16,
#predictedHeads=16,1,4,1,4,9,9,9,5,4,12,10,14,12,1,0,16,20,20,17,16,21,21,23,26,24,28,26,16,
(20,17),(17,22),(17,30),-0.16406 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,17),(17,23),(17,24),-0.144744 # DEPENDENCYPART_GRANDSIBL
(20,17),(17,23),(17,28),-0.144717 # DEPENDENCYPART_GRANDSIBL
(20,17),(17,23),(17,30),-0.169399 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,17),(17,24),(17,28),-0.144702 # DEPENDENCYPART_GRANDSIBL
(20,17),(17,24),(17,30),-0.140257 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,17),(17,28),(17,30),-0.193629 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,17),(17,17),(17,-1),-0.353301 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,18),(18,18),(18,19),0.0995736 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,30),0.114925 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,18),(18,19),(18,30),-0.154664 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,18),(18,18),(18,-1),0.235518 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,19),(19,19),(19,21),-0.144706 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,19),(19,19),(19,22),-0.144706 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,19),(19,19),(19,23),-0.145205 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,19),(19,19),(19,24),-0.149022 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,19),(19,19),(19,30),-0.0267135 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,19),(19,21),(19,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,19),(19,21),(19,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,19),(19,21),(19,24),-0.144702 # DEPENDENCYPART_GRANDSIBL
(20,19),(19,21),(19,30),-0.133156 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,19),(19,22),(19,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,19),(19,22),(19,24),-0.144702 # DEPENDENCYPART_GRANDSIBL
(20,19),(19,22),(19,30),-0.134109 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,19),(19,23),(19,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,19),(19,23),(19,30),-0.137288 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,19),(19,24),(19,30),-0.180782 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,19),(19,19),(19,18),-0.0449654 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,19),(19,19),(19,-1),0.0187977 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,19),(19,18),(19,-1),-0.0513833 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,21),(21,21),(21,22),-0.0249349 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,21),(21,21),(21,23),-0.0225902 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,21),(21,21),(21,24),-0.0251585 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,21),(21,21),(21,25),-0.0154182 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,21),(21,21),(21,26),-0.0251501 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,21),(21,21),(21,28),0.0188145 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,21),(21,21),(21,30),0.00618567 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,21),(21,22),(21,23),-0.0181245 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,22),(21,24),-0.0200628 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,22),(21,25),-0.0196231 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,22),(21,26),-0.020455 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,22),(21,28),-0.0237183 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,22),(21,30),-0.0328734 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,21),(21,23),(21,24),-0.0222397 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,23),(21,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,23),(21,26),-0.0196746 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,23),(21,28),-0.0173047 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,23),(21,30),0.00197514 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,21),(21,24),(21,25),-0.022119 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,24),(21,26),-0.0202566 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,24),(21,28),-0.0343852 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,24),(21,30),-0.0342426 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,21),(21,25),(21,26),-0.0199471 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,25),(21,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,25),(21,30),-0.0241702 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,21),(21,26),(21,28),-0.0201928 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,26),(21,30),-0.0294516 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,21),(21,28),(21,30),-0.0668465 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,21),(21,21),(21,20),0.0982095 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,21),(21,21),(21,19),-0.144714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,21),(21,21),(21,17),-0.144837 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,21),(21,21),(21,-1),-0.244829 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,21),(21,20),(21,19),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,21),(21,20),(21,17),-0.144834 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,21),(21,20),(21,-1),-0.168633 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,21),(21,19),(21,17),-0.144702 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,19),(21,-1),-0.111755 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,21),(21,17),(21,-1),-0.133247 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,22),(22,23),-0.0136799 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,24),-0.0246574 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,25),-0.0117508 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,26),-0.0247891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,28),0.0141378 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,30),-0.0313871 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,22),(22,23),(22,24),-0.0224231 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,23),(22,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,23),(22,26),-0.0196756 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,23),(22,28),-0.0175038 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,23),(22,30),0.011582 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,24),(22,25),-0.0223016 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,24),(22,26),-0.0207868 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,24),(22,28),-0.0373844 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,24),(22,30),-0.0406187 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,25),(22,26),-0.0199645 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,25),(22,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,25),(22,30),-0.0203027 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,26),(22,28),-0.0202523 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,26),(22,30),-0.0282884 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,28),(22,30),-0.0820463 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,22),(22,21),0.0982481 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,20),0.0921127 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,19),-0.144719 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,17),-0.144843 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,-1),-0.29896 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,22),(22,21),(22,20),0.108601 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,21),(22,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,21),(22,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,21),(22,-1),-0.183327 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,20),(22,19),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,20),(22,17),-0.1449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,20),(22,-1),-0.177405 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,22),(22,19),(22,17),-0.144702 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,19),(22,-1),-0.0492817 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,17),(22,-1),-0.133989 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,23),(23,23),(23,24),0.0671619 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,23),(23,26),-0.0333867 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,23),(23,28),-0.0141706 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,23),(23,29),-0.0227206 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,23),(23,30),0.01973 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,23),(23,24),(23,26),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,24),(23,28),-0.0214241 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,24),(23,29),-0.0210195 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,24),(23,30),0.057337 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,23),(23,26),(23,28),-0.0197605 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,26),(23,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,26),(23,30),-0.0300347 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,23),(23,28),(23,29),-0.0194623 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,28),(23,30),0.018066 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,23),(23,29),(23,30),-0.0225426 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,23),(23,23),(23,22),0.122707 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,23),(23,21),0.121182 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,23),(23,20),0.124371 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,23),(23,19),-0.145205 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,23),(23,17),-0.149022 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,23),(23,14),-0.146105 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,23),(23,-1),-0.0268238 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,23),(23,22),(23,21),0.110367 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,22),(23,20),0.108974 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,22),(23,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,22),(23,17),-0.144702 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,22),(23,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,22),(23,-1),-0.127418 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,23),(23,21),(23,20),0.108976 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,21),(23,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,21),(23,17),-0.144702 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,21),(23,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,21),(23,-1),-0.126465 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,23),(23,20),(23,19),-0.144703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,20),(23,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,20),(23,14),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,20),(23,-1),-0.12246 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,23),(23,19),(23,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,19),(23,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,19),(23,-1),-0.137276 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,23),(23,17),(23,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,17),(23,-1),-0.181301 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,23),(23,14),(23,-1),-0.123437 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,24),(24,24),(24,25),0.00967676 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,24),(24,24),(24,26),0.0395215 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,24),(24,24),(24,28),0.0742818 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,24),(24,24),(24,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,24),(24,24),(24,30),-0.368381 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,24),(24,25),(24,26),-0.0222717 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,25),(24,28),-0.0268953 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,25),(24,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,25),(24,30),0.0264114 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,24),(24,26),(24,28),-0.0242342 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,26),(24,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,26),(24,30),0.0060146 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,24),(24,28),(24,29),-0.0194417 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,28),(24,30),-0.000142593 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,24),(24,29),(24,30),-0.0238712 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,24),(24,24),(24,23),0.200533 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,24),(24,24),(24,22),0.125844 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,24),(24,24),(24,21),0.126882 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,24),(24,24),(24,20),0.0334855 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,24),(24,24),(24,-1),-0.178535 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,24),(24,23),(24,22),0.0903639 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,23),(24,21),0.0962251 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,23),(24,20),0.107879 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,23),(24,-1),-0.10704 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,24),(24,22),(24,21),0.106893 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,22),(24,20),0.108802 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,22),(24,-1),-0.177232 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,24),(24,21),(24,20),0.108812 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,21),(24,-1),-0.173688 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,24),(24,20),(24,-1),-0.204881 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,25),(25,25),(25,26),-0.0673324 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,25),(25,25),(25,27),-0.0247918 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,25),(25,25),(25,28),-0.0215983 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,25),(25,25),(25,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,25),(25,25),(25,30),0.0949271 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,25),(25,26),(25,27),-0.019816 # DEPENDENCYPART_GRANDSIBL
(20,25),(25,26),(25,28),-0.015809 # DEPENDENCYPART_GRANDSIBL
(20,25),(25,26),(25,29),-0.0194498 # DEPENDENCYPART_GRANDSIBL
(20,25),(25,26),(25,30),-0.0272621 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,25),(25,27),(25,28),-0.0197067 # DEPENDENCYPART_GRANDSIBL
(20,25),(25,27),(25,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(20,25),(25,27),(25,30),-0.0245433 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,25),(25,28),(25,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(20,25),(25,28),(25,30),-0.029627 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,25),(25,29),(25,30),-0.0194529 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,25),(25,25),(25,24),0.0978876 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,25),(25,25),(25,23),0.172887 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,25),(25,25),(25,22),0.112331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,25),(25,25),(25,21),0.112237 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,25),(25,25),(25,-1),-0.263138 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,25),(25,24),(25,23),0.114768 # DEPENDENCYPART_GRANDSIBL
(20,25),(25,24),(25,22),0.109463 # DEPENDENCYPART_GRANDSIBL
(20,25),(25,24),(25,21),0.109471 # DEPENDENCYPART_GRANDSIBL
(20,25),(25,24),(25,-1),-0.208567 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,25),(25,23),(25,22),0.117675 # DEPENDENCYPART_GRANDSIBL
(20,25),(25,23),(25,21),0.11474 # DEPENDENCYPART_GRANDSIBL
(20,25),(25,23),(25,-1),-0.0768255 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,25),(25,22),(25,21),0.109513 # DEPENDENCYPART_GRANDSIBL
(20,25),(25,22),(25,-1),-0.148895 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,25),(25,21),(25,-1),-0.148981 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,26),(26,26),(26,27),-0.0409813 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,26),(26,26),(26,28),-0.0390777 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,26),(26,26),(26,29),-0.0195287 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,26),(26,26),(26,30),0.160425 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,26),(26,27),(26,28),-0.0198789 # DEPENDENCYPART_GRANDSIBL
(20,26),(26,27),(26,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(20,26),(26,27),(26,30),-0.0571938 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,26),(26,28),(26,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(20,26),(26,28),(26,30),-0.047397 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,26),(26,29),(26,30),-0.0207958 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,26),(26,26),(26,25),0.131562 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,26),(26,26),(26,24),0.0776465 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,26),(26,26),(26,23),0.0976656 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,26),(26,26),(26,-1),-0.0425616 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,26),(26,25),(26,24),0.109489 # DEPENDENCYPART_GRANDSIBL
(20,26),(26,25),(26,23),0.115501 # DEPENDENCYPART_GRANDSIBL
(20,26),(26,25),(26,-1),-0.125245 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,26),(26,24),(26,23),0.109531 # DEPENDENCYPART_GRANDSIBL
(20,26),(26,24),(26,-1),-0.175441 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,26),(26,23),(26,-1),-0.155333 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,28),(28,28),(28,29),0.07569 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,28),(28,28),(28,30),0.171467 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,28),(28,29),(28,30),0.0743554 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,28),(28,28),(28,27),0.130363 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,28),(28,28),(28,26),0.161403 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,28),(28,28),(28,25),0.0931679 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,28),(28,28),(28,23),0.0731548 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,28),(28,28),(28,22),0.0994645 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,28),(28,28),(28,19),-0.147939 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,28),(28,28),(28,18),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,28),(28,28),(28,-1),-0.0102087 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,28),(28,27),(28,26),0.108132 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,27),(28,25),0.107905 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,27),(28,23),0.117394 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,27),(28,22),0.106931 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,27),(28,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,27),(28,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,27),(28,-1),-0.0751474 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,28),(28,26),(28,25),0.105939 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,26),(28,23),0.105313 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,26),(28,22),0.113762 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,26),(28,19),-0.144725 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,26),(28,18),-0.144951 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,26),(28,-1),-0.1485 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,28),(28,25),(28,23),0.108824 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,25),(28,22),0.108468 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,25),(28,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,25),(28,18),-0.144702 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,25),(28,-1),-0.15265 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,28),(28,23),(28,22),0.110593 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,23),(28,19),-0.14473 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,23),(28,18),-0.144709 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,23),(28,-1),-0.194305 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,28),(28,22),(28,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,22),(28,18),-0.145393 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,22),(28,-1),-0.1314 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,28),(28,19),(28,18),-0.144709 # DEPENDENCYPART_GRANDSIBL
(20,28),(28,19),(28,-1),-0.193955 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,28),(28,18),(28,-1),-0.145536 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,29),(29,29),(29,30),0.00122169 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,29),(29,29),(29,28),0.107958 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,29),(29,29),(29,-1),-0.115359 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,29),(29,28),(29,-1),-0.1457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,17),(17,17),(17,18),0.105677 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,17),(17,17),(17,19),0.121313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,17),(17,17),(17,20),0.0781508 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,17),(17,17),(17,21),-0.144714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,17),(17,17),(17,22),-0.144714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,17),(17,17),(17,23),-0.144727 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,17),(17,17),(17,24),-0.144711 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,17),(17,17),(17,28),-0.147303 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,17),(17,17),(17,30),-0.0442725 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,17),(17,18),(17,19),0.10954 # DEPENDENCYPART_GRANDSIBL
(21,17),(17,18),(17,20),0.109539 # DEPENDENCYPART_GRANDSIBL
(21,17),(17,18),(17,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,17),(17,18),(17,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,17),(17,18),(17,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,17),(17,18),(17,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,17),(17,18),(17,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,17),(17,18),(17,30),-0.148323 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,17),(17,19),(17,20),0.109524 # DEPENDENCYPART_GRANDSIBL
(21,17),(17,19),(17,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,17),(17,19),(17,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,17),(17,19),(17,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
