# _root_ They note that he has adorned his office with five photos of George Bush , one of them featuring the First Dog , Millie .
#goldHeads=2,0,5,5,2,5,8,6,6,11,9,11,14,12,11,11,16,17,16,22,22,19,22,22,2,
#predictedHeads=2,0,5,5,2,5,8,6,6,11,9,11,14,12,6,19,16,17,6,22,22,19,22,22,2,
(12,16),(16,21),(16,26),-0.018982 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,22),(16,23),-0.0393579 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,22),(16,24),-0.0463122 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,22),(16,25),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,22),(16,26),-0.0187022 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,23),(16,24),-0.00812711 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,23),(16,25),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,23),(16,26),-0.0468219 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,24),(16,25),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,24),(16,26),-0.0187022 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,25),(16,26),-0.0515603 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,16),(16,15),0.157149 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,14),0.0689965 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,13),0.0689965 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,12),0.11952 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,16),(16,16),(16,9),-0.125129 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,-1),-0.0784474 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,16),(16,15),(16,14),0.147467 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,15),(16,13),0.147467 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,15),(16,12),0.118993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,15),(16,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,15),(16,-1),-0.127107 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,14),(16,13),0.116823 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,14),(16,12),0.118631 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,14),(16,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,14),(16,-1),-0.114658 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,13),(16,12),0.118631 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,13),(16,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,13),(16,-1),-0.114658 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,12),(16,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,12),(16,-1),-0.145225 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,16),(16,9),(16,-1),-0.144423 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,17),(17,18),-0.00400459 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,19),-0.0494528 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,21),-0.164748 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,22),-0.164627 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,23),-0.0450236 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,24),-0.164627 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,26),0.100473 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,17),(17,18),(17,19),-0.0419993 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,18),(17,21),-0.0276671 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,18),(17,22),-0.0276671 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,18),(17,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,18),(17,24),-0.0276671 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,18),(17,26),-0.0255005 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,19),(17,21),-0.0420127 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,19),(17,22),-0.0420127 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,19),(17,23),-0.0420044 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,19),(17,24),-0.0420127 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,19),(17,26),-0.0547374 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,21),(17,22),-0.0423845 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,21),(17,23),-0.0457086 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,21),(17,24),-0.0423845 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,21),(17,26),-0.109869 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,22),(17,23),-0.0457086 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,22),(17,24),-0.0423845 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,22),(17,26),-0.109867 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,23),(17,24),-0.0450862 # DEPENDENCYPART_GRANDSIBL
(12,17),(17,23),(17,26),-0.0318424 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,24),(17,26),-0.109867 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,17),(17,17),(17,16),0.0877721 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,17),(17,17),(17,-1),0.00547408 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,17),(17,16),(17,-1),-0.14574 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,10),(10,11),0.193728 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,12),0.0681141 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,14),-0.127158 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,16),-0.124888 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,17),-0.125946 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,24),-0.127158 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,26),-0.0411541 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,10),(10,11),(10,12),0.11889 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,11),(10,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,11),(10,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,11),(10,17),-0.125049 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,11),(10,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,11),(10,26),-0.05848 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,12),(10,14),-0.124896 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,12),(10,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,12),(10,17),-0.124895 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,12),(10,24),-0.124896 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,12),(10,26),-0.178075 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,14),(10,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,14),(10,17),-0.125049 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,14),(10,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,14),(10,26),-0.05848 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,16),(10,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,16),(10,24),-0.124887 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,16),(10,26),-0.153379 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,17),(10,24),-0.124896 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,17),(10,26),-0.178075 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,24),(10,26),-0.05848 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,10),(10,9),-0.0325816 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,8),-0.0504945 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,-1),0.153926 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,10),(10,9),(10,8),-0.0416049 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,9),(10,-1),-0.0474153 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,8),(10,-1),-0.06119 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,14),(14,15),0.138783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,16),-0.157854 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,17),-0.0214135 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,19),0.0442622 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,21),-0.180097 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,22),-0.17792 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,23),0.138783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,24),-0.177479 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,25),0.0853674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,26),0.0883475 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,14),(14,15),(14,16),-0.0369794 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,15),(14,17),-0.0267764 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,15),(14,19),-0.117144 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,15),(14,21),0.133492 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,15),(14,22),0.134031 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,15),(14,23),-0.0496519 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,15),(14,24),0.134031 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,15),(14,25),-0.0439761 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,15),(14,26),-0.0437622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,16),(14,17),-0.0482423 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,16),(14,19),-0.0427024 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,16),(14,21),-0.0535318 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,16),(14,22),-0.0535318 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,16),(14,23),-0.0358288 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,16),(14,24),-0.0535318 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,16),(14,25),-0.0430845 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,16),(14,26),-0.163768 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,17),(14,19),-0.0361016 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,17),(14,21),-0.0360194 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,17),(14,22),-0.0360075 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,17),(14,23),-0.0956188 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,17),(14,24),-0.0360075 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,17),(14,25),-0.0471799 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,17),(14,26),-0.051337 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,19),(14,21),-0.0484274 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,19),(14,22),-0.0484081 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,19),(14,23),-0.0559389 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,19),(14,24),-0.0484081 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,19),(14,25),-0.0421587 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,19),(14,26),-0.0119554 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,21),(14,22),-0.0163251 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,21),(14,23),-0.051758 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,21),(14,24),-0.0163251 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,21),(14,25),-0.0383559 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,21),(14,26),0.0290395 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,22),(14,23),-0.0517423 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,22),(14,24),-0.0142446 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,22),(14,25),-0.0383559 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,22),(14,26),0.0091081 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,23),(14,24),0.134031 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,23),(14,25),-0.0439761 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,23),(14,26),-0.0437622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,24),(14,25),-0.0383559 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,24),(14,26),0.0091081 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,25),(14,26),0.0957852 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,14),(14,13),0.150078 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,14),(14,14),(14,12),-0.150131 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,11),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,10),-0.125914 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,8),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,7),-0.126597 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,-1),0.0168574 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,14),(14,13),(14,12),-0.12504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,13),(14,11),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,13),(14,10),-0.125238 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,13),(14,8),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,13),(14,7),-0.124892 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,13),(14,-1),-0.14246 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,14),(14,12),(14,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,12),(14,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,12),(14,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,12),(14,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,12),(14,-1),-0.068462 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,11),(14,10),-0.125238 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,11),(14,8),-0.125449 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,11),(14,7),-0.124892 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,11),(14,-1),-0.142241 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,10),(14,8),-0.12492 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,10),(14,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,10),(14,-1),-0.1256 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,8),(14,7),-0.124892 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,8),(14,-1),-0.142892 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,7),(14,-1),-0.125871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,16),(16,17),-0.0207966 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,19),-0.0507962 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,21),-0.0544103 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,22),-0.0536113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,23),-0.0638481 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,24),-0.0536113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,25),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,26),0.163621 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,16),(16,17),(16,19),-0.0513349 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,17),(16,21),-0.0415588 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,17),(16,22),-0.0415587 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,17),(16,23),-0.0453524 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,17),(16,24),-0.0415587 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,17),(16,25),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,17),(16,26),-0.0389117 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,19),(16,21),-0.041999 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,19),(16,22),-0.041999 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,19),(16,23),-0.0416532 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,19),(16,24),-0.041999 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,19),(16,25),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,19),(16,26),-0.0639423 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,21),(16,22),-0.0428603 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,21),(16,23),-0.0440645 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,21),(16,24),-0.0428603 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,21),(16,25),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,21),(16,26),-0.0656512 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,22),(16,23),-0.0440645 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,22),(16,24),-0.0428603 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,22),(16,25),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,22),(16,26),-0.0646971 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,23),(16,24),-0.0611698 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,23),(16,25),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,23),(16,26),-0.0415116 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,24),(16,25),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,24),(16,26),-0.0646971 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,25),(16,26),-0.0419988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,16),(16,15),0.127469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,14),0.192102 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,13),0.192102 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,16),(16,16),(16,12),-0.1263 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,9),-0.125946 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,-1),-0.00500612 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,16),(16,15),(16,14),0.145685 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,15),(16,13),0.145685 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,15),(16,12),-0.124886 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,15),(16,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,15),(16,-1),-0.150654 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,14),(16,13),0.121771 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,14),(16,12),-0.125049 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,14),(16,9),-0.125049 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,14),(16,-1),-0.0604925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,13),(16,12),-0.125049 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,13),(16,9),-0.125049 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,13),(16,-1),-0.0604925 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,16),(16,12),(16,9),-0.124895 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,12),(16,-1),-0.185678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,9),(16,-1),-0.171575 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,17),(17,18),-0.00405272 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,19),-0.0363151 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,21),0.092189 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,22),0.0974648 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,23),-0.0822877 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,24),0.0974682 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,26),-0.417469 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,17),(17,18),(17,19),-0.0422352 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,18),(17,21),-0.0396698 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,18),(17,22),-0.0396698 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,18),(17,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,18),(17,24),-0.0396698 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,18),(17,26),-0.00444137 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,19),(17,21),-0.0464506 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,19),(17,22),-0.0464506 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,19),(17,23),-0.0458147 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,19),(17,24),-0.0464506 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,19),(17,26),-0.0162642 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,21),(17,22),-0.086421 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,21),(17,23),-0.0228811 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,21),(17,24),-0.086421 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,21),(17,26),0.039076 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,22),(17,23),-0.0228811 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,22),(17,24),-0.0862074 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,22),(17,26),0.0441679 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,23),(17,24),-0.0621476 # DEPENDENCYPART_GRANDSIBL
(13,17),(17,23),(17,26),-0.0289964 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,24),(17,26),0.0441713 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,17),(17,17),(17,16),0.0102051 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,17),(17,17),(17,-1),0.0159609 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,17),(17,16),(17,-1),-0.0720166 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,22),(22,23),0.138783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,24),-0.183085 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,25),0.0853674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,26),0.0964976 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,22),(22,23),(22,24),0.134031 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,23),(22,25),-0.0439761 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,23),(22,26),-0.0437622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,24),(22,25),-0.0383559 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,24),(22,26),0.00219361 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,25),(22,26),0.0957852 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,22),(22,21),0.151472 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,20),0.111859 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,19),0.125568 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,18),0.122051 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,-1),0.0193843 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,22),(22,21),(22,20),0.133564 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,21),(22,19),0.114142 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,21),(22,18),0.123822 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,21),(22,-1),-0.145809 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,20),(22,19),0.118431 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,20),(22,18),0.118896 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,20),(22,-1),-0.163756 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,19),(22,18),0.11884 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,19),(22,-1),-0.174108 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,18),(22,-1),-0.123625 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,7),(7,26),-0.02675 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
