# _root_ Mr. Ferguson , who is 68 years old , fled the U.S. in 1970 after exhausting his appeals of a 1968 conviction on conspiracy to murder .
#goldHeads=2,10,2,5,2,7,8,5,2,0,12,10,10,13,10,15,18,16,18,22,22,19,22,23,24,25,10,
#predictedHeads=2,10,2,5,2,7,8,5,2,0,12,10,10,13,10,15,18,16,18,22,22,19,22,23,24,25,10,
(8,10),(10,22),(10,28),-0.0962905 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,23),(10,25),-0.0513686 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,23),(10,27),-0.0429701 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,23),(10,28),-0.0490238 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,25),(10,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,25),(10,28),-0.0708821 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,27),(10,28),-0.0456856 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,10),(10,9),0.103139 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,8),0.121862 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,10),(10,7),-0.128713 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,6),-0.124886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,5),-0.127047 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,4),-0.125328 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,3),-0.124886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,2),-0.128713 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,1),-0.128713 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,-1),-0.222788 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,9),(10,8),0.116361 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,9),(10,7),-0.124889 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,5),-0.125714 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,4),-0.124903 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,2),-0.124889 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,1),-0.124889 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,-1),-0.141521 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,8),(10,7),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,5),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,4),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,3),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,1),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,-1),-0.12194 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,7),(10,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,5),-0.124889 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,-1),-0.118583 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,6),(10,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,6),(10,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,6),(10,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,6),(10,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,6),(10,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,6),(10,-1),-0.127846 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,5),(10,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,5),(10,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,5),(10,2),-0.124886 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,5),(10,1),-0.124886 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,5),(10,-1),-0.135481 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,4),(10,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,4),(10,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,4),(10,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,4),(10,-1),-0.0874109 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,3),(10,2),-0.124889 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,3),(10,1),-0.124889 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,3),(10,-1),-0.141521 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,2),(10,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,2),(10,-1),-0.118576 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,1),(10,-1),-0.11858 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,12),(12,13),-0.0463966 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,14),-0.00954652 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,15),-0.0394225 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,16),-0.0588219 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,18),-0.028519 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,19),-0.0372858 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,23),-0.0348782 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,27),-0.0431687 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,28),-0.0831119 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,12),(12,13),(12,14),-0.0420338 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,15),-0.0417561 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,16),-0.0384582 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,18),-0.0425344 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,19),-0.0418497 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,23),-0.0423461 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,27),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,28),-0.0507468 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,14),(12,15),-0.0436007 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,16),-0.042956 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,18),-0.0445618 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,19),-0.043744 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,23),-0.0438376 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,28),0.000222394 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,15),(12,16),-0.038457 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,15),(12,18),-0.0425272 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,15),(12,19),-0.0404811 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,15),(12,23),-0.0409775 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,15),(12,27),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,15),(12,28),-0.0459806 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,16),(12,18),-0.0430076 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,16),(12,19),-0.0423301 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,16),(12,23),-0.042296 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,16),(12,27),-0.0420906 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,16),(12,28),-0.0418217 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,18),(12,19),-0.039484 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,18),(12,23),-0.0394682 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,18),(12,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,18),(12,28),-0.0496877 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,19),(12,23),-0.0392289 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,19),(12,27),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,19),(12,28),-0.0487019 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,23),(12,27),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,23),(12,28),-0.042318 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,27),(12,28),-0.0432854 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,12),(12,11),0.0811483 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,9),0.103277 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,8),0.0997112 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,12),(12,12),(12,4),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,2),-0.125903 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,-1),-0.0575288 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,12),(12,11),(12,9),0.119154 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,11),(12,8),0.119141 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,11),(12,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,11),(12,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,11),(12,-1),-0.140577 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,9),(12,8),0.118745 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,9),(12,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,9),(12,2),-0.125994 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,9),(12,-1),-0.130115 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,8),(12,4),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,8),(12,2),-0.124891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,8),(12,-1),-0.150879 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,12),(12,4),(12,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,4),(12,-1),-0.125577 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,2),(12,-1),-0.154472 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,13),(13,14),-0.0374733 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,15),-0.0147876 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,16),0.0040742 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,18),-0.0412423 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,19),-0.021749 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,25),-0.0395851 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,28),-0.16328 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,13),(13,14),(13,15),-0.0472909 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,16),-0.0423479 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,18),-0.0459972 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,19),-0.0474123 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,25),-0.0403354 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,28),-0.0336525 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,15),(13,16),-0.0433223 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,18),-0.0417358 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,19),-0.0424145 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,25),-0.0439742 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,28),-0.0602795 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,16),(13,18),-0.0422184 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,16),(13,19),-0.0421935 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,16),(13,25),-0.0420108 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,16),(13,28),-0.00184909 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,18),(13,19),-0.0656603 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,18),(13,25),-0.052299 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,18),(13,28),0.000795726 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,19),(13,25),-0.0439742 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,19),(13,28),-0.0767066 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,25),(13,28),-0.0405906 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,13),(13,11),0.108437 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,4),-0.108919 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,-1),-0.0706487 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,13),(13,11),(13,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,11),(13,-1),-0.129847 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,4),(13,-1),-0.100926 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,15),(15,16),-0.0100396 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,18),-0.0248791 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,19),-0.0202158 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,21),-0.0535365 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,22),-0.0248791 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,25),-0.0395734 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,28),-0.153996 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,15),(15,16),(15,18),-0.0422101 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,16),(15,19),-0.0421316 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,16),(15,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,16),(15,22),-0.0422101 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,16),(15,25),-0.0420108 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,16),(15,28),-0.015847 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,18),(15,19),-0.065437 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,18),(15,21),-0.042176 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,18),(15,22),-0.0426318 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,18),(15,25),-0.0522868 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,18),(15,28),0.0166559 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,19),(15,21),-0.0420049 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,19),(15,22),-0.0397188 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,19),(15,25),-0.0438848 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,19),(15,28),-0.075079 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,21),(15,22),-0.0459972 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,21),(15,25),-0.0403231 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,21),(15,28),-0.0500108 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,22),(15,25),-0.0522868 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,22),(15,28),0.0166559 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,25),(15,28),-0.0404771 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,15),(15,14),0.111749 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,13),0.141847 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,-1),-0.0470793 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,15),(15,14),(15,13),0.1191 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,14),(15,-1),-0.1209 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,13),(15,-1),-0.104313 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,16),(16,17),-0.03806 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,18),-0.024847 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,19),-0.0652245 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,20),-0.0363648 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,21),-0.0452833 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,22),-0.024847 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,23),-0.066394 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,24),-0.024847 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,25),-0.0888614 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,26),-0.024847 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,28),0.120615 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,16),(16,17),(16,18),-0.0444407 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,19),-0.042819 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,22),-0.0444407 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,23),-0.0394124 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,24),-0.0444407 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,25),-0.0442414 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,26),-0.0444407 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,27),-0.0419992 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,28),-0.037189 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,18),(16,19),-0.0380352 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,20),-0.0422356 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,21),-0.0420407 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,22),-0.051324 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,23),-0.0344556 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,24),-0.051324 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,25),-0.0205644 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,26),-0.051324 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,27),-0.0437079 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,28),-0.0962905 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,19),(16,20),-0.041999 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,19),(16,21),-0.0420023 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,19),(16,22),-0.0438557 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,19),(16,23),-0.0338053 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,19),(16,24),-0.0438557 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,19),(16,25),-0.0543365 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,19),(16,26),-0.0438557 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,19),(16,27),-0.0429802 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,19),(16,28),-0.0489461 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,20),(16,21),-0.0419992 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,20),(16,22),-0.0430773 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,20),(16,23),-0.0425275 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,20),(16,24),-0.0430773 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,20),(16,25),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,20),(16,26),-0.0430773 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,20),(16,27),-0.0421183 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,20),(16,28),-0.0313406 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,21),(16,22),-0.0420054 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,21),(16,23),-0.0419023 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,21),(16,24),-0.0420054 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,21),(16,25),-0.0423632 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,21),(16,26),-0.0420054 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,21),(16,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,21),(16,28),-0.0471634 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,22),(16,23),-0.0344556 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,22),(16,24),-0.051324 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,22),(16,25),-0.0205644 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,22),(16,26),-0.051324 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,22),(16,27),-0.0437079 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,22),(16,28),-0.0962905 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,23),(16,24),-0.041205 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,23),(16,25),-0.0513686 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,23),(16,26),-0.041205 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,23),(16,27),-0.0429701 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,23),(16,28),-0.0490238 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,24),(16,25),-0.0205644 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,24),(16,26),-0.051324 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,24),(16,27),-0.0437079 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,24),(16,28),-0.0962905 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,25),(16,26),-0.0486338 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,25),(16,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,25),(16,28),-0.0708821 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,26),(16,27),-0.0437079 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,26),(16,28),-0.0962905 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,27),(16,28),-0.0456856 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,16),(16,15),0.133611 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,14),0.115396 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,13),0.1297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,10),0.114976 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,4),-0.125328 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,-1),-0.222788 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,16),(16,15),(16,14),0.119156 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,13),0.117248 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,10),0.118918 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,-1),-0.0453298 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,14),(16,13),0.118762 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,10),0.119164 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,-1),-0.127846 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,13),(16,10),0.118918 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,13),(16,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,13),(16,-1),-0.0533266 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,10),(16,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,10),(16,-1),-0.135008 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,4),(16,-1),-0.0874109 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,1),(1,2),0.0379653 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,3),0.037929 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
