# _root_ Avon also said it will issue an additional 243,677 of the Class C warrants to holders of its Class A , Class B and unclassified warrants .
#goldHeads=3,3,0,5,3,5,9,9,6,9,14,14,14,10,6,15,16,26,24,24,24,24,24,26,24,17,3,
#predictedHeads=3,3,0,5,3,5,9,9,6,9,14,14,14,10,6,15,16,19,24,23,24,23,24,17,26,24,3,
(16,14),(14,17),(14,21),-0.124893 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,17),(14,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,17),(14,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,17),(14,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,17),(14,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,17),(14,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,17),(14,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,17),(14,28),-0.06148 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,19),(14,20),-0.125509 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,19),(14,21),-0.126785 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,19),(14,22),-0.125449 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,19),(14,23),-0.125449 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,19),(14,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,19),(14,25),-0.125126 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,19),(14,26),-0.125449 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,19),(14,27),-0.125194 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,19),(14,28),-0.143925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,20),(14,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,20),(14,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,20),(14,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,20),(14,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,20),(14,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,20),(14,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,20),(14,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,20),(14,28),-0.103193 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,21),(14,22),-0.129532 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,21),(14,23),-0.129532 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,21),(14,24),-0.131545 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,21),(14,25),-0.12731 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,21),(14,26),-0.129532 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,21),(14,27),-0.124886 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,21),(14,28),-0.0039378 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,22),(14,23),-0.125449 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,22),(14,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,22),(14,25),-0.125126 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,22),(14,26),-0.125449 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,22),(14,27),-0.125194 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,22),(14,28),-0.143925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,23),(14,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,23),(14,25),-0.125126 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,23),(14,26),-0.125449 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,23),(14,27),-0.125194 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,23),(14,28),-0.143156 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,24),(14,25),0.165478 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,24),(14,26),-0.119911 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,24),(14,27),0.0866044 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,24),(14,28),-0.217966 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,25),(14,26),-0.124914 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,25),(14,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,25),(14,28),-0.159741 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,26),(14,27),-0.125194 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,26),(14,28),-0.143139 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,27),(14,28),-0.144995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,14),(14,13),-0.185366 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,12),-0.186938 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,11),-0.0399499 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,10),-0.0216512 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,9),-0.140165 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,8),-0.0661517 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,7),-0.0647592 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,2),-0.0719026 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,-1),0.105042 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,14),(14,13),(14,12),-0.0138342 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,13),(14,11),-0.0143692 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,13),(14,10),-0.03703 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,13),(14,9),-0.0469336 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,13),(14,8),-0.0479565 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,13),(14,7),-0.0360636 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,13),(14,2),-0.0370397 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,13),(14,-1),0.000508837 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,12),(14,11),-0.0146249 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,12),(14,10),-0.03703 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,12),(14,9),-0.0469336 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,12),(14,8),-0.0481176 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,12),(14,7),-0.0363193 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,12),(14,2),-0.0370397 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,12),(14,-1),-0.000646322 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,11),(14,10),-0.0445346 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,11),(14,9),-0.0444868 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,11),(14,8),-0.03936 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,11),(14,7),-0.0440462 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,11),(14,2),-0.0552322 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,11),(14,-1),-0.00998975 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,10),(14,9),-0.0426649 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,10),(14,8),-0.0387517 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,10),(14,7),-0.0424519 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,10),(14,2),-0.0426268 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,10),(14,-1),-0.051616 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,9),(14,8),-0.0438857 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,9),(14,7),-0.043978 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,9),(14,2),-0.0431948 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,9),(14,-1),-0.141386 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,8),(14,7),-0.0481906 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,8),(14,2),-0.0479308 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,8),(14,-1),-0.0525962 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,7),(14,2),-0.0512032 # DEPENDENCYPART_GRANDSIBL
(16,14),(14,7),(14,-1),-0.056515 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,2),(14,-1),-0.0821778 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,15),(15,15),(15,16),-0.129927 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,15),(15,15),(15,17),-0.124947 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,15),(15,19),-0.129927 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,15),(15,23),-0.129927 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,15),(15,24),-0.140101 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,15),(15,28),-0.0625034 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,15),(15,16),(15,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,16),(15,19),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,16),(15,23),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,16),(15,24),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,16),(15,28),-0.159646 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,15),(15,17),(15,19),-0.124887 # DEPENDENCYPART_GRANDSIBL
(16,15),(15,17),(15,23),-0.124887 # DEPENDENCYPART_GRANDSIBL
(16,15),(15,17),(15,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,15),(15,17),(15,28),-0.131836 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,15),(15,19),(15,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,15),(15,19),(15,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,15),(15,19),(15,28),-0.159646 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,15),(15,23),(15,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,15),(15,23),(15,28),-0.159646 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,15),(15,24),(15,28),-0.140163 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,15),(15,15),(15,14),0.0265386 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,15),(15,-1),-0.22816 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,15),(15,14),(15,-1),0.0345241 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,17),(17,18),-0.021185 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,19),0.100624 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,22),0.100624 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,23),0.0989778 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,24),0.031412 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,25),-0.0339276 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,26),0.102599 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,28),-0.418027 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,17),(17,18),(17,19),-0.0396764 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,18),(17,22),-0.0396764 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,18),(17,23),-0.0396764 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,18),(17,24),-0.0393919 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,18),(17,25),-0.0420118 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,18),(17,26),-0.0396764 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,18),(17,28),-0.0196488 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,19),(17,22),-0.0874043 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,19),(17,23),-0.0874035 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,19),(17,24),-0.0665496 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,19),(17,25),-0.0448103 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,19),(17,26),-0.0874035 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,19),(17,28),0.0474478 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,22),(17,23),-0.0874035 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,22),(17,24),-0.0665496 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,22),(17,25),-0.0448103 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,22),(17,26),-0.0874035 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,22),(17,28),0.0474478 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,23),(17,24),-0.0665496 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,23),(17,25),-0.0448103 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,23),(17,26),-0.0874028 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,23),(17,28),0.0458023 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,24),(17,25),0.252556 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,24),(17,26),-0.0648583 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,24),(17,28),0.00878687 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,25),(17,26),-0.0439844 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,25),(17,28),-0.015554 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,26),(17,28),0.0495135 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,17),(17,16),0.0589827 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,17),(17,17),(17,15),-0.134684 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,14),-0.145803 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,-1),0.0141999 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,17),(17,16),(17,15),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,16),(17,14),-0.125348 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,16),(17,-1),-0.14411 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,17),(17,15),(17,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,15),(17,-1),-0.154272 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,14),(17,-1),-0.144092 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,19),(19,20),-0.0661577 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,21),0.138666 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,22),-0.18695 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,23),-0.185387 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,24),-0.0502687 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,25),-0.0549759 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,26),-0.185377 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,28),0.108933 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,19),(19,20),(19,21),-0.0447155 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,20),(19,22),-0.0357307 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,20),(19,23),-0.0357307 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,20),(19,24),-0.041999 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,20),(19,25),-0.033932 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,20),(19,26),-0.0357307 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,20),(19,28),-0.0793536 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,21),(19,22),0.133914 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,21),(19,23),0.133864 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,21),(19,24),-0.0665987 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,21),(19,25),-0.0511051 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,21),(19,26),0.133914 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,21),(19,28),-0.0437622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,22),(19,23),-0.0138342 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,22),(19,24),-0.0427057 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,22),(19,25),-0.0481176 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,22),(19,26),-0.0138342 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,22),(19,28),-0.000639251 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,23),(19,24),-0.0427057 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,23),(19,25),-0.0479565 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,23),(19,26),-0.0138342 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,23),(19,28),0.000507184 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,24),(19,25),0.25186 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,24),(19,26),-0.0319361 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,24),(19,28),-0.0336997 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,25),(19,26),-0.0605472 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,25),(19,28),-0.0480219 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,26),(19,28),0.000516836 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,19),(19,18),0.131098 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,17),0.271939 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,16),0.152105 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,19),(19,19),(19,15),-0.124912 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,14),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,12),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,11),-0.125504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,7),-0.125504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,19),(19,-1),0.037701 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,19),(19,18),(19,17),0.117894 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,18),(19,16),0.121574 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,18),(19,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,18),(19,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,18),(19,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,18),(19,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,18),(19,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,18),(19,-1),-0.120085 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,17),(19,16),0.117679 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,17),(19,15),-0.126155 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,17),(19,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,17),(19,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,17),(19,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,17),(19,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,17),(19,-1),-0.053907 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,16),(19,15),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,16),(19,14),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,16),(19,12),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,16),(19,11),-0.12581 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,16),(19,7),-0.125411 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,19),(19,16),(19,-1),-0.143137 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,19),(19,15),(19,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,15),(19,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,15),(19,11),-0.124886 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,15),(19,7),-0.124886 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,15),(19,-1),-0.0910461 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,14),(19,12),-0.125449 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,14),(19,11),-0.12581 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,14),(19,7),-0.125411 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,14),(19,-1),-0.143137 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,12),(19,11),-0.12581 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,12),(19,7),-0.125411 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,12),(19,-1),-0.143923 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,11),(19,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,19),(19,11),(19,-1),-0.16527 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,19),(19,7),(19,-1),-0.135634 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,20),(20,21),-0.0440764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,20),(20,22),-0.0453215 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,20),(20,28),0.174777 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,20),(20,21),(20,22),-0.042 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,21),(20,28),-0.0301611 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,22),(20,28),-0.0446538 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,20),(20,-1),0.126313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,21),(21,21),(21,28),-0.00327675 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,21),(21,21),(21,-1),-0.0881389 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,22),(22,22),(22,23),-0.185387 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,22),(22,22),(22,25),-0.0549759 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,22),(22,22),(22,26),-0.185377 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,22),(22,22),(22,28),0.108933 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,22),(22,23),(22,25),-0.0479565 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,23),(22,26),-0.0138342 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,23),(22,28),0.000507184 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,22),(22,25),(22,26),-0.0605472 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,25),(22,28),-0.0480219 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,22),(22,26),(22,28),0.000516836 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,22),(22,22),(22,20),0.142639 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,22),(22,22),(22,18),0.131098 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,22),(22,22),(22,-1),0.037701 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,22),(22,20),(22,18),0.11858 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,20),(22,-1),-0.103192 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,22),(22,18),(22,-1),-0.120085 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,23),(23,23),(23,25),-0.0656802 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,23),(23,23),(23,26),-0.186384 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,23),(23,23),(23,28),0.118225 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,23),(23,25),(23,26),-0.0605472 # DEPENDENCYPART_GRANDSIBL
(16,23),(23,25),(23,28),-0.0512962 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,23),(23,26),(23,28),-0.00164777 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,23),(23,23),(23,22),0.154184 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,23),(23,23),(23,20),0.142638 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,23),(23,23),(23,19),0.154184 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,23),(23,23),(23,18),0.131098 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,23),(23,23),(23,-1),0.0357642 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,23),(23,22),(23,20),0.175201 # DEPENDENCYPART_GRANDSIBL
(16,23),(23,22),(23,19),0.109871 # DEPENDENCYPART_GRANDSIBL
(16,23),(23,22),(23,18),0.116493 # DEPENDENCYPART_GRANDSIBL
(16,23),(23,22),(23,-1),-0.14501 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,23),(23,20),(23,19),0.133848 # DEPENDENCYPART_GRANDSIBL
(16,23),(23,20),(23,18),0.11858 # DEPENDENCYPART_GRANDSIBL
(16,23),(23,20),(23,-1),-0.103194 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,23),(23,19),(23,18),0.116493 # DEPENDENCYPART_GRANDSIBL
(16,23),(23,19),(23,-1),-0.14501 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,23),(23,18),(23,-1),-0.12008 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,24),(24,24),(24,25),0.112705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,24),(24,24),(24,26),-0.0685647 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
