# _root_ In addition , corporations are now shouldering a bigger share of the tax burden , as the authors of the 1986 law hoped .
#goldHeads=5,1,5,5,0,5,5,10,10,7,10,14,14,11,7,23,18,23,18,22,22,19,7,5,
#predictedHeads=5,1,5,5,0,5,5,10,10,7,10,14,14,11,7,23,18,23,18,22,22,19,7,5,
(18,23),(23,22),(23,14),-0.124895 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,22),(23,13),-0.124895 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,22),(23,11),-0.126236 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,22),(23,10),-0.124895 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,22),(23,9),-0.12492 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,22),(23,7),-0.125221 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,22),(23,6),-0.125333 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,22),(23,5),-0.125241 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,22),(23,4),-0.124895 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,22),(23,3),-0.125057 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,22),(23,2),-0.124895 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,22),(23,1),-0.1268 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,22),(23,-1),-0.0346782 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,23),(23,21),(23,20),0.119148 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,21),(23,19),0.115232 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,21),(23,18),0.117834 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,23),(23,21),(23,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,21),(23,16),-0.124944 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,21),(23,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,21),(23,14),-0.124935 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,21),(23,13),-0.124935 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,21),(23,11),-0.124944 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,21),(23,10),-0.124935 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,21),(23,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,21),(23,7),-0.125062 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,21),(23,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,21),(23,5),-0.125062 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,21),(23,4),-0.124935 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,21),(23,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,21),(23,2),-0.124935 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,21),(23,1),-0.124944 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,21),(23,-1),-0.186393 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,23),(23,20),(23,19),0.112961 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,20),(23,18),0.118719 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,23),(23,20),(23,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,20),(23,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,20),(23,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,20),(23,14),-0.124886 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,20),(23,13),-0.124886 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,20),(23,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,20),(23,10),-0.124886 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,20),(23,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,20),(23,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,20),(23,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,20),(23,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,20),(23,4),-0.124886 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,20),(23,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,20),(23,2),-0.124886 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,20),(23,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,20),(23,-1),-0.134194 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,23),(23,19),(23,18),0.109497 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,23),(23,19),(23,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,19),(23,16),-0.124899 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,19),(23,15),-0.124887 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,19),(23,14),-0.125218 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,19),(23,13),-0.125218 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,19),(23,11),-0.124899 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,19),(23,10),-0.125218 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,19),(23,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,19),(23,7),-0.124989 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,19),(23,6),-0.125183 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,19),(23,5),-0.125007 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,19),(23,4),-0.125218 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,19),(23,3),-0.124887 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,19),(23,2),-0.125218 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,19),(23,1),-0.124906 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,19),(23,-1),-0.154384 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,23),(23,18),(23,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,23),(23,18),(23,16),-0.126237 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,23),(23,18),(23,15),-0.125057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,23),(23,18),(23,14),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,23),(23,18),(23,13),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,23),(23,18),(23,11),-0.126236 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,23),(23,18),(23,10),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,23),(23,18),(23,9),-0.12492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,23),(23,18),(23,7),-0.125221 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,23),(23,18),(23,6),-0.125333 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,23),(23,18),(23,5),-0.125241 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,23),(23,18),(23,4),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,23),(23,18),(23,3),-0.125057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,23),(23,18),(23,2),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,23),(23,18),(23,1),-0.1268 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,23),(23,18),(23,-1),-0.0300211 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,23),(23,17),(23,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,17),(23,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,17),(23,14),-0.124886 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,17),(23,13),-0.124886 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,17),(23,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,17),(23,10),-0.124886 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,17),(23,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,17),(23,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,17),(23,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,17),(23,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,17),(23,4),-0.124886 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,17),(23,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,17),(23,2),-0.124886 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,17),(23,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,17),(23,-1),-0.134194 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,23),(23,16),(23,15),-0.124887 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,16),(23,14),-0.125063 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,16),(23,13),-0.125063 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,16),(23,11),-0.124896 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,16),(23,10),-0.125063 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,16),(23,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,16),(23,7),-0.124989 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,16),(23,6),-0.125183 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,16),(23,5),-0.125007 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,16),(23,4),-0.125063 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,16),(23,3),-0.124887 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,16),(23,2),-0.125063 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,16),(23,1),-0.124902 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,16),(23,-1),-0.1683 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,23),(23,15),(23,14),-0.125259 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,15),(23,13),-0.125259 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,15),(23,11),-0.125719 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,15),(23,10),-0.125259 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,15),(23,9),-0.124971 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,15),(23,7),-0.127089 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,15),(23,6),-0.12495 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,15),(23,5),-0.127089 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,15),(23,4),-0.125259 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,15),(23,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,15),(23,2),-0.125259 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,15),(23,1),-0.125601 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,15),(23,-1),-0.188082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,23),(23,14),(23,13),-0.124895 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,14),(23,11),-0.126236 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,14),(23,10),-0.124895 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,14),(23,9),-0.12492 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,14),(23,7),-0.125221 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,14),(23,6),-0.125333 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,14),(23,5),-0.125241 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,14),(23,4),-0.124895 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,14),(23,3),-0.125057 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,14),(23,2),-0.124895 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,14),(23,1),-0.1268 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,14),(23,-1),-0.0300673 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,23),(23,13),(23,11),-0.126236 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,13),(23,10),-0.124895 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,13),(23,9),-0.12492 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,13),(23,7),-0.125221 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,13),(23,6),-0.125333 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,13),(23,5),-0.125241 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,13),(23,4),-0.124895 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,13),(23,3),-0.125057 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,13),(23,2),-0.124895 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,13),(23,1),-0.1268 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,13),(23,-1),-0.0321714 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,23),(23,11),(23,10),-0.125218 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,11),(23,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,11),(23,7),-0.124989 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,11),(23,6),-0.125183 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,11),(23,5),-0.125007 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,11),(23,4),-0.125218 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,11),(23,3),-0.124887 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,11),(23,2),-0.125218 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,11),(23,1),-0.124906 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,11),(23,-1),-0.154384 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,23),(23,10),(23,9),-0.12492 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,10),(23,7),-0.125221 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,10),(23,6),-0.125333 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,10),(23,5),-0.125242 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,10),(23,4),-0.124895 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,10),(23,3),-0.125057 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,10),(23,2),-0.124895 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,10),(23,1),-0.1268 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,10),(23,-1),-0.0308556 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,23),(23,9),(23,7),-0.125064 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,9),(23,6),-0.124996 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,9),(23,5),-0.125064 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,9),(23,4),-0.124907 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,9),(23,3),-0.12494 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,9),(23,2),-0.124907 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,9),(23,1),-0.125905 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,9),(23,-1),-0.20362 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,23),(23,7),(23,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,7),(23,5),-0.124921 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,7),(23,4),-0.124893 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,7),(23,3),-0.124926 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,7),(23,2),-0.124893 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,7),(23,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,7),(23,-1),-0.146226 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,23),(23,6),(23,5),-0.124896 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,6),(23,4),-0.125091 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,6),(23,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,6),(23,2),-0.125091 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,6),(23,1),-0.124946 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,6),(23,-1),-0.209019 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,23),(23,5),(23,4),-0.124893 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,5),(23,3),-0.124926 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,5),(23,2),-0.124893 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,5),(23,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,5),(23,-1),-0.147702 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,23),(23,4),(23,3),-0.125057 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,4),(23,2),-0.124895 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,4),(23,1),-0.1268 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,4),(23,-1),-0.0301395 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,23),(23,3),(23,2),-0.125259 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,3),(23,1),-0.125601 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,3),(23,-1),-0.188082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,23),(23,2),(23,1),-0.1268 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,2),(23,-1),-0.0299999 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,23),(23,1),(23,-1),-0.184502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,24),(24,24),(24,25),-0.00516409 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,24),(24,24),(24,-1),-0.0509466 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,14),(14,14),(14,15),-0.0156163 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,14),(14,14),(14,16),0.177589 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,14),(14,14),(14,18),0.187525 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,14),(14,14),(14,19),-0.13919 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,14),(14,14),(14,21),-0.125006 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,14),(14,14),(14,22),-0.133894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,14),(14,14),(14,23),-0.134705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,14),(14,14),(14,24),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,14),(14,14),(14,25),-0.0901727 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,14),(14,15),(14,16),0.1307 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,15),(14,18),0.0184678 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,15),(14,19),-0.125422 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,14),(14,15),(14,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,15),(14,22),-0.124947 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,15),(14,23),-0.125882 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,15),(14,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,15),(14,25),-0.140871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,14),(14,16),(14,18),0.109463 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,16),(14,19),-0.124886 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,14),(14,16),(14,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,16),(14,22),-0.12499 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,16),(14,23),-0.124904 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,16),(14,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,16),(14,25),-0.112037 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,14),(14,18),(14,19),-0.126412 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,14),(14,18),(14,21),-0.125328 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,18),(14,22),-0.127863 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,18),(14,23),-0.125244 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,18),(14,24),-0.124886 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,18),(14,25),-0.0767712 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,14),(14,19),(14,21),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,14),(14,19),(14,22),-0.124995 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,14),(14,19),(14,23),-0.124906 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,14),(14,19),(14,24),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,14),(14,19),(14,25),-0.102084 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,14),(14,21),(14,22),-0.124886 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,21),(14,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,21),(14,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,21),(14,25),-0.175826 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,14),(14,22),(14,23),-0.125244 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,22),(14,24),-0.124886 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,22),(14,25),-0.0779989 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,14),(14,23),(14,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,23),(14,25),-0.0965732 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,14),(14,24),(14,25),-0.124886 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,14),(14,14),(14,13),-0.198572 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,14),(14,14),(14,12),-0.0100029 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,14),(14,14),(14,11),-0.132044 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,14),(14,14),(14,10),-0.200783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,14),(14,14),(14,9),-0.0156345 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,14),(14,14),(14,8),0.0229082 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,14),(14,14),(14,5),-0.0577342 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,14),(14,14),(14,3),-0.0906154 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,14),(14,14),(14,-1),0.255551 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,14),(14,13),(14,12),-0.0436692 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,13),(14,11),-0.0318661 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,13),(14,10),-0.0507869 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,13),(14,9),-0.0476922 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,13),(14,8),-0.0430191 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,13),(14,5),-0.0720309 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,13),(14,3),-0.0770969 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,13),(14,-1),-0.0939409 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,14),(14,12),(14,11),-0.0397288 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,12),(14,10),-0.0428538 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,12),(14,9),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,12),(14,8),-0.0420093 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,12),(14,5),-0.042546 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,12),(14,3),-0.0446649 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,12),(14,-1),-0.04336 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,14),(14,11),(14,10),-0.0752626 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,11),(14,9),-0.0449632 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,11),(14,8),-0.0462788 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,11),(14,5),-0.00793123 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,11),(14,3),0.0152796 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,11),(14,-1),-0.0678396 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,14),(14,10),(14,9),-0.0476922 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,10),(14,8),-0.0430191 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,10),(14,5),-0.0725985 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,10),(14,3),-0.0696344 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,10),(14,-1),-0.104251 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,14),(14,9),(14,8),-0.0418004 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,9),(14,5),-0.03698 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,9),(14,3),0.00576992 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,9),(14,-1),-0.0614213 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,14),(14,8),(14,5),-0.042546 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,8),(14,3),-0.0410896 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,8),(14,-1),-0.00367247 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,14),(14,5),(14,3),0.00695636 # DEPENDENCYPART_GRANDSIBL
(19,14),(14,5),(14,-1),-0.106391 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,14),(14,3),(14,-1),-0.0615791 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,17),(17,17),(17,19),-0.12492 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,17),(17,17),(17,25),-0.158723 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,17),(17,19),(17,25),-0.128909 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,17),(17,17),(17,16),-0.0333173 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,17),(17,-1),-0.0740481 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,17),(17,16),(17,-1),-0.0383177 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,18),(18,18),(18,19),-0.13919 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,18),(18,18),(18,20),-0.132954 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,18),(18,18),(18,21),-0.125006 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,18),(18,18),(18,22),-0.133894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,18),(18,18),(18,23),-0.134705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,18),(18,18),(18,24),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,18),(18,18),(18,25),-0.0901727 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
