# _root_ Beyond the advertisements , the syndicator is planning a traveling arena show , new TV specials for CBS and even an exhibit at the Smithsonian Institute .
#goldHeads=7,3,1,7,6,7,0,7,12,12,12,19,19,16,16,19,16,17,8,22,22,19,22,26,26,23,7,
#predictedHeads=7,3,1,7,6,7,0,7,12,12,12,8,12,16,16,19,16,17,12,22,22,19,22,26,26,23,7,
(12,8),(8,17),(8,18),-0.125064 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,17),(8,19),-0.124896 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,17),(8,20),-0.125183 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,17),(8,22),-0.125064 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,17),(8,23),-0.124895 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,17),(8,27),-0.124968 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,17),(8,28),-0.144249 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,8),(8,18),(8,19),-0.125032 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,18),(8,20),-0.125333 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,18),(8,22),-0.124895 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,18),(8,23),-0.126245 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,18),(8,27),-0.124886 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,18),(8,28),-0.0202916 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,8),(8,19),(8,20),0.0812448 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,19),(8,22),-0.166708 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,19),(8,23),0.265956 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,19),(8,27),0.0408126 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,19),(8,28),-0.129516 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,8),(8,20),(8,22),-0.125074 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,20),(8,23),-0.124946 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,20),(8,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,20),(8,28),-0.220706 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,8),(8,22),(8,23),-0.126245 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,22),(8,27),-0.124886 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,22),(8,28),-0.0237869 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,8),(8,23),(8,27),-0.124968 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,23),(8,28),-0.176724 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,8),(8,27),(8,28),-0.127823 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,8),(8,8),(8,7),-0.0345116 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,8),(8,8),(8,6),-0.0162316 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,8),(8,8),(8,4),-0.072346 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,8),(8,8),(8,3),-0.0162316 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,8),(8,8),(8,1),-0.034292 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,8),(8,8),(8,-1),0.0743182 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,8),(8,7),(8,6),-0.0476838 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,7),(8,4),-0.0337695 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,7),(8,3),-0.0476838 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,7),(8,1),-0.0475752 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,7),(8,-1),-0.0854131 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,8),(8,6),(8,4),-0.0635221 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,6),(8,3),-0.03438 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,6),(8,1),0.000907138 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,6),(8,-1),-0.0472902 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,8),(8,4),(8,3),-0.0364016 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,4),(8,1),-0.0633357 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,4),(8,-1),-0.0892933 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,8),(8,3),(8,1),0.000907138 # DEPENDENCYPART_GRANDSIBL
(12,8),(8,3),(8,-1),-0.0472902 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,8),(8,1),(8,-1),-0.006263 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,9),(9,10),0.131237 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,28),0.142789 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,9),(9,10),(9,28),-0.116034 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,9),(9,-1),0.192614 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,10),(10,10),(10,11),0.190519 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,12),-0.175297 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,10),(10,10),(10,13),-0.12509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,14),-0.130851 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,15),-0.175297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,16),-0.175297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,17),-0.15502 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,19),-0.162741 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,20),-0.135796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,22),-0.175297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,23),-0.156002 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,27),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,28),0.0485826 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,10),(10,11),(10,12),-0.124895 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,11),(10,13),-0.125057 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,11),(10,14),-0.12492 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,11),(10,15),-0.124895 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,11),(10,16),-0.124895 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,11),(10,17),-0.126336 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,11),(10,19),-0.125032 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,11),(10,20),-0.125333 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,11),(10,22),-0.124895 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,11),(10,23),-0.126245 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,11),(10,27),-0.124886 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,11),(10,28),-0.0236703 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,12),(10,13),-0.125057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,12),(10,14),-0.12492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,12),(10,15),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,12),(10,16),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,12),(10,17),-0.126336 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,12),(10,19),-0.125032 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,12),(10,20),-0.125333 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,12),(10,22),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,12),(10,23),-0.126245 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,12),(10,27),-0.124886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,12),(10,28),-0.023919 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,10),(10,13),(10,14),-0.124971 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,13),(10,15),-0.125259 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,13),(10,16),-0.125259 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,13),(10,17),-0.12576 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,13),(10,19),-0.124954 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,13),(10,20),-0.12495 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,13),(10,22),-0.125259 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,13),(10,23),-0.125601 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,13),(10,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,13),(10,28),-0.184376 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,14),(10,15),-0.124907 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,14),(10,16),-0.124907 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,14),(10,17),-0.125435 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,14),(10,19),-0.124908 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,14),(10,20),-0.124996 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,14),(10,22),-0.124907 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,14),(10,23),-0.125435 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,14),(10,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,14),(10,28),-0.197744 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,15),(10,16),-0.124895 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,15),(10,17),-0.126336 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,15),(10,19),-0.125032 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,15),(10,20),-0.125333 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,15),(10,22),-0.124895 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,15),(10,23),-0.126245 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,15),(10,27),-0.124886 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,15),(10,28),-0.0240206 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,16),(10,17),-0.126336 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,16),(10,19),-0.125032 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,16),(10,20),-0.125333 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,16),(10,22),-0.124895 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,16),(10,23),-0.126245 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,16),(10,27),-0.124886 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,16),(10,28),-0.0236703 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,17),(10,19),-0.124896 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,17),(10,20),-0.125183 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,17),(10,22),-0.125064 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,17),(10,23),-0.124895 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,17),(10,27),-0.124968 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,17),(10,28),-0.144249 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,19),(10,20),0.0812448 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,19),(10,22),-0.166708 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,19),(10,23),0.265956 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,19),(10,27),0.0408126 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,19),(10,28),-0.129516 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,20),(10,22),-0.125074 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,20),(10,23),-0.124946 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,20),(10,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,20),(10,28),-0.220706 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,22),(10,23),-0.126245 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,22),(10,27),-0.124886 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,22),(10,28),-0.0238027 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,23),(10,27),-0.124968 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,23),(10,28),-0.176724 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,27),(10,28),-0.127823 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,10),(10,9),-0.0364424 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,7),-0.034508 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,6),-0.0160633 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,1),-0.0284438 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,10),(10,10),(10,-1),0.068635 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,10),(10,9),(10,7),-0.0389933 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,9),(10,6),-0.0441228 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,9),(10,1),-0.0518691 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,9),(10,-1),-0.0316335 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,7),(10,6),-0.0476838 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,7),(10,1),-0.0475752 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,7),(10,-1),-0.0854839 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,6),(10,1),0.000907138 # DEPENDENCYPART_GRANDSIBL
(12,10),(10,6),(10,-1),-0.0471605 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,1),(10,-1),-0.000340389 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,11),(11,11),(11,12),-0.141317 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,11),(11,11),(11,16),-0.141316 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,17),-0.144137 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,28),0.0260591 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,11),(11,12),(11,16),-0.125451 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,12),(11,17),-0.125035 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,12),(11,28),-0.146939 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,11),(11,16),(11,17),-0.125035 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,16),(11,28),-0.148438 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,11),(11,17),(11,28),-0.0843159 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,11),(11,11),(11,10),0.0439524 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,9),-0.0667479 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,7),0.0502476 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,6),-0.189938 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,11),(11,11),(11,-1),0.106247 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,11),(11,10),(11,9),-0.0333635 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,10),(11,7),-0.0450603 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,10),(11,6),-0.0484081 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,10),(11,-1),-0.0179449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,11),(11,9),(11,7),-0.042046 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,9),(11,6),-0.0357307 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,9),(11,-1),-0.0863514 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,11),(11,7),(11,6),-0.0484271 # DEPENDENCYPART_GRANDSIBL
(12,11),(11,7),(11,-1),-0.0166282 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,11),(11,6),(11,-1),-0.00461221 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,13),(13,13),(13,28),-0.0188528 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,13),(13,13),(13,-1),-0.1037 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,14),(14,14),(14,15),-0.0443454 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,17),0.0515613 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,18),-0.0443454 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,28),0.0719069 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,14),(14,15),(14,17),-0.0489728 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,15),(14,18),-0.0178255 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,15),(14,28),0.00241483 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,14),(14,17),(14,18),-0.0442926 # DEPENDENCYPART_GRANDSIBL
(12,14),(14,17),(14,28),0.0415323 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,14),(14,18),(14,28),0.00241629 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,14),(14,14),(14,13),0.123889 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,14),(14,14),(14,12),0.122781 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,14),(14,14),(14,-1),0.0419577 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,14),(14,13),(14,12),0.115248 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,14),(14,13),(14,-1),-0.11246 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,14),(14,12),(14,-1),-0.122142 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,15),(15,15),(15,16),-0.190131 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,15),(15,15),(15,17),-0.031875 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,15),(15,15),(15,18),-0.190649 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,15),(15,15),(15,28),0.112612 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,15),(15,16),(15,17),-0.0328327 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,16),(15,18),-0.0135935 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,16),(15,28),-0.00481093 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,15),(15,17),(15,18),-0.0427128 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,17),(15,28),-0.0737839 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,15),(15,18),(15,28),-0.0051858 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,15),(15,15),(15,14),0.0872359 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,15),(15,15),(15,13),0.168725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,15),(15,15),(15,12),0.147531 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,15),(15,15),(15,10),-0.15429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,15),(15,15),(15,9),-0.125504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,15),(15,15),(15,-1),0.0315557 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,15),(15,14),(15,13),0.0903844 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,14),(15,12),0.128096 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,15),(15,14),(15,10),-0.124918 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,14),(15,9),-0.124895 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,14),(15,-1),-0.139025 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,15),(15,13),(15,12),0.11157 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,15),(15,13),(15,10),-0.127054 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,13),(15,9),-0.124899 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,13),(15,-1),-0.00118972 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,15),(15,12),(15,10),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,15),(15,12),(15,9),-0.125509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,15),(15,12),(15,-1),-0.147025 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,15),(15,10),(15,9),-0.124981 # DEPENDENCYPART_GRANDSIBL
(12,15),(15,10),(15,-1),-0.174223 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,15),(15,9),(15,-1),-0.104442 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,16),(16,17),-0.031875 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,18),-0.190456 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,19),-0.0497468 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,20),-0.0754086 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,22),-0.189938 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,23),-0.0288229 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,25),-0.189938 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,26),-0.19039 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,27),0.0853674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,28),0.106247 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,16),(16,17),(16,18),-0.0427128 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,17),(16,19),-0.0345558 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,17),(16,20),-0.0425586 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,17),(16,22),-0.0427128 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,17),(16,23),-0.0230646 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,17),(16,25),-0.0427128 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,17),(16,26),-0.0427131 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,17),(16,27),-0.0454444 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,17),(16,28),-0.0737829 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,18),(16,19),-0.0427057 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,18),(16,20),-0.0377413 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,18),(16,22),-0.0135284 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,18),(16,23),-0.0272698 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,18),(16,25),-0.0135284 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,18),(16,26),-0.0135285 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,18),(16,27),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,18),(16,28),-0.00498708 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,19),(16,20),0.164059 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,19),(16,22),-0.0787789 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,19),(16,23),0.353255 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,19),(16,25),-0.122072 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,19),(16,26),-0.156092 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,19),(16,27),0.123684 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,19),(16,28),-0.0363888 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,20),(16,22),-0.043893 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,20),(16,23),-0.0513347 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,20),(16,25),-0.043893 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,20),(16,26),-0.043893 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,20),(16,27),-0.0425367 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,20),(16,28),-0.0873497 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,22),(16,23),-0.0272698 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,22),(16,25),-0.0135284 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,22),(16,26),-0.0135285 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,22),(16,27),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,22),(16,28),-0.00461221 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,23),(16,25),-0.0425514 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,23),(16,26),-0.0425517 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,23),(16,27),-0.0454722 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,23),(16,28),-0.0508482 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,25),(16,26),-0.0135285 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,25),(16,27),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,25),(16,28),-0.00461221 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,26),(16,27),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(12,16),(16,26),(16,28),-0.00481888 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,27),(16,28),0.0957853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,16),(16,16),(16,15),0.143985 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,14),0.0872526 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,13),0.168882 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,12),0.147532 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,16),(16,16),(16,11),-0.141316 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,10),-0.15429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,16),(16,16),(16,9),-0.125504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
