# _root_ Back when the Burgess fauna were flourishing , it seems , human evolutionary hopes hung on the survival of a little worm with a backbone called Pikaia .
#goldHeads=15,7,5,5,6,1,6,10,10,15,10,14,14,15,0,15,18,16,18,22,22,19,22,25,23,22,26,15,
#predictedHeads=6,7,5,5,6,0,6,10,10,15,10,14,14,15,7,15,18,16,18,22,22,19,22,25,23,25,26,6,
(10,15),(15,20),(15,22),-0.0474513 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,20),(15,23),-0.0330477 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,20),(15,25),-0.0474513 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,20),(15,26),-0.0495042 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,20),(15,27),-0.0474513 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,20),(15,28),-0.0428512 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,20),(15,29),-0.0494213 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,21),(15,22),-0.0686966 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,21),(15,23),-0.0216138 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,21),(15,25),-0.0686966 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,21),(15,26),-0.0670753 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,21),(15,27),-0.0686966 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,21),(15,28),-0.0363898 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,21),(15,29),-0.0429574 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,22),(15,23),-0.0355641 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,22),(15,25),-0.00580901 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,22),(15,26),-0.0881145 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,22),(15,27),-0.00580901 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,22),(15,28),-0.0372999 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,22),(15,29),-0.0751734 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,23),(15,25),-0.0189763 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,23),(15,26),-0.0561745 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,23),(15,27),-0.0189763 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,23),(15,28),-0.0501945 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,23),(15,29),-0.0421541 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,25),(15,26),-0.0881145 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,25),(15,27),-0.00580901 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,25),(15,28),-0.0372999 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,25),(15,29),-0.0751734 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,26),(15,27),-0.0673733 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,26),(15,28),-0.0276303 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,26),(15,29),-0.0926589 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,27),(15,28),-0.0372999 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,27),(15,29),-0.0751734 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,28),(15,29),-0.055015 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,15),(15,14),0.17113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,15),(15,13),0.112127 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,15),(15,12),0.112122 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,15),(15,11),0.0873007 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,15),(15,10),0.115947 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,15),(15,15),(15,9),-0.134134 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,15),(15,8),-0.124905 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,15),(15,7),-0.106802 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,15),(15,6),-0.106809 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,15),(15,5),-0.178143 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,15),(15,4),-0.178143 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,15),(15,2),0.149387 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,15),(15,1),-0.129753 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,15),(15,-1),-0.249997 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,15),(15,14),(15,13),0.108109 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,14),(15,12),0.108104 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,14),(15,11),0.121922 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,14),(15,10),0.113381 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,14),(15,9),-0.125109 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,14),(15,8),-0.127738 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,14),(15,7),-0.12319 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,14),(15,6),-0.123193 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,14),(15,5),-0.128004 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,14),(15,4),-0.128004 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,14),(15,2),-0.171239 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,14),(15,1),-0.125042 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,14),(15,-1),-0.119398 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,13),(15,12),0.116639 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,13),(15,11),0.126218 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,13),(15,10),0.106109 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,13),(15,9),-0.125183 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,13),(15,8),-0.12509 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,13),(15,7),-0.125626 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,13),(15,6),-0.125626 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,13),(15,5),-0.124888 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,13),(15,4),-0.124888 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,13),(15,2),-0.125383 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,13),(15,1),-0.124888 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,13),(15,-1),-0.129193 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,12),(15,11),0.126218 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,12),(15,10),0.106109 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,12),(15,9),-0.125183 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,12),(15,8),-0.12509 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,12),(15,7),-0.125626 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,12),(15,6),-0.125626 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,12),(15,5),-0.124888 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,12),(15,4),-0.124888 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,12),(15,2),-0.125383 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,12),(15,1),-0.124888 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,12),(15,-1),-0.129203 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,11),(15,10),0.163587 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,11),(15,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,11),(15,8),-0.12504 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,11),(15,7),-0.149349 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,11),(15,6),-0.149535 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,11),(15,5),-0.126165 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,11),(15,4),-0.126165 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,11),(15,2),-0.131553 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,11),(15,1),-0.125122 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,11),(15,-1),-0.121146 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,10),(15,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,10),(15,8),-0.127366 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,10),(15,7),-0.125109 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,10),(15,6),-0.125109 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,10),(15,5),-0.125469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,10),(15,4),-0.125469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,10),(15,2),-0.129749 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,10),(15,1),-0.125193 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,10),(15,-1),-0.121342 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,15),(15,9),(15,8),-0.126326 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,9),(15,7),-0.126076 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,9),(15,6),-0.126076 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,9),(15,5),-0.125821 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,9),(15,4),-0.125821 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,9),(15,2),-0.155737 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,9),(15,1),-0.125287 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,9),(15,-1),-0.157726 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,8),(15,7),-0.149349 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,8),(15,6),-0.149535 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,8),(15,5),-0.126165 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,8),(15,4),-0.126165 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,8),(15,2),-0.131553 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,8),(15,1),-0.125122 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,8),(15,-1),-0.121146 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,7),(15,6),-0.125109 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,7),(15,5),-0.125469 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,7),(15,4),-0.125469 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,7),(15,2),-0.129749 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,7),(15,1),-0.125193 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,7),(15,-1),-0.121296 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,6),(15,5),-0.125469 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,6),(15,4),-0.125469 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,6),(15,2),-0.129749 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,6),(15,1),-0.125193 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,6),(15,-1),-0.128116 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,5),(15,4),-0.128004 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,5),(15,2),-0.171239 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,5),(15,1),-0.125042 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,5),(15,-1),-0.119332 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,4),(15,2),-0.171239 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,4),(15,1),-0.125042 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,4),(15,-1),-0.119332 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,2),(15,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,2),(15,-1),0.00576146 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,1),(15,-1),-0.105706 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,16),(16,17),-0.0216023 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,18),0.0317128 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,19),0.0122579 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,21),-0.049581 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,22),0.0333889 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,23),-0.0726481 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,25),0.0355432 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,28),-0.0473928 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,29),-0.122012 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,16),(16,17),(16,18),-0.0476247 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,17),(16,19),-0.0526464 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,17),(16,21),-0.0434965 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,17),(16,22),-0.0476247 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,17),(16,23),-0.0482748 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,17),(16,25),-0.0476247 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,17),(16,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,17),(16,29),-0.00085707 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,18),(16,19),-0.0318528 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,18),(16,21),-0.030515 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,18),(16,22),-0.0875606 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,18),(16,23),-0.00559501 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,18),(16,25),-0.0875606 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,18),(16,28),-0.0420097 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,18),(16,29),0.065155 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,19),(16,21),-0.042298 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,19),(16,22),0.0648248 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,19),(16,23),-0.034149 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,19),(16,25),0.0648248 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,19),(16,28),-0.0420201 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,19),(16,29),-0.122085 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,21),(16,22),-0.0493481 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,21),(16,23),-0.0432464 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,21),(16,25),-0.0493481 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,21),(16,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,21),(16,29),0.0171837 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,22),(16,23),-0.00559501 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,22),(16,25),-0.0875606 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,22),(16,28),-0.0420097 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,22),(16,29),0.066831 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,23),(16,25),0.0050277 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,23),(16,28),-0.0420201 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,23),(16,29),-0.1326 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,25),(16,28),-0.0420097 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,25),(16,29),0.0689853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,28),(16,29),-0.0474405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,16),(16,14),0.121467 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,-1),0.0228111 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,16),(16,14),(16,-1),-0.156073 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,18),(18,19),-0.101639 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,20),-0.145736 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,21),-0.0645032 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,22),0.00787671 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,23),-0.111403 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,24),-0.145736 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,25),0.00787671 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,26),-0.0118843 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,27),0.00787671 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,28),-0.0190753 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,29),0.0577111 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,18),(18,19),(18,20),-0.0492468 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,19),(18,21),-0.0423101 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,19),(18,22),-0.0602657 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,19),(18,23),-0.0219942 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,19),(18,24),-0.0492468 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,19),(18,25),-0.0602657 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,19),(18,26),-0.0706297 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,19),(18,27),-0.0602657 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,19),(18,28),-0.0443275 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,19),(18,29),-0.0372532 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,20),(18,21),-0.0713787 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,20),(18,22),-0.0571614 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,20),(18,23),-0.0305809 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,20),(18,24),-0.0393743 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,20),(18,25),-0.0571614 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,20),(18,26),-0.0457172 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,20),(18,27),-0.0571614 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,20),(18,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,20),(18,29),0.00500989 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,21),(18,22),-0.0222055 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,21),(18,23),-0.0541152 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,21),(18,24),0.0108994 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,21),(18,25),-0.0222055 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,21),(18,26),-0.0468311 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,21),(18,27),-0.0222055 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,21),(18,28),-0.0420081 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,21),(18,29),-0.0535918 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,22),(18,23),-0.0647659 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,22),(18,24),-0.0714177 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,22),(18,25),-0.0416679 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,22),(18,26),-0.0119212 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,22),(18,27),-0.0416679 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,22),(18,28),-0.0396058 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,22),(18,29),-0.0218142 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,23),(18,24),-0.0493191 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,23),(18,25),-0.0715775 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,23),(18,26),-0.064762 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,23),(18,27),-0.0715775 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,23),(18,28),-0.0440558 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,23),(18,29),-0.0488487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,24),(18,25),-0.0571614 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,24),(18,26),-0.0457172 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,24),(18,27),-0.0571614 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,24),(18,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,24),(18,29),0.00500989 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,25),(18,26),-0.0119212 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,25),(18,27),-0.0416679 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,25),(18,28),-0.0396058 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,25),(18,29),-0.0218142 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,26),(18,27),-0.0606754 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,26),(18,28),-0.0434198 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,26),(18,29),-0.0660848 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,27),(18,28),-0.0396058 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,27),(18,29),-0.0218142 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,28),(18,29),-0.0468059 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,18),(18,17),0.107589 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,16),0.152988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,13),0.137775 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,12),0.136977 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,-1),-0.162773 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,18),(18,17),(18,16),0.148971 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,17),(18,13),0.107345 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,17),(18,12),0.107345 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,17),(18,-1),-0.215238 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,16),(18,13),0.09616 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,16),(18,12),0.09616 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,16),(18,-1),0.0166396 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,13),(18,12),0.11939 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,13),(18,-1),-0.0574702 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,12),(18,-1),-0.0583381 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,23),(23,23),(23,24),-0.0346927 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,23),(23,23),(23,25),0.0265495 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,23),(23,23),(23,26),0.0570853 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,23),(23,23),(23,27),0.0243952 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,23),(23,23),(23,29),-0.163083 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,23),(23,24),(23,25),-0.0471394 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,24),(23,26),-0.0425372 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,24),(23,27),-0.0471394 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,24),(23,29),-0.0105889 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,23),(23,25),(23,26),-0.0563334 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,25),(23,27),-0.0884925 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,25),(23,29),0.084315 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,23),(23,26),(23,27),-0.0487648 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,26),(23,29),-0.0270568 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,23),(23,27),(23,29),0.0821607 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,23),(23,23),(23,22),0.0777192 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,23),(23,23),(23,21),0.0984167 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,23),(23,23),(23,-1),0.0626708 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,23),(23,22),(23,21),0.113501 # DEPENDENCYPART_GRANDSIBL
(10,23),(23,22),(23,-1),-0.2132 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,23),(23,21),(23,-1),-0.123722 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,28),(28,28),(28,29),-0.0394981 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,28),(28,28),(28,27),0.0808899 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,28),(28,28),(28,-1),-0.005653 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,28),(28,27),(28,-1),-0.159121 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,8),(8,8),(8,29),-0.173067 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,8),(8,8),(8,-1),-0.0874016 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,9),(9,9),(9,10),0.119086 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,15),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,29),-0.185048 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,9),(9,10),(9,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
