# _root_ `` There was a roll of laughter through the stands , '' says Joe Sukle , the editor of the weekly Press and Journal in Middletown .
#goldHeads=13,3,13,5,3,5,6,5,10,8,13,13,0,15,13,15,18,15,18,23,23,23,19,23,23,25,13,
#predictedHeads=13,3,13,5,3,5,6,3,10,8,13,13,0,15,13,15,18,15,18,23,23,23,19,23,23,25,13,
(10,5),(5,6),(5,8),0.125621 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,9),0.117413 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,6),(5,11),-0.124893 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,13),-0.125331 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,16),-0.124893 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,19),-0.127791 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,23),-0.124886 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,25),-0.127972 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,28),-0.0679264 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,7),(5,8),0.11306 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,7),(5,9),0.132622 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,7),(5,10),-0.125449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,7),(5,11),-0.126785 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,7),(5,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,7),(5,13),-0.125545 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,7),(5,15),-0.125449 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,7),(5,16),-0.126785 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,7),(5,18),-0.125449 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,7),(5,19),-0.12504 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,7),(5,20),-0.12581 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,7),(5,21),-0.125126 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,7),(5,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,7),(5,25),-0.125035 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,7),(5,27),-0.125194 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,7),(5,28),-0.143196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,8),(5,9),0.117515 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,8),(5,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,8),(5,11),-0.124891 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,8),(5,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,8),(5,13),-0.125119 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,8),(5,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,8),(5,16),-0.124891 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,8),(5,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,8),(5,19),-0.127091 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,8),(5,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,8),(5,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,8),(5,23),-0.124886 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,8),(5,25),-0.127271 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,8),(5,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,8),(5,28),-0.095059 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,9),(5,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,9),(5,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,9),(5,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,9),(5,13),-0.125175 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,9),(5,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,9),(5,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,9),(5,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,9),(5,19),-0.12489 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,9),(5,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,9),(5,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,9),(5,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,9),(5,25),-0.12489 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,9),(5,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,9),(5,28),-0.162946 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,10),(5,11),-0.126785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,10),(5,12),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,10),(5,13),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,10),(5,15),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,10),(5,16),-0.126785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,10),(5,18),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,10),(5,19),-0.12504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,10),(5,20),-0.12581 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,10),(5,21),-0.125126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,10),(5,23),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,10),(5,25),-0.125035 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,10),(5,27),-0.125194 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,10),(5,28),-0.143196 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,5),(5,11),(5,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,11),(5,13),-0.127045 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,11),(5,15),-0.129532 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,11),(5,16),-0.125325 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,11),(5,18),-0.129532 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,11),(5,19),-0.125645 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,11),(5,20),-0.124894 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,11),(5,21),-0.12731 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,11),(5,23),-0.131545 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,11),(5,25),-0.125395 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,11),(5,27),-0.124886 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,11),(5,28),-0.00313381 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,12),(5,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,12),(5,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,12),(5,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,12),(5,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,12),(5,19),-0.125389 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,12),(5,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,12),(5,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,12),(5,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,12),(5,25),-0.125235 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,12),(5,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,12),(5,28),-0.136795 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,13),(5,15),-0.124957 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,13),(5,16),-0.125503 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,13),(5,18),-0.124957 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,13),(5,19),-0.124893 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,13),(5,20),-0.125059 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,13),(5,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,13),(5,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,13),(5,25),-0.124893 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,13),(5,27),-0.124886 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,13),(5,28),-0.17466 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,15),(5,16),-0.126785 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,15),(5,18),-0.125449 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,15),(5,19),-0.12504 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,15),(5,20),-0.12581 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,15),(5,21),-0.125126 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,15),(5,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,15),(5,25),-0.125035 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,15),(5,27),-0.125194 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,15),(5,28),-0.143196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,16),(5,18),-0.129532 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,16),(5,19),-0.125645 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,16),(5,20),-0.124894 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,16),(5,21),-0.12731 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,16),(5,23),-0.131545 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,16),(5,25),-0.125395 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,16),(5,27),-0.124886 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,16),(5,28),-0.00313381 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,18),(5,19),-0.12504 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,18),(5,20),-0.12581 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,18),(5,21),-0.125126 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,18),(5,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,18),(5,25),-0.125035 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,18),(5,27),-0.125194 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,18),(5,28),-0.14321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,19),(5,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,19),(5,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,19),(5,23),-0.124886 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,19),(5,25),-0.127972 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,19),(5,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,19),(5,28),-0.0679264 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,20),(5,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,20),(5,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,20),(5,25),-0.12489 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,20),(5,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,20),(5,28),-0.162946 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,21),(5,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,21),(5,25),-0.124894 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,21),(5,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,21),(5,28),-0.154416 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,23),(5,25),0.0523002 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,23),(5,27),0.0373941 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,23),(5,28),-0.217966 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,25),(5,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,25),(5,28),-0.0806154 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,27),(5,28),-0.144995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,5),(5,4),-0.0647885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,3),0.0463619 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,2),-0.0421268 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,1),-0.0442243 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,-1),0.0996681 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,5),(5,4),(5,3),-0.042046 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,4),(5,2),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,4),(5,1),-0.0443122 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,4),(5,-1),-0.085695 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,3),(5,2),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,3),(5,1),-0.042249 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,3),(5,-1),-0.0169303 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,2),(5,1),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,2),(5,-1),-0.0421438 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,1),(5,-1),-0.0342136 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,6),(6,7),0.0607333 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,8),0.0982681 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,10),-0.145803 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,6),(6,6),(6,11),-0.127012 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,12),-0.124972 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,13),-0.126094 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,23),-0.139761 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,28),0.0193398 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,6),(6,7),(6,8),0.118078 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,10),-0.125348 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,7),(6,11),-0.124921 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,12),-0.124887 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,28),-0.142405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,8),(6,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,8),(6,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,13),-0.124894 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,28),-0.151896 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,10),(6,11),-0.124921 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,10),(6,12),-0.124887 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,10),(6,13),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,10),(6,23),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,10),(6,28),-0.142405 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,6),(6,11),(6,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,11),(6,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,11),(6,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,11),(6,28),-0.114912 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,12),(6,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,12),(6,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,12),(6,28),-0.123697 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,13),(6,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,13),(6,28),-0.124294 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,23),(6,28),-0.155555 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,6),(6,4),-0.05756 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,-1),-0.415339 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,6),(6,4),(6,-1),-0.0264256 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,7),(7,8),0.195155 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,10),-0.141313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,7),(7,7),(7,11),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,12),-0.125137 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,13),-0.154397 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,15),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,16),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,18),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,28),0.0228885 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,7),(7,8),(7,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,8),(7,11),-0.124891 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,13),-0.125119 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,16),-0.124891 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,28),-0.0950584 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,10),(7,11),-0.126785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,12),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,13),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,15),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,16),-0.126785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,18),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,28),-0.143196 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,7),(7,11),(7,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,11),(7,13),-0.127045 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,11),(7,15),-0.129532 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,11),(7,16),-0.125325 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,11),(7,18),-0.129532 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,11),(7,28),-0.0030703 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,12),(7,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,12),(7,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,12),(7,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,12),(7,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,12),(7,28),-0.136795 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,13),(7,15),-0.124957 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,13),(7,16),-0.125503 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,13),(7,18),-0.124957 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,13),(7,28),-0.17466 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,15),(7,16),-0.126785 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,15),(7,18),-0.125449 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,15),(7,28),-0.143196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,16),(7,18),-0.129532 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,16),(7,28),-0.0030703 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,18),(7,28),-0.143209 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,7),(7,6),-0.0214052 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,5),-0.182369 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,4),-0.0647885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,3),0.0463619 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,1),-0.0442243 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,-1),0.0994595 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,7),(7,6),(7,5),-0.0360077 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,6),(7,4),-0.0424767 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,6),(7,3),-0.0357592 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,6),(7,1),-0.0427028 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,6),(7,-1),-0.0513293 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,5),(7,4),-0.0453242 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,5),(7,3),-0.0437168 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,5),(7,1),-0.0543662 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,5),(7,-1),0.0037058 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,4),(7,3),-0.042046 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,4),(7,1),-0.0443122 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,4),(7,-1),-0.085695 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,3),(7,1),-0.042249 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,3),(7,-1),-0.0169303 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,1),(7,-1),-0.0342136 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,8),(8,9),0.153055 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,10),-0.144328 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,8),(8,8),(8,11),-0.127012 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,12),-0.124959 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,13),-0.126093 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,15),-0.144328 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,18),-0.144328 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,23),-0.139218 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,28),-0.0795563 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,8),(8,9),(8,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,9),(8,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,9),(8,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,9),(8,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,9),(8,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,9),(8,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,9),(8,23),-0.124892 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,9),(8,28),-0.142654 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,10),(8,11),-0.124921 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,10),(8,12),-0.124887 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,10),(8,13),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,10),(8,15),-0.125348 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,10),(8,18),-0.125348 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,10),(8,23),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,10),(8,28),-0.142988 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,8),(8,11),(8,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,11),(8,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,11),(8,15),-0.124899 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,11),(8,18),-0.124899 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,11),(8,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,11),(8,28),-0.115184 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,12),(8,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
