# _root_ It starts with conception , taking the sperm 's point of view , then progresses to the baby 's point of view .
#goldHeads=2,0,2,3,2,2,8,10,8,6,10,11,2,15,2,15,18,20,18,16,20,21,2,
#predictedHeads=2,0,2,3,2,2,8,10,8,6,10,11,6,15,6,15,18,20,18,16,20,21,2,
(11,10),(10,13),(10,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,13),(10,15),-0.145085 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,13),(10,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,13),(10,20),-0.145074 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,13),(10,21),-0.144792 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,13),(10,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,13),(10,24),-0.153199 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,14),(10,15),-0.14471 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,14),(10,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,14),(10,20),-0.144811 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,14),(10,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,14),(10,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,14),(10,24),-0.175887 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,15),(10,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,15),(10,20),-0.144728 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,15),(10,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,15),(10,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,15),(10,24),-0.109541 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,16),(10,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,16),(10,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,16),(10,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,16),(10,24),-0.154252 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,20),(10,21),-0.145021 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,20),(10,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,20),(10,24),-0.122001 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,21),(10,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,21),(10,24),-0.127789 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,23),(10,24),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,10),(10,9),-0.0592256 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,8),-0.153482 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,7),-0.000614926 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,6),-0.00956181 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,5),-0.050142 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,4),-0.153482 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,3),-0.0690614 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,-1),0.27152 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,9),(10,8),-0.0149604 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,7),-0.0194491 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,6),-0.0207367 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,5),-0.00942871 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,4),-0.0149604 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,3),-0.0194441 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,-1),-0.111641 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,8),(10,7),-0.0215992 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,6),-0.0386069 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,5),-0.0667826 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,4),-0.0344774 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,3),-0.012135 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,-1),-0.0726056 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,7),(10,6),-0.0212689 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,7),(10,5),-0.0203677 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,7),(10,4),-0.0199795 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,7),(10,3),-0.0230566 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,7),(10,-1),0.00443007 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,6),(10,5),0.0331515 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,6),(10,4),-0.0220868 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,6),(10,3),-0.0173584 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,6),(10,-1),-0.0439091 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,5),(10,4),-0.0793666 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,5),(10,3),0.0232989 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,5),(10,-1),-0.0170339 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,4),(10,3),-0.012135 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,4),(10,-1),-0.0726056 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,3),(10,-1),-0.0504864 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,12),(12,13),-0.0481224 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,14),0.0569421 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,15),-0.00890045 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,16),0.0472586 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,20),-0.160989 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,21),-0.0910462 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,24),0.268541 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,12),(12,13),(12,14),0.00890634 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,13),(12,15),0.0191414 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,13),(12,16),-0.0459097 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,13),(12,20),-0.0793666 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,13),(12,21),0.0142117 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,13),(12,24),-0.0153587 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,14),(12,15),-0.0244312 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,14),(12,16),-0.0221593 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,14),(12,20),-0.0127568 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,14),(12,21),-0.029344 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,14),(12,24),0.100761 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,15),(12,16),-0.00506151 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,15),(12,20),-0.0220868 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,15),(12,21),-0.0158089 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,15),(12,24),-0.0441633 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,16),(12,20),-0.0186006 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,16),(12,21),-0.0168399 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,16),(12,24),0.035671 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,20),(12,21),0.00151255 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,20),(12,24),-0.0764874 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,21),(12,24),-0.0582926 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,12),(12,11),0.145331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,10),-0.151058 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,8),-0.151026 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,7),-0.148729 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,6),-0.150184 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,12),(12,-1),-0.127982 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,12),(12,11),(12,10),-0.144711 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,11),(12,8),-0.144711 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,11),(12,7),-0.144719 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,11),(12,6),-0.144704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,12),(12,11),(12,-1),-0.126868 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,12),(12,10),(12,8),-0.149089 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,10),(12,7),-0.148744 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,10),(12,6),-0.144715 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,10),(12,-1),-0.120041 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,8),(12,7),-0.148744 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,8),(12,6),-0.144715 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,8),(12,-1),-0.119958 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,7),(12,6),-0.144736 # DEPENDENCYPART_GRANDSIBL
(11,12),(12,7),(12,-1),-0.0628115 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,6),(12,-1),-0.111343 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,13),(13,24),-0.0378749 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,13),(13,13),(13,-1),-0.16384 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,14),(14,14),(14,15),-0.0555735 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,16),-0.0237832 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,20),-0.0226984 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,21),0.0182844 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,24),0.0226283 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,14),(14,15),(14,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,20),-0.0195812 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,21),-0.0194672 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,15),(14,24),-0.0213769 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,16),(14,20),-0.0194409 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,16),(14,24),-0.0256172 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,20),(14,21),-0.0232848 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,20),(14,24),0.0233991 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,21),(14,24),-0.0710411 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,14),(14,13),0.16204 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,12),0.134121 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,11),0.110392 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,10),-0.150986 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,8),-0.150985 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,4),-0.150985 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,3),-0.144723 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,14),(14,-1),-0.164079 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,14),(14,13),(14,12),0.134002 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,13),(14,11),0.10562 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,13),(14,10),-0.144784 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,13),(14,8),-0.144784 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,13),(14,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,13),(14,4),-0.144784 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,13),(14,3),-0.144761 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,13),(14,-1),-0.154376 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,12),(14,11),0.108267 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,12),(14,10),-0.145198 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,12),(14,8),-0.145198 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,12),(14,5),-0.144743 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,12),(14,4),-0.145198 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,12),(14,3),-0.144722 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,12),(14,-1),-0.0795674 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,11),(14,10),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,11),(14,8),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,11),(14,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,11),(14,4),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,11),(14,3),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,14),(14,11),(14,-1),-0.158205 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,14),(14,10),(14,8),-0.145198 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,10),(14,5),-0.144743 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,10),(14,4),-0.145198 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,10),(14,3),-0.144722 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,10),(14,-1),-0.079511 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,8),(14,5),-0.144743 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,8),(14,4),-0.145198 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,8),(14,3),-0.144722 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,8),(14,-1),-0.0795105 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,5),(14,4),-0.144784 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,5),(14,3),-0.144761 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,5),(14,-1),-0.154376 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,4),(14,3),-0.144722 # DEPENDENCYPART_GRANDSIBL
(11,14),(14,4),(14,-1),-0.0795105 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,3),(14,-1),-0.158551 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,15),(15,16),-0.0476152 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,17),-0.0204847 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,18),0.0530249 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,19),-0.0227934 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,20),0.0526852 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,21),-0.0291911 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,22),0.0525635 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,23),-0.0220538 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,24),-0.0193978 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,15),(15,16),(15,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,16),(15,18),-0.0150009 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,16),(15,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,16),(15,20),-0.0150009 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,16),(15,21),-0.0240536 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,16),(15,22),-0.0150009 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,16),(15,23),-0.0202846 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,16),(15,24),0.0102764 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,17),(15,18),-0.0170662 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,17),(15,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,17),(15,20),-0.0170662 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,17),(15,21),-0.0200718 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,17),(15,22),-0.0170662 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,17),(15,23),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,17),(15,24),-0.0210825 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,18),(15,19),-0.0194409 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,18),(15,20),-0.0319859 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,18),(15,21),0.00459102 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,18),(15,22),-0.0319859 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,18),(15,23),-0.0238509 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,18),(15,24),-0.0531132 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,19),(15,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,19),(15,21),-0.0194407 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,19),(15,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,19),(15,23),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,19),(15,24),-0.0227508 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,20),(15,21),0.00459102 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,20),(15,22),-0.0319859 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,20),(15,23),-0.0238509 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,20),(15,24),-0.0534529 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,21),(15,22),-0.0257064 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,21),(15,23),-0.0194477 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,21),(15,24),-0.00349635 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,22),(15,23),-0.0238509 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,22),(15,24),-0.0535746 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,23),(15,24),-0.0267515 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,15),(15,14),0.154681 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,13),0.094072 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,12),0.108432 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,11),0.120544 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,10),-0.153497 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,8),-0.153497 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,7),-0.144709 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,6),-0.124624 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,4),-0.153497 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,3),-0.145697 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,2),-0.124624 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,-1),-0.13432 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,15),(15,14),(15,13),0.106187 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,14),(15,12),0.109004 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,14),(15,11),0.107477 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,14),(15,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,14),(15,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,14),(15,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,14),(15,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,14),(15,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,14),(15,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,14),(15,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,14),(15,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,14),(15,-1),-0.114613 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,13),(15,12),0.0905158 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,13),(15,11),0.102482 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,13),(15,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,13),(15,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,13),(15,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,13),(15,6),-0.144943 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,13),(15,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,13),(15,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,13),(15,3),-0.147192 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,13),(15,2),-0.144943 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,13),(15,-1),-0.153742 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,12),(15,11),0.104461 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,12),(15,10),-0.144745 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,12),(15,8),-0.144745 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,12),(15,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,12),(15,6),-0.144737 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,12),(15,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,12),(15,4),-0.144745 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,12),(15,3),-0.146701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,12),(15,2),-0.144737 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,12),(15,-1),-0.146062 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,11),(15,10),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,11),(15,8),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,11),(15,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,11),(15,6),-0.144729 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,11),(15,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,11),(15,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,11),(15,3),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,11),(15,2),-0.144729 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,11),(15,-1),-0.157437 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,15),(15,10),(15,8),-0.144745 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,10),(15,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,10),(15,6),-0.144737 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,10),(15,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,10),(15,4),-0.144745 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,10),(15,3),-0.146701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,10),(15,2),-0.144737 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,10),(15,-1),-0.14572 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,8),(15,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,8),(15,6),-0.144737 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,8),(15,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,8),(15,4),-0.144745 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,8),(15,3),-0.146701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,8),(15,2),-0.144737 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,8),(15,-1),-0.145719 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,7),(15,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,7),(15,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,7),(15,4),-0.14471 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,7),(15,3),-0.144708 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,7),(15,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,7),(15,-1),-0.189145 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,6),(15,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,6),(15,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,6),(15,3),-0.144724 # DEPENDENCYPART_GRANDSIBL
(11,15),(15,6),(15,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
