# _root_ He received $ 724,579 for the shares , according to insider filings with the Securities and Exchange Commission .
#goldHeads=2,0,4,2,2,7,5,2,2,9,12,10,12,18,16,18,16,13,2,
#predictedHeads=2,0,4,2,2,7,5,2,2,9,12,10,12,18,16,18,16,13,2,
(11,13),(13,13),(13,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,20),-0.348096 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,13),(13,14),(13,15),-0.022992 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,16),-0.0194687 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,17),-0.022992 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,18),-0.022992 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,14),(13,20),0.00230278 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,15),(13,16),-0.0348341 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,15),(13,17),-0.0531337 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,15),(13,18),-0.0526242 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,15),(13,19),-0.0194417 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,15),(13,20),0.0716304 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,16),(13,17),-0.0271723 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,16),(13,18),-0.0701581 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,16),(13,19),0.177624 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,16),(13,20),0.0429039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,17),(13,18),-0.0521137 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,17),(13,19),-0.0194417 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,17),(13,20),0.0689288 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,18),(13,19),-0.0194417 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,18),(13,20),0.0744558 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,19),(13,20),-0.0238712 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,13),(13,12),0.0419848 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,11),0.0416755 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,10),-0.146816 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,13),(13,-1),-0.115426 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,13),(13,12),(13,11),0.109523 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,12),(13,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,13),(13,12),(13,-1),-0.194423 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,13),(13,11),(13,10),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,13),(13,11),(13,-1),-0.194734 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,13),(13,10),(13,-1),-0.158995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,14),(14,14),(14,20),0.214091 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,14),(14,14),(14,-1),0.0948975 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,15),(15,15),(15,18),-0.135172 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,20),0.133965 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,15),(15,18),(15,20),0.0229095 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,15),(15,15),(15,14),0.1023 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,15),(15,15),(15,-1),-0.0209674 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,15),(15,14),(15,-1),-0.159246 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,18),(18,18),(18,19),0.0757667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,18),(18,18),(18,20),0.124926 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,18),(18,19),(18,20),0.0744321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,18),(18,18),(18,17),0.160494 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,18),(18,18),(18,16),0.0279649 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,18),(18,18),(18,15),0.157674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,18),(18,18),(18,14),0.101928 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,18),(18,18),(18,12),0.160726 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,18),(18,18),(18,11),0.160726 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,18),(18,18),(18,-1),-0.0275501 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,18),(18,17),(18,16),0.0980554 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,17),(18,15),0.0904451 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,17),(18,14),0.131191 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,17),(18,12),0.090446 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,17),(18,11),0.0904444 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,17),(18,-1),-0.174148 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,18),(18,16),(18,15),0.0470869 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,16),(18,14),0.289403 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,16),(18,12),0.177187 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,16),(18,11),0.129379 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,16),(18,-1),-0.226199 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,18),(18,15),(18,14),0.129182 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,15),(18,12),0.0909069 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,15),(18,11),0.0909053 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,15),(18,-1),-0.174741 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,18),(18,14),(18,12),0.129835 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,14),(18,11),0.129835 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,14),(18,-1),-0.159688 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,18),(18,12),(18,11),0.0909817 # DEPENDENCYPART_GRANDSIBL
(11,18),(18,12),(18,-1),-0.174096 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,18),(18,11),(18,-1),-0.174114 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,19),(19,19),(19,20),0.0039797 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,19),(19,19),(19,-1),-0.112602 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,4),(4,4),(4,5),0.0780123 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,4),(4,4),(4,6),0.104896 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,4),(4,4),(4,8),0.121571 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,4),(4,4),(4,9),0.106089 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,4),(4,4),(4,13),-0.144909 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,4),(4,4),(4,16),-0.147133 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,4),(4,4),(4,18),-0.145666 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,4),(4,4),(4,20),-0.0441365 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,4),(4,5),(4,6),0.109504 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,5),(4,8),0.109504 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,5),(4,9),0.10954 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,5),(4,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,5),(4,16),-0.144754 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,5),(4,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,5),(4,20),-0.175075 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,4),(4,6),(4,8),0.10954 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,6),(4,9),0.10954 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,6),(4,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,6),(4,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,6),(4,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,6),(4,20),-0.162929 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,4),(4,8),(4,9),0.109525 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,8),(4,13),-0.144705 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,8),(4,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,8),(4,18),-0.144717 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,8),(4,20),-0.158234 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,4),(4,9),(4,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,9),(4,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,9),(4,18),-0.144702 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,9),(4,20),-0.149082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,4),(4,13),(4,16),-0.144754 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,13),(4,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,13),(4,20),-0.175045 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,4),(4,16),(4,18),-0.115758 # DEPENDENCYPART_GRANDSIBL
(12,4),(4,16),(4,20),-0.12431 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,4),(4,18),(4,20),-0.082553 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,4),(4,4),(4,3),-0.0962395 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,4),(4,4),(4,-1),0.158162 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,4),(4,3),(4,-1),-0.0858117 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,5),(5,5),(5,6),0.116836 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,5),(5,5),(5,7),0.0439163 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,5),(5,5),(5,8),0.0976222 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,5),(5,5),(5,9),0.0984799 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,5),(5,5),(5,10),0.161793 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,5),(5,5),(5,12),-0.161368 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,5),(5,5),(5,13),-0.144919 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,5),(5,5),(5,16),-0.159587 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,5),(5,5),(5,18),-0.161368 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,5),(5,5),(5,20),-0.100897 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,5),(5,6),(5,7),0.124792 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,6),(5,8),0.109152 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,6),(5,9),0.108974 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,6),(5,10),0.108441 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,6),(5,12),-0.144702 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,6),(5,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,6),(5,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,6),(5,18),-0.144702 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,6),(5,20),-0.166959 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,5),(5,7),(5,8),0.105555 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,7),(5,9),0.10954 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,7),(5,10),0.10903 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,7),(5,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,7),(5,13),-0.144725 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,7),(5,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,7),(5,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,7),(5,20),-0.192334 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,5),(5,8),(5,9),0.109537 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,8),(5,10),0.108796 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,8),(5,12),-0.144704 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,8),(5,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,8),(5,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,8),(5,18),-0.144704 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,8),(5,20),-0.143589 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,5),(5,9),(5,10),0.109508 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,9),(5,12),-0.144871 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,9),(5,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,9),(5,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,9),(5,18),-0.144871 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,9),(5,20),-0.157887 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,5),(5,10),(5,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,10),(5,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,10),(5,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,10),(5,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,10),(5,20),-0.159015 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,5),(5,12),(5,13),-0.144725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,5),(5,12),(5,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,5),(5,12),(5,18),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,5),(5,12),(5,20),-0.191715 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,5),(5,13),(5,16),-0.144715 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,13),(5,18),-0.144702 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,13),(5,20),-0.14398 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,5),(5,16),(5,18),-0.115758 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,16),(5,20),-0.169088 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,5),(5,18),(5,20),-0.191715 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,5),(5,5),(5,4),0.0547223 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,5),(5,5),(5,3),-0.00435646 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,5),(5,5),(5,-1),-0.354603 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,5),(5,4),(5,3),-0.0212568 # DEPENDENCYPART_GRANDSIBL
(12,5),(5,4),(5,-1),0.0224806 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,5),(5,3),(5,-1),0.0115346 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,6),(6,6),(6,8),0.115612 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,6),(6,6),(6,9),0.122839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,6),(6,6),(6,20),0.0920329 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,6),(6,8),(6,9),0.109539 # DEPENDENCYPART_GRANDSIBL
(12,6),(6,8),(6,20),-0.142147 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,6),(6,9),(6,20),-0.133841 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,6),(6,6),(6,5),-0.02842 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,6),(6,6),(6,-1),0.211226 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,6),(6,5),(6,-1),-0.0362649 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,7),(7,8),0.182053 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,9),0.0931172 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,10),0.163004 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,12),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,13),-0.155567 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,16),-0.15123 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,19),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,20),-0.0381291 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,7),(7,8),(7,9),0.106105 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,8),(7,10),0.109434 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,8),(7,12),-0.14942 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,8),(7,13),-0.14486 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,8),(7,16),-0.150847 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,8),(7,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,8),(7,20),-0.0334289 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,9),(7,10),0.107512 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,9),(7,12),-0.14472 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,9),(7,13),-0.144703 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,9),(7,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,9),(7,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,9),(7,20),-0.196588 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,10),(7,12),-0.144785 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,10),(7,13),-0.145904 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,10),(7,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,10),(7,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,10),(7,20),-0.107512 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,12),(7,13),-0.14479 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,12),(7,16),-0.14471 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,12),(7,19),-0.144801 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,12),(7,20),-0.179465 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,7),(7,13),(7,16),-0.144702 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,13),(7,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,13),(7,20),-0.105048 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,16),(7,19),0.053118 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,16),(7,20),-0.227519 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,19),(7,20),-0.151487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,7),(7,6),-0.00812689 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,5),-0.00202016 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,4),-0.101464 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,3),-0.0269039 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,2),0.0487991 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,7),(7,7),(7,-1),0.117775 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,7),(7,6),(7,5),-0.0221655 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,6),(7,4),-0.0221844 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,6),(7,3),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,6),(7,2),-0.0194624 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,6),(7,-1),-0.00955716 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,5),(7,4),-0.0194648 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,5),(7,3),-0.0194415 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,5),(7,2),-0.0100329 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,5),(7,-1),-0.0187923 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,4),(7,3),-0.0207607 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,4),(7,2),-0.0200635 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,4),(7,-1),-0.0998995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,3),(7,2),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(12,7),(7,3),(7,-1),-0.0296194 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,7),(7,2),(7,-1),0.00290395 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,8),(8,8),(8,9),0.109378 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,8),(8,8),(8,20),-0.187869 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,8),(8,9),(8,20),-0.144864 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,8),(8,8),(8,-1),-0.0474351 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,9),(9,9),(9,10),0.179464 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,11),0.131647 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,12),-0.193413 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,13),-0.173799 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,15),-0.193527 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,16),-0.177529 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,19),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,20),-0.0299952 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,9),(9,10),(9,11),0.117881 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,10),(9,12),-0.144744 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,10),(9,13),-0.145713 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,10),(9,15),-0.144744 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,10),(9,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,10),(9,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,10),(9,20),-0.0974159 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,11),(9,12),-0.144891 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,11),(9,13),-0.145545 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,11),(9,15),-0.144891 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,11),(9,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,11),(9,19),-0.144704 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,11),(9,20),-0.082855 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,12),(9,13),-0.145545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,12),(9,15),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,12),(9,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,12),(9,19),-0.144704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,12),(9,20),-0.082866 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,9),(9,13),(9,15),-0.144709 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,13),(9,16),-0.144714 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,13),(9,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,13),(9,20),-0.227819 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,15),(9,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,15),(9,19),-0.144704 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,15),(9,20),-0.084774 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,16),(9,19),0.053118 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,16),(9,20),-0.144227 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,19),(9,20),-0.145637 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,9),(9,8),-0.0407696 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,7),-0.0182146 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,5),-0.00658688 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,2),-0.0369583 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(12,9),(9,9),(9,-1),0.0545445 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(12,9),(9,8),(9,7),-0.0362797 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,8),(9,5),-0.0440422 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,8),(9,2),-0.0158733 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,8),(9,-1),-0.0246416 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,7),(9,5),0.00747788 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,7),(9,2),-0.0347738 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,7),(9,-1),-0.0321771 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,5),(9,2),-0.00749788 # DEPENDENCYPART_GRANDSIBL
(12,9),(9,5),(9,-1),0.00414496 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,9),(9,2),(9,-1),-0.0178706 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,10),(10,10),(10,11),0.0857746 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
