# _root_ Institutional building , such as hospitals and schools , eased in September following a surge in August .
#goldHeads=10,1,1,5,1,7,5,7,1,0,10,11,10,15,13,15,16,10,
#predictedHeads=10,10,2,5,2,7,5,7,10,0,10,11,10,15,13,15,16,10,
(8,10),(10,13),(10,18),-0.0229407 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,19),-0.0261512 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,15),(10,16),0.00893118 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,15),(10,18),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,15),(10,19),-0.0261192 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,16),(10,18),-0.033254 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,16),(10,19),0.0258711 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,18),(10,19),-0.0609297 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,10),(10,9),0.114419 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,8),0.131646 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,7),-0.177529 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,6),-0.193413 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,5),-0.172174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,4),-0.150708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,3),-0.144717 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,2),-0.189763 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,1),-0.150693 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,-1),-0.0130723 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,9),(10,8),0.119944 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,7),-0.145857 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,6),-0.144819 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,5),-0.145222 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,4),-0.144776 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,2),-0.145031 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,1),-0.144776 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,-1),-0.208604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,8),(10,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,6),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,5),-0.145537 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,4),-0.144721 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,3),-0.144936 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,2),-0.146174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,1),-0.144711 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,-1),-0.0828384 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,7),(10,6),0.0908862 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,5),0.0775069 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,4),0.139084 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,3),0.191261 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,2),0.0185783 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,1),0.111567 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,-1),-0.144598 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,6),(10,5),-0.145537 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,6),(10,4),-0.144721 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,6),(10,3),-0.144936 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,6),(10,2),-0.146174 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,6),(10,1),-0.144711 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,6),(10,-1),-0.0828291 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,5),(10,4),-0.144734 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,5),(10,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,5),(10,2),-0.144847 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,5),(10,1),-0.144734 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,5),(10,-1),-0.204811 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,4),(10,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,4),(10,2),-0.144705 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,4),(10,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,4),(10,-1),-0.226298 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,3),(10,2),-0.145031 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,3),(10,1),-0.144776 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,3),(10,-1),-0.208604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,2),(10,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,2),(10,-1),-0.157429 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,1),(10,-1),-0.225514 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,11),(11,12),0.113219 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,13),0.00111515 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,15),0.125164 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,16),-0.0301966 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,19),-0.3499 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,11),(11,12),(11,13),-0.024267 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,12),(11,15),-0.059098 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,12),(11,16),-0.0176739 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,12),(11,19),0.0455251 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,13),(11,15),-0.0212902 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,13),(11,16),-0.0196697 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,13),(11,19),0.00182947 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,15),(11,16),-0.0176739 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,15),(11,19),0.0573331 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,16),(11,19),-0.0543891 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,11),(11,9),0.0955025 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,-1),-0.140643 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,11),(11,9),(11,-1),-0.14734 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,13),(13,14),-0.0219647 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,15),-0.0201579 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,16),-0.000133883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,17),-0.0201576 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,18),-0.0230578 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,19),0.0589892 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,13),(13,14),(13,15),-0.0202678 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,16),-0.0247021 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,17),-0.0202678 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,19),-0.0156936 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,15),(13,16),0.00799041 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,17),-0.00293478 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,18),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,19),-0.0247766 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,16),(13,17),-0.0125375 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,16),(13,18),-0.033254 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,16),(13,19),0.0249678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,17),(13,18),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,17),(13,19),-0.0247789 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,18),(13,19),-0.0609297 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,13),(13,12),0.130805 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,11),0.154757 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,10),0.135186 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,9),0.114332 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,5),-0.172174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,-1),-0.013053 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,13),(13,12),(13,11),0.0971886 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,12),(13,10),0.103748 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,12),(13,9),0.0646627 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,12),(13,5),-0.145537 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,12),(13,-1),-0.0836701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,11),(13,10),0.108575 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,11),(13,9),0.16058 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,11),(13,5),-0.145076 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,11),(13,-1),-0.225976 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,10),(13,9),0.114424 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,10),(13,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,10),(13,-1),-0.157899 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,9),(13,5),-0.145222 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,9),(13,-1),-0.208604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,5),(13,-1),-0.205075 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,15),(15,16),-0.00393538 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,17),-0.132318 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,18),0.0757667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,19),0.129471 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,15),(15,16),(15,17),-0.0221573 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,16),(15,18),-0.020446 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,16),(15,19),-0.0462316 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,17),(15,18),-0.0111699 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,17),(15,19),0.0258267 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,18),(15,19),0.0744321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,15),(15,14),0.112864 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,13),0.093153 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,12),0.158695 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,11),0.163459 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,10),0.0931914 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,7),-0.1512 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,4),-0.14796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,-1),-0.0211631 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,15),(15,14),(15,13),0.108001 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,14),(15,12),0.122034 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,14),(15,11),0.106567 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,14),(15,10),0.108001 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,14),(15,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,14),(15,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,14),(15,-1),-0.0895585 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,13),(15,12),0.113743 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,13),(15,11),0.109139 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,13),(15,10),0.109246 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,13),(15,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,13),(15,4),-0.144714 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,13),(15,-1),-0.196533 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,12),(15,11),0.114781 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,12),(15,10),0.110835 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,12),(15,7),-0.14471 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,12),(15,4),-0.144729 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,12),(15,-1),-0.17619 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,11),(15,10),0.109391 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,11),(15,7),-0.144702 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,11),(15,4),-0.144702 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,11),(15,-1),-0.0987063 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,10),(15,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,10),(15,4),-0.144714 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,10),(15,-1),-0.196507 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,7),(15,4),0.139078 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,7),(15,-1),-0.226199 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,4),(15,-1),-0.195635 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,1),(1,2),0.0965714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,3),0.0781882 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,4),0.101279 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,5),0.0975401 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,7),0.0774041 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,9),0.0781882 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,10),-0.126713 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,15),-0.147599 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,18),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,19),-0.246008 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,1),(1,2),(1,3),0.109035 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,2),(1,4),0.109534 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,2),(1,5),0.10872 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,2),(1,7),0.10954 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,2),(1,9),0.109035 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,2),(1,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,2),(1,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,2),(1,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,2),(1,19),-0.107047 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,3),(1,4),0.130081 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,3),(1,5),0.105165 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,3),(1,7),0.122067 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,3),(1,9),0.10954 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,3),(1,10),-0.144703 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,3),(1,15),-0.144713 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,3),(1,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,3),(1,19),-0.165016 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,4),(1,5),0.107973 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,4),(1,7),0.10954 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,4),(1,9),0.111152 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,4),(1,10),-0.144702 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,4),(1,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,4),(1,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,4),(1,19),-0.126489 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,5),(1,7),0.107705 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,5),(1,9),0.114755 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,5),(1,10),-0.144781 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,5),(1,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,5),(1,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,5),(1,19),-0.149056 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,7),(1,9),0.603543 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,7),(1,10),-0.0603515 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,7),(1,15),-0.190492 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,7),(1,18),-0.0616918 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,7),(1,19),-0.133448 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,9),(1,10),-0.144703 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,9),(1,15),-0.144713 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,9),(1,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,9),(1,19),-0.165016 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,10),(1,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,10),(1,18),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,10),(1,19),-0.107047 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,1),(1,15),(1,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,15),(1,19),-0.047041 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,18),(1,19),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,1),(1,-1),-0.069099 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,2),(2,2),(2,3),0.111993 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,4),0.14523 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,5),-0.0502597 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,6),0.157619 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,7),0.0158347 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,8),0.155536 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,9),0.111993 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,10),-0.135038 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,11),0.00866788 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,13),-0.122476 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,16),0.00866788 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,18),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,19),-0.2437 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,2),(2,3),(2,4),0.0992308 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,5),0.0574391 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,6),0.120038 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,7),0.122824 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,8),0.120038 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,9),0.113096 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,10),-0.160163 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,11),-0.171765 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,13),-0.160256 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,16),-0.171765 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,19),-0.118073 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,4),(2,5),0.108419 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,6),0.113303 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,7),0.103891 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,8),0.113303 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,9),0.110848 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,10),-0.145601 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,11),-0.145976 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,13),-0.145601 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,16),-0.145976 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,19),-0.126757 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,5),(2,6),0.103525 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,5),(2,7),0.108689 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,5),(2,8),0.103525 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,5),(2,9),0.0831937 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,5),(2,10),-0.146373 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,5),(2,11),-0.1476 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,5),(2,13),-0.146373 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,5),(2,16),-0.1476 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,5),(2,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,5),(2,19),-0.111268 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,6),(2,7),0.0851602 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,6),(2,8),0.0983766 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,6),(2,9),0.100931 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,6),(2,10),-0.143839 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,6),(2,11),-0.191138 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,6),(2,13),-0.143839 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,6),(2,16),-0.191138 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,6),(2,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,6),(2,19),-0.163038 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,7),(2,8),0.180082 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,7),(2,9),0.577832 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,7),(2,10),-0.06046 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,7),(2,11),0.0870068 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,7),(2,13),-0.0941784 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,7),(2,16),-0.0481955 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,7),(2,18),-0.0616918 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,7),(2,19),-0.206109 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,8),(2,9),0.100931 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,8),(2,10),-0.143839 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,8),(2,11),-0.191138 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,8),(2,13),-0.143839 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,8),(2,16),-0.191138 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,8),(2,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,8),(2,19),-0.166273 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,9),(2,10),-0.160163 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,9),(2,11),-0.171765 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,9),(2,13),-0.160256 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,9),(2,16),-0.171765 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,9),(2,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,9),(2,19),-0.118073 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,10),(2,11),-0.151956 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,10),(2,13),-0.145075 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
