# _root_ ( After 1992 , the winter and summer Olympics will be held two years apart , with the revised schedule beginning with the winter games in 1994 and the summer games in 1996 . )
#goldHeads=10,10,2,10,9,7,9,7,10,0,10,11,14,15,12,12,12,20,20,21,17,21,25,25,28,25,26,22,31,31,28,31,32,10,10,
#predictedHeads=10,10,2,10,9,7,9,7,10,0,10,11,14,12,12,12,12,20,20,17,20,21,25,25,22,21,26,22,31,31,28,31,32,10,28,
(25,28),(28,19),(28,17),-0.144742 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,19),(28,16),-0.144722 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,19),(28,15),-0.144703 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,19),(28,14),-0.149473 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,19),(28,13),-0.144704 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,19),(28,12),-0.145344 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,19),(28,11),-0.145351 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,19),(28,10),-0.145782 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,19),(28,8),-0.149473 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,19),(28,7),-0.144707 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,19),(28,4),-0.144722 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,19),(28,2),-0.144742 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,19),(28,-1),-0.0603855 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,28),(28,18),(28,17),-0.144707 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,18),(28,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,18),(28,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,18),(28,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,18),(28,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,18),(28,12),-0.144714 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,18),(28,11),-0.144714 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,18),(28,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,18),(28,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,18),(28,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,18),(28,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,18),(28,2),-0.144707 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,18),(28,-1),-0.0982665 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,28),(28,17),(28,16),-0.144706 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,17),(28,15),-0.144921 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,17),(28,14),-0.144704 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,17),(28,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,17),(28,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,17),(28,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,17),(28,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,17),(28,8),-0.144704 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,17),(28,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,17),(28,4),-0.144706 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,17),(28,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,17),(28,-1),-0.0671883 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,28),(28,16),(28,15),-0.145107 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,16),(28,14),-0.147778 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,16),(28,13),-0.145296 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,16),(28,12),-0.148431 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,16),(28,11),-0.148431 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,16),(28,10),-0.145821 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,16),(28,8),-0.147778 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,16),(28,7),-0.145327 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,16),(28,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,16),(28,2),-0.14685 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,16),(28,-1),-0.165062 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,28),(28,15),(28,14),-0.144761 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,15),(28,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,15),(28,12),-0.144702 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,15),(28,11),-0.144702 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,15),(28,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,15),(28,8),-0.144761 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,15),(28,7),-0.144749 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,15),(28,4),-0.144703 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,15),(28,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,15),(28,-1),-0.120013 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,28),(28,14),(28,13),-0.144848 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,14),(28,12),-0.146269 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,14),(28,11),-0.146269 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,14),(28,10),-0.144891 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,14),(28,8),-0.146776 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,14),(28,7),-0.146033 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,14),(28,4),-0.147051 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,14),(28,2),-0.146418 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,14),(28,-1),-0.198131 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,28),(28,13),(28,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,13),(28,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,13),(28,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,13),(28,8),-0.144708 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,13),(28,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,13),(28,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,13),(28,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,13),(28,-1),-0.173977 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,28),(28,12),(28,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,12),(28,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,12),(28,8),-0.14523 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,12),(28,7),-0.144781 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,12),(28,4),-0.144727 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,12),(28,2),-0.144724 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,12),(28,-1),-0.171491 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,28),(28,11),(28,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,11),(28,8),-0.14523 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,11),(28,7),-0.144781 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,11),(28,4),-0.144727 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,11),(28,2),-0.144724 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,11),(28,-1),-0.171265 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,28),(28,10),(28,8),-0.144713 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,10),(28,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,10),(28,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,10),(28,2),-0.144973 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,10),(28,-1),-0.122098 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,28),(28,8),(28,7),-0.146033 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,8),(28,4),-0.147051 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,8),(28,2),-0.146418 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,8),(28,-1),-0.19781 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,28),(28,7),(28,4),0.0292974 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,7),(28,2),-0.0374048 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,7),(28,-1),-0.171023 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,28),(28,4),(28,2),-0.14685 # DEPENDENCYPART_GRANDSIBL
(25,28),(28,4),(28,-1),-0.165062 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,28),(28,2),(28,-1),-0.0589717 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,30),(30,30),(30,31),-0.13217 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,30),(30,30),(30,32),-0.00420819 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,30),(30,30),(30,33),-0.103565 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,30),(30,30),(30,35),0.0569699 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,30),(30,30),(30,36),0.13059 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,30),(30,31),(30,32),-0.0211029 # DEPENDENCYPART_GRANDSIBL
(25,30),(30,31),(30,33),-0.0231449 # DEPENDENCYPART_GRANDSIBL
(25,30),(30,31),(30,35),-0.0229256 # DEPENDENCYPART_GRANDSIBL
(25,30),(30,31),(30,36),0.0251902 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,30),(30,32),(30,33),-0.0194648 # DEPENDENCYPART_GRANDSIBL
(25,30),(30,32),(30,35),-0.0286222 # DEPENDENCYPART_GRANDSIBL
(25,30),(30,32),(30,36),-0.0465044 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,30),(30,33),(30,35),-0.0128146 # DEPENDENCYPART_GRANDSIBL
(25,30),(30,33),(30,36),-0.100541 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,30),(30,35),(30,36),0.0564553 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,30),(30,30),(30,29),0.100941 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,30),(30,30),(30,27),0.166226 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,30),(30,30),(30,-1),-0.0288376 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,30),(30,29),(30,27),0.108138 # DEPENDENCYPART_GRANDSIBL
(25,30),(30,29),(30,-1),-0.160618 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,30),(30,27),(30,-1),-0.144618 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,31),(31,31),(31,32),-0.00420947 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,31),(31,31),(31,33),-0.102587 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,31),(31,31),(31,34),0.0757667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,31),(31,31),(31,35),0.0569699 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,31),(31,31),(31,36),0.140194 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,31),(31,32),(31,33),-0.0194648 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,32),(31,34),-0.020446 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,32),(31,35),-0.0286222 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,32),(31,36),-0.0465057 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,31),(31,33),(31,34),-0.0194899 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,33),(31,35),-0.0128146 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,33),(31,36),-0.100165 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,31),(31,34),(31,35),-0.0329838 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,34),(31,36),0.0744321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,31),(31,35),(31,36),0.0564553 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,31),(31,31),(31,30),0.161019 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,31),(31,31),(31,29),0.10938 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,31),(31,31),(31,28),0.0279649 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,31),(31,31),(31,27),0.164129 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,31),(31,31),(31,26),0.163509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,31),(31,31),(31,25),0.161021 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,31),(31,31),(31,24),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,31),(31,31),(31,23),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,31),(31,31),(31,-1),-0.0230527 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,31),(31,30),(31,29),0.131268 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,30),(31,28),0.0980611 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,30),(31,27),0.102599 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,30),(31,26),0.110607 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,30),(31,25),0.0911065 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,30),(31,24),-0.145195 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,30),(31,23),-0.145039 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,30),(31,-1),-0.17385 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,31),(31,29),(31,28),0.127291 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,29),(31,27),0.108138 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,29),(31,26),0.104929 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,29),(31,25),0.129835 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,29),(31,24),-0.144709 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,29),(31,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,29),(31,-1),-0.152726 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,31),(31,28),(31,27),0.187856 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,28),(31,26),0.327713 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,28),(31,25),0.130584 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,28),(31,24),0.0554868 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,28),(31,23),0.0217492 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,28),(31,-1),-0.226199 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,31),(31,27),(31,26),0.104307 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,27),(31,25),0.112072 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,27),(31,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,27),(31,23),-0.144951 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,27),(31,-1),-0.146157 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,31),(31,26),(31,25),0.103971 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,26),(31,24),-0.144983 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,26),(31,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,26),(31,-1),-0.102823 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,31),(31,25),(31,24),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,31),(31,25),(31,23),-0.145039 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,31),(31,25),(31,-1),-0.17385 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,31),(31,24),(31,23),-0.145039 # DEPENDENCYPART_GRANDSIBL
(25,31),(31,24),(31,-1),-0.17385 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,31),(31,23),(31,-1),-0.152726 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,32),(32,32),(32,33),0.0270065 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,32),(32,32),(32,34),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,32),(32,32),(32,35),-0.0212438 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,32),(32,32),(32,36),-0.349904 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,32),(32,33),(32,34),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(25,32),(32,33),(32,35),-0.0221346 # DEPENDENCYPART_GRANDSIBL
(25,32),(32,33),(32,36),-0.0101807 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,32),(32,34),(32,35),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(25,32),(32,34),(32,36),-0.0238712 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,32),(32,35),(32,36),-0.0162233 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,32),(32,32),(32,31),0.0430922 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,32),(32,32),(32,30),0.0430176 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,32),(32,32),(32,-1),-0.138571 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,32),(32,31),(32,30),0.109519 # DEPENDENCYPART_GRANDSIBL
(25,32),(32,31),(32,-1),-0.193062 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,32),(32,30),(32,-1),-0.193137 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,33),(33,33),(33,35),0.00458021 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,33),(33,33),(33,36),0.151508 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,33),(33,35),(33,36),-0.00716637 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,33),(33,33),(33,32),0.0767089 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,33),(33,33),(33,30),0.172135 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,33),(33,33),(33,29),0.104896 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,33),(33,33),(33,-1),-0.0513348 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,33),(33,32),(33,30),0.109269 # DEPENDENCYPART_GRANDSIBL
(25,33),(33,32),(33,29),0.109504 # DEPENDENCYPART_GRANDSIBL
(25,33),(33,32),(33,-1),-0.176376 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,33),(33,30),(33,29),0.105991 # DEPENDENCYPART_GRANDSIBL
(25,33),(33,30),(33,-1),-0.0825534 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,33),(33,29),(33,-1),-0.162929 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,34),(34,34),(34,36),0.00397938 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,34),(34,34),(34,32),0.109217 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,34),(34,34),(34,-1),-0.112602 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,34),(34,32),(34,-1),-0.145073 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,35),(35,35),(35,36),-0.0457596 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,35),(35,35),(35,-1),-0.14836 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(26,24),(24,24),(24,25),0.174478 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,24),(24,24),(24,26),-0.153827 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,24),(24,24),(24,27),-0.14672 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,24),(24,24),(24,31),-0.150403 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,24),(24,24),(24,35),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,24),(24,24),(24,36),-0.137291 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(26,24),(24,25),(24,26),-0.145092 # DEPENDENCYPART_GRANDSIBL
(26,24),(24,25),(24,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(26,24),(24,25),(24,31),-0.148317 # DEPENDENCYPART_GRANDSIBL
(26,24),(24,25),(24,35),-0.144701 # DEPENDENCYPART_GRANDSIBL
(26,24),(24,25),(24,36),-0.120409 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,24),(24,26),(24,27),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,24),(24,26),(24,31),-0.14471 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,24),(24,26),(24,35),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,24),(24,26),(24,36),-0.134724 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(26,24),(24,27),(24,31),-0.144701 # DEPENDENCYPART_GRANDSIBL
(26,24),(24,27),(24,35),-0.144701 # DEPENDENCYPART_GRANDSIBL
(26,24),(24,27),(24,36),-0.203508 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,24),(24,31),(24,35),-0.144701 # DEPENDENCYPART_GRANDSIBL
(26,24),(24,31),(24,36),-0.120409 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,24),(24,35),(24,36),-0.151044 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,24),(24,24),(24,23),0.00427197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,24),(24,24),(24,-1),0.201166 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(26,24),(24,23),(24,-1),0.00926451 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,25),(25,25),(25,26),-0.153827 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,25),(25,25),(25,27),-0.14672 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,25),(25,25),(25,28),-0.151648 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,25),(25,25),(25,30),-0.150403 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,25),(25,25),(25,31),-0.150403 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,25),(25,25),(25,32),-0.153827 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,25),(25,25),(25,33),-0.14672 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,25),(25,25),(25,34),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,25),(25,25),(25,35),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,25),(25,25),(25,36),-0.137292 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(26,25),(25,26),(25,27),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,25),(25,26),(25,28),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,25),(25,26),(25,30),-0.14471 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,25),(25,26),(25,31),-0.14471 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,25),(25,26),(25,32),-0.145166 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,25),(25,26),(25,33),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,25),(25,26),(25,34),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,25),(25,26),(25,35),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,25),(25,26),(25,36),-0.134726 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(26,25),(25,27),(25,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(26,25),(25,27),(25,30),-0.144701 # DEPENDENCYPART_GRANDSIBL
(26,25),(25,27),(25,31),-0.144701 # DEPENDENCYPART_GRANDSIBL
(26,25),(25,27),(25,32),-0.14471 # DEPENDENCYPART_GRANDSIBL
(26,25),(25,27),(25,33),-0.144701 # DEPENDENCYPART_GRANDSIBL
(26,25),(25,27),(25,34),-0.144701 # DEPENDENCYPART_GRANDSIBL
(26,25),(25,27),(25,35),-0.144701 # DEPENDENCYPART_GRANDSIBL
(26,25),(25,27),(25,36),-0.211513 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,25),(25,28),(25,30),-0.022135 # DEPENDENCYPART_GRANDSIBL
(26,25),(25,28),(25,31),-0.0901298 # DEPENDENCYPART_GRANDSIBL
(26,25),(25,28),(25,32),-0.102843 # DEPENDENCYPART_GRANDSIBL
(26,25),(25,28),(25,33),-0.101737 # DEPENDENCYPART_GRANDSIBL
(26,25),(25,28),(25,34),0.0265455 # DEPENDENCYPART_GRANDSIBL
(26,25),(25,28),(25,35),0.0154744 # DEPENDENCYPART_GRANDSIBL
(26,25),(25,28),(25,36),-0.0288991 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,25),(25,30),(25,31),-0.148317 # DEPENDENCYPART_GRANDSIBL
(26,25),(25,30),(25,32),-0.145092 # DEPENDENCYPART_GRANDSIBL
(26,25),(25,30),(25,33),-0.144701 # DEPENDENCYPART_GRANDSIBL
(26,25),(25,30),(25,34),-0.144701 # DEPENDENCYPART_GRANDSIBL
(26,25),(25,30),(25,35),-0.144701 # DEPENDENCYPART_GRANDSIBL
(26,25),(25,30),(25,36),-0.119897 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,25),(25,31),(25,32),-0.145092 # DEPENDENCYPART_GRANDSIBL
(26,25),(25,31),(25,33),-0.144701 # DEPENDENCYPART_GRANDSIBL
(26,25),(25,31),(25,34),-0.144701 # DEPENDENCYPART_GRANDSIBL
(26,25),(25,31),(25,35),-0.144701 # DEPENDENCYPART_GRANDSIBL
(26,25),(25,31),(25,36),-0.120629 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,25),(25,32),(25,33),-0.144701 # DEPENDENCYPART_GRANDSIBL
(26,25),(25,32),(25,34),-0.144701 # DEPENDENCYPART_GRANDSIBL
(26,25),(25,32),(25,35),-0.144701 # DEPENDENCYPART_GRANDSIBL
(26,25),(25,32),(25,36),-0.134726 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,25),(25,33),(25,34),-0.144701 # DEPENDENCYPART_GRANDSIBL
(26,25),(25,33),(25,35),-0.144701 # DEPENDENCYPART_GRANDSIBL
(26,25),(25,33),(25,36),-0.212469 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,25),(25,34),(25,35),-0.144701 # DEPENDENCYPART_GRANDSIBL
(26,25),(25,34),(25,36),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,25),(25,35),(25,36),-0.151044 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,25),(25,25),(25,24),-0.157075 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
