# _root_ Gains in advertising revenue , however , resulted in operating profit of $ 78.4 million -- up 20 % from $ 65.6 million .
#goldHeads=8,1,4,2,8,8,8,0,8,11,9,11,12,13,13,13,13,19,17,17,20,21,21,8,
#predictedHeads=8,1,4,2,8,8,8,0,8,11,9,11,12,13,13,13,13,19,17,17,20,21,21,8,
(13,19),(19,18),(19,10),-0.124886 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,18),(19,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,18),(19,-1),-0.139409 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,17),(19,16),0.119164 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,17),(19,15),0.119164 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,17),(19,14),0.119164 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,17),(19,13),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,17),(19,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,17),(19,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,17),(19,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,17),(19,-1),-0.13976 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,16),(19,15),0.119164 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,16),(19,14),0.119164 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,16),(19,13),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,16),(19,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,16),(19,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,16),(19,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,16),(19,-1),-0.109179 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,15),(19,14),0.119122 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,15),(19,13),0.119124 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,15),(19,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,15),(19,10),-0.124886 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,15),(19,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,15),(19,-1),-0.141335 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,14),(19,13),0.119124 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,14),(19,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,14),(19,10),-0.124886 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,14),(19,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,14),(19,-1),-0.139409 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,13),(19,12),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,19),(19,13),(19,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,19),(19,13),(19,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,19),(19,13),(19,-1),-0.129455 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,19),(19,12),(19,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,12),(19,9),-0.124914 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,12),(19,-1),-0.141603 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,10),(19,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,19),(19,10),(19,-1),-0.131869 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,19),(19,9),(19,-1),-0.139586 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,20),(20,21),-0.0582041 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,22),-0.0711357 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,23),-0.0711375 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,25),-0.0502762 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,20),(20,21),(20,22),-0.041999 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,21),(20,23),-0.041999 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,21),(20,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,21),(20,25),-0.0576964 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,22),(20,23),-0.0424518 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,22),(20,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,22),(20,25),-0.06853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,23),(20,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,23),(20,25),-0.0685324 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,24),(20,25),-0.0419988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,20),(20,19),0.127764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,18),0.111548 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,17),0.122447 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,-1),0.00553128 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,20),(20,19),(20,18),0.119164 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,19),(20,17),0.119164 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,19),(20,-1),-0.120569 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,18),(20,17),0.119164 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,18),(20,-1),-0.135823 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,17),(20,-1),-0.123029 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,21),(21,21),(21,22),-0.0372967 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,21),(21,21),(21,23),-0.037461 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,21),(21,21),(21,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,21),(21,21),(21,25),0.0560136 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,21),(21,22),(21,23),-0.0346468 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,22),(21,24),-0.0423913 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,22),(21,25),-0.0422387 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,21),(21,23),(21,24),-0.0424714 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,23),(21,25),-0.042241 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,21),(21,24),(21,25),-0.0420316 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,21),(21,21),(21,20),0.104786 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,21),(21,21),(21,19),0.11915 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,21),(21,21),(21,18),0.112094 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,21),(21,21),(21,17),0.114658 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,21),(21,21),(21,-1),0.0233107 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,21),(21,20),(21,19),0.119157 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,20),(21,18),0.118137 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,20),(21,17),0.110423 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,20),(21,-1),-0.13733 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,21),(21,19),(21,18),0.119164 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,19),(21,17),0.119164 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,19),(21,-1),-0.124902 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,21),(21,18),(21,17),0.119164 # DEPENDENCYPART_GRANDSIBL
(13,21),(21,18),(21,-1),-0.132274 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,21),(21,17),(21,-1),-0.136721 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,22),(22,23),-0.0308021 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,25),0.238431 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,22),(22,23),(22,25),-0.0422934 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,22),(22,21),0.0906282 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,18),0.102731 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,-1),0.0515312 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,22),(22,21),(22,18),0.119138 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,21),(22,-1),-0.156346 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,18),(22,-1),-0.141331 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,23),(23,25),0.305858 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,23),(23,23),(23,22),0.0986423 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,21),0.0905944 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,19),0.115911 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,12),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,-1),0.106171 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,23),(23,22),(23,21),0.119154 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,22),(23,19),0.119164 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,22),(23,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,22),(23,-1),-0.14541 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,21),(23,19),0.119162 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,21),(23,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,21),(23,-1),-0.156382 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,19),(23,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,19),(23,-1),-0.128159 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,12),(23,-1),-0.12577 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,24),(24,24),(24,25),-0.0854534 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,24),(24,24),(24,-1),-0.164912 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,2),(2,2),(2,3),0.131646 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,2),(2,2),(2,4),0.131646 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,2),(2,2),(2,5),0.114032 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,2),(2,2),(2,6),0.12263 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,2),(2,2),(2,7),0.114032 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,2),(2,2),(2,8),0.117053 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,2),(2,2),(2,9),0.118304 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,2),(2,2),(2,25),-0.178087 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,2),(2,3),(2,4),0.119158 # DEPENDENCYPART_GRANDSIBL
(14,2),(2,3),(2,5),0.119138 # DEPENDENCYPART_GRANDSIBL
(14,2),(2,3),(2,6),0.119117 # DEPENDENCYPART_GRANDSIBL
(14,2),(2,3),(2,7),0.119138 # DEPENDENCYPART_GRANDSIBL
(14,2),(2,3),(2,8),0.119164 # DEPENDENCYPART_GRANDSIBL
(14,2),(2,3),(2,9),0.119161 # DEPENDENCYPART_GRANDSIBL
(14,2),(2,3),(2,25),-0.113777 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,2),(2,4),(2,5),0.119138 # DEPENDENCYPART_GRANDSIBL
(14,2),(2,4),(2,6),0.119117 # DEPENDENCYPART_GRANDSIBL
(14,2),(2,4),(2,7),0.119138 # DEPENDENCYPART_GRANDSIBL
(14,2),(2,4),(2,8),0.119164 # DEPENDENCYPART_GRANDSIBL
(14,2),(2,4),(2,9),0.119161 # DEPENDENCYPART_GRANDSIBL
(14,2),(2,4),(2,25),-0.113777 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,2),(2,5),(2,6),0.119164 # DEPENDENCYPART_GRANDSIBL
(14,2),(2,5),(2,7),0.119164 # DEPENDENCYPART_GRANDSIBL
(14,2),(2,5),(2,8),0.119164 # DEPENDENCYPART_GRANDSIBL
(14,2),(2,5),(2,9),0.119164 # DEPENDENCYPART_GRANDSIBL
(14,2),(2,5),(2,25),-0.129463 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,2),(2,6),(2,7),0.11916 # DEPENDENCYPART_GRANDSIBL
(14,2),(2,6),(2,8),0.119164 # DEPENDENCYPART_GRANDSIBL
(14,2),(2,6),(2,9),0.119164 # DEPENDENCYPART_GRANDSIBL
(14,2),(2,6),(2,25),-0.123259 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,2),(2,7),(2,8),0.119164 # DEPENDENCYPART_GRANDSIBL
(14,2),(2,7),(2,9),0.119164 # DEPENDENCYPART_GRANDSIBL
(14,2),(2,7),(2,25),-0.129463 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,2),(2,8),(2,9),0.119164 # DEPENDENCYPART_GRANDSIBL
(14,2),(2,8),(2,25),-0.128167 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,2),(2,9),(2,25),-0.125756 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,2),(2,2),(2,1),0.0264865 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,2),(2,2),(2,-1),-0.135172 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,2),(2,1),(2,-1),0.00859786 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,11),(11,12),0.112176 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,13),0.118998 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,14),-0.129096 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,11),(11,11),(11,15),-0.129096 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,16),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,17),-0.125054 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,18),-0.129096 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,19),-0.12773 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,20),-0.125978 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,23),-0.129096 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,24),-0.124892 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,25),-0.286712 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,11),(11,12),(11,13),0.119164 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,12),(11,14),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,12),(11,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,12),(11,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,12),(11,17),-0.124892 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,12),(11,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,12),(11,19),-0.124896 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,12),(11,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,12),(11,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,12),(11,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,12),(11,25),-0.133479 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,13),(11,14),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,13),(11,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,13),(11,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,13),(11,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,13),(11,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,13),(11,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,13),(11,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,13),(11,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,13),(11,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,13),(11,25),-0.12499 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,14),(11,15),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,14),(11,16),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,14),(11,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,14),(11,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,14),(11,19),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,14),(11,20),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,14),(11,23),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,14),(11,24),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,14),(11,25),-0.0790033 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,11),(11,15),(11,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,15),(11,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,15),(11,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,15),(11,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,15),(11,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,15),(11,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,15),(11,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,15),(11,25),-0.0818376 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,16),(11,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,16),(11,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,16),(11,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,16),(11,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,16),(11,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,16),(11,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,16),(11,25),-0.127713 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,17),(11,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,17),(11,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,17),(11,20),-0.124891 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,17),(11,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,17),(11,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,17),(11,25),-0.125855 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,18),(11,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,18),(11,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,18),(11,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,18),(11,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,18),(11,25),-0.0766676 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,19),(11,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,19),(11,23),-0.124886 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,19),(11,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,19),(11,25),-0.120991 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,20),(11,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,20),(11,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,20),(11,25),-0.133502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,23),(11,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,23),(11,25),-0.0818376 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,24),(11,25),-0.124892 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,11),(11,10),-0.0329649 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,9),-0.0764205 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,8),-0.0705335 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,7),-0.0367844 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,6),-0.0503026 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,5),-0.0367844 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,1),-0.0329649 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,-1),0.00858197 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,11),(11,10),(11,9),-0.042009 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,10),(11,8),-0.0424119 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,10),(11,7),-0.0385575 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,10),(11,6),-0.042023 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,10),(11,5),-0.0385575 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,10),(11,1),-0.0389449 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,10),(11,-1),-0.0341128 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,9),(11,8),-0.0425018 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,9),(11,7),-0.0454158 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,9),(11,6),-0.0383381 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,9),(11,5),-0.0454158 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,9),(11,1),-0.042169 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,9),(11,-1),-0.076564 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,8),(11,7),-0.0431649 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,8),(11,6),-0.0423589 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,8),(11,5),-0.0431649 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,8),(11,1),-0.0421919 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,8),(11,-1),-0.0733687 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,7),(11,6),-0.0431686 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,7),(11,5),-0.0436705 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,7),(11,1),-0.0285593 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,7),(11,-1),-0.0450103 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,6),(11,5),-0.0422554 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,6),(11,1),-0.0420025 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,6),(11,-1),-0.0469757 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,5),(11,1),-0.0285593 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,5),(11,-1),-0.0450103 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,1),(11,-1),-0.0341128 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,12),(12,12),(12,13),0.118837 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,14),-0.125031 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,12),(12,12),(12,15),-0.125031 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,16),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,18),-0.125031 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,19),-0.125746 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,20),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,25),-0.181905 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,12),(12,13),(12,14),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,12),(12,13),(12,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,13),(12,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,13),(12,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,13),(12,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,13),(12,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,13),(12,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,13),(12,25),-0.125266 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,12),(12,14),(12,15),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,14),(12,16),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,14),(12,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,14),(12,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,14),(12,19),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,14),(12,20),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,14),(12,25),-0.13863 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,12),(12,15),(12,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,15),(12,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,15),(12,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,15),(12,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
