# _root_ Great Northern surged 20 1\/8 to 62 7\/8 , well above Georgia-Pacific 's offering price of $ 58 a share , amid speculation that other suitors for the company would surface or that the bid would be raised .
#goldHeads=2,3,0,5,3,3,8,6,3,11,3,15,12,15,11,15,18,16,20,18,3,3,22,30,26,30,26,29,27,32,30,23,36,35,36,32,36,37,3,
#predictedHeads=2,3,0,5,3,3,8,6,3,11,3,15,12,15,11,15,18,16,20,18,3,3,22,30,26,30,26,29,27,23,30,31,36,35,36,32,36,37,3,
(26,30),(30,25),(30,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,25),(30,-1),-0.134328 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,30),(30,24),(30,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,24),(30,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,24),(30,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,24),(30,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,24),(30,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,24),(30,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,24),(30,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,24),(30,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,24),(30,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,24),(30,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,24),(30,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,24),(30,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,24),(30,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,24),(30,-1),-0.119946 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,30),(30,23),(30,22),-0.125247 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,23),(30,21),-0.124972 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,23),(30,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,23),(30,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,23),(30,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,23),(30,16),-0.125247 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,23),(30,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,23),(30,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,23),(30,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,23),(30,11),-0.125247 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,23),(30,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,23),(30,9),-0.124972 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,23),(30,-1),-0.0184396 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,30),(30,22),(30,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,22),(30,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,22),(30,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,22),(30,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,22),(30,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,22),(30,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,22),(30,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,22),(30,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,22),(30,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,22),(30,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,22),(30,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,22),(30,-1),-0.154847 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,30),(30,21),(30,20),-0.125183 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,21),(30,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,21),(30,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,21),(30,16),-0.125381 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,21),(30,15),-0.125183 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,21),(30,14),-0.125183 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,21),(30,12),-0.125183 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,21),(30,11),-0.12537 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,21),(30,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,21),(30,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,21),(30,-1),-0.147328 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,30),(30,20),(30,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,20),(30,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,20),(30,16),-0.125247 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,20),(30,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,20),(30,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,20),(30,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,20),(30,11),-0.125247 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,20),(30,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,20),(30,9),-0.124972 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,20),(30,-1),-0.0185704 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,30),(30,19),(30,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,19),(30,16),-0.12489 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,19),(30,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,19),(30,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,19),(30,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,19),(30,11),-0.12489 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,19),(30,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,19),(30,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,19),(30,-1),-0.112827 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,30),(30,17),(30,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,17),(30,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,17),(30,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,17),(30,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,17),(30,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,17),(30,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,17),(30,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,17),(30,-1),-0.125456 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,30),(30,16),(30,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,16),(30,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,16),(30,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,16),(30,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,16),(30,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,16),(30,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,16),(30,-1),-0.154359 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,30),(30,15),(30,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,15),(30,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,15),(30,11),-0.125247 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,15),(30,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,15),(30,9),-0.124972 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,15),(30,-1),-0.0185568 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,30),(30,14),(30,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,14),(30,11),-0.125247 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,14),(30,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,14),(30,9),-0.124972 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,14),(30,-1),-0.018675 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,30),(30,12),(30,11),-0.125247 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,12),(30,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,12),(30,9),-0.124972 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,12),(30,-1),-0.0184328 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,30),(30,11),(30,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,11),(30,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,11),(30,-1),-0.154859 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,30),(30,10),(30,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,30),(30,10),(30,-1),-0.151835 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,30),(30,9),(30,-1),-0.147328 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,31),(31,31),(31,32),-0.100778 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,31),(31,31),(31,33),-0.0717173 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,31),(31,31),(31,35),-0.030243 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,31),(31,31),(31,36),-0.0296659 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,31),(31,31),(31,37),-0.0471616 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,31),(31,31),(31,38),-0.0465369 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,31),(31,31),(31,39),-0.048883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,31),(31,31),(31,40),0.0673248 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(26,31),(31,32),(31,33),0.0864858 # DEPENDENCYPART_GRANDSIBL
(26,31),(31,32),(31,35),0.0469725 # DEPENDENCYPART_GRANDSIBL
(26,31),(31,32),(31,36),0.119822 # DEPENDENCYPART_GRANDSIBL
(26,31),(31,32),(31,37),0.138886 # DEPENDENCYPART_GRANDSIBL
(26,31),(31,32),(31,38),0.112489 # DEPENDENCYPART_GRANDSIBL
(26,31),(31,32),(31,39),0.04885 # DEPENDENCYPART_GRANDSIBL
(26,31),(31,32),(31,40),-0.0641827 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,31),(31,33),(31,35),-0.0432994 # DEPENDENCYPART_GRANDSIBL
(26,31),(31,33),(31,36),-0.0348874 # DEPENDENCYPART_GRANDSIBL
(26,31),(31,33),(31,37),-0.0328373 # DEPENDENCYPART_GRANDSIBL
(26,31),(31,33),(31,38),-0.030965 # DEPENDENCYPART_GRANDSIBL
(26,31),(31,33),(31,39),-0.0529863 # DEPENDENCYPART_GRANDSIBL
(26,31),(31,33),(31,40),-0.0489481 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,31),(31,35),(31,36),-0.0369407 # DEPENDENCYPART_GRANDSIBL
(26,31),(31,35),(31,37),-0.0556279 # DEPENDENCYPART_GRANDSIBL
(26,31),(31,35),(31,38),-0.0538379 # DEPENDENCYPART_GRANDSIBL
(26,31),(31,35),(31,39),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(26,31),(31,35),(31,40),-0.0526873 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,31),(31,36),(31,37),-0.0432888 # DEPENDENCYPART_GRANDSIBL
(26,31),(31,36),(31,38),-0.0432888 # DEPENDENCYPART_GRANDSIBL
(26,31),(31,36),(31,39),-0.042001 # DEPENDENCYPART_GRANDSIBL
(26,31),(31,36),(31,40),-0.0325172 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,31),(31,37),(31,38),-0.0437273 # DEPENDENCYPART_GRANDSIBL
(26,31),(31,37),(31,39),-0.0419652 # DEPENDENCYPART_GRANDSIBL
(26,31),(31,37),(31,40),-0.0986239 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,31),(31,38),(31,39),-0.0419652 # DEPENDENCYPART_GRANDSIBL
(26,31),(31,38),(31,40),-0.0894223 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,31),(31,39),(31,40),-0.0871039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,31),(31,31),(31,29),0.171014 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,31),(31,31),(31,27),0.211382 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,31),(31,31),(31,24),-0.157578 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,31),(31,31),(31,-1),0.044119 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(26,31),(31,29),(31,27),0.118788 # DEPENDENCYPART_GRANDSIBL
(26,31),(31,29),(31,24),-0.126308 # DEPENDENCYPART_GRANDSIBL
(26,31),(31,29),(31,-1),-0.025408 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,31),(31,27),(31,24),-0.124895 # DEPENDENCYPART_GRANDSIBL
(26,31),(31,27),(31,-1),-0.159669 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,31),(31,24),(31,-1),-0.151717 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,32),(32,32),(32,33),-0.0236742 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,32),(32,34),-0.00598815 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,32),(32,35),-0.0616041 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,32),(32,36),-0.0431188 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,32),(32,37),0.00665923 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,32),(32,38),0.0105706 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,32),(32,39),-0.0505759 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,32),(32,40),-0.299447 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(26,32),(32,33),(32,34),-0.0420754 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,33),(32,35),-0.047386 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,33),(32,36),-0.0425877 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,33),(32,37),-0.0488966 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,33),(32,38),-0.0488896 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,33),(32,39),-0.0421436 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,33),(32,40),-0.00777913 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,32),(32,34),(32,35),-0.0446267 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,34),(32,36),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,34),(32,37),-0.042545 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,34),(32,38),-0.042545 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,34),(32,39),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,34),(32,40),-0.0277565 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,32),(32,35),(32,36),-0.0411596 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,35),(32,37),-0.0554271 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,35),(32,38),-0.0554271 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,35),(32,39),-0.0393507 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,35),(32,40),-0.0399507 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,32),(32,36),(32,37),-0.0315069 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,36),(32,38),-0.0379828 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,36),(32,39),-0.0423238 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,36),(32,40),-0.0482603 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,32),(32,37),(32,38),-0.0386746 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,37),(32,39),-0.0441855 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,37),(32,40),-0.0652493 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,32),(32,38),(32,39),-0.0441855 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,38),(32,40),-0.066367 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,32),(32,39),(32,40),-0.0520377 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,32),(32,32),(32,31),0.204998 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,32),(32,30),0.1775 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,32),(32,29),0.167745 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,32),(32,28),0.145057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,32),(32,27),0.209128 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,32),(32,26),0.16883 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(26,32),(32,32),(32,25),-0.129367 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,32),(32,24),-0.126874 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,32),(32,23),-0.140492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,32),(32,22),-0.126874 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,32),(32,21),-0.125396 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,32),(32,19),-0.124926 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,32),(32,18),-0.125843 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,32),(32,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,32),(32,16),-0.127526 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,32),(32,11),-0.126874 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,32),(32,8),-0.125843 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,32),(32,7),-0.125843 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,32),(32,6),-0.126068 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,32),(32,3),-0.134186 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,32),(32,-1),-0.435816 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(26,32),(32,31),(32,30),0.10813 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,31),(32,29),0.0848389 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,31),(32,28),0.119871 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,31),(32,27),0.0947417 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,31),(32,26),0.0866835 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,32),(32,31),(32,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,31),(32,24),-0.125219 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,31),(32,23),-0.125961 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,31),(32,22),-0.125219 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,31),(32,21),-0.124937 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,31),(32,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,31),(32,18),-0.124967 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,31),(32,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,31),(32,16),-0.125219 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,31),(32,11),-0.125219 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,31),(32,8),-0.124967 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,31),(32,7),-0.124967 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,31),(32,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,31),(32,3),-0.12489 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,31),(32,-1),-0.0940488 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,32),(32,30),(32,29),0.112006 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,30),(32,28),0.123218 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,30),(32,27),0.126941 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,30),(32,26),0.11201 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,32),(32,30),(32,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,30),(32,24),-0.125114 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,30),(32,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,30),(32,22),-0.125 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,30),(32,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,30),(32,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,30),(32,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,30),(32,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,30),(32,16),-0.125 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,30),(32,11),-0.125 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,30),(32,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,30),(32,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,30),(32,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,30),(32,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,30),(32,-1),-0.0990236 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,32),(32,29),(32,28),0.116413 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,29),(32,27),0.104485 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,29),(32,26),0.138604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,32),(32,29),(32,25),-0.125169 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,29),(32,24),-0.126621 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,29),(32,23),-0.128441 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,29),(32,22),-0.12654 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,29),(32,21),-0.126217 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,29),(32,19),-0.124921 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,29),(32,18),-0.125241 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,29),(32,17),-0.124897 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,29),(32,16),-0.126695 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,29),(32,11),-0.12654 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,29),(32,8),-0.125241 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,29),(32,7),-0.125241 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,29),(32,6),-0.125118 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,29),(32,3),-0.126004 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,29),(32,-1),-0.235137 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,32),(32,28),(32,27),0.116069 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,28),(32,26),0.11825 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,32),(32,28),(32,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,28),(32,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,28),(32,23),-0.124887 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,28),(32,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,28),(32,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,28),(32,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,28),(32,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,28),(32,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,28),(32,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,28),(32,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,28),(32,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,28),(32,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,28),(32,6),-0.124916 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,28),(32,3),-0.124896 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,28),(32,-1),-0.0767532 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,32),(32,27),(32,26),0.115185 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,32),(32,27),(32,25),-0.12489 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,27),(32,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,27),(32,23),-0.124921 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,27),(32,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,27),(32,21),-0.124913 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,27),(32,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,27),(32,18),-0.124914 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,27),(32,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,27),(32,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,27),(32,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,27),(32,8),-0.124914 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,27),(32,7),-0.124914 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,27),(32,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,27),(32,3),-0.124887 # DEPENDENCYPART_GRANDSIBL
(26,32),(32,27),(32,-1),-0.0324839 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(26,32),(32,26),(32,25),-0.125169 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,26),(32,24),-0.126621 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,26),(32,23),-0.128441 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,26),(32,22),-0.12654 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,26),(32,21),-0.126217 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,26),(32,19),-0.124921 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(26,32),(32,26),(32,18),-0.125241 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
