# _root_ Aaron Ment , Connecticut 's chief court administrator , declined to comment on the suit and the EEOC 's intervention .
#goldHeads=2,10,2,8,4,8,8,2,2,0,12,10,12,15,16,13,18,20,18,16,10,
#predictedHeads=2,10,2,8,4,8,8,2,2,0,12,10,12,15,16,13,18,20,18,16,10,
(8,16),(16,16),(16,17),0.00130288 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,18),-0.0650639 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,19),-0.0617533 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,20),-0.0650639 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,21),-0.053435 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,22),-0.335746 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,16),(16,17),(16,18),-0.0457485 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,19),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,20),-0.0457485 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,17),(16,22),-0.0320557 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,18),(16,19),-0.0422028 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,20),-0.0585896 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,21),-0.0366662 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,22),0.00375299 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,19),(16,20),-0.0445378 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,19),(16,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,19),(16,22),-0.0579334 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,20),(16,21),-0.0366662 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,20),(16,22),0.00375299 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,21),(16,22),-0.0552103 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,16),(16,15),0.20376 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,14),0.139643 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,13),0.231328 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,12),0.229981 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,11),0.101217 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,10),0.22995 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,9),0.120352 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,8),0.20376 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,16),(16,16),(16,7),-0.145575 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,6),-0.130443 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,4),-0.145575 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,3),-0.125566 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,2),-0.145575 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,1),-0.145575 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,-1),-0.515856 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,16),(16,15),(16,14),0.103989 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,13),0.0835438 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,12),0.112267 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,11),0.106636 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,10),0.112606 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,9),0.107145 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,8),0.160171 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,15),(16,7),-0.130147 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,6),-0.125453 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,4),-0.130147 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,3),-0.12646 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,2),-0.130147 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,1),-0.130147 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,-1),-0.214222 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,14),(16,13),0.114144 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,12),0.115156 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,11),0.126374 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,10),0.115156 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,9),0.113719 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,8),0.117878 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,14),(16,7),-0.12489 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,4),-0.12489 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,2),-0.12489 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,1),-0.12489 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,-1),-0.0811357 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,13),(16,12),0.107321 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,13),(16,11),0.117671 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,13),(16,10),0.107324 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,13),(16,9),0.12905 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,13),(16,8),0.114438 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,13),(16,7),-0.124957 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,13),(16,6),-0.124896 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,13),(16,4),-0.124957 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,13),(16,3),-0.124927 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,13),(16,2),-0.124957 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,13),(16,1),-0.124957 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,13),(16,-1),-0.0302318 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,12),(16,11),0.157614 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,12),(16,10),0.100133 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,12),(16,9),0.142451 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,12),(16,8),0.0700532 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,12),(16,7),-0.126439 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,12),(16,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,12),(16,4),-0.126439 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,12),(16,3),-0.124964 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,12),(16,2),-0.126439 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,12),(16,1),-0.126439 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,12),(16,-1),-0.120621 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,11),(16,10),0.105307 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,11),(16,9),0.126702 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,11),(16,8),0.10354 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,11),(16,7),-0.124892 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,11),(16,6),-0.124892 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,11),(16,4),-0.124892 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,11),(16,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,11),(16,2),-0.124892 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,11),(16,1),-0.124892 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,11),(16,-1),-0.0677199 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,10),(16,9),0.142357 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,10),(16,8),0.069688 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,10),(16,7),-0.126439 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,10),(16,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,10),(16,4),-0.126439 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,10),(16,3),-0.124964 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,10),(16,2),-0.126439 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,10),(16,1),-0.126439 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,10),(16,-1),-0.120688 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,9),(16,8),0.139453 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,9),(16,7),-0.129249 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,9),(16,6),-0.125147 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,9),(16,4),-0.129249 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,9),(16,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,9),(16,2),-0.129249 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,9),(16,1),-0.129249 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,9),(16,-1),-0.124489 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,8),(16,7),-0.130147 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,8),(16,6),-0.125453 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,8),(16,4),-0.130147 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,8),(16,3),-0.12646 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,8),(16,2),-0.130147 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,8),(16,1),-0.130147 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,8),(16,-1),-0.21416 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,16),(16,7),(16,6),-0.125453 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,7),(16,4),-0.130147 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,7),(16,3),-0.12646 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,7),(16,2),-0.130147 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,7),(16,1),-0.130147 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,7),(16,-1),-0.218993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,6),(16,4),-0.126474 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,6),(16,3),-0.124886 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,6),(16,2),-0.126474 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,6),(16,1),-0.126474 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,6),(16,-1),-0.0061662 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,4),(16,3),-0.12646 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,4),(16,2),-0.130147 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,4),(16,1),-0.130147 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,4),(16,-1),-0.21416 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,3),(16,2),-0.129249 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,3),(16,1),-0.129249 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,3),(16,-1),-0.124489 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,2),(16,1),-0.130147 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,2),(16,-1),-0.21416 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,1),(16,-1),-0.21416 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,20),(20,20),(20,21),0.0853674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,20),(20,20),(20,22),0.0992278 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,20),(20,21),(20,22),0.0957853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,20),(20,20),(20,19),0.233747 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,20),(20,20),(20,18),0.152161 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,20),(20,20),(20,17),0.113197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,20),(20,20),(20,16),0.042316 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,20),(20,20),(20,15),0.15216 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,20),(20,20),(20,14),0.113197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,20),(20,20),(20,13),0.181901 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,20),(20,20),(20,12),0.125822 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,20),(20,20),(20,-1),0.0233722 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,20),(20,19),(20,18),0.112201 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,19),(20,17),0.114575 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,19),(20,16),0.117149 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,19),(20,15),0.112201 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,19),(20,14),0.114575 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,19),(20,13),0.119028 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,19),(20,12),0.114744 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,19),(20,-1),0.0752228 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,20),(20,18),(20,17),0.132622 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,18),(20,16),0.105275 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,18),(20,15),0.111201 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,18),(20,14),0.132622 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,18),(20,13),0.115176 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,18),(20,12),0.114163 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,18),(20,-1),-0.143132 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,20),(20,17),(20,16),0.132243 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,17),(20,15),0.147667 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,17),(20,14),0.115968 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,17),(20,13),0.114631 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,17),(20,12),0.118431 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,17),(20,-1),-0.162419 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,20),(20,16),(20,15),0.0409092 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,16),(20,14),0.102954 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,16),(20,13),0.17712 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,16),(20,12),0.167564 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,16),(20,-1),-0.217966 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,20),(20,15),(20,14),0.13262 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,15),(20,13),0.115176 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,15),(20,12),0.114163 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,15),(20,-1),-0.143138 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,20),(20,14),(20,13),0.114631 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,14),(20,12),0.118431 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,14),(20,-1),-0.162419 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,20),(20,13),(20,12),0.118606 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,13),(20,-1),-0.103984 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,20),(20,12),(20,-1),-0.17387 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,21),(21,21),(21,22),-0.00516393 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,21),(21,21),(21,20),0.102454 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,21),(21,21),(21,-1),-0.0509464 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,21),(21,20),(21,-1),-0.141525 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,1),(1,2),0.0379853 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,3),0.031704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,4),0.0379852 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,5),0.102987 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,8),0.037984 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,9),0.031704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,10),-0.0935854 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,1),(1,1),(1,22),-0.168927 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,1),(1,2),(1,3),0.155788 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,2),(1,4),0.118455 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,2),(1,5),0.122047 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,2),(1,8),0.118455 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,2),(1,9),0.155788 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,2),(1,10),-0.125993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,2),(1,22),-0.110975 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,3),(1,4),0.19651 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,3),(1,5),0.118158 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,3),(1,8),0.197738 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,3),(1,9),0.085871 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,3),(1,10),-0.141133 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,3),(1,22),-0.132698 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,4),(1,5),0.122047 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,4),(1,8),0.118455 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,4),(1,9),0.155788 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,4),(1,10),-0.125993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,4),(1,22),-0.110568 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,5),(1,8),0.117819 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,5),(1,9),0.130774 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,5),(1,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,5),(1,22),-0.1564 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,8),(1,9),0.157088 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,8),(1,10),-0.125993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,8),(1,22),-0.111048 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,9),(1,10),-0.141133 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,9),(1,22),-0.132698 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,10),(1,22),-0.0780019 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,1),(1,1),(1,-1),0.0562541 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,2),(2,2),(2,3),0.031704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,4),0.0379852 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,5),0.102987 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,6),0.131448 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,7),0.0356301 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,8),0.037984 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,9),0.031704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,10),-0.0935854 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,2),(2,2),(2,12),-0.0934837 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,13),-0.0148202 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,15),-0.00690183 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,16),-0.104853 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,20),-0.0069011 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,21),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,22),-0.168927 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,2),(2,3),(2,4),0.19651 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,5),0.118158 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,6),0.147537 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,7),0.195545 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,8),0.197738 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,9),0.085871 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,10),-0.141133 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,3),(2,12),-0.141133 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,13),-0.132431 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,15),-0.14225 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,16),-0.157686 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,20),-0.14225 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,21),-0.125335 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,22),-0.132698 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,4),(2,5),0.122047 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,6),0.122262 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,7),0.117798 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,8),0.118455 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,9),0.155788 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,10),-0.125993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,4),(2,12),-0.125993 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,13),-0.12362 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,15),-0.10657 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,16),-0.125988 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,20),-0.10657 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,22),-0.110568 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,5),(2,6),0.113899 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,5),(2,7),0.117819 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,5),(2,8),0.117819 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,5),(2,9),0.130774 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,5),(2,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,5),(2,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,5),(2,13),-0.124916 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,5),(2,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,5),(2,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,5),(2,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,5),(2,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,5),(2,22),-0.1564 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,6),(2,7),0.0637822 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,6),(2,8),0.0637822 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,6),(2,9),0.155322 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,6),(2,10),-0.125348 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,6),(2,12),-0.125348 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,6),(2,13),-0.126251 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,6),(2,15),-0.12666 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,6),(2,16),-0.12503 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,6),(2,20),-0.12666 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,6),(2,21),-0.130349 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,6),(2,22),-0.0673864 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,7),(2,8),0.118908 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,7),(2,9),0.155087 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,7),(2,10),-0.125993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,7),(2,12),-0.125993 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,7),(2,13),-0.12362 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,7),(2,15),-0.106586 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,7),(2,16),-0.125988 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,7),(2,20),-0.106586 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,7),(2,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,7),(2,22),-0.113296 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
