# _root_ `` Psyllium 's not a good crop , '' complains Sooraji Jath , a 26-year-old farmer from the village of Lakshmipura . ``
#goldHeads=10,3,10,3,7,7,3,10,10,0,12,10,12,16,16,12,16,19,17,19,20,10,10,
#predictedHeads=10,3,10,3,7,7,3,10,10,0,12,10,12,16,16,12,16,19,17,19,20,10,10,
(7,16),(16,16),(16,7),0.160878 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,16),(16,16),(16,6),-0.147939 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,16),(16,16),(16,5),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,16),(16,16),(16,-1),-0.0154772 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,16),(16,15),(16,14),0.122119 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,15),(16,13),0.0775511 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,15),(16,12),0.123256 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,15),(16,11),0.123256 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,15),(16,8),0.0775511 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,15),(16,7),0.123256 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,15),(16,6),-0.14473 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,15),(16,5),-0.144716 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,15),(16,-1),-0.193462 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,16),(16,14),(16,13),0.10746 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,14),(16,12),0.122034 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,14),(16,11),0.122034 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,14),(16,8),0.10746 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,14),(16,7),0.122034 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,14),(16,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,14),(16,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,14),(16,-1),-0.0899434 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,16),(16,13),(16,12),0.118238 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,13),(16,11),0.118238 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,13),(16,8),0.108616 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,13),(16,7),0.118224 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,13),(16,6),-0.145104 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,13),(16,5),-0.144708 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,13),(16,-1),-0.0334281 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,16),(16,12),(16,11),0.0909524 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,12),(16,8),0.116649 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,12),(16,7),0.0909524 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,12),(16,6),-0.144729 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,12),(16,5),-0.145184 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,12),(16,-1),-0.174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,16),(16,11),(16,8),0.116649 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,11),(16,7),0.0909524 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,11),(16,6),-0.144729 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,11),(16,5),-0.145184 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,11),(16,-1),-0.174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,16),(16,8),(16,7),0.118224 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,8),(16,6),-0.145104 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,8),(16,5),-0.144708 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,8),(16,-1),-0.0334281 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,16),(16,7),(16,6),-0.144729 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,16),(16,7),(16,5),-0.145184 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,16),(16,7),(16,-1),-0.174013 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,16),(16,6),(16,5),-0.144716 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,6),(16,-1),-0.196194 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,16),(16,5),(16,-1),-0.0899434 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,17),(17,18),-0.0187965 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,17),(17,17),(17,19),0.1057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,17),(17,17),(17,20),-0.0310251 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,17),(17,17),(17,21),0.103236 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,17),(17,17),(17,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,17),(17,17),(17,23),0.0172401 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,17),(17,17),(17,24),-0.353524 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,17),(17,18),(17,19),-0.0236757 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,18),(17,20),-0.014725 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,18),(17,21),-0.0236757 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,18),(17,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,18),(17,23),-0.0194454 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,18),(17,24),-0.000200791 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,19),(17,20),-0.0174492 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,19),(17,21),-0.0518942 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,19),(17,22),-0.0194417 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,19),(17,23),-0.0216476 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,19),(17,24),0.0366578 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,20),(17,21),-0.0226714 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,20),(17,22),-0.019665 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,20),(17,23),-0.0194468 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,20),(17,24),-0.0408115 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,21),(17,22),-0.0194417 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,21),(17,23),-0.0216476 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,21),(17,24),0.0341943 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,22),(17,23),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,22),(17,24),-0.0238712 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,23),(17,24),-0.0243998 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,17),(17,16),0.0385621 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,17),(17,17),(17,15),0.147029 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,17),(17,17),(17,-1),-0.105882 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,17),(17,16),(17,15),0.109263 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,16),(17,-1),-0.196677 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,15),(17,-1),-0.17112 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,19),(19,19),(19,20),0.00981016 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,19),(19,19),(19,21),-0.131973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,19),(19,19),(19,22),0.0757667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,19),(19,19),(19,23),-0.0324136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,19),(19,19),(19,24),0.132558 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,19),(19,20),(19,21),-0.0174279 # DEPENDENCYPART_GRANDSIBL
(7,19),(19,20),(19,22),-0.0210534 # DEPENDENCYPART_GRANDSIBL
(7,19),(19,20),(19,23),-0.0208366 # DEPENDENCYPART_GRANDSIBL
(7,19),(19,20),(19,24),-0.00720016 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,19),(19,21),(19,22),-0.0111699 # DEPENDENCYPART_GRANDSIBL
(7,19),(19,21),(19,23),-0.0294511 # DEPENDENCYPART_GRANDSIBL
(7,19),(19,21),(19,24),0.0259135 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,19),(19,22),(19,23),-0.0196249 # DEPENDENCYPART_GRANDSIBL
(7,19),(19,22),(19,24),0.0744321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,19),(19,23),(19,24),-0.0283036 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,19),(19,19),(19,18),0.103399 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,19),(19,19),(19,17),0.14911 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,19),(19,19),(19,16),0.160731 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,19),(19,19),(19,15),0.0806831 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,19),(19,19),(19,14),0.115107 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,19),(19,19),(19,-1),-0.0159944 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,19),(19,18),(19,17),0.105497 # DEPENDENCYPART_GRANDSIBL
(7,19),(19,18),(19,16),0.129835 # DEPENDENCYPART_GRANDSIBL
(7,19),(19,18),(19,15),0.128995 # DEPENDENCYPART_GRANDSIBL
(7,19),(19,18),(19,14),0.107531 # DEPENDENCYPART_GRANDSIBL
(7,19),(19,18),(19,-1),-0.158139 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,19),(19,17),(19,16),0.10467 # DEPENDENCYPART_GRANDSIBL
(7,19),(19,17),(19,15),0.10632 # DEPENDENCYPART_GRANDSIBL
(7,19),(19,17),(19,14),0.108891 # DEPENDENCYPART_GRANDSIBL
(7,19),(19,17),(19,-1),-0.11676 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,19),(19,16),(19,15),0.134058 # DEPENDENCYPART_GRANDSIBL
(7,19),(19,16),(19,14),0.167155 # DEPENDENCYPART_GRANDSIBL
(7,19),(19,16),(19,-1),-0.174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,19),(19,15),(19,14),0.122119 # DEPENDENCYPART_GRANDSIBL
(7,19),(19,15),(19,-1),-0.193462 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,19),(19,14),(19,-1),-0.0877505 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,22),(22,22),(22,24),0.00397739 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,22),(22,22),(22,20),0.109123 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,22),(22,22),(22,17),0.109218 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,22),(22,22),(22,-1),-0.112602 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,22),(22,20),(22,17),0.10954 # DEPENDENCYPART_GRANDSIBL
(7,22),(22,20),(22,-1),-0.145167 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,22),(22,17),(22,-1),-0.145072 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,1),(1,24),-0.125896 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,1),(1,1),(1,-1),-0.00205591 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,2),(2,2),(2,3),0.129945 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,4),0.122459 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,7),0.0242071 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,8),0.0498544 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,9),0.103557 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,10),-0.125783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,12),-0.0538671 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,13),-0.144869 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,16),-0.0538671 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,22),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,24),-0.181995 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,2),(2,3),(2,4),0.106038 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,7),0.117926 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,8),0.163548 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,9),0.119437 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,10),-0.142049 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,12),-0.142064 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,13),-0.161397 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,16),-0.142064 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,22),-0.144708 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,3),(2,24),-0.151952 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,4),(2,7),0.119144 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,8),0.0618178 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,9),0.10928 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,10),-0.145353 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,12),-0.144852 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,13),-0.144746 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,16),-0.144852 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,24),-0.134904 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,7),(2,8),0.139915 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,7),(2,9),0.116969 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,7),(2,10),-0.145067 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,7),(2,12),-0.139044 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,7),(2,13),-0.158908 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,7),(2,16),-0.139044 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,7),(2,22),-0.144958 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,7),(2,24),-0.113883 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,8),(2,9),0.0867909 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,8),(2,10),-0.159637 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,8),(2,12),-0.16103 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,8),(2,13),-0.144812 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,8),(2,16),-0.16103 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,8),(2,22),-0.144938 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,8),(2,24),-0.13725 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,9),(2,10),-0.145369 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,9),(2,12),-0.145569 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,9),(2,13),-0.145047 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,9),(2,16),-0.145569 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,9),(2,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,9),(2,24),-0.181422 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,10),(2,12),-0.142064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,10),(2,13),-0.161397 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,10),(2,16),-0.142064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,10),(2,22),-0.144708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,10),(2,24),-0.138197 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,2),(2,12),(2,13),-0.158908 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,12),(2,16),-0.139044 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,12),(2,22),-0.144958 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,12),(2,24),-0.113875 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,13),(2,16),-0.16103 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,13),(2,22),-0.144938 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,13),(2,24),-0.13725 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,16),(2,22),-0.144958 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,16),(2,24),-0.113911 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,22),(2,24),-0.14799 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,2),(2,1),-0.0658234 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,-1),0.0656744 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,2),(2,1),(2,-1),-0.0512006 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,3),(3,4),0.0421577 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,5),0.0879883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,6),0.147173 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,7),0.149225 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,8),0.111985 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,9),0.0970598 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,10),-0.135131 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,13),-0.144725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,16),-0.190318 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,17),-0.0185781 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,22),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,23),-0.144714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,24),-0.246562 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,3),(3,4),(3,5),0.105316 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,6),0.124134 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,7),0.121249 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,8),0.105173 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,9),0.102357 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,10),-0.145005 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,13),-0.144715 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,16),-0.145924 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,17),-0.146955 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,23),-0.144842 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,24),-0.186905 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,5),(3,6),0.109281 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,7),0.107547 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,8),0.107176 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,9),0.109482 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,16),-0.144737 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,17),-0.144779 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,24),-0.128018 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,6),(3,7),0.118681 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,8),0.111715 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,9),0.106303 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,10),-0.146261 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,13),-0.144718 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,16),-0.145006 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,17),-0.145979 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,23),-0.144821 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,24),-0.133911 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,7),(3,8),0.102785 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,7),(3,9),0.103503 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,7),(3,10),-0.143839 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,7),(3,13),-0.147789 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,7),(3,16),-0.147956 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,7),(3,17),-0.190605 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,7),(3,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,7),(3,23),-0.14531 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,7),(3,24),-0.171723 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,8),(3,9),0.178746 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,8),(3,10),-0.160174 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,8),(3,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,8),(3,16),-0.146784 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,8),(3,17),-0.170433 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,8),(3,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,8),(3,23),-0.14564 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,8),(3,24),-0.121216 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,9),(3,10),-0.146089 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,9),(3,13),-0.144846 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,9),(3,16),-0.14471 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,9),(3,17),-0.145964 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,9),(3,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,9),(3,23),-0.144714 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,9),(3,24),-0.136454 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,10),(3,13),-0.146216 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,10),(3,16),-0.145197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,10),(3,17),-0.153462 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,10),(3,22),-0.144704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,10),(3,23),-0.14673 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,10),(3,24),-0.133415 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,3),(3,13),(3,16),-0.146784 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,13),(3,17),-0.170433 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,13),(3,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,13),(3,23),-0.14564 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,13),(3,24),-0.121216 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,16),(3,17),-0.190605 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,16),(3,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,16),(3,23),-0.14531 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,16),(3,24),-0.171717 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,17),(3,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,17),(3,23),-0.144762 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,17),(3,24),-0.137748 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,22),(3,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,22),(3,24),-0.144838 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,23),(3,24),-0.103903 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,3),(3,2),0.0325353 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,1),-0.000418978 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,-1),0.0776763 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,3),(3,2),(3,1),0.025863 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,2),(3,-1),-0.0231454 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,1),(3,-1),-0.0826206 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,4),(4,5),0.0994871 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,6),0.103512 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,7),0.0965559 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,8),0.0839389 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,10),-0.138208 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,13),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,24),-0.0650813 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,4),(4,5),(4,6),0.106287 # DEPENDENCYPART_GRANDSIBL
