# _root_ In fact , without Wall Street firms trading for their own accounts , the stock-index arbitrage trading opportunities for the big funds may be all the more abundant .
#goldHeads=23,1,23,23,7,7,8,4,8,12,12,9,23,18,18,18,18,23,18,22,22,19,0,23,27,27,24,27,23,
#predictedHeads=23,1,23,23,7,7,8,4,8,12,12,9,23,18,18,18,18,23,18,22,22,19,0,23,26,28,28,24,23,
(9,16),(16,16),(16,15),0.178721 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,16),(16,16),(16,14),0.0622964 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,16),(16,16),(16,11),0.177129 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,16),(16,16),(16,10),0.100148 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,16),(16,16),(16,-1),-0.163562 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,16),(16,15),(16,14),0.0264336 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,15),(16,11),0.119451 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,15),(16,10),0.111508 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,15),(16,-1),-0.0822669 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,16),(16,14),(16,11),0.133171 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,14),(16,10),0.115941 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,14),(16,-1),-0.0711878 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,16),(16,11),(16,10),0.106402 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,11),(16,-1),-0.0645293 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,16),(16,10),(16,-1),-0.12618 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,17),(17,18),-0.14974 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,19),-0.0904192 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,22),-0.15044 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,23),0.016128 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,26),-0.0160629 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,28),-0.0278419 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,30),0.152247 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,17),(17,18),(17,19),-0.0333378 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,18),(17,22),-0.0507728 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,18),(17,23),-0.0434776 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,18),(17,26),-0.0443082 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,18),(17,28),-0.0458002 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,18),(17,30),-0.111044 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,19),(17,22),-0.0427036 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,19),(17,23),-0.0397353 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,19),(17,26),-0.0471947 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,19),(17,28),-0.0408172 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,19),(17,30),-0.054864 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,22),(17,23),-0.0434776 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,22),(17,26),-0.0443082 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,22),(17,28),-0.0458002 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,22),(17,30),-0.110272 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,23),(17,26),-0.0420056 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,23),(17,28),-0.0419992 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,23),(17,30),0.00401759 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,26),(17,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,26),(17,30),-0.047399 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,28),(17,30),-0.0541038 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,17),(17,16),0.171161 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,15),0.176793 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,14),0.0586129 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,13),-0.005815 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,12),0.172131 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,11),0.189534 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,10),0.100148 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,-1),-0.155081 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,17),(17,16),(17,15),0.157062 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,16),(17,14),0.0258617 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,16),(17,13),0.077872 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,16),(17,12),0.15784 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,16),(17,11),0.115694 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,16),(17,10),0.11139 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,16),(17,-1),-0.0773795 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,15),(17,14),0.0271588 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,15),(17,13),0.0768469 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,15),(17,12),0.157704 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,15),(17,11),0.11665 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,15),(17,10),0.11139 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,15),(17,-1),-0.0746593 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,14),(17,13),0.115322 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,14),(17,12),0.0904259 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,14),(17,11),0.133169 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,14),(17,10),0.115941 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,14),(17,-1),-0.0777015 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,13),(17,12),0.0488627 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,13),(17,11),0.126975 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,13),(17,10),0.119963 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,13),(17,-1),-0.141616 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,12),(17,11),0.116529 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,12),(17,10),0.111387 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,12),(17,-1),-0.0771659 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,11),(17,10),0.104513 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,11),(17,-1),-0.0558958 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,10),(17,-1),-0.130401 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,18),(18,19),-0.086491 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,20),-0.0160629 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,21),-0.0241939 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,22),-0.161876 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,23),0.0182337 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,24),-0.0422986 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,26),-0.0160629 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,28),-0.0241908 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,29),-0.0704169 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,30),0.14645 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,18),(18,19),(18,20),-0.0471947 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,19),(18,21),-0.0406935 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,19),(18,22),-0.049474 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,19),(18,23),-0.0395031 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,19),(18,24),-0.00784937 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,19),(18,26),-0.0471947 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,19),(18,28),-0.0406935 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,19),(18,29),-0.0438404 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,19),(18,30),-0.0487802 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,20),(18,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,20),(18,22),-0.0428523 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,20),(18,23),-0.0425237 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,20),(18,24),-0.0423874 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,20),(18,26),-0.0420093 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,20),(18,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,20),(18,29),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,20),(18,30),-0.047399 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,21),(18,22),-0.0446299 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,21),(18,23),-0.044672 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,21),(18,24),-0.0346259 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,21),(18,26),-0.0488153 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,21),(18,28),-0.0490979 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,21),(18,29),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,21),(18,30),-0.0530496 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,22),(18,23),-0.0434643 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,22),(18,24),-0.0615803 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,22),(18,26),-0.0443082 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,22),(18,28),-0.0458002 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,22),(18,29),-0.045829 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,22),(18,30),-0.122655 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,23),(18,24),-0.0426407 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,23),(18,26),-0.0420056 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,23),(18,28),-0.0419992 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,23),(18,29),-0.041999 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,23),(18,30),0.00636877 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,24),(18,26),-0.042075 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,24),(18,28),-0.0403847 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,24),(18,29),-0.0426263 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,24),(18,30),-0.0685849 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,26),(18,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,26),(18,29),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,26),(18,30),-0.047399 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,28),(18,29),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,28),(18,30),-0.0522401 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,29),(18,30),-0.0651978 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,18),(18,17),0.180312 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,16),0.173428 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,15),0.17906 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,14),0.0622964 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,13),-0.00584088 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,12),0.174398 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,11),0.181637 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,10),0.100149 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,18),(18,18),(18,9),0.182352 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,18),(18,18),(18,-1),-0.163473 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,18),(18,17),(18,16),0.121702 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,15),0.120925 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,14),0.0312164 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,13),0.0803361 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,12),0.121703 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,11),0.12594 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,10),0.111509 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,17),(18,9),0.124662 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,17),(18,-1),-0.0916335 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,16),(18,15),0.129914 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,16),(18,14),0.0251368 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,16),(18,13),0.0803416 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,16),(18,12),0.130692 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,16),(18,11),0.119651 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,16),(18,10),0.111509 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,16),(18,9),0.124662 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,16),(18,-1),-0.0852695 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,15),(18,14),0.0264338 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,15),(18,13),0.0793165 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,15),(18,12),0.130556 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,15),(18,11),0.120607 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,15),(18,10),0.111509 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,15),(18,9),0.124662 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,15),(18,-1),-0.0825494 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,14),(18,13),0.115322 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,14),(18,12),0.0904259 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,14),(18,11),0.133171 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,14),(18,10),0.115941 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,14),(18,9),0.0788531 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,14),(18,-1),-0.0709336 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,13),(18,12),0.0513066 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,13),(18,11),0.126975 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,13),(18,10),0.119963 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,13),(18,9),0.126825 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,13),(18,-1),-0.141616 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,12),(18,11),0.120485 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,12),(18,10),0.111506 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,12),(18,9),0.124662 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,12),(18,-1),-0.0850559 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,11),(18,10),0.106402 # DEPENDENCYPART_GRANDSIBL
(9,18),(18,11),(18,9),0.135518 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,11),(18,-1),-0.0602028 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,10),(18,9),0.119626 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,10),(18,-1),-0.12618 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,18),(18,9),(18,-1),-0.097381 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,19),(19,19),(19,20),-0.0370337 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,19),(19,19),(19,21),-0.0254331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,19),(19,19),(19,22),-0.0969575 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,19),(19,19),(19,23),-0.0433655 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,19),(19,19),(19,24),-0.0411387 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,19),(19,19),(19,27),-0.0497604 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,19),(19,19),(19,30),-0.0166777 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,19),(19,20),(19,21),-0.0447184 # DEPENDENCYPART_GRANDSIBL
(9,19),(19,20),(19,22),-0.0334927 # DEPENDENCYPART_GRANDSIBL
(9,19),(19,20),(19,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,19),(19,20),(19,24),-0.0420019 # DEPENDENCYPART_GRANDSIBL
(9,19),(19,20),(19,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,19),(19,20),(19,30),-0.0447752 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,19),(19,21),(19,22),-0.0396469 # DEPENDENCYPART_GRANDSIBL
(9,19),(19,21),(19,23),-0.042002 # DEPENDENCYPART_GRANDSIBL
(9,19),(19,21),(19,24),-0.0420399 # DEPENDENCYPART_GRANDSIBL
(9,19),(19,21),(19,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,19),(19,21),(19,30),-0.0234438 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,19),(19,22),(19,23),-0.0419992 # DEPENDENCYPART_GRANDSIBL
(9,19),(19,22),(19,24),-0.042798 # DEPENDENCYPART_GRANDSIBL
(9,19),(19,22),(19,27),-0.0428419 # DEPENDENCYPART_GRANDSIBL
(9,19),(19,22),(19,30),-0.0638258 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,19),(19,23),(19,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,19),(19,23),(19,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,19),(19,23),(19,30),-0.0433829 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,19),(19,24),(19,27),-0.0419992 # DEPENDENCYPART_GRANDSIBL
(9,19),(19,24),(19,30),-0.0457927 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,19),(19,27),(19,30),-0.0510011 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,19),(19,19),(19,18),0.159071 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,19),(19,19),(19,-1),-0.0716965 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,19),(19,18),(19,-1),-0.0867453 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,23),(23,23),(23,24),-0.0628118 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,23),(23,23),(23,29),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,23),(23,23),(23,30),-0.0710201 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,23),(23,24),(23,29),-0.0425329 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,24),(23,30),-0.0636492 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,23),(23,29),(23,30),-0.042738 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,23),(23,23),(23,22),0.0986115 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,23),(23,23),(23,21),0.121421 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,23),(23,23),(23,20),0.119899 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,23),(23,23),(23,19),0.118721 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,23),(23,23),(23,18),0.0973419 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,23),(23,23),(23,17),0.0985174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,23),(23,23),(23,16),0.0973419 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,23),(23,23),(23,15),0.0973419 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,23),(23,23),(23,14),0.119899 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,23),(23,23),(23,13),0.11409 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,23),(23,23),(23,12),0.0973419 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,23),(23,23),(23,11),0.121421 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,23),(23,23),(23,9),0.118721 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,23),(23,23),(23,8),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,23),(23,23),(23,7),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,23),(23,23),(23,4),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,23),(23,23),(23,3),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,23),(23,23),(23,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,23),(23,23),(23,1),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,23),(23,23),(23,-1),-0.134358 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,23),(23,22),(23,21),0.118151 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,22),(23,20),0.115125 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,22),(23,19),0.116825 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,22),(23,18),0.113755 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,22),(23,17),0.113754 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,22),(23,16),0.113755 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,22),(23,15),0.113755 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,22),(23,14),0.115125 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,22),(23,13),0.118898 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,22),(23,12),0.113755 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,22),(23,11),0.118152 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,22),(23,9),0.116825 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,23),(23,22),(23,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,22),(23,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,22),(23,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,22),(23,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,22),(23,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,22),(23,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,22),(23,-1),-0.13928 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,23),(23,21),(23,20),0.119027 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,21),(23,19),0.118726 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,21),(23,18),0.119137 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,21),(23,17),0.119137 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,21),(23,16),0.119137 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,21),(23,15),0.119137 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,21),(23,14),0.119027 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,21),(23,13),0.119149 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,21),(23,12),0.119137 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,21),(23,11),0.119131 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,21),(23,9),0.118726 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,23),(23,21),(23,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,21),(23,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,21),(23,4),-0.124891 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,21),(23,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,21),(23,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,21),(23,1),-0.124891 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,21),(23,-1),-0.123506 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,23),(23,20),(23,19),0.117724 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,20),(23,18),0.119164 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,20),(23,17),0.119164 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,20),(23,16),0.119164 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,20),(23,15),0.119164 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,20),(23,14),0.119164 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,20),(23,13),0.119158 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,20),(23,12),0.119164 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,20),(23,11),0.119164 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,20),(23,9),0.117724 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,23),(23,20),(23,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,20),(23,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,20),(23,4),-0.124955 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,20),(23,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,20),(23,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,20),(23,1),-0.124955 # DEPENDENCYPART_GRANDSIBL
(9,23),(23,20),(23,-1),-0.125684 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,23),(23,19),(23,18),0.119061 # DEPENDENCYPART_GRANDSIBL
