# _root_ The marriage of news and theater , if not exactly inevitable , has been consummated nonetheless .
#goldHeads=2,13,2,5,3,5,13,11,11,11,13,13,0,13,14,15,13,
#predictedHeads=2,13,2,5,3,5,2,11,11,11,2,2,0,13,14,15,13,
(11,5),(5,6),(5,7),0.101443 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,6),(5,8),0.111126 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,6),(5,9),0.109495 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,6),(5,10),0.109495 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,6),(5,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,6),(5,12),-0.144702 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,6),(5,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,6),(5,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,6),(5,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,6),(5,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,6),(5,18),-0.134881 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,7),(5,8),0.108663 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,7),(5,9),0.108675 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,7),(5,10),0.108679 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,7),(5,11),-0.144712 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,7),(5,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,7),(5,13),-0.144935 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,7),(5,14),-0.144935 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,7),(5,15),-0.144935 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,7),(5,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,7),(5,18),-0.148475 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,8),(5,9),0.118099 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,8),(5,10),0.113776 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,8),(5,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,8),(5,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,8),(5,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,8),(5,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,8),(5,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,8),(5,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,8),(5,18),-0.155407 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,9),(5,10),0.109539 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,9),(5,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,9),(5,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,9),(5,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,9),(5,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,9),(5,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,9),(5,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,9),(5,18),-0.143625 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,10),(5,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,10),(5,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,10),(5,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,10),(5,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,10),(5,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,10),(5,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,10),(5,18),-0.147918 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,11),(5,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,11),(5,13),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,11),(5,14),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,11),(5,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,11),(5,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,11),(5,18),-0.152555 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,5),(5,12),(5,13),-0.144935 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,12),(5,14),-0.144935 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,12),(5,15),-0.144935 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,12),(5,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,12),(5,18),-0.148475 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,13),(5,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,13),(5,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,13),(5,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,13),(5,18),-0.147062 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,14),(5,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,14),(5,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,14),(5,18),-0.146636 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,15),(5,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,15),(5,18),-0.146584 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,17),(5,18),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,5),(5,4),-0.0561211 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,3),-0.0140022 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,2),-0.0561211 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,1),-0.019613 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,-1),0.0236916 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,5),(5,4),(5,3),-0.024839 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,4),(5,2),-0.00712405 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,4),(5,1),-0.0129376 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,4),(5,-1),-0.0551706 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,3),(5,2),-0.0197041 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,3),(5,1),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,3),(5,-1),-0.0372682 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,2),(5,1),-0.0129376 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,2),(5,-1),-0.0551706 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,1),(5,-1),-0.00986884 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,6),(6,7),0.0999927 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,8),0.102016 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,9),0.106001 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,10),0.106019 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,11),-0.14637 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,13),-0.145088 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,14),-0.145088 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,16),-0.144829 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,18),-0.076916 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,6),(6,7),(6,8),0.109119 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,9),0.109391 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,10),0.109391 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,18),-0.147995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,8),(6,9),0.109491 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,8),(6,10),0.109494 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,8),(6,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,8),(6,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,8),(6,13),-0.14472 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,8),(6,14),-0.14472 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,8),(6,16),-0.144706 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,8),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,8),(6,18),-0.151673 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,9),(6,10),0.10954 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,18),-0.154459 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,10),(6,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,10),(6,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,10),(6,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,10),(6,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,10),(6,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,10),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,10),(6,18),-0.154439 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,11),(6,12),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,11),(6,13),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,11),(6,14),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,11),(6,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,11),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,11),(6,18),-0.17027 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,6),(6,12),(6,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,12),(6,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,12),(6,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,12),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,12),(6,18),-0.147995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,13),(6,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,13),(6,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,13),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,13),(6,18),-0.158857 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,14),(6,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,14),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,14),(6,18),-0.158661 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,16),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,16),(6,18),-0.154439 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,17),(6,18),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,6),(6,5),-0.0229925 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,4),-0.0346373 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,1),0.0122335 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,-1),-0.0391421 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,6),(6,5),(6,4),0.104584 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,5),(6,1),0.0999885 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,5),(6,-1),-0.0198778 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,4),(6,1),-0.0241659 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,4),(6,-1),-0.0456204 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,1),(6,-1),-0.0037497 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,7),(7,18),-0.181444 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,7),(7,7),(7,-1),-0.0548658 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,8),(8,8),(8,9),0.119832 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,10),0.119878 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,11),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,13),-0.14471 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,18),-0.0627304 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,8),(8,9),(8,10),0.109463 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,9),(8,18),-0.133835 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,10),(8,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,10),(8,18),-0.13379 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,11),(8,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,13),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,11),(8,18),-0.160048 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,8),(8,12),(8,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,12),(8,18),-0.14351 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,13),(8,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,13),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,13),(8,18),-0.148967 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,16),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,16),(8,18),-0.13379 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,17),(8,18),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,8),(8,7),-0.0215097 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,6),0.00599524 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,5),-0.0322013 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,3),-0.00188862 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,8),(8,8),(8,-1),-0.0602244 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,8),(8,7),(8,6),-0.0223927 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,7),(8,5),-0.0219739 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,7),(8,3),-0.0108404 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,7),(8,-1),-0.0133617 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,6),(8,5),-0.0211738 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,6),(8,3),-0.0250981 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,6),(8,-1),0.023553 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,5),(8,3),0.13002 # DEPENDENCYPART_GRANDSIBL
(11,8),(8,5),(8,-1),-0.0218869 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,8),(8,3),(8,-1),-0.0154324 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,9),(9,10),0.089663 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,11),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,13),-0.146785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,18),-0.0986436 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,9),(9,10),(9,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,18),-0.162249 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,11),(9,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,11),(9,13),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,11),(9,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,11),(9,18),-0.1451 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,9),(9,12),(9,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,12),(9,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,12),(9,18),-0.137541 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,13),(9,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,13),(9,18),-0.148897 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,16),(9,18),-0.162249 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,9),(9,8),-0.033416 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,7),-0.0125515 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,6),-0.0274742 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,5),-0.023861 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,3),-0.0330307 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,2),-0.0274688 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,-1),0.00837198 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,9),(9,8),(9,7),-0.0195827 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,8),(9,6),-0.0194479 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,8),(9,5),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,8),(9,3),-0.0194435 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,8),(9,2),-0.0194479 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,8),(9,-1),-0.0313339 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,7),(9,6),-0.0195823 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,7),(9,5),-0.0194615 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,7),(9,3),-0.0194452 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,7),(9,2),-0.0195823 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,7),(9,-1),-0.00935228 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,6),(9,5),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,6),(9,3),-0.0195414 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,6),(9,2),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,6),(9,-1),-0.0277846 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,5),(9,3),0.130904 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,5),(9,2),0.108609 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,5),(9,-1),-0.0255893 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,3),(9,2),-0.0194479 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,3),(9,-1),-0.0312096 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,2),(9,-1),-0.0277793 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,10),(10,11),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,13),-0.146785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,18),-0.0770646 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,11),(10,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,13),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,11),(10,18),-0.145096 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,12),(10,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,12),(10,18),-0.137534 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,13),(10,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,13),(10,18),-0.148867 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,16),(10,18),-0.160878 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,10),(10,9),-0.0144352 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,8),-0.0333218 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,7),-0.0125515 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,3),-0.0329365 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,2),-0.0273059 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,-1),0.0333432 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,9),(10,8),-0.0195874 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,7),-0.0195022 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,3),-0.0195888 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,2),-0.019792 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,9),(10,-1),-0.0137245 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,8),(10,7),-0.0195827 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,3),-0.0194435 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,2),-0.0194479 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,8),(10,-1),-0.0312466 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,7),(10,3),-0.0194452 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,7),(10,2),-0.0195444 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,7),(10,-1),-0.00935228 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,3),(10,2),-0.0194479 # DEPENDENCYPART_GRANDSIBL
(11,10),(10,3),(10,-1),-0.0311223 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,2),(10,-1),-0.0275784 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,12),(12,12),(12,18),-0.0548658 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,12),(12,12),(12,-1),-0.181444 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,13),(13,13),(13,14),-0.0509605 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
