# _root_ The Pentagon 's recently issued `` Soviet Military Power , '' though in general adopting a softer line , repeated the Sverdlovsk assessment .
#goldHeads=2,9,2,5,9,9,9,9,20,20,20,15,15,13,20,18,18,15,20,0,23,23,20,20,
#predictedHeads=2,9,2,5,20,9,9,9,5,9,9,15,15,13,9,18,18,15,20,0,23,23,20,20,
(15,23),(23,23),(23,17),0.137851 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,23),(23,23),(23,16),0.0933661 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,23),(23,23),(23,15),0.17781 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,23),(23,23),(23,14),-0.129013 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,23),(23,23),(23,-1),-0.159255 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,23),(23,22),(23,21),0.0393025 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,22),(23,19),0.160826 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,22),(23,18),0.118175 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,22),(23,17),0.125022 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,22),(23,16),0.0613852 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,22),(23,15),0.126525 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,23),(23,22),(23,14),-0.125752 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,22),(23,-1),-0.110234 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,23),(23,21),(23,19),0.113165 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,21),(23,18),0.144474 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,21),(23,17),0.107345 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,21),(23,16),0.114305 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,21),(23,15),0.125032 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,23),(23,21),(23,14),-0.124887 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,21),(23,-1),-0.212947 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,23),(23,19),(23,18),0.202251 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,19),(23,17),0.147626 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,19),(23,16),0.112776 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,19),(23,15),0.131828 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,23),(23,19),(23,14),-0.125619 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,19),(23,-1),-0.124228 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,23),(23,18),(23,17),0.124685 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,18),(23,16),0.0613383 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,18),(23,15),0.126524 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,23),(23,18),(23,14),-0.125752 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,18),(23,-1),-0.110409 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,23),(23,17),(23,16),0.157282 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,17),(23,15),0.0963818 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,23),(23,17),(23,14),-0.125223 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,17),(23,-1),-0.0570547 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,23),(23,16),(23,15),0.119373 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,23),(23,16),(23,14),-0.124888 # DEPENDENCYPART_GRANDSIBL
(15,23),(23,16),(23,-1),-0.15935 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,23),(23,15),(23,14),-0.125823 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,23),(23,15),(23,-1),-0.0795432 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,23),(23,14),(23,-1),-0.0567629 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(15,24),(24,24),(24,25),-0.0432768 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,24),(24,24),(24,23),0.0808899 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(15,24),(24,24),(24,-1),-0.00943747 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(15,24),(24,23),(24,-1),-0.159121 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,17),(17,19),-0.0420073 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,20),-0.048501 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,17),(17,17),(17,25),-0.135808 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,17),(17,19),(17,20),-0.0420167 # DEPENDENCYPART_GRANDSIBL
(16,17),(17,19),(17,25),-0.0420125 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,20),(17,25),-0.0392582 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,17),(17,17),(17,16),0.118221 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,17),(17,17),(17,-1),-0.181651 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,17),(17,16),(17,-1),-0.127126 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,16),(16,16),(16,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,16),(16,16),(16,25),-0.0890289 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,16),(16,17),(16,25),-0.125481 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,16),(16,16),(16,-1),-0.00542652 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,19),(19,19),(19,25),-0.087198 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,19),(19,19),(19,-1),-0.172864 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,20),(20,20),(20,21),-0.0364699 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,22),-0.0243792 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,23),-0.0243792 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,25),0.120611 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,20),(20,21),(20,22),-0.0428228 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,21),(20,23),-0.0428228 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,21),(20,24),-0.0421183 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,21),(20,25),-0.0313497 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,22),(20,23),-0.0513131 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,22),(20,24),-0.0437079 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,22),(20,25),-0.0959704 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,23),(20,24),-0.0437079 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,23),(20,25),-0.0959704 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,24),(20,25),-0.0456856 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,20),(20,19),0.104435 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,18),0.135364 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,17),0.121862 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,20),(20,20),(20,16),-0.125168 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,15),-0.126748 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,14),-0.12497 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,13),-0.127648 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,12),-0.127529 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,11),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,10),-0.124886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,9),-0.128713 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,8),-0.12497 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,7),-0.12497 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,5),-0.126748 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,4),-0.125298 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,2),-0.128713 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,-1),-0.222798 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,20),(20,19),(20,18),0.113809 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,19),(20,17),0.116606 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,19),(20,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,19),(20,15),-0.125643 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,19),(20,14),-0.124894 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,19),(20,13),-0.128954 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,19),(20,12),-0.128432 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,19),(20,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,19),(20,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,19),(20,9),-0.124889 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,19),(20,8),-0.124894 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,19),(20,7),-0.124894 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,19),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,19),(20,5),-0.125643 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,19),(20,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,19),(20,2),-0.124889 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,19),(20,-1),-0.140347 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,18),(20,17),0.118906 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,18),(20,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,18),(20,15),-0.124889 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,18),(20,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,18),(20,13),-0.126067 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,18),(20,12),-0.126002 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,18),(20,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,18),(20,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,18),(20,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,18),(20,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,18),(20,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,18),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,18),(20,5),-0.124889 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,18),(20,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,18),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,18),(20,-1),-0.118575 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,17),(20,16),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,17),(20,15),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,17),(20,14),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,17),(20,13),-0.124899 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,17),(20,12),-0.124899 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,17),(20,11),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,17),(20,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,17),(20,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,17),(20,8),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,17),(20,7),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,17),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,17),(20,5),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,17),(20,4),-0.12489 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,17),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,17),(20,-1),-0.121695 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,20),(20,16),(20,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,16),(20,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,16),(20,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,16),(20,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,16),(20,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,16),(20,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,16),(20,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,16),(20,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,16),(20,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,16),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,16),(20,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,16),(20,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,16),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,16),(20,-1),-0.126799 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,15),(20,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,15),(20,13),-0.124886 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,15),(20,12),-0.124886 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,15),(20,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,15),(20,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,15),(20,9),-0.124886 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,15),(20,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,15),(20,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,15),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,15),(20,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,15),(20,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,15),(20,2),-0.124886 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,15),(20,-1),-0.135008 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,14),(20,13),-0.124899 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,14),(20,12),-0.124899 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,14),(20,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,14),(20,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,14),(20,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,14),(20,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,14),(20,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,14),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,14),(20,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,14),(20,4),-0.12489 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,14),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,14),(20,-1),-0.121695 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,13),(20,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,13),(20,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,13),(20,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,13),(20,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,13),(20,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,13),(20,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,13),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,13),(20,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,13),(20,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,13),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,13),(20,-1),-0.0531758 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,12),(20,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,12),(20,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,12),(20,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,12),(20,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,12),(20,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,12),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,12),(20,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,12),(20,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,12),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,12),(20,-1),-0.0445016 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,11),(20,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,11),(20,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,11),(20,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,11),(20,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,11),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,11),(20,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,11),(20,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,11),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,11),(20,-1),-0.125412 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,10),(20,9),-0.124889 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,10),(20,8),-0.124894 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,10),(20,7),-0.124894 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,10),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,10),(20,5),-0.125643 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,10),(20,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,10),(20,2),-0.124889 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,10),(20,-1),-0.140347 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,9),(20,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,9),(20,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,9),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,9),(20,5),-0.124889 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,9),(20,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,9),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,9),(20,-1),-0.118586 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,8),(20,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,8),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,8),(20,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,8),(20,4),-0.12489 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,8),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,8),(20,-1),-0.121695 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,7),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,7),(20,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,7),(20,4),-0.12489 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,7),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,7),(20,-1),-0.121695 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,6),(20,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,6),(20,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,6),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,6),(20,-1),-0.133036 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,5),(20,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,5),(20,2),-0.124886 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,5),(20,-1),-0.135008 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,4),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,4),(20,-1),-0.126388 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,2),(20,-1),-0.118569 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,7),(7,7),(7,8),0.102475 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,7),(7,7),(7,9),0.123634 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,7),(7,7),(7,10),0.123894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,7),(7,7),(7,11),0.110426 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,7),(7,7),(7,12),0.113541 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,7),(7,7),(7,13),0.103703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,7),(7,7),(7,14),0.102448 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,7),(7,7),(7,15),0.117188 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,7),(7,7),(7,18),-0.127254 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,7),(7,7),(7,20),-0.135911 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,7),(7,7),(7,23),-0.127254 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,7),(7,7),(7,24),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,7),(7,7),(7,25),0.0138791 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,7),(7,8),(7,9),0.118821 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,8),(7,10),0.117645 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,8),(7,11),0.118183 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,8),(7,12),0.119075 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,8),(7,13),0.119075 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,8),(7,14),0.119116 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,8),(7,15),0.119164 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,8),(7,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,7),(7,8),(7,20),-0.125144 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,8),(7,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,8),(7,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,8),(7,25),-0.116538 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,7),(7,9),(7,10),0.117974 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,9),(7,11),0.119112 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,9),(7,12),0.119102 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,9),(7,13),0.119102 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,9),(7,14),0.119116 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,9),(7,15),0.119164 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,9),(7,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,7),(7,9),(7,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,9),(7,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,9),(7,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,9),(7,25),-0.121693 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,7),(7,10),(7,11),0.119109 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,10),(7,12),0.117806 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,10),(7,13),0.118248 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,10),(7,14),0.114325 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,10),(7,15),0.119033 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,10),(7,18),-0.124886 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,7),(7,10),(7,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,10),(7,23),-0.124886 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,10),(7,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,10),(7,25),-0.111979 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,7),(7,11),(7,12),0.11906 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,11),(7,13),0.119034 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,11),(7,14),0.119054 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,11),(7,15),0.119164 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,11),(7,18),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,7),(7,11),(7,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,11),(7,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,11),(7,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,11),(7,25),-0.134601 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,7),(7,12),(7,13),0.118961 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,12),(7,14),0.132879 # DEPENDENCYPART_GRANDSIBL
(18,7),(7,12),(7,15),0.119164 # DEPENDENCYPART_GRANDSIBL
