# _root_ A new specialty court was sought by patent experts , who believed that the generalists had botched too many important , multimillion-dollar cases .
#goldHeads=4,4,4,5,0,5,6,9,7,9,12,9,16,15,16,12,16,19,23,23,23,23,17,5,
#predictedHeads=4,4,4,5,0,5,6,9,7,9,12,9,16,15,16,12,16,20,20,23,23,23,17,5,
(7,4),(4,5),(4,25),-0.102773 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,4),(4,6),(4,7),-0.124899 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,4),(4,6),(4,9),-0.12511 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,6),(4,10),-0.124919 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,6),(4,12),-0.124886 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,6),(4,25),-0.10252 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,4),(4,7),(4,9),-0.124941 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,4),(4,7),(4,10),-0.124893 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,4),(4,7),(4,12),-0.124908 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,4),(4,7),(4,25),-0.109532 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,4),(4,9),(4,10),-0.124922 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,9),(4,12),-0.125239 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,9),(4,25),-0.0881518 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,4),(4,10),(4,12),-0.125879 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,10),(4,25),-0.140729 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,4),(4,12),(4,25),-0.102514 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,4),(4,4),(4,3),-0.184472 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,4),(4,4),(4,2),-0.0128502 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,4),(4,4),(4,1),0.0191911 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,4),(4,4),(4,-1),0.139379 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,4),(4,3),(4,2),-0.045783 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,3),(4,1),-0.0430234 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,3),(4,-1),-0.129771 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,4),(4,2),(4,1),-0.0415408 # DEPENDENCYPART_GRANDSIBL
(7,4),(4,2),(4,-1),-0.0430069 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,4),(4,1),(4,-1),-0.00493727 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,8),(8,9),-0.184577 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,8),(8,10),-0.0650611 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,8),(8,12),-0.044452 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,8),(8,16),-0.0515396 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,8),(8,25),0.153757 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,8),(8,9),(8,10),-0.0935734 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,9),(8,12),-0.0487883 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,9),(8,16),-0.0476214 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,9),(8,25),-0.127046 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,10),(8,12),0.0429775 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,10),(8,16),0.0513046 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,10),(8,25),-0.073622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,12),(8,16),-0.0329336 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,12),(8,25),-0.066071 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,16),(8,25),-0.0752972 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,8),(8,-1),-0.135784 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,9),(9,9),(9,10),-0.0650611 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,12),-0.0444664 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,15),-0.184479 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,16),-0.051554 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,17),-0.045191 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,18),-0.0114854 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,19),-0.0161903 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,20),-0.0128249 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,21),-0.0650611 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,23),-0.184479 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,24),-0.0674484 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,25),0.149889 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,9),(9,10),(9,12),0.0429775 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,15),-0.0938931 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,16),0.0513046 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,17),0.0429777 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,18),-0.0107803 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,19),-0.00967911 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,20),-0.0539608 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,21),-0.0781228 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,23),-0.0938954 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,24),-0.0420212 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,25),-0.0736238 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,12),(9,15),-0.0456152 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,12),(9,16),-0.0329336 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,12),(9,17),-0.0310854 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,12),(9,18),-0.0350822 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,12),(9,19),-0.0350813 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,12),(9,20),-0.0403277 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,12),(9,21),0.018995 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,12),(9,23),-0.0456152 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,12),(9,24),-0.0426407 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,12),(9,25),-0.0662015 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,15),(9,16),-0.0476214 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,15),(9,17),-0.048425 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,15),(9,18),-0.0370377 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,15),(9,19),-0.0370389 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,15),(9,20),-0.045783 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,15),(9,21),-0.0935737 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,15),(9,23),-0.0526626 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,15),(9,24),-0.0461087 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,15),(9,25),-0.127056 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,16),(9,17),-0.0306773 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,16),(9,18),-0.0350822 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,16),(9,19),-0.0350813 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,16),(9,20),-0.0403277 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,16),(9,21),0.0212902 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,16),(9,23),-0.0457375 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,16),(9,24),-0.042672 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,16),(9,25),-0.0754277 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,17),(9,18),-0.0350822 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,17),(9,19),-0.0350813 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,17),(9,20),-0.0403277 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,17),(9,21),0.0189953 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,17),(9,23),-0.0456152 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,17),(9,24),-0.0426407 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,17),(9,25),-0.0674761 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,18),(9,19),-0.04457 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,18),(9,20),-0.0446356 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,18),(9,21),-0.0399922 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,18),(9,23),-0.0294377 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,18),(9,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,18),(9,25),0.0617605 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,19),(9,20),-0.0446356 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,19),(9,21),-0.0400542 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,19),(9,23),-0.0294377 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,19),(9,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,19),(9,25),0.0591627 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,20),(9,21),-0.0136054 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,20),(9,23),-0.0423852 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,20),(9,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,20),(9,25),-0.042184 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,21),(9,23),-0.0938954 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,21),(9,24),-0.0420212 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,21),(9,25),-0.0736238 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,23),(9,24),-0.0461087 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,23),(9,25),-0.127058 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,24),(9,25),-0.0612187 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,9),(9,8),0.185003 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,7),0.169505 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,9),(9,9),(9,6),-0.133873 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,5),-0.133886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,4),-0.133547 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,3),-0.133547 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,2),-0.126088 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,1),-0.132916 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,-1),-0.134614 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,9),(9,8),(9,7),0.116004 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,8),(9,6),-0.125239 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,8),(9,5),-0.125239 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,8),(9,4),-0.127185 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,8),(9,3),-0.127185 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,8),(9,2),-0.12511 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,8),(9,1),-0.126177 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,8),(9,-1),-0.101317 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,7),(9,6),-0.124908 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,7),(9,5),-0.124908 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,7),(9,4),-0.124941 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,7),(9,3),-0.124941 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,7),(9,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,7),(9,1),-0.124888 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,7),(9,-1),-0.109531 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,9),(9,6),(9,5),-0.124886 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,6),(9,4),-0.12511 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,6),(9,3),-0.12511 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,6),(9,2),-0.125184 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,6),(9,1),-0.12499 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,6),(9,-1),-0.103868 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,5),(9,4),-0.12511 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,5),(9,3),-0.12511 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,5),(9,2),-0.125184 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,5),(9,1),-0.12499 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,5),(9,-1),-0.10412 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,4),(9,3),-0.127185 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,4),(9,2),-0.12511 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,4),(9,1),-0.126177 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,4),(9,-1),-0.101377 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,3),(9,2),-0.12511 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,3),(9,1),-0.126177 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,3),(9,-1),-0.0991623 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,2),(9,1),-0.133395 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,2),(9,-1),-0.0687218 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,1),(9,-1),-0.107668 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,10),(10,25),-0.0712703 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,10),(10,10),(10,-1),-0.141658 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,12),(12,12),(12,13),-0.102989 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,14),-0.0428534 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,15),0.0412637 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,16),-0.0467486 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,17),-0.0436779 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,18),-0.0739039 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,19),-0.0689594 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,20),-0.0430022 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,21),-0.0896834 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,22),-0.0423512 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,23),0.0452361 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,24),-0.0448079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,25),-0.0440698 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,12),(12,13),(12,14),-0.0419998 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,13),(12,15),-0.0499197 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,13),(12,16),-0.0329236 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,13),(12,17),-0.0328355 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,13),(12,18),-0.0406151 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,13),(12,19),-0.0406151 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,13),(12,20),-0.0420091 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,13),(12,21),-0.041764 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,13),(12,22),-0.0420091 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,13),(12,23),-0.050284 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,13),(12,24),-0.042523 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,13),(12,25),-0.0451782 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,14),(12,15),-0.0395206 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,14),(12,16),-0.0427326 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,14),(12,17),-0.0427326 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,14),(12,18),-0.0419997 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,14),(12,19),-0.0419997 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,14),(12,20),-0.0419995 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,14),(12,21),-0.0420138 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,14),(12,22),-0.0419995 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,14),(12,23),-0.0395206 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,14),(12,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,14),(12,25),-0.0421245 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,15),(12,16),-0.0346633 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,15),(12,17),-0.0331818 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,15),(12,18),-0.0417263 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,15),(12,19),-0.0417263 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,15),(12,20),-0.0429317 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,15),(12,21),-0.0742858 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,15),(12,22),-0.0429317 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,15),(12,23),-0.0480406 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,15),(12,24),-0.0447633 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,15),(12,25),-0.065434 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,16),(12,17),-0.032235 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,16),(12,18),-0.0430764 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,16),(12,19),-0.0430764 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,16),(12,20),-0.042246 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,16),(12,21),-0.0394759 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,16),(12,22),-0.042246 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,16),(12,23),-0.0452754 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,16),(12,24),-0.0429697 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,16),(12,25),-0.068988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,17),(12,18),-0.0430764 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,17),(12,19),-0.0430764 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,17),(12,20),-0.042246 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,17),(12,21),-0.0394604 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,17),(12,22),-0.042246 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,17),(12,23),-0.0452754 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,17),(12,24),-0.0429697 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,17),(12,25),-0.0655842 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,18),(12,19),-0.0330129 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,18),(12,20),-0.0451349 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,18),(12,21),-0.051805 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,18),(12,22),-0.0451349 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,18),(12,23),-0.0525026 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,18),(12,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,18),(12,25),-0.0446428 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,19),(12,20),-0.0451349 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,19),(12,21),-0.051805 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,19),(12,22),-0.0451349 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,19),(12,23),-0.0525026 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,19),(12,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,19),(12,25),-0.0431735 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,20),(12,21),-0.0460607 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,20),(12,22),-0.0420028 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,20),(12,23),-0.0460112 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,20),(12,24),-0.0427869 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,20),(12,25),-0.039741 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,21),(12,22),-0.0428587 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,21),(12,23),-0.0543586 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,21),(12,24),-0.0420085 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,21),(12,25),-0.0301833 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,22),(12,23),-0.0460112 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,22),(12,24),-0.0427869 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,22),(12,25),-0.03909 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,23),(12,24),-0.0447633 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,23),(12,25),-0.062639 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,24),(12,25),-0.0452466 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,12),(12,11),0.131361 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,10),0.1044 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,9),0.122517 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,7),0.112825 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,12),(12,12),(12,5),-0.102084 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,4),-0.130554 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,-1),-0.154437 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,12),(12,11),(12,10),0.119056 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,11),(12,9),0.119152 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,11),(12,7),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,11),(12,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,11),(12,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,11),(12,-1),-0.0688505 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,10),(12,9),0.0969469 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,10),(12,7),0.119294 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,10),(12,5),-0.125619 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,10),(12,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,10),(12,-1),-0.142918 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,9),(12,7),0.11981 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,9),(12,5),-0.125081 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,9),(12,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,9),(12,-1),-0.123496 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,7),(12,5),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,7),(12,4),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,7),(12,-1),-0.1311 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,12),(12,5),(12,4),-0.124913 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,5),(12,-1),-0.122464 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,4),(12,-1),-0.123585 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,16),(16,16),(16,17),-0.0422505 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,16),(16,16),(16,18),-0.0750665 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,16),(16,16),(16,19),-0.070122 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,16),(16,16),(16,20),-0.0433442 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,16),(16,16),(16,21),-0.0896834 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,16),(16,16),(16,22),-0.0426932 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,16),(16,16),(16,23),0.0420239 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,16),(16,16),(16,24),-0.0448079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,16),(16,16),(16,25),-0.0443159 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,16),(16,17),(16,18),-0.0430764 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,17),(16,19),-0.0430764 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,17),(16,20),-0.0424777 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,17),(16,21),-0.0405179 # DEPENDENCYPART_GRANDSIBL
