# _root_ But Mr. Schulte , the bondholders ' adviser , said Revco was dragging its feet in responding to the proposal .
#goldHeads=10,3,10,3,6,8,6,3,3,0,12,10,12,15,13,13,16,17,20,18,10,
#predictedHeads=10,3,10,3,6,8,6,3,3,0,12,10,12,15,13,13,16,17,20,18,10,
(10,3),(3,4),(3,6),0.221685 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,7),0.108765 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,8),0.225146 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,9),0.0798129 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,10),-0.159674 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,11),-0.162803 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,12),-0.160066 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,16),-0.150492 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,22),-0.124684 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,6),(3,7),0.120513 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,8),0.112375 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,9),0.152998 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,10),-0.145086 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,11),-0.139044 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,12),-0.145086 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,16),-0.141994 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,22),-0.110289 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,7),(3,8),0.112243 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,7),(3,9),0.118072 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,7),(3,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,7),(3,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,7),(3,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,7),(3,16),-0.144702 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,7),(3,22),-0.171469 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,8),(3,9),0.153892 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,8),(3,10),-0.145086 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,8),(3,11),-0.139044 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,8),(3,12),-0.145086 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,8),(3,16),-0.141994 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,8),(3,22),-0.108121 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,9),(3,10),-0.159674 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,9),(3,11),-0.162803 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,9),(3,12),-0.160066 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,9),(3,16),-0.150492 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,9),(3,22),-0.124684 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,10),(3,11),-0.142066 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,10),(3,12),-0.142049 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,10),(3,16),-0.147141 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,10),(3,22),-0.181853 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,3),(3,11),(3,12),-0.145086 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,11),(3,16),-0.141994 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,11),(3,22),-0.110289 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,12),(3,16),-0.147108 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,12),(3,22),-0.177464 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,16),(3,22),-0.0465776 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,3),(3,2),0.0903239 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,1),-0.00962513 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,-1),-0.00285273 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,3),(3,2),(3,1),-0.0330886 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,2),(3,-1),0.0347126 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,1),(3,-1),-0.017585 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,4),(4,22),-0.0713249 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,4),(4,4),(4,-1),0.0724913 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,5),(5,5),(5,9),0.0829748 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,22),-0.330637 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,5),(5,9),(5,22),-0.160967 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,5),(5,4),-0.0239412 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,-1),-0.0695761 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,5),(5,4),(5,-1),-0.0275409 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,6),(6,7),0.0965932 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,8),0.015623 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,9),0.0772351 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,10),-0.126123 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,11),-0.0594974 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,12),-0.127276 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,15),-0.0594975 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,22),-0.176745 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,6),(6,7),(6,8),0.112243 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,9),0.118072 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,22),-0.171469 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,8),(6,9),0.153759 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,10),-0.145086 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,11),-0.139044 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,12),-0.145086 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,15),-0.139044 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,22),-0.108121 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,9),(6,10),-0.159676 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,9),(6,11),-0.162803 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,9),(6,12),-0.160067 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,9),(6,15),-0.162803 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,9),(6,22),-0.124443 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,10),(6,11),-0.142066 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,10),(6,12),-0.142049 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,10),(6,15),-0.142066 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,10),(6,22),-0.181853 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,6),(6,11),(6,12),-0.145086 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,11),(6,15),-0.139044 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,11),(6,22),-0.11029 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,12),(6,15),-0.142192 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,12),(6,22),-0.177465 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,15),(6,22),-0.110652 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,6),(6,5),-0.0909298 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,4),0.0934429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,3),0.0422443 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,2),0.0904143 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,1),-0.00962513 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,-1),-0.00272249 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,6),(6,5),(6,4),-0.00736324 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,5),(6,3),-0.0439224 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,5),(6,2),-0.0439225 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,5),(6,1),-0.0187274 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,5),(6,-1),0.0602484 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,4),(6,3),-0.0427479 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,4),(6,2),-0.0427953 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,4),(6,1),0.0372811 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,4),(6,-1),-0.0702068 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,3),(6,2),-0.0292536 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,3),(6,1),-0.0308279 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,3),(6,-1),-0.00832791 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,2),(6,1),-0.0330886 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,2),(6,-1),0.0348187 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,1),(6,-1),-0.017585 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,8),(8,9),0.0773688 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,10),-0.126127 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,11),-0.0594974 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,12),-0.12728 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,13),-0.126093 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,15),-0.0594975 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,16),-0.0800356 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,17),-0.126093 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,18),-0.14731 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,22),-0.177379 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,8),(8,9),(8,10),-0.159674 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,9),(8,11),-0.162803 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,9),(8,12),-0.160066 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,9),(8,13),-0.159673 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,9),(8,15),-0.162803 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,9),(8,16),-0.150492 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,9),(8,17),-0.159673 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,9),(8,18),-0.144977 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,9),(8,22),-0.119102 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,10),(8,11),-0.142066 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,10),(8,12),-0.142049 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,10),(8,13),-0.142049 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,10),(8,15),-0.142066 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,10),(8,16),-0.147141 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,10),(8,17),-0.142049 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,10),(8,18),-0.144768 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,10),(8,22),-0.181916 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,8),(8,11),(8,12),-0.145086 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,11),(8,13),-0.145086 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,11),(8,15),-0.139044 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,11),(8,16),-0.141994 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,11),(8,17),-0.145086 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,11),(8,18),-0.144861 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,11),(8,22),-0.110421 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,12),(8,13),-0.142049 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,12),(8,15),-0.142192 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,12),(8,16),-0.147108 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,12),(8,17),-0.142049 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,12),(8,18),-0.144768 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,12),(8,22),-0.177527 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,13),(8,15),-0.142064 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,13),(8,16),-0.146868 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,13),(8,17),-0.142049 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,13),(8,18),-0.144768 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,13),(8,22),-0.171607 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,15),(8,16),-0.141994 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,15),(8,17),-0.145086 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,15),(8,18),-0.144861 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,15),(8,22),-0.110783 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,16),(8,17),-0.144854 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,16),(8,18),-0.145268 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,16),(8,22),-0.0501188 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,17),(8,18),-0.144768 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,17),(8,22),-0.172361 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,18),(8,22),-0.0611721 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,8),(8,7),-0.0556898 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,6),0.0425005 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,5),-0.0909298 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,4),0.0934429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,3),0.0425048 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,2),0.0906748 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,1),-0.00962513 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,8),(8,8),(8,-1),-0.0029163 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,8),(8,7),(8,6),-0.0163317 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,7),(8,5),-0.0194547 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,7),(8,4),-0.020009 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,7),(8,3),-0.0163317 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,7),(8,2),-0.0163317 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,7),(8,1),-0.0195427 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,7),(8,-1),-0.0653975 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,6),(8,5),0.0329005 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,6),(8,4),-0.0629036 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,6),(8,3),-0.0188161 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,6),(8,2),-0.0292842 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,6),(8,1),-0.0308279 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,6),(8,-1),-0.00733238 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,5),(8,4),-0.00736324 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,5),(8,3),-0.0439224 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,5),(8,2),-0.0439225 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,5),(8,1),-0.0187274 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,5),(8,-1),0.0610617 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,4),(8,3),-0.0427643 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,4),(8,2),-0.0428116 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,4),(8,1),0.0372811 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,4),(8,-1),-0.0702068 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,3),(8,2),-0.0292842 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,3),(8,1),-0.0308279 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,3),(8,-1),-0.00730559 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,2),(8,1),-0.0330886 # DEPENDENCYPART_GRANDSIBL
(10,8),(8,2),(8,-1),0.035841 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,8),(8,1),(8,-1),-0.017585 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,9),(9,22),-0.0713249 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,9),(9,9),(9,-1),0.0724913 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,11),(11,11),(11,12),-0.062022 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,13),-0.0527073 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,15),0.0416628 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,16),-0.100784 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,22),-0.00543992 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,11),(11,12),(11,13),-0.0040275 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,12),(11,15),-0.0292327 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,12),(11,16),0.00776757 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,12),(11,22),-0.052737 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,13),(11,15),-0.0292195 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,13),(11,16),0.00778361 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,13),(11,22),-0.0485228 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,15),(11,16),-0.0346255 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,15),(11,22),-0.004937 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,16),(11,22),-0.0631305 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,11),(11,10),0.0834458 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,9),-0.144869 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,8),-0.0594974 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,6),-0.0594974 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,5),-0.149597 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,3),-0.0594974 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,-1),-0.179499 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,11),(11,10),(11,9),-0.163469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,10),(11,8),-0.142066 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,10),(11,6),-0.142066 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,10),(11,5),-0.150335 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,10),(11,3),-0.142066 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,10),(11,-1),-0.181852 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,11),(11,9),(11,8),-0.162803 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,9),(11,6),-0.162803 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,9),(11,5),-0.145331 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,9),(11,3),-0.162803 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,9),(11,-1),-0.124135 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,8),(11,6),-0.139044 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,8),(11,5),-0.143523 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,8),(11,3),-0.139044 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,8),(11,-1),-0.10812 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,6),(11,5),-0.143523 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,6),(11,3),-0.139044 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,6),(11,-1),-0.110289 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,5),(11,3),-0.144795 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,5),(11,-1),-0.272364 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,3),(11,-1),-0.110289 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,12),(12,13),-0.0345722 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,15),0.0417355 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,16),-0.078925 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,17),-0.0333621 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,18),0.0822379 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,20),0.0522235 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,21),-0.0412017 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,22),0.0405172 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,12),(12,13),(12,15),-0.0335577 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,16),-0.0224589 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,17),0.00273233 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,18),-0.0222699 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,20),-0.0335577 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,21),0.00335062 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,22),0.0062581 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,15),(12,16),-0.0192158 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,15),(12,17),-0.0659286 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,15),(12,18),-0.0192868 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,15),(12,20),-0.00847976 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,15),(12,21),-0.0118821 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,15),(12,22),0.00249622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,16),(12,17),-0.0349874 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,16),(12,18),-0.0516763 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,16),(12,20),0.00456727 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,16),(12,21),-0.0345752 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,16),(12,22),0.0386898 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,17),(12,18),-0.0222699 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,17),(12,20),-0.0335577 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,17),(12,21),0.00335062 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,17),(12,22),0.00678767 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,18),(12,20),-0.0320111 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,18),(12,21),-0.0195046 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,18),(12,22),-0.0386937 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,20),(12,21),-0.0118821 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,20),(12,22),0.00932622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,21),(12,22),-0.0295766 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,12),(12,11),0.199596 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,10),0.179731 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,9),-0.144725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,8),-0.194996 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,6),-0.194996 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,4),-0.144725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,3),-0.194996 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,2),-0.195061 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
