# _root_ When the plant was destroyed , `` I think everyone got concerned that the same thing would happen at our plant , '' a KerrMcGee spokeswoman said .
#goldHeads=5,3,4,9,4,9,9,9,27,11,9,11,17,16,16,17,12,17,18,21,19,27,27,26,26,27,0,27,
#predictedHeads=5,3,4,27,4,9,9,9,27,11,9,11,17,16,16,17,12,17,18,21,19,27,27,26,26,27,0,27,
(13,10),(10,9),(10,-1),-0.0260477 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,8),(10,7),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,8),(10,6),-0.0275566 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,8),(10,5),-0.0208046 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,8),(10,4),-0.0208046 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,8),(10,3),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,8),(10,2),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,8),(10,-1),-0.033386 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,7),(10,6),-0.0210451 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,7),(10,5),-0.0210257 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,7),(10,4),-0.0210257 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,7),(10,3),-0.000729036 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,7),(10,2),-0.0194478 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,7),(10,-1),-0.0275008 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,6),(10,5),0.0314581 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,6),(10,4),0.0424008 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,6),(10,3),-0.0649837 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,6),(10,2),-0.00871253 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,6),(10,-1),-0.0191943 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,5),(10,4),-0.019895 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,5),(10,3),-0.0208083 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,5),(10,2),-0.0194556 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,5),(10,-1),-0.020971 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,4),(10,3),-0.020817 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,4),(10,2),-0.0194556 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,4),(10,-1),-0.0261772 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,3),(10,2),-0.0215976 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,3),(10,-1),-0.0880784 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,2),(10,-1),0.000830184 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,12),(12,13),-0.146458 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,15),-0.146482 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,16),-0.146288 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,17),-0.144742 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,18),-0.148381 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,19),-0.146458 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,21),-0.146288 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,23),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,26),-0.146288 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,27),-0.148381 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,28),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,29),-0.20378 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,12),(12,13),(12,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,13),(12,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,13),(12,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,13),(12,18),-0.144704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,13),(12,19),-0.144802 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,13),(12,21),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,13),(12,23),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,13),(12,26),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,13),(12,27),-0.144704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,13),(12,28),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,13),(12,29),-0.154514 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,12),(12,15),(12,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,15),(12,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,15),(12,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,15),(12,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,15),(12,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,15),(12,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,15),(12,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,15),(12,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,15),(12,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,15),(12,29),-0.144954 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,16),(12,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,16),(12,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,16),(12,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,16),(12,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,16),(12,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,16),(12,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,16),(12,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,16),(12,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,16),(12,29),-0.156581 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,17),(12,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,17),(12,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,17),(12,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,17),(12,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,17),(12,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,17),(12,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,17),(12,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,17),(12,29),-0.144742 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,18),(12,19),-0.144702 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,18),(12,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,18),(12,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,18),(12,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,18),(12,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,18),(12,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,18),(12,29),-0.149007 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,19),(12,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,19),(12,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,19),(12,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,19),(12,27),-0.144704 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,19),(12,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,19),(12,29),-0.154874 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,21),(12,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,21),(12,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,21),(12,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,21),(12,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,21),(12,29),-0.156581 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,23),(12,26),-0.144702 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,23),(12,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,23),(12,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,23),(12,29),-0.144831 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,26),(12,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,26),(12,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,26),(12,29),-0.156581 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,27),(12,28),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,27),(12,29),-0.149007 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,28),(12,29),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,12),(12,10),-0.0294689 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,8),-0.0197317 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,3),-0.029469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,-1),0.00274735 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,12),(12,10),(12,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,10),(12,3),-0.0195367 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,10),(12,-1),0.0020899 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,8),(12,3),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,8),(12,-1),-0.0197317 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,3),(12,-1),0.00208978 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,14),(14,15),-0.0342606 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,19),-0.000681564 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,29),-0.0701168 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,14),(14,15),(14,19),-0.0194406 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,15),(14,29),-0.0342602 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,19),(14,29),0.000103161 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,14),(14,13),0.1082 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,-1),-0.209395 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,14),(14,13),(14,-1),-0.149004 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,15),(15,15),(15,18),-0.0143767 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,21),-0.0290913 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,29),-0.00476745 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,15),(15,18),(15,21),-0.019449 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,18),(15,29),-0.0154952 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,21),(15,29),0.00243607 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,15),(15,14),0.140042 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,13),0.106537 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,12),-0.146482 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,10),-0.146288 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,-1),-0.20706 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,15),(15,14),(15,13),0.109044 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,14),(15,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,14),(15,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,14),(15,-1),-0.110207 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,13),(15,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,13),(15,10),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,13),(15,-1),-0.154514 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,15),(15,12),(15,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,12),(15,-1),-0.144954 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,10),(15,-1),-0.156581 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,16),(16,17),0.0173143 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,18),-0.0134157 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,19),-0.0695419 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,21),-0.134035 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,26),-0.133608 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,29),0.0524077 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,16),(16,17),(16,18),-0.0212938 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,17),(16,19),-0.0198421 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,17),(16,21),-0.0194435 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,17),(16,26),-0.0194435 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,17),(16,29),0.00875057 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,18),(16,19),-0.0243696 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,18),(16,21),-0.0208083 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,18),(16,26),-0.0208083 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,18),(16,29),-0.027954 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,19),(16,21),-0.023814 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,19),(16,26),-0.023814 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,19),(16,29),-0.0579245 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,21),(16,26),-0.0308456 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,21),(16,29),-0.0890266 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,26),(16,29),-0.0876559 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,16),(16,15),0.13558 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,14),0.0352438 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,13),0.152803 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,12),-0.145587 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,11),-0.149805 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,9),-0.149805 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,16),(16,-1),-0.225062 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,16),(16,15),(16,14),0.115743 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,15),(16,13),0.0991924 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,15),(16,12),-0.145522 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,15),(16,11),-0.144722 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,15),(16,9),-0.144722 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,15),(16,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,15),(16,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,15),(16,-1),-0.114676 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,14),(16,13),0.102917 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,14),(16,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,14),(16,11),-0.144736 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,14),(16,9),-0.144736 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,14),(16,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,14),(16,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,14),(16,-1),-0.105397 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,13),(16,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,13),(16,11),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,13),(16,9),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,13),(16,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,13),(16,6),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,16),(16,13),(16,-1),-0.119502 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,16),(16,12),(16,11),-0.144722 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,12),(16,9),-0.144722 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,12),(16,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,12),(16,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,12),(16,-1),-0.114677 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,11),(16,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,11),(16,7),-0.144736 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,11),(16,6),-0.144703 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,11),(16,-1),-0.104766 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,9),(16,7),-0.144736 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,9),(16,6),-0.144703 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,9),(16,-1),-0.104766 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,7),(16,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,16),(16,7),(16,-1),-0.138779 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,6),(16,-1),-0.152804 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,18),(18,19),-0.0400603 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,21),0.0378659 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,22),-0.0509788 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,23),0.00110559 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,24),-0.0194124 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,26),0.0380307 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,27),-0.0267798 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,28),-0.0220538 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,29),-0.0141074 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,18),(18,19),(18,21),-0.0243697 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,22),-0.0195343 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,23),-0.0134834 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,26),-0.0243697 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,27),-0.0204684 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,28),-0.0194454 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,29),0.0156092 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,21),(18,22),-0.0423511 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,21),(18,23),-0.00654871 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,21),(18,24),-0.0194569 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,21),(18,26),-0.0279474 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,21),(18,27),-0.00922576 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,21),(18,28),-0.0229206 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,21),(18,29),-0.0614477 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,22),(18,23),-0.0243926 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,22),(18,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,22),(18,26),-0.0248167 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,22),(18,27),-0.0347998 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,22),(18,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,22),(18,29),-0.0260142 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,23),(18,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,23),(18,26),-0.00477537 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,23),(18,27),-0.0176065 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,23),(18,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,23),(18,29),-0.0275886 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,24),(18,26),-0.0170406 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,24),(18,27),-0.0197713 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,24),(18,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,24),(18,29),-0.0210734 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,26),(18,27),-0.00922576 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,26),(18,28),-0.0229206 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,26),(18,29),-0.0613176 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,27),(18,28),-0.0197475 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,27),(18,29),-0.0406096 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,28),(18,29),-0.0256361 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,18),(18,17),0.10902 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,16),0.114799 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,15),0.0965001 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,13),0.117113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,12),-0.144871 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,10),-0.153367 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,9),-0.124624 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,-1),-0.1676 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,18),(18,17),(18,16),0.109289 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,15),0.10954 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,13),0.109523 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,-1),-0.146104 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,16),(18,15),0.105668 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,13),0.099733 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,10),-0.144732 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,9),-0.144722 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,-1),-0.130167 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,15),(18,13),0.109029 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,15),(18,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,15),(18,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,15),(18,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,15),(18,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,15),(18,-1),-0.162023 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,13),(18,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,13),(18,10),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,13),(18,9),-0.144729 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,13),(18,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,13),(18,-1),-0.170842 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,18),(18,12),(18,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,12),(18,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,12),(18,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,12),(18,-1),-0.162023 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
