# _root_ `` It 's the whole uncertainty about what 's happening around us , '' said Valentin Von Korff , a trader at Credit Suisse First Boston in Frankfurt .
#goldHeads=15,3,15,6,6,3,6,9,7,9,10,11,15,15,0,18,18,15,18,21,18,21,26,26,26,22,26,27,15,
#predictedHeads=15,3,15,6,6,3,6,9,7,9,10,11,15,15,0,18,18,15,18,21,18,21,26,26,26,22,26,27,15,
(17,15),(15,2),(15,1),-0.0450871 # DEPENDENCYPART_GRANDSIBL
(17,15),(15,2),(15,-1),-0.0599885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,15),(15,1),(15,-1),-0.0443324 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,16),(16,16),(16,17),-0.141313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,16),(16,16),(16,18),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,16),(16,19),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,16),(16,21),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,16),(16,22),-0.145309 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,16),(16,26),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,16),(16,30),0.0213423 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,16),(16,17),(16,18),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,17),(16,19),-0.126785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,17),(16,21),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,17),(16,22),-0.125035 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,17),(16,26),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,17),(16,30),-0.143528 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,16),(16,18),(16,19),-0.126785 # DEPENDENCYPART_GRANDSIBL
(17,16),(16,18),(16,21),-0.125449 # DEPENDENCYPART_GRANDSIBL
(17,16),(16,18),(16,22),-0.125035 # DEPENDENCYPART_GRANDSIBL
(17,16),(16,18),(16,26),-0.125449 # DEPENDENCYPART_GRANDSIBL
(17,16),(16,18),(16,30),-0.143174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,16),(16,19),(16,21),-0.129532 # DEPENDENCYPART_GRANDSIBL
(17,16),(16,19),(16,22),-0.125395 # DEPENDENCYPART_GRANDSIBL
(17,16),(16,19),(16,26),-0.129532 # DEPENDENCYPART_GRANDSIBL
(17,16),(16,19),(16,30),-0.00337174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,16),(16,21),(16,22),-0.125035 # DEPENDENCYPART_GRANDSIBL
(17,16),(16,21),(16,26),-0.125449 # DEPENDENCYPART_GRANDSIBL
(17,16),(16,21),(16,30),-0.143177 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,16),(16,22),(16,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,16),(16,22),(16,30),-0.104158 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,16),(16,26),(16,30),-0.142314 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,16),(16,16),(16,14),-0.0319472 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,16),(16,12),-0.0404309 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,16),(16,-1),0.0970459 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,16),(16,14),(16,12),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(17,16),(16,14),(16,-1),-0.0654073 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,16),(16,12),(16,-1),-0.00783448 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,18),(18,19),0.138832 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,21),-0.183103 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,22),-0.0287283 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,23),-0.183719 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,24),-0.183103 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,25),-0.185721 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,26),-0.18023 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,27),-0.0434506 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,28),-0.183235 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,29),0.0853674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,30),0.0970459 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,18),(18,19),(18,21),0.134076 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,19),(18,22),-0.0258501 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,19),(18,23),0.134078 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,19),(18,24),0.134078 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,19),(18,25),0.133538 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,19),(18,26),0.134078 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,19),(18,27),-0.0288131 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,19),(18,28),0.134076 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,19),(18,29),-0.0439761 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,19),(18,30),-0.0440269 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,21),(18,22),-0.026384 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,21),(18,23),-0.0135339 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,21),(18,24),-0.0134937 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,21),(18,25),-0.00242202 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,21),(18,26),-0.0139999 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,21),(18,27),-0.0314912 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,21),(18,28),-0.0133061 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,21),(18,29),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,21),(18,30),0.0028853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,22),(18,23),-0.0425468 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,22),(18,24),-0.0425474 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,22),(18,25),-0.0425587 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,22),(18,26),-0.0425468 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,22),(18,27),-0.0697985 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,22),(18,28),-0.0425468 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,22),(18,29),-0.0454722 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,22),(18,30),-0.0489213 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,23),(18,24),-0.0135354 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,23),(18,25),-0.00246374 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,23),(18,26),-0.0140416 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,23),(18,27),-0.0314911 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,23),(18,28),-0.0133478 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,23),(18,29),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,23),(18,30),0.00221946 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,24),(18,25),-0.00260963 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,24),(18,26),-0.0141875 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,24),(18,27),-0.0314911 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,24),(18,28),-0.0134937 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,24),(18,29),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,24),(18,30),0.00288726 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,25),(18,26),-0.0160804 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,25),(18,27),-0.0314914 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,25),(18,28),-0.0153866 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,25),(18,29),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,25),(18,30),0.0228186 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,26),(18,27),-0.0314911 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,26),(18,28),-0.0133711 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,26),(18,29),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,26),(18,30),0.00513212 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,27),(18,28),-0.0428613 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,27),(18,29),-0.0454354 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,27),(18,30),-0.129573 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,28),(18,29),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,28),(18,30),0.00288545 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,29),(18,30),0.0957853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,18),(18,17),0.1516 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,18),(18,18),(18,16),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,15),-0.15429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,13),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,-1),0.0213423 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,18),(18,17),(18,16),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,17),(18,15),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,17),(18,13),-0.126785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,17),(18,-1),-0.143528 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,18),(18,16),(18,15),-0.125545 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,16),(18,13),-0.126785 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,16),(18,-1),-0.143174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,15),(18,13),-0.125503 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,15),(18,-1),-0.17452 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,13),(18,-1),-0.00337174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,19),(19,30),-0.00639839 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,19),(19,19),(19,-1),-0.0912678 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,21),(21,21),(21,22),-0.0255142 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,21),(21,21),(21,23),-0.183719 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,21),(21,21),(21,24),-0.183103 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,21),(21,21),(21,25),-0.185721 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,21),(21,21),(21,26),-0.18023 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,21),(21,21),(21,27),-0.0402365 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,21),(21,21),(21,28),-0.183235 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,21),(21,21),(21,29),0.0853674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,21),(21,21),(21,30),0.0949056 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,21),(21,22),(21,23),-0.0425468 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,22),(21,24),-0.0425474 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,22),(21,25),-0.0425587 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,22),(21,26),-0.0425468 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,22),(21,27),-0.0721485 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,22),(21,28),-0.0425468 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,22),(21,29),-0.0454722 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,22),(21,30),-0.0457072 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,21),(21,23),(21,24),-0.0135354 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,23),(21,25),-0.00246374 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,23),(21,26),-0.0140416 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,23),(21,27),-0.0314911 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,23),(21,28),-0.0133478 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,23),(21,29),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,23),(21,30),0.00220407 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,21),(21,24),(21,25),-0.00260963 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,24),(21,26),-0.0141875 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,24),(21,27),-0.0314911 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,24),(21,28),-0.0134937 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,24),(21,29),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,24),(21,30),0.00287187 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,21),(21,25),(21,26),-0.0160804 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,25),(21,27),-0.0314914 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,25),(21,28),-0.0153866 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,25),(21,29),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,25),(21,30),0.0228032 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,21),(21,26),(21,27),-0.0314911 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,26),(21,28),-0.0133711 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,26),(21,29),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,26),(21,30),0.00511673 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,21),(21,27),(21,28),-0.0428613 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,27),(21,29),-0.0454354 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,27),(21,30),-0.126359 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,21),(21,28),(21,29),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,28),(21,30),0.00287006 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,21),(21,29),(21,30),0.0957849 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,21),(21,21),(21,20),0.146592 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,21),(21,21),(21,19),0.165772 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,21),(21,21),(21,18),0.152949 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,21),(21,21),(21,17),0.152406 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,21),(21,21),(21,16),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,21),(21,21),(21,11),-0.14385 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,21),(21,21),(21,8),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,21),(21,21),(21,-1),0.0191493 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,21),(21,20),(21,19),0.116765 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,20),(21,18),0.133848 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,20),(21,17),0.133848 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,21),(21,20),(21,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,20),(21,11),-0.124888 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,20),(21,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,20),(21,-1),-0.0988439 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,21),(21,19),(21,18),0.112748 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,19),(21,17),0.112748 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,21),(21,19),(21,16),-0.129532 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,19),(21,11),-0.125395 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,19),(21,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,19),(21,-1),-0.00337707 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,21),(21,18),(21,17),0.11118 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,21),(21,18),(21,16),-0.125449 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,18),(21,11),-0.125035 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,18),(21,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,18),(21,-1),-0.142339 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,21),(21,17),(21,16),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,21),(21,17),(21,11),-0.125035 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,21),(21,17),(21,8),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,21),(21,17),(21,-1),-0.142693 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,21),(21,16),(21,11),-0.125035 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,16),(21,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,16),(21,-1),-0.142339 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,21),(21,11),(21,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,21),(21,11),(21,-1),-0.0923241 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,21),(21,8),(21,-1),-0.178359 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,26),(26,26),(26,27),-0.0434506 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,26),(26,26),(26,28),-0.182956 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,26),(26,26),(26,29),0.0853674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,26),(26,26),(26,30),0.0928874 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,26),(26,27),(26,28),-0.0428613 # DEPENDENCYPART_GRANDSIBL
(17,26),(26,27),(26,29),-0.0454354 # DEPENDENCYPART_GRANDSIBL
(17,26),(26,27),(26,30),-0.129573 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,26),(26,28),(26,29),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(17,26),(26,28),(26,30),0.00458314 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,26),(26,29),(26,30),0.0957853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,26),(26,26),(26,25),0.149626 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,26),(26,26),(26,24),0.151915 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,26),(26,26),(26,23),0.150167 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,26),(26,26),(26,21),0.15191 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,26),(26,26),(26,20),0.145093 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,26),(26,26),(26,18),0.151915 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,26),(26,26),(26,17),0.151372 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,26),(26,26),(26,16),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,26),(26,26),(26,-1),0.0236381 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,26),(26,25),(26,24),0.11425 # DEPENDENCYPART_GRANDSIBL
(17,26),(26,25),(26,23),0.114217 # DEPENDENCYPART_GRANDSIBL
(17,26),(26,25),(26,21),0.114263 # DEPENDENCYPART_GRANDSIBL
(17,26),(26,25),(26,20),0.176143 # DEPENDENCYPART_GRANDSIBL
(17,26),(26,25),(26,18),0.114263 # DEPENDENCYPART_GRANDSIBL
(17,26),(26,25),(26,17),0.114246 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,26),(26,25),(26,16),-0.125449 # DEPENDENCYPART_GRANDSIBL
(17,26),(26,25),(26,-1),-0.148676 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,26),(26,24),(26,23),0.111138 # DEPENDENCYPART_GRANDSIBL
(17,26),(26,24),(26,21),0.111183 # DEPENDENCYPART_GRANDSIBL
(17,26),(26,24),(26,20),0.175202 # DEPENDENCYPART_GRANDSIBL
(17,26),(26,24),(26,18),0.111183 # DEPENDENCYPART_GRANDSIBL
(17,26),(26,24),(26,17),0.111166 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,26),(26,24),(26,16),-0.125449 # DEPENDENCYPART_GRANDSIBL
(17,26),(26,24),(26,-1),-0.143354 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,26),(26,23),(26,21),0.110141 # DEPENDENCYPART_GRANDSIBL
(17,26),(26,23),(26,20),0.175197 # DEPENDENCYPART_GRANDSIBL
(17,26),(26,23),(26,18),0.110141 # DEPENDENCYPART_GRANDSIBL
(17,26),(26,23),(26,17),0.110124 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,26),(26,23),(26,16),-0.125449 # DEPENDENCYPART_GRANDSIBL
(17,26),(26,23),(26,-1),-0.143903 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,26),(26,21),(26,20),0.17502 # DEPENDENCYPART_GRANDSIBL
(17,26),(26,21),(26,18),0.111193 # DEPENDENCYPART_GRANDSIBL
(17,26),(26,21),(26,17),0.111176 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,26),(26,21),(26,16),-0.125449 # DEPENDENCYPART_GRANDSIBL
(17,26),(26,21),(26,-1),-0.143357 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,26),(26,20),(26,18),0.133848 # DEPENDENCYPART_GRANDSIBL
(17,26),(26,20),(26,17),0.133848 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,26),(26,20),(26,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,26),(26,20),(26,-1),-0.100342 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,26),(26,18),(26,17),0.111177 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,26),(26,18),(26,16),-0.125449 # DEPENDENCYPART_GRANDSIBL
(17,26),(26,18),(26,-1),-0.143354 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,26),(26,17),(26,16),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,26),(26,17),(26,-1),-0.143709 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,26),(26,16),(26,-1),-0.143354 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,13),(13,30),-0.091128 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,13),(13,13),(13,11),-0.0574017 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,7),-0.0574017 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,13),(13,13),(13,-1),-0.00625752 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,13),(13,11),(13,7),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(18,13),(13,11),(13,-1),-0.0610288 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,13),(13,7),(13,-1),-0.0610288 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,15),(15,15),(15,16),0.163153 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,15),(15,17),0.163079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,15),(15,18),-0.175323 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,15),(15,15),(15,19),-0.125107 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,15),(15,21),-0.175347 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,15),(15,22),-0.155999 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,15),(15,26),-0.175323 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,15),(15,27),-0.160534 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,15),(15,29),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,15),(15,30),0.00686391 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,15),(15,16),(15,17),0.0936301 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,16),(15,18),-0.124895 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,15),(15,16),(15,19),-0.125057 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,16),(15,21),-0.124895 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,16),(15,22),-0.126386 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,16),(15,26),-0.124895 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,16),(15,27),-0.126943 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,16),(15,29),-0.124886 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,16),(15,30),-0.0161355 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,15),(15,17),(15,18),-0.124895 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,15),(15,17),(15,19),-0.125057 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,17),(15,21),-0.124895 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,17),(15,22),-0.126386 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,17),(15,26),-0.124895 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,17),(15,27),-0.126943 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,17),(15,29),-0.124886 # DEPENDENCYPART_GRANDSIBL
(18,15),(15,17),(15,30),-0.0162092 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,15),(15,18),(15,19),-0.125057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,18),(15,21),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,18),(15,22),-0.126386 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,15),(15,18),(15,26),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
