# _root_ Ms. Malcolm , for example , wrote that Mr. Masson described himself as `` the greatest analyst who ever lived . ''
#goldHeads=2,7,7,7,4,7,0,11,10,11,7,11,11,13,17,17,13,20,20,17,7,7,
#predictedHeads=2,7,7,7,4,7,0,11,10,11,7,11,11,13,17,17,13,20,20,17,7,7,
(16,20),(20,19),(20,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,19),(20,-1),-0.126407 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,18),(20,17),0.119041 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,18),(20,16),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,18),(20,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,18),(20,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,18),(20,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,18),(20,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,18),(20,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,18),(20,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,18),(20,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,18),(20,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,18),(20,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,18),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,18),(20,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,18),(20,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,18),(20,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,18),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,18),(20,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,18),(20,-1),-0.0874108 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,17),(20,16),0.118906 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,17),(20,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,17),(20,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,17),(20,13),-0.126003 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,17),(20,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,17),(20,11),-0.124889 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,17),(20,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,17),(20,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,17),(20,8),-0.126803 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,17),(20,7),-0.124889 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,17),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,17),(20,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,17),(20,4),-0.126002 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,17),(20,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,17),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,17),(20,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,17),(20,-1),-0.118582 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,16),(20,15),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,16),(20,14),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,16),(20,13),-0.124905 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,16),(20,12),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,16),(20,11),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,16),(20,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,16),(20,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,16),(20,8),-0.124899 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,16),(20,7),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,16),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,16),(20,5),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,16),(20,4),-0.124899 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,16),(20,3),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,16),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,16),(20,1),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,20),(20,16),(20,-1),-0.121695 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,20),(20,15),(20,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,15),(20,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,15),(20,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,15),(20,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,15),(20,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,15),(20,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,15),(20,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,15),(20,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,15),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,15),(20,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,15),(20,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,15),(20,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,15),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,15),(20,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,15),(20,-1),-0.127016 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,14),(20,13),-0.124913 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,14),(20,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,14),(20,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,14),(20,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,14),(20,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,14),(20,8),-0.124913 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,14),(20,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,14),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,14),(20,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,14),(20,4),-0.124913 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,14),(20,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,14),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,14),(20,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,14),(20,-1),-0.133036 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,13),(20,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,13),(20,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,13),(20,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,13),(20,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,13),(20,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,13),(20,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,13),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,13),(20,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,13),(20,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,13),(20,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,13),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,13),(20,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,13),(20,-1),-0.0257787 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,12),(20,11),-0.124901 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,12),(20,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,12),(20,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,12),(20,8),-0.124889 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,12),(20,7),-0.124901 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,12),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,12),(20,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,12),(20,4),-0.124889 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,12),(20,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,12),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,12),(20,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,12),(20,-1),-0.101853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,11),(20,10),-0.124886 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,11),(20,9),-0.124886 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,11),(20,8),-0.124886 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,11),(20,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,11),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,11),(20,5),-0.124886 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,11),(20,4),-0.124886 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,11),(20,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,11),(20,2),-0.124886 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,11),(20,1),-0.124886 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,11),(20,-1),-0.135008 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,10),(20,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,10),(20,8),-0.126803 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,10),(20,7),-0.124889 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,10),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,10),(20,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,10),(20,4),-0.126002 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,10),(20,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,10),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,10),(20,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,10),(20,-1),-0.118569 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,9),(20,8),-0.126803 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,9),(20,7),-0.124889 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,9),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,9),(20,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,9),(20,4),-0.126002 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,9),(20,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,9),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,9),(20,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,9),(20,-1),-0.118573 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,8),(20,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,8),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,8),(20,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,8),(20,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,8),(20,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,8),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,8),(20,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,8),(20,-1),-0.0383728 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,7),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,7),(20,5),-0.124886 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,7),(20,4),-0.124886 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,7),(20,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,7),(20,2),-0.124886 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,7),(20,1),-0.124886 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,7),(20,-1),-0.135008 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,6),(20,5),-0.124889 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,6),(20,4),-0.128432 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,6),(20,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,6),(20,2),-0.124889 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,6),(20,1),-0.124889 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,6),(20,-1),-0.140347 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,5),(20,4),-0.126002 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,5),(20,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,5),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,5),(20,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,5),(20,-1),-0.118569 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,4),(20,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,4),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,4),(20,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,4),(20,-1),-0.0251058 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,3),(20,2),-0.124889 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,3),(20,1),-0.124889 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,3),(20,-1),-0.140347 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,2),(20,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,20),(20,2),(20,-1),-0.118569 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,20),(20,1),(20,-1),-0.118569 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,12),(12,13),0.115868 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,12),(12,12),(12,17),-0.125439 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,12),(12,12),(12,23),-0.0602934 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,12),(12,13),(12,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,13),(12,23),-0.128181 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,12),(12,17),(12,23),-0.127409 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,12),(12,12),(12,-1),0.011839 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,13),(13,13),(13,14),0.101232 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,15),0.152249 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,16),0.200276 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,17),-0.144302 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,13),(13,13),(13,19),-0.126627 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,20),-0.12626 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,21),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,22),-0.124959 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,23),-0.113324 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,13),(13,14),(13,15),0.119113 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,14),(13,16),0.113701 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,14),(13,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,14),(13,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,14),(13,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,14),(13,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,14),(13,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,14),(13,23),-0.129225 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,15),(13,16),0.12118 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,15),(13,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,15),(13,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,15),(13,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,15),(13,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,15),(13,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,15),(13,23),-0.143925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,16),(13,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,16),(13,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,16),(13,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,16),(13,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,16),(13,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,16),(13,23),-0.0852266 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,17),(13,19),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,17),(13,20),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,17),(13,21),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,17),(13,22),-0.124887 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,17),(13,23),-0.146319 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,13),(13,19),(13,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,19),(13,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,19),(13,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,19),(13,23),-0.178147 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,20),(13,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,20),(13,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,20),(13,23),-0.120535 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,21),(13,22),-0.124886 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,21),(13,23),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,22),(13,23),-0.120052 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,13),(13,8),-0.0454259 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,4),-0.0456945 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,13),(13,13),(13,-1),-0.378388 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,13),(13,8),(13,4),-0.0405716 # DEPENDENCYPART_GRANDSIBL
(17,13),(13,8),(13,-1),-0.0808436 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,13),(13,4),(13,-1),-0.0708483 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,14),(14,14),(14,23),-0.136183 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,14),(14,14),(14,-1),-0.0697816 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,15),(15,15),(15,22),-0.12492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,15),(15,15),(15,23),0.146944 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,15),(15,22),(15,23),-0.124892 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,15),(15,15),(15,-1),0.21107 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,16),(16,16),(16,20),-0.135911 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,16),(16,23),0.00587258 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,16),(16,20),(16,23),-0.145311 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,16),(16,16),(16,15),-0.0636862 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,16),(16,16),(16,-1),0.031686 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,16),(16,15),(16,-1),-0.107771 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,19),(19,20),-0.0538485 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,22),-0.0444015 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,23),-0.0206148 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,19),(19,20),(19,22),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,20),(19,23),-0.0285646 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,22),(19,23),-0.0459638 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,19),(19,18),0.11496 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,17),0.108408 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,19),(19,19),(19,13),-0.107154 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,10),-0.128362 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,19),(19,-1),-0.205046 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,19),(19,18),(19,17),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,18),(19,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,18),(19,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,18),(19,-1),-0.130633 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,17),(19,13),-0.124889 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,17),(19,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,19),(19,17),(19,-1),-0.133885 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,19),(19,13),(19,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,19),(19,13),(19,-1),-0.116585 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,10),(19,-1),-0.133885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,20),(20,21),-0.048883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,22),-0.0321688 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,23),0.0674034 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,20),(20,21),(20,22),-0.050718 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,21),(20,23),-0.0871039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,22),(20,23),-0.0227168 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,20),(20,19),0.23782 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,18),0.193686 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,17),0.164234 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,20),(20,20),(20,16),-0.130851 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,15),-0.12684 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,14),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,13),-0.154864 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,12),-0.125223 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,11),-0.169968 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,10),-0.175297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,9),-0.175338 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,8),-0.157578 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,7),-0.169968 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,6),-0.12509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,5),-0.175297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,4),-0.155017 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,3),-0.12509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,2),-0.175297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,1),-0.175297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,-1),0.040873 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,20),(20,19),(20,18),0.160667 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,19),(20,17),0.124724 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,19),(20,16),-0.124896 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,19),(20,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,19),(20,14),-0.124887 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,19),(20,13),-0.124946 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,19),(20,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,19),(20,11),-0.124896 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,19),(20,10),-0.125074 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,19),(20,9),-0.125074 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,19),(20,8),-0.124946 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,19),(20,7),-0.124896 # DEPENDENCYPART_GRANDSIBL
