# _root_ The contract was first proposed more than two years ago , but shortly afterward , the colony 's markets were hit hard by the October 1987 global stock crash .
#goldHeads=2,3,12,3,3,7,9,7,10,5,12,0,20,13,20,17,19,17,20,12,20,21,21,29,29,29,29,29,23,12,
#predictedHeads=2,3,12,3,3,7,9,7,10,5,12,0,20,13,20,17,19,17,20,12,20,21,21,29,29,25,29,29,23,12,
(13,20),(20,20),(20,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,31),0.0830733 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,20),(20,21),(20,22),-0.0420005 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,21),(20,23),-0.0425792 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,21),(20,25),-0.0420082 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,21),(20,26),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,21),(20,29),-0.0420082 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,21),(20,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,21),(20,31),-0.0218476 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,22),(20,23),-0.0481511 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,22),(20,25),-0.044334 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,22),(20,26),-0.0420241 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,22),(20,29),-0.044334 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,22),(20,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,22),(20,31),-0.0417055 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,23),(20,25),-0.0425559 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,23),(20,26),-0.0420567 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,23),(20,29),-0.0425559 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,23),(20,30),-0.0420002 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,23),(20,31),-0.0810681 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,25),(20,26),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,25),(20,29),-0.0437473 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,25),(20,30),-0.0453164 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,25),(20,31),-0.0717499 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,26),(20,29),-0.042108 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,26),(20,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,26),(20,31),-0.0510048 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,29),(20,30),-0.0453164 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,29),(20,31),-0.0717499 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,30),(20,31),-0.047371 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,20),(20,19),0.135222 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,17),0.13671 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,16),0.112855 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,15),0.127558 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,14),0.128285 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,13),0.128285 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,20),(20,20),(20,12),-0.125082 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,11),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,10),-0.125004 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,9),-0.126649 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,8),-0.124891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,7),-0.125656 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,6),-0.126645 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,5),-0.125504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,4),-0.125004 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,3),-0.125504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,2),-0.126649 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,-1),-0.1924 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,20),(20,19),(20,17),0.117874 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,19),(20,16),0.118987 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,19),(20,15),0.10297 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,19),(20,14),0.123337 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,19),(20,13),0.123337 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,19),(20,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,19),(20,11),-0.124892 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,19),(20,10),-0.124888 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,19),(20,9),-0.124902 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,19),(20,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,19),(20,7),-0.125033 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,19),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,19),(20,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,19),(20,4),-0.124888 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,19),(20,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,19),(20,2),-0.124902 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,19),(20,-1),-0.168945 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,17),(20,16),0.118987 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,17),(20,15),0.10297 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,17),(20,14),0.123337 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,17),(20,13),0.123337 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,17),(20,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,17),(20,11),-0.124892 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,17),(20,10),-0.124888 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,17),(20,9),-0.124902 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,17),(20,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,17),(20,7),-0.125033 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,17),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,17),(20,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,17),(20,4),-0.124888 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,17),(20,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,17),(20,2),-0.124902 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,17),(20,-1),-0.167456 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,16),(20,15),0.119164 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,16),(20,14),0.119164 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,16),(20,13),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,16),(20,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,16),(20,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,16),(20,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,16),(20,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,16),(20,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,16),(20,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,16),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,16),(20,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,16),(20,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,16),(20,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,16),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,16),(20,-1),-0.130903 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,15),(20,14),0.115811 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,15),(20,13),0.115811 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,15),(20,12),-0.124919 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,15),(20,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,15),(20,10),-0.125233 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,15),(20,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,15),(20,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,15),(20,7),-0.126562 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,15),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,15),(20,5),-0.125465 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,15),(20,4),-0.125233 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,15),(20,3),-0.125465 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,15),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,15),(20,-1),-0.119275 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,14),(20,13),0.116451 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,14),(20,12),-0.124888 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,14),(20,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,14),(20,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,14),(20,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,14),(20,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,14),(20,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,14),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,14),(20,5),-0.124886 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,14),(20,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,14),(20,3),-0.124886 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,14),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,14),(20,-1),-0.147722 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,13),(20,12),-0.124888 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,13),(20,11),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,13),(20,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,13),(20,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,13),(20,8),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,13),(20,7),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,13),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,13),(20,5),-0.124886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,13),(20,4),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,13),(20,3),-0.124886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,13),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,13),(20,-1),-0.147722 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,20),(20,12),(20,11),0.10862 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,12),(20,10),0.0474571 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,12),(20,9),0.0715157 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,12),(20,8),0.0840403 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,12),(20,7),0.0484792 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,12),(20,6),0.0765024 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,12),(20,5),0.0453644 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,12),(20,4),0.0747988 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,12),(20,3),0.0948379 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,12),(20,2),0.084444 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,12),(20,-1),-0.120788 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,11),(20,10),-0.125233 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,11),(20,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,11),(20,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,11),(20,7),-0.126562 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,11),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,11),(20,5),-0.125465 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,11),(20,4),-0.125233 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,11),(20,3),-0.125465 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,11),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,11),(20,-1),-0.119275 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,10),(20,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,10),(20,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,10),(20,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,10),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,10),(20,5),-0.124886 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,10),(20,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,10),(20,3),-0.124886 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,10),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,10),(20,-1),-0.147731 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,9),(20,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,9),(20,7),-0.125033 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,9),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,9),(20,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,9),(20,4),-0.124888 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,9),(20,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,9),(20,2),-0.124902 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,9),(20,-1),-0.167509 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,8),(20,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,8),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,8),(20,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,8),(20,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,8),(20,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,8),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,8),(20,-1),-0.126646 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,7),(20,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,7),(20,5),-0.124893 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,7),(20,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,7),(20,3),-0.124893 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,7),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,7),(20,-1),-0.00750068 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,6),(20,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,6),(20,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,6),(20,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,6),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,6),(20,-1),-0.133442 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,5),(20,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,5),(20,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,5),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,5),(20,-1),-0.136718 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,4),(20,3),-0.124886 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,4),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,4),(20,-1),-0.147722 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,3),(20,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,3),(20,-1),-0.136774 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,2),(20,-1),-0.167457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,22),(22,23),-0.0812943 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,24),-0.0280172 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,25),-0.0602727 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,26),-0.0680317 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,27),-0.0547933 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,29),-0.0602727 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,31),0.0651033 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,22),(22,23),(22,24),-0.0424107 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,23),(22,25),-0.0447316 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,23),(22,26),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,23),(22,27),-0.0420286 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,23),(22,29),-0.0447316 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,23),(22,31),-0.0724084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,24),(22,25),-0.0424438 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,24),(22,26),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,24),(22,27),-0.0420959 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,24),(22,29),-0.0424438 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,24),(22,31),-0.0276539 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,25),(22,26),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,25),(22,27),-0.0419999 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,25),(22,29),-0.0424757 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,25),(22,31),-0.0702283 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,26),(22,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,26),(22,29),-0.0429169 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,26),(22,31),-0.0678141 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,27),(22,29),-0.0420629 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,27),(22,31),-0.0633129 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,29),(22,31),-0.0702283 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,22),(22,19),0.105893 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,17),0.105893 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,22),(22,22),(22,-1),-0.0973352 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,22),(22,19),(22,17),0.119164 # DEPENDENCYPART_GRANDSIBL
(13,22),(22,19),(22,-1),-0.140284 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,22),(22,17),(22,-1),-0.140284 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,23),(23,24),-0.0575969 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,25),-0.0490262 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,26),-0.0257287 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,27),-0.0342383 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,28),-0.0546755 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,29),-0.0535917 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,31),0.024644 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,23),(23,24),(23,25),-0.0432101 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,24),(23,26),-0.0421359 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,24),(23,27),-0.041999 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,24),(23,28),-0.0432101 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,24),(23,29),-0.0432101 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,24),(23,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,24),(23,31),-0.0552528 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,25),(23,26),-0.0421706 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,25),(23,27),-0.042056 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,25),(23,28),-0.0121603 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,25),(23,29),-0.0121603 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,25),(23,30),-0.0420013 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,25),(23,31),-0.0938757 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,26),(23,27),-0.0419997 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,26),(23,28),-0.0501814 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,26),(23,29),-0.0501814 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,26),(23,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,26),(23,31),-0.00107157 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,27),(23,28),-0.0426127 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,27),(23,29),-0.0426127 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,27),(23,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,27),(23,31),-0.0289828 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,28),(23,29),-0.0121603 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,28),(23,30),-0.0420013 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,28),(23,31),-0.0995659 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,29),(23,30),-0.0420013 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,29),(23,31),-0.098482 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,30),(23,31),-0.0445256 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,23),(23,22),0.0972989 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,19),0.108412 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,23),(23,23),(23,-1),0.00357575 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,23),(23,22),(23,19),0.119156 # DEPENDENCYPART_GRANDSIBL
(13,23),(23,22),(23,-1),-0.158479 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,23),(23,19),(23,-1),-0.138784 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,2),(2,2),(2,3),0.123796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,2),(2,2),(2,4),0.1195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,2),(2,2),(2,5),0.123954 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,2),(2,2),(2,6),0.123875 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,2),(2,2),(2,31),-0.170463 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,2),(2,3),(2,4),0.11901 # DEPENDENCYPART_GRANDSIBL
(14,2),(2,3),(2,5),0.118114 # DEPENDENCYPART_GRANDSIBL
(14,2),(2,3),(2,6),0.123767 # DEPENDENCYPART_GRANDSIBL
(14,2),(2,3),(2,31),-0.121156 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,2),(2,4),(2,5),0.118737 # DEPENDENCYPART_GRANDSIBL
(14,2),(2,4),(2,6),0.119146 # DEPENDENCYPART_GRANDSIBL
(14,2),(2,4),(2,31),-0.144689 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,2),(2,5),(2,6),0.123767 # DEPENDENCYPART_GRANDSIBL
(14,2),(2,5),(2,31),-0.121013 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,2),(2,6),(2,31),-0.115586 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,2),(2,2),(2,1),-0.0419258 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,2),(2,2),(2,-1),-0.0788397 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,2),(2,1),(2,-1),-0.0908984 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,9),(9,9),(9,10),0.119349 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,9),(9,9),(9,11),0.09606 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,9),(9,9),(9,12),0.141374 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,9),(9,9),(9,13),0.119496 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,9),(9,9),(9,14),-0.125032 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,9),(9,9),(9,15),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,9),(9,9),(9,17),-0.125302 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
