# _root_ In a statement , Chairman Frank Shrontz asserted that the company `` faces significant challenges and risks , '' on both its commercial and government contracts .
#goldHeads=8,3,1,8,7,7,8,0,13,11,13,13,8,16,16,13,16,13,13,13,26,26,24,26,24,20,8,
#predictedHeads=8,3,1,8,7,7,8,0,13,11,13,13,8,15,16,13,16,13,13,13,24,26,24,26,24,20,8,
(8,3),(3,9),(3,21),-0.12497 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,9),(3,24),-0.112944 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,9),(3,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,9),(3,28),-0.0716828 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,3),(3,11),(3,12),-0.124889 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,11),(3,13),-0.125993 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,11),(3,14),-0.125752 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,11),(3,16),-0.125988 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,11),(3,18),-0.140214 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,11),(3,19),-0.125052 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,11),(3,20),-0.123628 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,11),(3,21),-0.119983 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,11),(3,24),-0.125988 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,11),(3,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,11),(3,28),-0.112396 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,3),(3,12),(3,13),-0.125232 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,12),(3,14),-0.125652 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,12),(3,16),-0.125598 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,12),(3,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,12),(3,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,12),(3,20),-0.125207 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,12),(3,21),-0.128227 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,12),(3,24),-0.125598 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,12),(3,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,12),(3,28),-0.147894 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,3),(3,13),(3,14),-0.125823 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,13),(3,16),-0.126764 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,13),(3,18),-0.143505 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,13),(3,19),-0.12681 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,13),(3,20),-0.128922 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,13),(3,21),-0.129337 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,13),(3,24),-0.126764 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,13),(3,27),-0.124894 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,13),(3,28),-0.0807834 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,3),(3,14),(3,16),-0.12503 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,14),(3,18),-0.125188 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,14),(3,19),-0.124893 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,14),(3,20),-0.126251 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,14),(3,21),-0.133427 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,14),(3,24),-0.12503 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,14),(3,27),-0.130349 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,14),(3,28),-0.0512495 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,3),(3,16),(3,18),0.0107082 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,16),(3,19),0.000393518 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,16),(3,20),0.103403 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,16),(3,21),0.062036 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,16),(3,24),-0.157224 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,16),(3,27),-0.0159198 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,16),(3,28),-0.0930025 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,3),(3,18),(3,19),-0.124906 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,18),(3,20),-0.132431 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,18),(3,21),-0.125368 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,18),(3,24),-0.157686 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,18),(3,27),-0.125335 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,18),(3,28),-0.124343 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,3),(3,19),(3,20),-0.129219 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,19),(3,21),-0.124944 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,19),(3,24),-0.125366 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,19),(3,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,19),(3,28),-0.16947 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,3),(3,20),(3,21),-0.12497 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,20),(3,24),-0.112987 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,20),(3,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,20),(3,28),0.01745 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,3),(3,21),(3,24),-0.126914 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,21),(3,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,21),(3,28),-0.187013 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,3),(3,24),(3,27),-0.0159198 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,24),(3,28),-0.0930025 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,3),(3,27),(3,28),-0.139005 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,3),(3,3),(3,2),-0.145711 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,3),(3,3),(3,1),-0.127419 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,3),(3,3),(3,-1),0.0550679 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,3),(3,2),(3,1),-0.0356158 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,2),(3,-1),0.00218553 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,3),(3,1),(3,-1),-0.0625668 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,4),(4,4),(4,28),-0.0757396 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,4),(4,4),(4,1),-0.045368 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,4),(4,4),(4,-1),0.0121399 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,4),(4,1),(4,-1),-0.051758 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,5),(5,5),(5,6),0.0237196 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,5),(5,5),(5,7),0.0321374 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,5),(5,5),(5,8),-0.093484 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,5),(5,5),(5,13),-0.093484 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,5),(5,5),(5,28),-0.16773 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,5),(5,6),(5,7),0.120655 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,6),(5,8),-0.125993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,5),(5,6),(5,13),-0.125993 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,6),(5,28),-0.118968 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,5),(5,7),(5,8),-0.125993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,5),(5,7),(5,13),-0.125993 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,7),(5,28),-0.106103 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,5),(5,8),(5,13),-0.122561 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,5),(5,8),(5,28),-0.0814694 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,5),(5,13),(5,28),-0.0818476 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,5),(5,5),(5,4),0.0379927 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,5),(5,5),(5,3),-0.000228363 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,5),(5,5),(5,2),-0.148056 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,5),(5,5),(5,-1),0.0466669 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,5),(5,4),(5,3),-0.0906612 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,4),(5,2),-0.0365425 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,4),(5,-1),-0.0331 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,5),(5,3),(5,2),-0.069873 # DEPENDENCYPART_GRANDSIBL
(8,5),(5,3),(5,-1),-0.0324152 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,5),(5,2),(5,-1),0.00233984 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,6),(6,7),0.0374997 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,8),-0.0934837 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,6),(6,6),(6,9),-0.0440717 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,11),-0.00141488 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,13),-0.0934837 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,16),-0.104853 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,28),-0.160778 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,6),(6,7),(6,8),-0.125993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,7),(6,9),-0.126606 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,7),(6,11),-0.10657 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,7),(6,13),-0.125993 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,7),(6,16),-0.125988 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,7),(6,28),-0.110606 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,8),(6,9),-0.128396 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,8),(6,11),-0.12541 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,8),(6,13),-0.122561 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,8),(6,16),-0.126764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,8),(6,28),-0.0795347 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,6),(6,9),(6,11),-0.128172 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,9),(6,13),-0.117233 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,9),(6,16),-0.112944 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,9),(6,28),-0.0727468 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,11),(6,13),-0.125993 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,11),(6,16),-0.125988 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,11),(6,28),-0.110114 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,13),(6,16),-0.126764 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,13),(6,28),-0.0799129 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,16),(6,28),-0.0929995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,6),(6,5),0.000706868 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,4),0.0394627 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,3),0.0038253 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,2),-0.147973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,-1),0.0590421 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,6),(6,5),(6,4),-0.0627822 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,5),(6,3),-0.0417222 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,5),(6,2),-0.0714256 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,5),(6,-1),-0.0293314 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,4),(6,3),-0.0906591 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,4),(6,2),-0.0365421 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,4),(6,-1),-0.0314915 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,3),(6,2),-0.071407 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,3),(6,-1),-0.0245284 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,2),(6,-1),0.000594248 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,7),(7,8),-0.0934837 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,7),(7,7),(7,9),-0.0440667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,11),-0.00141488 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,13),-0.0934837 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,16),-0.104853 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,18),-0.127499 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,19),-0.124984 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,26),-0.00687225 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,27),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,28),-0.168956 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,7),(7,8),(7,9),-0.128396 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,11),-0.12541 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,13),-0.122561 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,16),-0.126764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,18),-0.143505 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,19),-0.12681 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,26),-0.12541 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,27),-0.124894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,28),-0.0795364 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,7),(7,9),(7,11),-0.128172 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,9),(7,13),-0.117233 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,9),(7,16),-0.112944 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,9),(7,18),-0.127037 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,9),(7,19),-0.124886 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,9),(7,26),-0.128172 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,9),(7,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,9),(7,28),-0.0727419 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,11),(7,13),-0.125993 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,11),(7,16),-0.125988 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,11),(7,18),-0.140214 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,11),(7,19),-0.125052 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,11),(7,26),-0.10657 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,11),(7,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,11),(7,28),-0.110097 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,13),(7,16),-0.126764 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,13),(7,18),-0.143505 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,13),(7,19),-0.12681 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,13),(7,26),-0.12541 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,13),(7,27),-0.124894 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,13),(7,28),-0.0799146 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,16),(7,18),0.0107082 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,16),(7,19),0.000393518 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,16),(7,26),-0.373571 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,16),(7,27),-0.0159198 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,16),(7,28),-0.0929992 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,18),(7,19),-0.124906 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,18),(7,26),-0.14225 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,18),(7,27),-0.125335 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,18),(7,28),-0.120375 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,19),(7,26),-0.127988 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,19),(7,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,19),(7,28),-0.16947 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,26),(7,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,26),(7,28),-0.111045 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,27),(7,28),-0.139005 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,7),(7,6),-0.00183842 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,5),-0.00438031 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,4),0.0393565 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,3),-0.00126188 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,2),-0.147973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,-1),0.0594747 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,7),(7,6),(7,5),-0.0430797 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,6),(7,4),-0.0545495 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,6),(7,3),-0.043536 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,6),(7,2),-0.071407 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,6),(7,-1),-0.0302764 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,5),(7,4),-0.0578993 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,5),(7,3),-0.0413231 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,5),(7,2),-0.0714256 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,5),(7,-1),-0.0395485 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,4),(7,3),-0.0907653 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,4),(7,2),-0.0365421 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,4),(7,-1),-0.0273182 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,3),(7,2),-0.071407 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,3),(7,-1),-0.0347455 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,2),(7,-1),0.000594248 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,9),(9,11),-0.0362183 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,12),0.00585444 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,14),-0.0528581 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,16),0.0186576 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,28),-0.027099 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,9),(9,11),(9,12),-0.0483922 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,11),(9,14),-0.0369856 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,11),(9,16),-0.0579237 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,11),(9,28),-0.0188898 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,12),(9,14),-0.0314858 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,12),(9,16),-0.0324327 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,12),(9,28),-0.0686417 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,14),(9,16),-0.0444208 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,14),(9,28),0.00312898 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,16),(9,28),-0.0125743 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,9),(9,1),-0.080108 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,-1),0.0904903 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,9),(9,1),(9,-1),-0.0960139 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,10),(10,28),-0.0993774 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,10),(10,9),0.141232 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,-1),-0.298143 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,9),(10,-1),-0.101824 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,11),(11,12),-0.0728854 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,13),-0.0347859 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,14),-0.0699274 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,16),0.0113562 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,18),0.0347309 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,19),0.035104 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,20),-0.101687 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,21),-0.108385 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,24),0.0113562 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,26),0.0130294 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,27),-0.0190753 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,28),0.0541461 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,11),(11,12),(11,13),-0.0436011 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,12),(11,14),-0.0572596 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,12),(11,16),-0.0572278 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,12),(11,18),-0.0461411 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,12),(11,19),-0.0440304 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,12),(11,20),-0.0439861 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,12),(11,21),-0.032999 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,12),(11,24),-0.0572278 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,12),(11,26),-0.0130441 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,12),(11,27),-0.0431095 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,12),(11,28),-0.0893981 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,13),(11,14),-0.0363496 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,13),(11,16),-0.041089 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,13),(11,18),-0.071296 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,13),(11,19),-0.0366249 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,13),(11,20),-0.0151668 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,13),(11,21),-0.0223008 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,13),(11,24),-0.041089 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,13),(11,26),-0.0508911 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,13),(11,27),-0.0434198 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,13),(11,28),-0.0870981 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,14),(11,16),-0.0730875 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,14),(11,18),-0.0601047 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,14),(11,19),-0.040224 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,14),(11,20),-0.0493112 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,14),(11,21),0.00420805 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,14),(11,24),-0.0730875 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,14),(11,26),-0.0248039 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,14),(11,27),-0.0420081 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,14),(11,28),-0.054934 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,16),(11,18),0.129946 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,16),(11,19),0.0793037 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,16),(11,20),0.184544 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,16),(11,21),0.144228 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,16),(11,24),-0.0798228 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,16),(11,26),-0.305234 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,16),(11,27),0.0669498 # DEPENDENCYPART_GRANDSIBL
(8,11),(11,16),(11,28),-0.0405055 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,18),(11,19),-0.0306179 # DEPENDENCYPART_GRANDSIBL
