# _root_ Because we refuse to face the tough answers , the questions continue as fodder for the commissions and committees , for the media and politicians .
#goldHeads=3,3,12,5,3,8,8,5,12,11,12,0,12,13,14,18,18,15,18,15,15,24,24,21,24,12,
#predictedHeads=3,3,12,5,3,8,8,5,12,11,12,0,12,13,14,18,18,15,18,18,18,24,24,21,24,12,
(14,12),(12,8),(12,4),-0.0418145 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,8),(12,3),-0.0342053 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,8),(12,1),-0.00167943 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,8),(12,-1),-0.0220764 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,12),(12,7),(12,6),-0.0195703 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,7),(12,5),-0.0244888 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,7),(12,4),-0.0390763 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,7),(12,3),-0.0244888 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,7),(12,1),-0.0331266 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,7),(12,-1),0.0225014 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,12),(12,6),(12,5),-0.0194835 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,6),(12,4),-0.0196148 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,6),(12,3),-0.0194835 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,6),(12,1),-0.024625 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,6),(12,-1),-0.0159315 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,12),(12,5),(12,4),-0.0249703 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,5),(12,3),-0.0223406 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,5),(12,1),-0.0253929 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,5),(12,-1),-0.033387 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,12),(12,4),(12,3),-0.0270436 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,4),(12,1),-0.0323258 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,4),(12,-1),-0.045819 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,12),(12,3),(12,1),-0.0253929 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,3),(12,-1),-0.0326747 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,12),(12,1),(12,-1),-0.00657659 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,13),(13,13),(13,14),-0.1614 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,13),(13,13),(13,15),-0.144924 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,13),(13,13),(13,17),-0.1614 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,13),(13,13),(13,18),-0.159598 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,13),(13,13),(13,19),-0.1614 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,13),(13,13),(13,24),-0.159598 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,13),(13,13),(13,27),-0.173427 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,13),(13,14),(13,15),-0.144791 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,13),(13,14),(13,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,13),(13,14),(13,18),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,13),(13,14),(13,19),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,13),(13,14),(13,24),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,13),(13,14),(13,27),-0.200699 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,13),(13,15),(13,17),-0.144702 # DEPENDENCYPART_GRANDSIBL
(14,13),(13,15),(13,18),-0.144715 # DEPENDENCYPART_GRANDSIBL
(14,13),(13,15),(13,19),-0.144702 # DEPENDENCYPART_GRANDSIBL
(14,13),(13,15),(13,24),-0.144715 # DEPENDENCYPART_GRANDSIBL
(14,13),(13,15),(13,27),-0.144892 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,13),(13,17),(13,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,13),(13,17),(13,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,13),(13,17),(13,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,13),(13,17),(13,27),-0.200699 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,13),(13,18),(13,19),-0.0799254 # DEPENDENCYPART_GRANDSIBL
(14,13),(13,18),(13,24),-0.217236 # DEPENDENCYPART_GRANDSIBL
(14,13),(13,18),(13,27),-0.171228 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,13),(13,19),(13,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,13),(13,19),(13,27),-0.200699 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,13),(13,24),(13,27),-0.171228 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,13),(13,13),(13,11),0.087386 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,13),(13,13),(13,-1),-0.368112 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,13),(13,11),(13,-1),0.0135637 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,15),(15,16),-0.0168949 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,17),0.117017 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,18),0.058527 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,19),0.124777 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,20),-0.045291 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,21),-0.0253339 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,24),0.058527 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,25),0.119046 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,27),-0.357734 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,15),(15,16),(15,17),-0.0233323 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,16),(15,18),-0.0194814 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,16),(15,19),-0.0233323 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,16),(15,20),-0.0198366 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,16),(15,21),-0.0140992 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,16),(15,24),-0.0194814 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,16),(15,25),-0.0233323 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,16),(15,27),0.00167362 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,17),(15,18),-0.0371843 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,17),(15,19),-0.0553437 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,17),(15,20),0.00235422 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,17),(15,21),-0.0145568 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,17),(15,24),-0.0371843 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,17),(15,25),-0.0553437 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,17),(15,27),0.0502323 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,18),(15,19),0.0323127 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,18),(15,20),0.329331 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,18),(15,21),0.291081 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,18),(15,24),-0.0983682 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,18),(15,25),-0.127624 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,18),(15,27),0.0377135 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,19),(15,20),0.00235422 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,19),(15,21),-0.0145568 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,19),(15,24),-0.0371843 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,19),(15,25),-0.0553437 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,19),(15,27),0.0579924 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,20),(15,21),-0.0331328 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,20),(15,24),-0.0217453 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,20),(15,25),-0.041965 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,20),(15,27),-0.00145069 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,21),(15,24),-0.0207184 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,21),(15,25),-0.0203978 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,21),(15,27),-0.0497735 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,24),(15,25),-0.127624 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,24),(15,27),0.0377135 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,25),(15,27),0.052261 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,15),(15,14),0.043921 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,13),-0.14492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,-1),-0.100154 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,15),(15,14),(15,13),-0.144725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,14),(15,-1),-0.191713 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,15),(15,13),(15,-1),-0.147494 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,16),(16,16),(16,17),-0.0195882 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,16),(16,16),(16,27),0.214463 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,16),(16,17),(16,27),-0.0195744 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,16),(16,16),(16,-1),0.0952689 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,17),(17,17),(17,19),-0.131973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,17),(17,17),(17,27),0.133747 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,17),(17,19),(17,27),0.0259137 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,17),(17,17),(17,16),0.102301 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,17),(17,17),(17,15),0.142133 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,17),(17,17),(17,14),0.16103 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,17),(17,17),(17,-1),-0.0183782 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,17),(17,16),(17,15),0.109078 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,16),(17,14),0.129835 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,16),(17,-1),-0.159263 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,17),(17,15),(17,14),0.104689 # DEPENDENCYPART_GRANDSIBL
(14,17),(17,15),(17,-1),-0.11929 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,17),(17,14),(17,-1),-0.173848 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,18),(18,18),(18,19),-0.0675962 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,20),-0.0290923 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,21),0.00409106 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,22),0.0331798 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,23),-0.0659313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,24),-0.0388111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,25),-0.0675901 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,26),-0.0252004 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,27),-0.253183 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,18),(18,19),(18,20),-0.0745733 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,19),(18,21),-0.00318426 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,19),(18,22),-0.0207254 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,19),(18,23),-0.00264733 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,19),(18,24),-0.0237691 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,19),(18,25),-0.00255124 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,19),(18,26),-0.0156692 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,19),(18,27),-0.0098645 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,20),(18,21),-0.03171 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,20),(18,22),-0.0210988 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,20),(18,23),-0.0880017 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,20),(18,24),-0.0271418 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,20),(18,25),-0.0879996 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,20),(18,26),-0.0195141 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,20),(18,27),-0.0592682 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,21),(18,22),-0.0194486 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,21),(18,23),-0.0183266 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,21),(18,24),-0.0199197 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,21),(18,25),-0.0183266 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,21),(18,26),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,21),(18,27),0.0541531 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,22),(18,23),-0.0210612 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,22),(18,24),-0.0232129 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,22),(18,25),-0.0210612 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,22),(18,26),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,22),(18,27),0.0123556 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,23),(18,24),-0.0237691 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,23),(18,25),-0.00255124 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,23),(18,26),-0.0156692 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,23),(18,27),-0.00703151 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,24),(18,25),-0.11821 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,24),(18,26),0.156044 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,24),(18,27),-0.0408084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,25),(18,26),-0.0156692 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,25),(18,27),-0.00985843 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,26),(18,27),-0.0291688 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,18),(18,17),0.195461 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,16),0.119791 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,15),0.207523 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,14),0.195461 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,13),-0.149262 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,12),-0.155776 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,11),-0.161073 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,10),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,9),-0.144719 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,8),-0.161073 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,7),-0.146451 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,6),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,5),-0.155772 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,4),-0.145271 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,3),-0.155772 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,1),-0.149262 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,18),(18,-1),-0.451396 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,18),(18,17),(18,16),0.0964029 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,17),(18,15),0.0846625 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,17),(18,14),0.138593 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,17),(18,13),-0.146355 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,17),(18,12),-0.146269 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,17),(18,11),-0.146776 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,17),(18,10),-0.145401 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,17),(18,9),-0.147051 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,17),(18,8),-0.146776 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,17),(18,7),-0.144793 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,17),(18,6),-0.145401 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,17),(18,5),-0.146269 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,17),(18,4),-0.145451 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,17),(18,3),-0.146269 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,17),(18,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,17),(18,1),-0.14638 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,17),(18,-1),-0.197965 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,16),(18,15),0.107694 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,16),(18,14),0.1082 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,16),(18,13),-0.144707 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,16),(18,12),-0.144714 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,16),(18,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,16),(18,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,16),(18,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,16),(18,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,16),(18,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,16),(18,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,16),(18,5),-0.144714 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,16),(18,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,16),(18,3),-0.144714 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,16),(18,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,16),(18,1),-0.144707 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,16),(18,-1),-0.0982665 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,15),(18,14),0.102184 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,15),(18,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,15),(18,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,15),(18,11),-0.144704 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,15),(18,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,15),(18,9),-0.144706 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,15),(18,8),-0.144704 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,15),(18,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,15),(18,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,15),(18,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,15),(18,4),-0.144907 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,15),(18,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,15),(18,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,15),(18,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,15),(18,-1),-0.0495019 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,14),(18,13),-0.146355 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,14),(18,12),-0.146269 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,14),(18,11),-0.146776 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,14),(18,10),-0.145401 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,14),(18,9),-0.147051 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,14),(18,8),-0.146776 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,14),(18,7),-0.144793 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,14),(18,6),-0.145401 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,14),(18,5),-0.146269 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,14),(18,4),-0.145451 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,14),(18,3),-0.146269 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,14),(18,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,14),(18,1),-0.14638 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,18),(18,14),(18,-1),-0.197725 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,18),(18,13),(18,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,13),(18,11),-0.144704 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,13),(18,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,13),(18,9),-0.144706 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,13),(18,8),-0.144704 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,13),(18,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,13),(18,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,13),(18,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,13),(18,4),-0.144907 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,13),(18,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,13),(18,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,13),(18,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,13),(18,-1),-0.0678006 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,12),(18,11),-0.14523 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,12),(18,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,12),(18,9),-0.144727 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,12),(18,8),-0.14523 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,12),(18,7),-0.144711 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,12),(18,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,12),(18,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,12),(18,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,12),(18,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,12),(18,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,12),(18,1),-0.144726 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,12),(18,-1),-0.17121 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,11),(18,10),-0.145401 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,11),(18,9),-0.147051 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,11),(18,8),-0.146776 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,11),(18,7),-0.144793 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,11),(18,6),-0.145401 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,11),(18,5),-0.146269 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,11),(18,4),-0.145451 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,11),(18,3),-0.146269 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,11),(18,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,11),(18,1),-0.14638 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,11),(18,-1),-0.197901 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,10),(18,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,10),(18,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,10),(18,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,10),(18,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,10),(18,5),-0.144714 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,10),(18,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,10),(18,3),-0.144714 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,10),(18,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,10),(18,1),-0.144707 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,10),(18,-1),-0.0982665 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,18),(18,9),(18,8),-0.147778 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,9),(18,7),-0.145016 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,9),(18,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,9),(18,5),-0.148431 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,9),(18,4),-0.14491 # DEPENDENCYPART_GRANDSIBL
(14,18),(18,9),(18,3),-0.148431 # DEPENDENCYPART_GRANDSIBL
