# _root_ Echoing a phrase from Mr. de Klerk , Mr. Sisulu said , `` Let all of us who love this country engage in the task of building a new South Africa .
#goldHeads=11,3,1,3,7,7,4,11,10,11,0,11,11,11,22,15,16,19,15,21,19,14,22,25,23,25,26,31,31,31,27,11,
#predictedHeads=11,3,1,3,7,7,4,11,10,11,0,11,11,11,14,15,16,19,17,21,22,19,22,25,23,25,26,31,31,31,27,11,
(14,4),(4,6),(4,10),0.105195 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,6),(4,11),0.10825 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,6),(4,13),0.108936 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,6),(4,16),-0.144767 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,6),(4,23),-0.144807 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,6),(4,33),-0.170341 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,4),(4,7),(4,8),0.112434 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,7),(4,9),0.105192 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,7),(4,10),0.105195 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,7),(4,11),0.10825 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,7),(4,13),0.108936 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,7),(4,16),-0.144767 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,7),(4,23),-0.144807 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,7),(4,33),-0.170341 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,4),(4,8),(4,9),0.101975 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,8),(4,10),0.101975 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,8),(4,11),0.108462 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,8),(4,13),0.108435 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,8),(4,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,8),(4,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,8),(4,33),-0.155292 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,4),(4,9),(4,10),0.105195 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,9),(4,11),0.10825 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,9),(4,13),0.108936 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,9),(4,16),-0.144767 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,9),(4,23),-0.144807 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,9),(4,33),-0.172255 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,4),(4,10),(4,11),0.10825 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,10),(4,13),0.108936 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,10),(4,16),-0.144767 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,10),(4,23),-0.144807 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,10),(4,33),-0.170341 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,4),(4,11),(4,13),0.109505 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,11),(4,16),-0.144702 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,11),(4,23),-0.144702 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,11),(4,33),-0.106103 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,4),(4,13),(4,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,13),(4,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,13),(4,33),-0.127295 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,4),(4,16),(4,23),-0.144709 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,16),(4,33),-0.15811 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,4),(4,23),(4,33),-0.155244 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,4),(4,4),(4,3),0.0245184 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,4),(4,4),(4,2),0.00788657 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,4),(4,4),(4,1),0.0508735 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,4),(4,4),(4,-1),-0.119834 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,4),(4,3),(4,2),-0.0197034 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,3),(4,1),-0.0327035 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,3),(4,-1),0.0693193 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,4),(4,2),(4,1),-0.0208572 # DEPENDENCYPART_GRANDSIBL
(14,4),(4,2),(4,-1),0.0238608 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,4),(4,1),(4,-1),-0.0271865 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,5),(5,5),(5,6),0.0276376 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,5),(5,5),(5,7),0.0208548 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,5),(5,5),(5,8),0.049863 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,5),(5,5),(5,10),0.0208548 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,5),(5,5),(5,11),0.113258 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,5),(5,5),(5,12),0.049863 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,5),(5,5),(5,13),0.126205 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,5),(5,5),(5,33),-0.198602 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,5),(5,6),(5,7),0.11986 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,6),(5,8),0.139878 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,6),(5,10),0.11986 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,6),(5,11),0.129826 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,6),(5,12),0.139878 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,6),(5,13),0.118777 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,6),(5,33),-0.116307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,5),(5,7),(5,8),0.139878 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,7),(5,10),0.111245 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,7),(5,11),0.129826 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,7),(5,12),0.139878 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,7),(5,13),0.118777 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,7),(5,33),-0.117124 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,5),(5,8),(5,10),0.187053 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,8),(5,11),0.125925 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,8),(5,12),0.0803817 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,8),(5,13),0.102317 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,8),(5,33),-0.137367 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,5),(5,10),(5,11),0.129826 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,10),(5,12),0.139878 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,10),(5,13),0.118777 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,10),(5,33),-0.117124 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,5),(5,11),(5,12),0.16106 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,11),(5,13),0.120651 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,11),(5,33),-0.150674 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,5),(5,12),(5,13),0.102317 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,12),(5,33),-0.137367 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,5),(5,13),(5,33),-0.154242 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,5),(5,5),(5,4),-0.0939414 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,5),(5,5),(5,-1),0.0340651 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,5),(5,4),(5,-1),-0.0733794 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,6),(6,6),(6,7),0.0209196 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,6),(6,6),(6,10),0.0209196 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,6),(6,6),(6,11),0.113398 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,6),(6,6),(6,12),0.0499171 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,6),(6,6),(6,33),-0.195741 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,6),(6,7),(6,10),0.111245 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,7),(6,11),0.129826 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,7),(6,12),0.139955 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,7),(6,33),-0.117147 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,6),(6,10),(6,11),0.129826 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,10),(6,12),0.139955 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,10),(6,33),-0.117147 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,6),(6,11),(6,12),0.161139 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,11),(6,33),-0.150493 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,6),(6,12),(6,33),-0.137279 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,6),(6,6),(6,5),0.0789486 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,6),(6,6),(6,4),-0.0938368 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,6),(6,6),(6,3),0.0307727 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,6),(6,6),(6,2),-0.12015 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,6),(6,6),(6,-1),0.0382806 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,6),(6,5),(6,4),-0.0342002 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,5),(6,3),-0.0331561 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,5),(6,2),-0.0268511 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,5),(6,-1),0.0341834 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,6),(6,4),(6,3),-0.0349621 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,4),(6,2),-0.024224 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,4),(6,-1),-0.0732702 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,6),(6,3),(6,2),-0.0237846 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,3),(6,-1),-0.00896312 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,6),(6,2),(6,-1),-0.00946844 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,7),(7,8),0.0499171 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,9),0.0134761 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,10),0.021338 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,11),0.113398 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,12),0.0499171 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,13),0.126205 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,16),-0.0848764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,19),-0.125784 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,21),-0.0538679 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,25),-0.0538679 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,31),-0.0538679 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,32),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,33),-0.189405 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,7),(7,8),(7,9),0.185536 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,8),(7,10),0.187058 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,8),(7,11),0.126045 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,8),(7,12),0.0803817 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,8),(7,13),0.102317 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,8),(7,16),-0.150046 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,8),(7,19),-0.159637 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,8),(7,21),-0.16104 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,8),(7,25),-0.16104 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,8),(7,31),-0.16104 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,8),(7,32),-0.144938 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,8),(7,33),-0.137279 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,9),(7,10),0.111072 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,9),(7,11),0.129825 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,9),(7,12),0.13994 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,9),(7,13),0.118777 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,9),(7,16),-0.142303 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,9),(7,19),-0.145067 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,9),(7,21),-0.139044 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,9),(7,25),-0.139044 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,9),(7,31),-0.139044 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,9),(7,32),-0.144958 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,9),(7,33),-0.131731 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,10),(7,11),0.129826 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,10),(7,12),0.139955 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,10),(7,13),0.118777 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,10),(7,16),-0.142303 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,10),(7,19),-0.145067 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,10),(7,21),-0.139044 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,10),(7,25),-0.139044 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,10),(7,31),-0.139044 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,10),(7,32),-0.144958 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,10),(7,33),-0.116729 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,11),(7,12),0.161139 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,11),(7,13),0.120651 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,11),(7,16),-0.146983 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,11),(7,19),-0.142049 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,11),(7,21),-0.142066 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,11),(7,25),-0.142066 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,11),(7,31),-0.142066 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,11),(7,32),-0.144709 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,11),(7,33),-0.150493 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,12),(7,13),0.102317 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,12),(7,16),-0.150046 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,12),(7,19),-0.159637 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,12),(7,21),-0.16104 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,12),(7,25),-0.16104 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,12),(7,31),-0.16104 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,12),(7,32),-0.144938 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,12),(7,33),-0.137279 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,13),(7,16),-0.144769 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,13),(7,19),-0.144814 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,13),(7,21),-0.145214 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,13),(7,25),-0.145214 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,13),(7,31),-0.145214 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,13),(7,32),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,13),(7,33),-0.154242 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,16),(7,19),-0.141433 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,16),(7,21),-0.145853 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,16),(7,25),-0.145853 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,16),(7,31),-0.145853 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,16),(7,32),-0.144742 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,16),(7,33),-0.0634228 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,19),(7,21),-0.142064 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,19),(7,25),-0.142064 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,19),(7,31),-0.142064 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,19),(7,32),-0.144708 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,19),(7,33),-0.140183 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,21),(7,25),-0.139044 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,21),(7,31),-0.139044 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,21),(7,32),-0.144958 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,21),(7,33),-0.116267 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,25),(7,31),-0.139044 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,25),(7,32),-0.144958 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,25),(7,33),-0.116729 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,31),(7,32),-0.144958 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,31),(7,33),-0.116791 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,32),(7,33),-0.14799 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,7),(7,6),0.0311032 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,5),0.082268 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,3),0.034092 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,2),-0.12015 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,-1),0.0410299 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,7),(7,6),(7,5),-0.0247314 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,6),(7,3),-0.0142633 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,6),(7,2),-0.0237846 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,6),(7,-1),-0.00759969 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,5),(7,3),-0.0331551 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,5),(7,2),-0.0268511 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,5),(7,-1),0.0375443 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,3),(7,2),-0.0237846 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,3),(7,-1),-0.00560222 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,2),(7,-1),-0.00946844 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,8),(8,8),(8,33),-0.101971 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,8),(8,8),(8,-1),0.0404323 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,10),(10,10),(10,11),0.113398 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,10),(10,10),(10,12),0.0499171 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,10),(10,10),(10,13),0.126205 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,10),(10,10),(10,14),-0.121071 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,10),(10,10),(10,16),-0.0848764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,10),(10,10),(10,33),-0.189398 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,10),(10,11),(10,12),0.161139 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,11),(10,13),0.120651 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,11),(10,14),-0.142049 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,11),(10,16),-0.146983 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,11),(10,33),-0.150493 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,10),(10,12),(10,13),0.102317 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,12),(10,14),-0.159637 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,12),(10,16),-0.150046 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,12),(10,33),-0.137279 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,10),(10,13),(10,14),-0.144814 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,13),(10,16),-0.144769 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,13),(10,33),-0.154242 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,10),(10,14),(10,16),-0.14671 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,10),(10,14),(10,33),-0.135495 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,10),(10,16),(10,33),-0.0634228 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,10),(10,10),(10,9),0.0822756 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,10),(10,10),(10,8),0.0616357 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,10),(10,10),(10,7),0.0341056 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,10),(10,10),(10,6),0.0311108 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,10),(10,10),(10,5),0.0822756 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,10),(10,10),(10,3),0.0340997 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,10),(10,10),(10,2),-0.12015 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,10),(10,10),(10,-1),0.0410296 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,10),(10,9),(10,8),-0.0512395 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,9),(10,7),-0.0331551 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,9),(10,6),-0.0323095 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,9),(10,5),-0.0436231 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,9),(10,3),-0.0331551 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,9),(10,2),-0.0268511 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,9),(10,-1),0.037552 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,10),(10,8),(10,7),-0.0503629 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,8),(10,6),-0.0503713 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,8),(10,5),-0.0504103 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,8),(10,3),-0.0503629 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,8),(10,2),-0.027453 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,8),(10,-1),-0.0668748 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,10),(10,7),(10,6),-0.014057 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,7),(10,5),-0.0253705 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,7),(10,3),-0.0149025 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,7),(10,2),-0.0237846 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,7),(10,-1),-0.00559458 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,10),(10,6),(10,5),-0.0247314 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,6),(10,3),-0.0142633 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,6),(10,2),-0.0237846 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,6),(10,-1),-0.00759206 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,10),(10,5),(10,3),-0.0331551 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,5),(10,2),-0.0268511 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,5),(10,-1),0.037552 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,10),(10,3),(10,2),-0.0237846 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,3),(10,-1),-0.00559458 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,10),(10,2),(10,-1),-0.00946844 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,12),(12,12),(12,33),-0.101971 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,12),(12,12),(12,-1),0.0404323 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,13),(13,13),(13,33),-0.122851 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,13),(13,13),(13,-1),0.000988203 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,15),(15,15),(15,16),-0.00378581 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,19),-0.0287308 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,23),-0.00431048 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,33),-0.0217478 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,15),(15,16),(15,19),-0.0142784 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,16),(15,23),-0.028064 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,16),(15,33),-0.013495 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,19),(15,23),-0.0194605 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,19),(15,33),-0.0261029 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,23),(15,33),-0.0146505 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,15),(15,14),0.120618 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
