# _root_ The group 's bid for $ 34.2 million of wastewater treatment bonds , Series 1989 B , produced a 7.0808 % true interest cost .
#goldHeads=2,4,2,18,4,5,6,6,6,12,12,9,12,16,16,12,12,0,24,21,24,24,24,18,18,
#predictedHeads=2,4,2,18,4,5,6,6,6,12,12,9,12,16,16,12,12,0,24,21,24,24,24,18,18,
(14,5),(5,12),(5,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,12),(5,26),-0.187386 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,5),(5,13),(5,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,13),(5,26),-0.143589 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,5),(5,18),(5,26),-0.158005 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,5),(5,5),(5,4),0.108909 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,5),(5,5),(5,2),0.113005 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,5),(5,5),(5,-1),-0.350305 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,5),(5,4),(5,2),-0.0557473 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,4),(5,-1),0.0421306 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,5),(5,2),(5,-1),0.0462938 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,6),(6,6),(6,7),0.192361 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,6),(6,6),(6,8),0.192285 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,6),(6,6),(6,9),0.0968328 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,6),(6,6),(6,10),0.10019 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,6),(6,6),(6,11),0.10019 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,6),(6,6),(6,13),0.10954 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,6),(6,6),(6,14),-0.144725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,6),(6,6),(6,16),-0.144725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,6),(6,6),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,6),(6,6),(6,21),-0.144725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,6),(6,6),(6,22),-0.144709 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,6),(6,6),(6,25),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,6),(6,6),(6,26),-0.263138 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,6),(6,7),(6,8),0.0496928 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,7),(6,9),0.0660639 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,7),(6,10),0.117464 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,7),(6,11),0.117464 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,7),(6,13),0.108633 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,7),(6,14),-0.144715 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,7),(6,16),-0.144715 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,7),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,7),(6,21),-0.144715 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,7),(6,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,7),(6,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,7),(6,26),-0.00493675 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,6),(6,8),(6,9),0.0551278 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,8),(6,10),0.117383 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,8),(6,11),0.117383 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,8),(6,13),0.108489 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,8),(6,14),-0.144715 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,8),(6,16),-0.144715 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,8),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,8),(6,21),-0.144715 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,8),(6,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,8),(6,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,8),(6,26),-0.0102704 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,6),(6,9),(6,10),0.109248 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,9),(6,11),0.109248 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,9),(6,13),0.10954 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,9),(6,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,9),(6,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,9),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,9),(6,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,9),(6,22),-0.144721 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,9),(6,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,9),(6,26),-0.220591 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,6),(6,10),(6,11),0.10954 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,10),(6,13),0.10954 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,10),(6,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,10),(6,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,10),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,10),(6,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,10),(6,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,10),(6,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,10),(6,26),-0.137937 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,6),(6,11),(6,13),0.10954 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,11),(6,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,11),(6,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,11),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,11),(6,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,11),(6,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,11),(6,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,11),(6,26),-0.137937 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,6),(6,13),(6,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,13),(6,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,13),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,13),(6,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,13),(6,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,13),(6,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,13),(6,26),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,6),(6,14),(6,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,6),(6,14),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,6),(6,14),(6,21),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,6),(6,14),(6,22),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,6),(6,14),(6,25),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,6),(6,14),(6,26),-0.137937 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,6),(6,16),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,16),(6,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,16),(6,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,16),(6,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,16),(6,26),-0.137937 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,6),(6,17),(6,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,17),(6,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,17),(6,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,17),(6,26),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,6),(6,21),(6,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,21),(6,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,21),(6,26),-0.138031 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,6),(6,22),(6,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,22),(6,26),-0.0768255 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,6),(6,25),(6,26),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,6),(6,6),(6,5),-0.00428935 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,6),(6,6),(6,4),-0.0215916 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,6),(6,6),(6,1),-0.0247398 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,6),(6,6),(6,-1),0.0948367 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,6),(6,5),(6,4),-0.0224456 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,5),(6,1),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,5),(6,-1),-0.0516001 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,6),(6,4),(6,1),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(14,6),(6,4),(6,-1),-0.0293037 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,6),(6,1),(6,-1),-0.0254787 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,9),(9,9),(9,10),0.0432909 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,9),(9,9),(9,11),0.0432909 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,9),(9,9),(9,12),0.0432909 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,9),(9,9),(9,14),-0.162051 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,9),(9,9),(9,15),-0.144804 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,9),(9,9),(9,16),-0.162051 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,9),(9,9),(9,26),-0.0547835 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,9),(9,10),(9,11),0.109521 # DEPENDENCYPART_GRANDSIBL
(14,9),(9,10),(9,12),0.109521 # DEPENDENCYPART_GRANDSIBL
(14,9),(9,10),(9,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,9),(9,10),(9,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,9),(9,10),(9,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,9),(9,10),(9,26),-0.190834 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,9),(9,11),(9,12),0.109521 # DEPENDENCYPART_GRANDSIBL
(14,9),(9,11),(9,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,9),(9,11),(9,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,9),(9,11),(9,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,9),(9,11),(9,26),-0.190834 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,9),(9,12),(9,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,9),(9,12),(9,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,9),(9,12),(9,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,9),(9,12),(9,26),-0.190834 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,9),(9,14),(9,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,9),(9,14),(9,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,9),(9,14),(9,26),-0.190835 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,9),(9,15),(9,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,9),(9,15),(9,26),-0.0869311 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,9),(9,16),(9,26),-0.190834 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,9),(9,9),(9,8),0.0934459 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,9),(9,9),(9,7),0.0899295 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,9),(9,9),(9,5),-0.0191904 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,9),(9,9),(9,4),0.12103 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,9),(9,9),(9,-1),-0.372675 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,9),(9,8),(9,7),-0.0332531 # DEPENDENCYPART_GRANDSIBL
(14,9),(9,8),(9,5),-0.017173 # DEPENDENCYPART_GRANDSIBL
(14,9),(9,8),(9,4),-0.0284594 # DEPENDENCYPART_GRANDSIBL
(14,9),(9,8),(9,-1),0.0407231 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,9),(9,7),(9,5),-0.0149151 # DEPENDENCYPART_GRANDSIBL
(14,9),(9,7),(9,4),-0.0275469 # DEPENDENCYPART_GRANDSIBL
(14,9),(9,7),(9,-1),0.0401259 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,9),(9,5),(9,4),-0.0213434 # DEPENDENCYPART_GRANDSIBL
(14,9),(9,5),(9,-1),-0.0332686 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,9),(9,4),(9,-1),0.0362227 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,10),(10,10),(10,11),0.160273 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,10),(10,10),(10,12),0.161264 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,10),(10,10),(10,15),-0.152714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,10),(10,10),(10,18),-0.172272 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,10),(10,10),(10,26),-0.0201124 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,10),(10,11),(10,12),0.0898037 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,11),(10,15),-0.144705 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,11),(10,18),-0.14473 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,11),(10,26),-0.171044 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,10),(10,12),(10,15),-0.144705 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,12),(10,18),-0.14473 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,12),(10,26),-0.171211 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,10),(10,15),(10,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,15),(10,26),-0.146392 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,10),(10,18),(10,26),-0.19651 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,10),(10,10),(10,-1),0.13125 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,11),(11,11),(11,12),0.161253 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,14),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,16),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,17),-0.145466 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,18),-0.172272 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,26),-0.0166388 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,11),(11,12),(11,14),-0.145195 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,12),(11,16),-0.145195 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,12),(11,17),-0.145732 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,12),(11,18),-0.14473 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,12),(11,26),-0.171263 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,14),(11,16),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,14),(11,17),-0.145732 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,14),(11,18),-0.14473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,14),(11,26),-0.171778 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,11),(11,16),(11,17),-0.145732 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,16),(11,18),-0.14473 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,16),(11,26),-0.171117 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,17),(11,18),-0.146635 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,17),(11,26),-0.0334343 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,18),(11,26),-0.19651 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,11),(11,10),-0.133333 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,9),0.0147562 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,8),-0.105582 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,7),-0.0974527 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,6),-0.0269039 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,4),-0.133477 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,2),-0.127776 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,-1),0.134144 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,11),(11,10),(11,9),-0.0242459 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,10),(11,8),-0.0237275 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,10),(11,7),-0.0231449 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,10),(11,6),-0.0196409 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,10),(11,4),-0.00160594 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,10),(11,2),-0.00263789 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,10),(11,-1),0.0258139 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,9),(11,8),-0.019489 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,9),(11,7),-0.019489 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,9),(11,6),-0.019442 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,9),(11,4),-0.0174319 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,9),(11,2),-0.0174303 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,9),(11,-1),-0.00288516 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,8),(11,7),-0.0139568 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,8),(11,6),-0.0207607 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,8),(11,4),-0.0270956 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,8),(11,2),-0.0270956 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,8),(11,-1),-0.10004 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,7),(11,6),-0.0207607 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,7),(11,4),-0.0270599 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,7),(11,2),-0.0270599 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,7),(11,-1),-0.0958948 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,6),(11,4),-0.0197874 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,6),(11,2),-0.0197874 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,6),(11,-1),-0.0296194 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,4),(11,2),-0.00263788 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,4),(11,-1),0.0258125 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,2),(11,-1),0.0281871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,12),(12,12),(12,13),0.182033 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,14),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,15),-0.152714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,16),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,17),-0.145466 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,18),-0.172272 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,19),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,20),-0.152714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,21),-0.155901 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,22),-0.147939 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,24),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,25),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,26),-0.0242639 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,12),(12,13),(12,14),-0.149421 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,13),(12,15),-0.144725 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,13),(12,16),-0.149421 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,13),(12,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,13),(12,18),-0.146635 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,13),(12,19),-0.144708 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,13),(12,20),-0.144725 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,13),(12,21),-0.149534 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,13),(12,22),-0.145104 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,13),(12,24),-0.149421 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,13),(12,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,13),(12,26),-0.033449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,12),(12,14),(12,15),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,14),(12,16),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,14),(12,17),-0.145732 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,14),(12,18),-0.14473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,14),(12,19),-0.145184 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,14),(12,20),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,14),(12,21),-0.145398 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,14),(12,22),-0.144729 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,14),(12,24),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,14),(12,25),-0.144801 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,14),(12,26),-0.173309 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,12),(12,15),(12,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,15),(12,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,15),(12,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,15),(12,19),-0.145202 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,15),(12,20),-0.144702 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,15),(12,21),-0.144702 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,15),(12,22),-0.144725 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,15),(12,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,15),(12,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,15),(12,26),-0.147412 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,12),(12,16),(12,17),-0.145732 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,16),(12,18),-0.14473 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,16),(12,19),-0.145184 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,16),(12,20),-0.144705 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,16),(12,21),-0.145398 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,16),(12,22),-0.144729 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,16),(12,24),-0.145195 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,16),(12,25),-0.144801 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,16),(12,26),-0.172648 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,12),(12,17),(12,18),-0.146635 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,17),(12,19),-0.144708 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,17),(12,20),-0.144725 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,17),(12,21),-0.149534 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,17),(12,22),-0.145104 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,17),(12,24),-0.149421 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,17),(12,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,17),(12,26),-0.033449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,12),(12,18),(12,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,18),(12,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,18),(12,21),-0.14472 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,18),(12,22),-0.144714 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,18),(12,24),-0.14472 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,18),(12,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,18),(12,26),-0.19651 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,12),(12,19),(12,20),-0.144702 # DEPENDENCYPART_GRANDSIBL
