# _root_ The ordinance , in Moon Township , prohibits locating a group home for the handicapped within a mile of another such facility .
#goldHeads=2,8,8,8,6,4,8,0,8,12,12,9,12,15,13,9,18,16,18,22,22,19,8,
#predictedHeads=2,8,8,8,6,4,8,0,8,12,12,9,12,15,13,15,18,16,18,22,22,19,8,
(8,16),(16,18),(16,19),-0.0314054 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,22),-0.0844326 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,23),-0.042006 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,18),(16,24),0.0861161 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,19),(16,22),0.0667713 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,19),(16,23),-0.0420201 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,19),(16,24),-0.113521 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,22),(16,23),-0.042006 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,22),(16,24),0.0858617 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,23),(16,24),-0.0474405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,16),(16,15),0.10862 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,14),0.0992168 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,13),0.0873332 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,12),0.110291 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,4),-0.080108 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,16),(16,16),(16,-1),0.0431029 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,16),(16,15),(16,14),0.116955 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,13),0.132307 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,12),0.115387 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,4),-0.12652 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,15),(16,-1),-0.178286 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,14),(16,13),0.116429 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,12),0.121881 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,4),-0.124897 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,14),(16,-1),-0.180004 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,13),(16,12),0.12555 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,13),(16,4),-0.12491 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,13),(16,-1),-0.0924727 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,12),(16,4),-0.12652 # DEPENDENCYPART_GRANDSIBL
(8,16),(16,12),(16,-1),-0.175494 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,16),(16,4),(16,-1),-0.0981605 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,18),(18,18),(18,19),-0.100941 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,18),(18,18),(18,20),-0.0981631 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,18),(18,18),(18,21),-0.0732326 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,18),(18,18),(18,22),0.00465182 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,18),(18,18),(18,23),-0.0190753 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,18),(18,18),(18,24),0.0590953 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,18),(18,19),(18,20),-0.0492292 # DEPENDENCYPART_GRANDSIBL
(8,18),(18,19),(18,21),-0.0423209 # DEPENDENCYPART_GRANDSIBL
(8,18),(18,19),(18,22),-0.0602658 # DEPENDENCYPART_GRANDSIBL
(8,18),(18,19),(18,23),-0.0443275 # DEPENDENCYPART_GRANDSIBL
(8,18),(18,19),(18,24),-0.0365676 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,18),(18,20),(18,21),-0.0622603 # DEPENDENCYPART_GRANDSIBL
(8,18),(18,20),(18,22),-0.0563303 # DEPENDENCYPART_GRANDSIBL
(8,18),(18,20),(18,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,18),(18,20),(18,24),0.0402824 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,18),(18,21),(18,22),-0.0249269 # DEPENDENCYPART_GRANDSIBL
(8,18),(18,21),(18,23),-0.0420081 # DEPENDENCYPART_GRANDSIBL
(8,18),(18,21),(18,24),-0.04968 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,18),(18,22),(18,23),-0.0396058 # DEPENDENCYPART_GRANDSIBL
(8,18),(18,22),(18,24),-0.0221384 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,18),(18,23),(18,24),-0.0468059 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,18),(18,18),(18,17),0.0919887 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,18),(18,18),(18,16),0.147687 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,18),(18,18),(18,15),0.0381227 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,18),(18,18),(18,14),0.107997 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,18),(18,18),(18,13),0.169126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,18),(18,18),(18,-1),-0.159499 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,18),(18,17),(18,16),0.123416 # DEPENDENCYPART_GRANDSIBL
(8,18),(18,17),(18,15),0.172207 # DEPENDENCYPART_GRANDSIBL
(8,18),(18,17),(18,14),0.113071 # DEPENDENCYPART_GRANDSIBL
(8,18),(18,17),(18,13),0.123214 # DEPENDENCYPART_GRANDSIBL
(8,18),(18,17),(18,-1),-0.161108 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,18),(18,16),(18,15),0.122267 # DEPENDENCYPART_GRANDSIBL
(8,18),(18,16),(18,14),0.111516 # DEPENDENCYPART_GRANDSIBL
(8,18),(18,16),(18,13),0.0918758 # DEPENDENCYPART_GRANDSIBL
(8,18),(18,16),(18,-1),-0.015375 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,18),(18,15),(18,14),0.0393043 # DEPENDENCYPART_GRANDSIBL
(8,18),(18,15),(18,13),0.120435 # DEPENDENCYPART_GRANDSIBL
(8,18),(18,15),(18,-1),-0.110043 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,18),(18,14),(18,13),0.148595 # DEPENDENCYPART_GRANDSIBL
(8,18),(18,14),(18,-1),-0.214705 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,18),(18,13),(18,-1),-0.00185142 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,23),(23,23),(23,24),-0.043275 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,23),(23,23),(23,-1),-0.00943543 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,2),(2,2),(2,3),0.0389007 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,4),0.177748 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,5),0.039424 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,6),0.0395719 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,7),0.0389007 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,8),0.178791 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,9),-0.0934837 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,2),(2,2),(2,12),-0.00686827 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,13),-0.0417186 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,16),-0.0440428 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,23),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,24),-0.160271 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,2),(2,3),(2,4),0.0640385 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,3),(2,5),0.202254 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,3),(2,6),0.202254 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,3),(2,7),0.085871 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,3),(2,8),0.131828 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,3),(2,9),-0.141133 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,3),(2,12),-0.14225 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,3),(2,13),-0.133564 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,3),(2,16),-0.132424 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,3),(2,23),-0.125335 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,3),(2,24),-0.124228 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,4),(2,5),0.132535 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,4),(2,6),0.132535 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,4),(2,7),0.107575 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,4),(2,8),0.126118 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,4),(2,9),-0.118811 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,4),(2,12),-0.130539 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,4),(2,13),-0.133556 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,4),(2,16),-0.130647 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,4),(2,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,4),(2,24),-0.0214869 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,5),(2,6),0.118203 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,5),(2,7),0.160826 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,5),(2,8),0.126525 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,5),(2,9),-0.125993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,5),(2,12),-0.10657 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,5),(2,13),-0.126706 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,5),(2,16),-0.126509 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,5),(2,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,5),(2,24),-0.107966 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,6),(2,7),0.160826 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,6),(2,8),0.126525 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,6),(2,9),-0.125993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,6),(2,12),-0.10657 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,6),(2,13),-0.126706 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,6),(2,16),-0.126509 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,6),(2,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,6),(2,24),-0.106992 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,7),(2,8),0.131828 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,7),(2,9),-0.141133 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,7),(2,12),-0.14225 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,7),(2,13),-0.133564 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,7),(2,16),-0.132424 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,7),(2,23),-0.125335 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,7),(2,24),-0.124228 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,8),(2,9),-0.122561 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,8),(2,12),-0.12541 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,8),(2,13),-0.128574 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,8),(2,16),-0.127914 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,8),(2,23),-0.124894 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,8),(2,24),-0.0795491 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,9),(2,12),-0.12541 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,9),(2,13),-0.128574 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,9),(2,16),-0.127914 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,9),(2,23),-0.124894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,9),(2,24),-0.0795491 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,2),(2,12),(2,13),-0.126706 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,12),(2,16),-0.126509 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,12),(2,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,12),(2,24),-0.101858 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,13),(2,16),-0.12866 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,13),(2,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,13),(2,24),-0.00185116 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,16),(2,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,16),(2,24),-0.0153747 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,23),(2,24),-0.139005 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,2),(2,1),-0.133343 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,-1),0.0632265 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,2),(2,1),(2,-1),0.0645166 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,4),(4,5),0.111109 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,6),0.111109 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,7),0.122919 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,9),-0.121181 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,4),(4,4),(4,24),0.0381142 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,4),(4,5),(4,6),0.114772 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,5),(4,7),0.132369 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,5),(4,9),-0.124887 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,5),(4,24),-0.184661 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,6),(4,7),0.132369 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,6),(4,9),-0.124887 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,6),(4,24),-0.184661 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,7),(4,9),-0.12491 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,7),(4,24),-0.149327 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,9),(4,24),-0.0728926 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,4),(4,4),(4,3),-0.0568917 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,2),0.0246026 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,-1),-0.0956104 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,4),(4,3),(4,2),-0.0619157 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,3),(4,-1),0.0363165 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,2),(4,-1),0.0229506 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,7),(7,24),-0.076844 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,7),(7,7),(7,4),-0.045368 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,-1),0.0110362 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,7),(7,4),(7,-1),-0.051758 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,8),(8,9),-0.106802 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,8),(8,8),(8,10),-0.121722 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,11),-0.177989 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,12),-0.177989 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,13),0.0273996 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,15),-0.177989 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,16),0.0182678 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,18),-0.177989 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,23),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,24),-0.248626 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,8),(8,9),(8,10),-0.12489 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,9),(8,11),-0.125469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,9),(8,12),-0.125469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,9),(8,13),-0.135036 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,9),(8,15),-0.125469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,9),(8,16),-0.134855 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,9),(8,18),-0.125469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,9),(8,23),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,9),(8,24),-0.121076 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,8),(8,10),(8,11),-0.124892 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,10),(8,12),-0.124892 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,10),(8,13),-0.12535 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,10),(8,15),-0.124892 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,10),(8,16),-0.12535 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,10),(8,18),-0.124892 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,10),(8,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,10),(8,24),-0.104657 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,11),(8,12),-0.128004 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,11),(8,13),-0.185861 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,11),(8,15),-0.128004 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,11),(8,16),-0.184175 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,11),(8,18),-0.128004 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,11),(8,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,11),(8,24),-0.125392 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,12),(8,13),-0.185797 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,12),(8,15),-0.128004 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,12),(8,16),-0.184111 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,12),(8,18),-0.128004 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,12),(8,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,12),(8,24),-0.128695 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,13),(8,15),-0.125474 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,13),(8,16),-0.129607 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,13),(8,18),-0.125474 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,13),(8,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,13),(8,24),-0.138553 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,15),(8,16),-0.184111 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,15),(8,18),-0.128004 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,15),(8,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,15),(8,24),-0.122932 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,16),(8,18),-0.125474 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,16),(8,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,16),(8,24),-0.118589 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,18),(8,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,18),(8,24),-0.122975 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,23),(8,24),-0.14435 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,8),(8,7),-0.124099 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,6),0.016176 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,5),0.016176 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,4),-0.072473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,3),-0.124099 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,2),0.0147469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,1),-0.0181798 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,8),(8,8),(8,-1),0.048458 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,8),(8,7),(8,6),-0.0708147 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,7),(8,5),-0.0711151 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,7),(8,4),-0.0311391 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,7),(8,3),-0.0303597 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,7),(8,2),-0.0708147 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,7),(8,1),-0.0441799 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,7),(8,-1),0.0834337 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,6),(8,5),-0.00580025 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,6),(8,4),-0.0641518 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,6),(8,3),-0.0753967 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,6),(8,2),-0.00580025 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,6),(8,1),-0.048516 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,6),(8,-1),-0.0716188 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,5),(8,4),-0.0641528 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,5),(8,3),-0.0753967 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,5),(8,2),-0.00580025 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,5),(8,1),-0.048516 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,5),(8,-1),-0.0719193 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,4),(8,3),0.0325599 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,4),(8,2),-0.0133729 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,4),(8,1),-0.038211 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,4),(8,-1),-0.0315532 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,3),(8,2),-0.0708147 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,3),(8,1),-0.0441799 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,3),(8,-1),0.0834337 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,2),(8,1),-0.048516 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,2),(8,-1),-0.0727498 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,1),(8,-1),-0.0377555 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,10),(10,11),-0.0507044 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,13),-0.0602594 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,24),-0.109254 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,10),(10,11),(10,13),-0.0420177 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,11),(10,24),-0.0529548 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,13),(10,24),-0.0676762 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,10),(10,-1),-0.299784 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,11),(11,11),(11,12),-0.00282087 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,13),-0.0852771 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,15),-0.000399996 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,16),-0.117908 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,18),-0.00130639 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,19),-0.10298 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,23),-0.0190753 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,24),0.0475876 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,11),(11,12),(11,13),-0.0665266 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,15),-0.0469444 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,16),-0.0649941 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,18),-0.0469444 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,19),-0.0698516 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,23),-0.0396058 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,24),-0.036004 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,13),(11,15),-0.0733482 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,13),(11,16),-0.0323962 # DEPENDENCYPART_GRANDSIBL
