# _root_ Ms. Johnson tells them that , if the appliances ca n't be salvaged , their policy covers the replacement cost .
#goldHeads=2,3,0,3,17,17,10,9,10,17,10,10,12,17,16,17,3,20,20,17,3,
#predictedHeads=2,3,0,3,10,10,10,9,10,3,10,10,12,17,16,17,13,20,20,17,3,
(7,8),(8,10),(8,22),-0.0149972 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,13),(8,22),-0.0293647 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,8),(8,7),0.1082 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,8),(8,-1),-0.195902 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,8),(8,7),(8,-1),-0.149004 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,9),(9,9),(9,10),0.013615 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,11),0.0472955 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,12),-0.0115171 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,13),-0.0161007 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,14),-0.0451355 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,16),-0.13355 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,17),-0.0161007 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,20),-0.134611 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,22),0.0805398 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,9),(9,10),(9,11),-0.0194411 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,12),-0.0220361 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,13),-0.0220263 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,14),-0.0104548 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,16),-0.0194421 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,17),-0.0220263 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,20),-0.0194421 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,22),0.00995986 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,11),(9,12),-0.0241627 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,11),(9,13),-0.0233183 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,11),(9,14),-0.025877 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,11),(9,16),-0.0145563 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,11),(9,17),-0.0233183 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,11),(9,20),-0.0145563 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,11),(9,22),0.0859029 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,12),(9,13),-0.0199362 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,12),(9,14),0.0340431 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,12),(9,16),-0.0208083 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,12),(9,17),-0.0199362 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,12),(9,20),-0.0208083 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,12),(9,22),-0.0231668 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,13),(9,14),0.0340636 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,13),(9,16),-0.0208083 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,13),(9,17),-0.0195286 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,13),(9,20),-0.0208083 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,13),(9,22),-0.0306056 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,14),(9,16),-0.0630795 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,14),(9,17),0.0327858 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,14),(9,20),-0.0627772 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,14),(9,22),-0.0190919 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,16),(9,17),-0.0311003 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,16),(9,20),-0.030826 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,16),(9,22),-0.0866087 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,17),(9,20),-0.0208083 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,17),(9,22),-0.0292889 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,20),(9,22),-0.0873638 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,9),(9,8),0.0339695 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,7),0.141188 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,5),-0.152084 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,-1),-0.201379 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,9),(9,8),(9,7),0.104024 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,8),(9,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,8),(9,5),-0.144725 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,8),(9,-1),-0.10539 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,7),(9,6),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,7),(9,5),-0.145166 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,7),(9,-1),-0.124717 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,9),(9,6),(9,5),-0.144792 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,6),(9,-1),-0.152804 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,5),(9,-1),-0.119538 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,10),(10,11),-0.0302134 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,12),-0.0363583 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,13),-0.0301613 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,17),-0.0301613 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,22),-0.0339437 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,10),(10,11),(10,12),-0.0269162 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,13),-0.0262374 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,17),-0.0262374 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,22),-0.0198104 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,12),(10,13),-0.0201026 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,12),(10,14),-0.021402 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,12),(10,17),-0.0201026 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,12),(10,21),-0.0207128 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,12),(10,22),-0.0414934 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,13),(10,14),-0.0209711 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,13),(10,17),-0.0200976 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,13),(10,21),-0.0207128 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,13),(10,22),-0.035053 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,14),(10,17),-0.0195069 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,14),(10,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,14),(10,22),-0.0218481 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,17),(10,21),-0.0207128 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,17),(10,22),-0.035053 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,21),(10,22),-0.0213489 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,10),(10,9),0.105052 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,8),0.108806 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,7),0.108017 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,3),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,-1),-0.158976 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,10),(10,9),(10,8),0.107367 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,9),(10,7),0.106311 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,9),(10,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,9),(10,5),-0.14472 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,9),(10,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,9),(10,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,9),(10,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,9),(10,-1),-0.144564 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,8),(10,7),0.109459 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,8),(10,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,8),(10,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,8),(10,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,8),(10,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,8),(10,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,8),(10,-1),-0.153946 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,7),(10,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,7),(10,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,7),(10,3),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,7),(10,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,7),(10,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,7),(10,-1),-0.160735 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,10),(10,6),(10,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,6),(10,3),-0.144723 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,6),(10,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,6),(10,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,6),(10,-1),-0.136634 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,5),(10,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,5),(10,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,5),(10,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,5),(10,-1),-0.169698 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,3),(10,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,3),(10,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,3),(10,-1),-0.144983 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,2),(10,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,2),(10,-1),-0.144564 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,1),(10,-1),-0.144564 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,11),(11,12),-0.0504753 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,13),-0.0504311 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,16),-0.0231885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,17),-0.0504311 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,22),-0.0144798 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,11),(11,12),(11,13),-0.0194407 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,16),-0.0195858 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,17),-0.0194407 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,22),-0.0180569 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,13),(11,16),-0.0195812 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,17),-0.0194407 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,22),-0.0178094 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,16),(11,17),-0.0197755 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,16),(11,22),0.0220756 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,17),(11,22),-0.0178095 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,11),(11,9),0.1359 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,7),0.113506 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,2),-0.150936 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,-1),-0.209391 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,11),(11,9),(11,7),0.108324 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,9),(11,2),-0.145198 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,9),(11,-1),-0.076739 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,7),(11,2),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,7),(11,-1),-0.156956 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,11),(11,2),(11,-1),-0.076739 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,12),(12,13),-0.0250365 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,14),-0.0509788 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,16),0.0385134 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,17),-0.0250369 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,20),0.0368022 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,21),-0.0220538 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,22),-0.0275116 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,12),(12,13),(12,14),-0.0212556 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,13),(12,16),-0.0204824 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,13),(12,17),-0.0201445 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,13),(12,20),-0.0204824 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,13),(12,21),-0.0197471 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,13),(12,22),-0.0385231 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,14),(12,16),-0.0248167 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,14),(12,17),-0.034797 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,14),(12,20),-0.0248167 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,14),(12,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,14),(12,22),-0.0261335 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,16),(12,17),-0.00922574 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,16),(12,20),-0.0279179 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,16),(12,21),-0.0229206 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,16),(12,22),-0.066297 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,17),(12,20),-0.0204824 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,17),(12,21),-0.0197471 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,17),(12,22),-0.0385235 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,20),(12,21),-0.0229206 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,20),(12,22),-0.0682051 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,21),(12,22),-0.0256361 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,12),(12,11),0.157681 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,10),0.109135 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,9),0.114348 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,8),0.0867263 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,7),0.120901 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,5),-0.145696 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,3),-0.124623 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,2),-0.153364 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,-1),-0.189175 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,12),(12,11),(12,10),0.10954 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,11),(12,9),0.112745 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,11),(12,8),0.10942 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,11),(12,7),0.107477 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,11),(12,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,11),(12,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,11),(12,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,11),(12,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,11),(12,-1),-0.110732 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,10),(12,9),0.109295 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,10),(12,8),0.10954 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,10),(12,7),0.109532 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,10),(12,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,10),(12,5),-0.144709 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,10),(12,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,10),(12,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,10),(12,-1),-0.145623 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,9),(12,8),0.102713 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,9),(12,7),0.105507 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,9),(12,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,9),(12,5),-0.148225 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,9),(12,3),-0.144722 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,9),(12,2),-0.144732 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,9),(12,-1),-0.12657 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,8),(12,7),0.108561 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,8),(12,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,8),(12,5),-0.144707 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,8),(12,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,8),(12,2),-0.14471 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,8),(12,-1),-0.178096 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,7),(12,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,7),(12,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,7),(12,3),-0.144729 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,7),(12,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,7),(12,-1),-0.159218 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,12),(12,6),(12,5),-0.147192 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,6),(12,3),-0.144943 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,6),(12,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,6),(12,-1),-0.153622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,5),(12,3),-0.144729 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,5),(12,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,5),(12,-1),-0.170895 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,3),(12,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,12),(12,3),(12,-1),-0.134571 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,2),(12,-1),-0.12657 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,16),(16,16),(16,17),-0.0162851 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,16),(16,16),(16,20),-0.134643 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,16),(16,16),(16,21),-0.0435225 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,16),(16,16),(16,22),0.0691836 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,16),(16,17),(16,20),-0.0208083 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,17),(16,21),-0.0203657 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,17),(16,22),-0.0295193 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,16),(16,20),(16,21),-0.0207797 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,20),(16,22),-0.0874179 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,16),(16,21),(16,22),-0.041296 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,16),(16,16),(16,15),0.0634281 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,16),(16,16),(16,14),-0.0146161 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,16),(16,16),(16,13),0.122113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,16),(16,16),(16,12),0.122071 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,16),(16,16),(16,8),0.0345474 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,16),(16,16),(16,-1),-0.201382 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,16),(16,15),(16,14),0.103936 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,15),(16,13),0.109068 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,15),(16,12),0.109068 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,15),(16,8),0.109183 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,15),(16,-1),-0.126906 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,16),(16,14),(16,13),0.121847 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,14),(16,12),0.121847 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,14),(16,8),0.0992105 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,14),(16,-1),-0.152804 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,16),(16,13),(16,12),0.110892 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,13),(16,8),0.12261 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,13),(16,-1),-0.105753 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,16),(16,12),(16,8),0.12261 # DEPENDENCYPART_GRANDSIBL
(7,16),(16,12),(16,-1),-0.105754 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,16),(16,8),(16,-1),-0.104853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,17),(17,18),-0.0199612 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,17),(17,17),(17,19),0.0390243 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,17),(17,17),(17,20),0.0379063 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,17),(17,17),(17,21),-0.0220538 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,17),(17,17),(17,22),-0.0274398 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,17),(17,18),(17,19),-0.0170662 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,18),(17,20),-0.0170662 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,18),(17,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,18),(17,22),-0.020559 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,19),(17,20),-0.0279179 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,19),(17,21),-0.0229206 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,19),(17,22),-0.0651947 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,20),(17,21),-0.0229206 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,20),(17,22),-0.0671021 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,21),(17,22),-0.0256361 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,17),(17,16),0.114593 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,17),(17,17),(17,14),0.0949198 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,17),(17,17),(17,13),0.0970812 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
