# _root_ Also , a cockpit warning system failed to alert the pilots the flaps and slats were not set for takeoff , the NTSB said .
#goldHeads=24,24,6,6,6,7,24,9,7,11,9,14,14,16,14,9,16,16,18,19,24,23,24,0,24,
#predictedHeads=24,7,6,6,6,7,24,9,7,11,9,14,14,16,14,24,16,16,18,19,24,23,24,0,24,
(19,24),(24,23),(24,14),-0.144975 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,23),(24,13),-0.144732 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,23),(24,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,23),(24,11),-0.144732 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,23),(24,9),-0.144726 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,23),(24,7),-0.144726 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,23),(24,6),-0.144732 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,23),(24,5),-0.144726 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,23),(24,4),-0.144732 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,23),(24,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,23),(24,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,23),(24,-1),-0.142215 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,24),(24,22),(24,21),0.10954 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,22),(24,20),0.10954 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,22),(24,19),0.108561 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,22),(24,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,22),(24,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,22),(24,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,22),(24,15),-0.14471 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,22),(24,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,22),(24,13),-0.14471 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,22),(24,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,22),(24,11),-0.14471 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,22),(24,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,22),(24,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,22),(24,6),-0.14471 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,22),(24,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,22),(24,4),-0.14471 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,22),(24,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,22),(24,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,22),(24,-1),-0.175287 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,24),(24,21),(24,20),0.088125 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,21),(24,19),0.101563 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,21),(24,18),-0.145002 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,21),(24,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,21),(24,16),-0.145002 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,21),(24,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,21),(24,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,21),(24,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,21),(24,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,21),(24,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,21),(24,9),-0.145002 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,21),(24,7),-0.145002 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,21),(24,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,21),(24,5),-0.145002 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,21),(24,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,21),(24,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,21),(24,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,21),(24,-1),-0.153623 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,24),(24,20),(24,19),0.0989911 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,20),(24,18),-0.144726 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,20),(24,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,20),(24,16),-0.144726 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,20),(24,15),-0.144732 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,20),(24,14),-0.144975 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,20),(24,13),-0.144732 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,20),(24,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,20),(24,11),-0.144732 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,20),(24,9),-0.144726 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,20),(24,7),-0.144726 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,20),(24,6),-0.144732 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,20),(24,5),-0.144726 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,20),(24,4),-0.144732 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,20),(24,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,20),(24,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,20),(24,-1),-0.142215 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,24),(24,19),(24,18),-0.144757 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,24),(24,19),(24,17),-0.144906 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,24),(24,19),(24,16),-0.144757 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,24),(24,19),(24,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,24),(24,19),(24,14),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,24),(24,19),(24,13),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,24),(24,19),(24,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,24),(24,19),(24,11),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,24),(24,19),(24,9),-0.144757 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,24),(24,19),(24,7),-0.144757 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,24),(24,19),(24,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,24),(24,19),(24,5),-0.144757 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,24),(24,19),(24,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,24),(24,19),(24,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,24),(24,19),(24,1),-0.144906 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,24),(24,19),(24,-1),-0.169131 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,24),(24,18),(24,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,18),(24,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,18),(24,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,18),(24,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,18),(24,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,18),(24,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,18),(24,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,18),(24,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,18),(24,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,18),(24,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,18),(24,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,18),(24,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,18),(24,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,18),(24,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,18),(24,-1),-0.135198 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,24),(24,17),(24,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,17),(24,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,17),(24,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,17),(24,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,17),(24,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,17),(24,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,17),(24,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,17),(24,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,17),(24,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,17),(24,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,17),(24,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,17),(24,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,17),(24,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,17),(24,-1),-0.0833329 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,24),(24,16),(24,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,16),(24,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,16),(24,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,16),(24,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,16),(24,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,16),(24,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,16),(24,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,16),(24,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,16),(24,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,16),(24,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,16),(24,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,16),(24,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,16),(24,-1),-0.135198 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,24),(24,15),(24,14),-0.144975 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,15),(24,13),-0.144732 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,15),(24,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,15),(24,11),-0.144732 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,15),(24,9),-0.144726 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,15),(24,7),-0.144726 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,15),(24,6),-0.144732 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,15),(24,5),-0.144726 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,15),(24,4),-0.144732 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,15),(24,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,15),(24,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,15),(24,-1),-0.142215 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,24),(24,14),(24,13),-0.05192 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,14),(24,12),-0.0736834 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,14),(24,11),-0.023971 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,14),(24,9),-0.0442968 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,14),(24,7),-0.0690349 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,14),(24,6),-0.0562464 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,14),(24,5),-0.0823996 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,14),(24,4),-0.0510077 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,14),(24,2),-0.0282618 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,14),(24,1),-0.0733013 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,14),(24,-1),-0.148874 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,24),(24,13),(24,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,13),(24,11),-0.144732 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,13),(24,9),-0.144726 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,13),(24,7),-0.144726 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,13),(24,6),-0.144732 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,13),(24,5),-0.144726 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,13),(24,4),-0.144732 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,13),(24,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,13),(24,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,13),(24,-1),-0.142215 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,24),(24,12),(24,11),-0.14471 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,12),(24,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,12),(24,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,12),(24,6),-0.14471 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,12),(24,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,12),(24,4),-0.14471 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,12),(24,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,12),(24,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,12),(24,-1),-0.175287 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,24),(24,11),(24,9),-0.144726 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,11),(24,7),-0.144726 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,11),(24,6),-0.144732 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,11),(24,5),-0.144726 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,11),(24,4),-0.144732 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,11),(24,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,11),(24,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,11),(24,-1),-0.142215 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,24),(24,9),(24,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,9),(24,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,9),(24,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,9),(24,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,9),(24,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,9),(24,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,9),(24,-1),-0.135198 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,24),(24,7),(24,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,7),(24,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,7),(24,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,7),(24,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,7),(24,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,7),(24,-1),-0.135198 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,24),(24,6),(24,5),-0.144726 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,6),(24,4),-0.144732 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,6),(24,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,6),(24,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,6),(24,-1),-0.142313 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,24),(24,5),(24,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,5),(24,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,5),(24,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,5),(24,-1),-0.135198 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,24),(24,4),(24,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,4),(24,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,4),(24,-1),-0.142216 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,24),(24,2),(24,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,24),(24,2),(24,-1),-0.153623 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,24),(24,1),(24,-1),-0.098979 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,12),(12,12),(12,13),0.0992386 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,12),(12,12),(12,26),0.0952689 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,12),(12,13),(12,26),-0.154196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,12),(12,12),(12,-1),0.214463 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,17),(17,17),(17,18),0.146678 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,17),(17,17),(17,19),0.103465 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,17),(17,17),(17,20),-0.145511 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,17),(17,17),(17,24),-0.14486 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,17),(17,17),(17,26),-0.253656 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,17),(17,18),(17,19),0.109455 # DEPENDENCYPART_GRANDSIBL
(20,17),(17,18),(17,20),-0.144702 # DEPENDENCYPART_GRANDSIBL
(20,17),(17,18),(17,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,17),(17,18),(17,26),-0.110358 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,17),(17,19),(17,20),-0.144702 # DEPENDENCYPART_GRANDSIBL
(20,17),(17,19),(17,24),-0.14474 # DEPENDENCYPART_GRANDSIBL
(20,17),(17,19),(17,26),-0.13535 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,17),(17,20),(17,24),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,17),(17,20),(17,26),-0.168115 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,17),(17,24),(17,26),-0.110311 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,17),(17,17),(17,15),0.0202072 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,17),(17,17),(17,-1),-0.00822019 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,17),(17,15),(17,-1),-0.067732 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,18),(18,18),(18,19),0.168579 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,20),-0.193413 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,21),-0.144717 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,23),-0.193413 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,24),-0.189829 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,25),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,26),-0.00744645 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,18),(18,19),(18,20),-0.144709 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,19),(18,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,19),(18,23),-0.144709 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,19),(18,24),-0.144847 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,19),(18,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,19),(18,26),-0.215807 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,18),(18,20),(18,21),-0.144936 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,20),(18,23),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,20),(18,24),-0.146174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,20),(18,25),-0.144704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,20),(18,26),-0.0773678 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,18),(18,21),(18,23),-0.144819 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,21),(18,24),-0.145031 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,21),(18,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,21),(18,26),-0.208604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,18),(18,23),(18,24),-0.146174 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,23),(18,25),-0.144704 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,23),(18,26),-0.0773678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,18),(18,24),(18,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,24),(18,26),-0.158315 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,18),(18,25),(18,26),-0.145637 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,18),(18,18),(18,17),0.0144287 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,16),-0.0341129 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,15),-0.0192417 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,14),0.011187 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,13),-0.0192417 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,12),-0.0208296 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,11),-0.0194944 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,7),-0.0455592 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,6),-0.0189675 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,4),-0.0192417 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,2),-0.0407712 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,-1),0.0556117 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,18),(18,17),(18,16),-0.0172335 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,17),(18,15),-0.019013 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,17),(18,14),-0.017742 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,17),(18,13),-0.019013 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,17),(18,12),-0.0195836 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,17),(18,11),-0.019013 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,17),(18,7),-0.0172147 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,17),(18,6),-0.019013 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,17),(18,4),-0.019013 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,17),(18,2),-0.0236583 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,17),(18,-1),0.02715 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,18),(18,16),(18,15),-0.0218316 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,16),(18,14),-0.0153817 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,16),(18,13),-0.0218316 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,16),(18,12),-0.0194578 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,16),(18,11),-0.0218316 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,16),(18,7),-0.0224545 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,16),(18,6),-0.0218362 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,16),(18,4),-0.0218316 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,16),(18,2),-0.0188259 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,16),(18,-1),-0.0208433 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,18),(18,15),(18,14),-0.0420628 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,15),(18,13),-0.00123405 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,15),(18,12),-0.0195619 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,15),(18,11),-0.00123405 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,15),(18,7),-0.0361888 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,15),(18,6),-0.00147915 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,15),(18,4),-0.00123405 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,15),(18,2),-0.0346288 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,15),(18,-1),-0.0321963 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,18),(18,14),(18,13),0.199028 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,14),(18,12),0.156538 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,14),(18,11),0.209981 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,14),(18,7),0.145147 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,14),(18,6),0.190075 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,14),(18,4),0.211072 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,14),(18,2),0.208033 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,14),(18,-1),-0.0303855 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,18),(18,13),(18,12),-0.0195619 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,13),(18,11),-0.00123405 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,13),(18,7),-0.0361888 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,13),(18,6),-0.00147915 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,13),(18,4),-0.00123405 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,13),(18,2),-0.0346288 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,13),(18,-1),-0.0321963 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,18),(18,12),(18,11),-0.0205182 # DEPENDENCYPART_GRANDSIBL
