# _root_ `` We wo n't have any more of this wayward behavior , '' says Sir Peter Hordern , a backbench Tory member of Parliament .
#goldHeads=14,3,14,3,3,7,5,7,11,11,8,14,14,0,17,17,14,17,22,22,22,17,22,23,14,
#predictedHeads=14,3,14,3,3,7,5,7,11,11,8,14,14,0,17,17,14,17,22,22,22,17,22,23,14,
(7,8),(8,7),(8,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,7),(8,-1),-0.138389 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,8),(8,6),(8,-1),-0.12997 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,10),(10,12),-0.045339 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,13),-0.0232739 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,14),-0.0506408 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,22),-0.0332234 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,26),0.0251381 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,10),(10,12),(10,13),-0.042013 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,12),(10,14),-0.0421024 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,12),(10,22),-0.0420414 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,12),(10,26),-0.0454831 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,13),(10,14),-0.04201 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,13),(10,22),-0.0420093 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,13),(10,26),-0.0210242 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,14),(10,22),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,14),(10,26),-0.0507933 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,22),(10,26),-0.0533499 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,10),(10,9),0.113833 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,8),0.108794 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,7),0.117103 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,10),(10,10),(10,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,-1),-0.0184027 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,10),(10,9),(10,8),0.118771 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,9),(10,7),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,9),(10,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,9),(10,-1),-0.131657 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,8),(10,7),0.11916 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,8),(10,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,8),(10,-1),-0.141772 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,7),(10,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,7),(10,-1),-0.12727 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,10),(10,6),(10,-1),-0.131654 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,11),(11,12),-0.0681906 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,13),-0.0448517 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,14),-0.0607973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,15),-0.0310911 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,16),-0.0310919 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,17),-0.0310911 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,18),-0.0681906 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,20),-0.0485811 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,22),-0.0312317 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,23),-0.0334993 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,26),-0.0827121 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,11),(11,12),(11,13),-0.0468849 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,14),-0.0543354 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,15),-0.0451396 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,16),-0.0451396 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,17),-0.0451396 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,18),-0.0436819 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,20),-0.0463013 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,22),-0.0451396 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,23),-0.0446215 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,26),-0.067568 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,13),(11,14),-0.0428634 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,15),-0.042014 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,16),-0.042014 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,17),-0.042014 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,18),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,20),-0.0420087 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,22),-0.042014 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,23),-0.0427945 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,26),-0.047382 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,14),(11,15),-0.0431467 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,14),(11,16),-0.0431467 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,14),(11,17),-0.0431467 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,14),(11,18),-0.0479572 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,14),(11,20),-0.0426171 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,14),(11,22),-0.0431467 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,14),(11,23),-0.0423671 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,14),(11,26),-0.0429986 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,15),(11,16),-0.0417688 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,15),(11,17),-0.0417688 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,15),(11,18),-0.0432315 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,15),(11,20),-0.04561 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,15),(11,22),-0.0417688 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,15),(11,23),-0.0396594 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,15),(11,26),-0.050852 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,16),(11,17),-0.0417688 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,16),(11,18),-0.0432315 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,16),(11,20),-0.04561 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,16),(11,22),-0.0417688 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,16),(11,23),-0.0396594 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,16),(11,26),-0.0508528 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,17),(11,18),-0.0432315 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,17),(11,20),-0.04561 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,17),(11,22),-0.0417688 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,17),(11,23),-0.0396594 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,17),(11,26),-0.050852 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,18),(11,20),-0.0463013 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,18),(11,22),-0.0451396 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,18),(11,23),-0.0446215 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,18),(11,26),-0.067568 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,20),(11,22),-0.042118 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,20),(11,23),-0.0432098 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,20),(11,26),-0.0762828 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,22),(11,23),-0.0396594 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,22),(11,26),-0.0509927 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,23),(11,26),-0.0460046 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,11),(11,10),0.0975735 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,9),0.084791 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,8),0.117467 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,7),0.0974162 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,11),(11,11),(11,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,1),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,-1),-0.0632703 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,11),(11,10),(11,9),0.127729 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,10),(11,8),0.119123 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,10),(11,7),0.118774 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,10),(11,6),-0.124945 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,10),(11,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,10),(11,-1),-0.152034 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,9),(11,8),0.123086 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,9),(11,7),0.119141 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,9),(11,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,9),(11,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,9),(11,-1),-0.133502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,8),(11,7),0.118388 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,8),(11,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,8),(11,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,8),(11,-1),-0.135414 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,7),(11,6),-0.124945 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,7),(11,1),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,7),(11,-1),-0.152193 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,11),(11,6),(11,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,6),(11,-1),-0.132555 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,1),(11,-1),-0.126818 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,12),(12,12),(12,26),-0.0904656 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,12),(12,12),(12,8),0.118928 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,12),(12,12),(12,-1),-0.176033 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,12),(12,8),(12,-1),-0.125126 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,13),(13,13),(13,26),-0.0424571 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,13),(13,13),(13,-1),-0.125264 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,14),(14,14),(14,15),-0.036297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,16),-0.036297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,17),-0.036297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,18),-0.0388756 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,20),-0.0266736 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,22),-0.036297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,25),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,26),0.121186 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,14),(14,15),(14,16),-0.0513793 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,15),(14,17),-0.0513793 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,15),(14,18),-0.0137073 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,15),(14,20),-0.0423918 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,15),(14,22),-0.0513793 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,15),(14,25),-0.043969 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,15),(14,26),-0.106186 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,16),(14,17),-0.0513793 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,16),(14,18),-0.0137073 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,16),(14,20),-0.0423918 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,16),(14,22),-0.0513793 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,16),(14,25),-0.043969 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,16),(14,26),-0.106186 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,17),(14,18),-0.0137073 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,17),(14,20),-0.0423918 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,17),(14,22),-0.0513793 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,17),(14,25),-0.043969 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,17),(14,26),-0.106186 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,18),(14,20),-0.0429574 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,18),(14,22),-0.0412513 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,18),(14,25),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,18),(14,26),-0.0560603 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,20),(14,22),-0.0435346 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,20),(14,25),-0.0420085 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,20),(14,26),-0.0378721 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,22),(14,25),-0.043969 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,22),(14,26),-0.106186 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,25),(14,26),-0.0459467 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,14),(14,13),0.11555 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,12),0.104434 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,11),0.142917 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,10),0.121834 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,9),0.120989 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,8),0.125746 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,7),0.121834 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,14),(14,14),(14,6),-0.125158 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,5),-0.126851 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,4),-0.125298 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,3),-0.124903 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,1),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,-1),-0.235166 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,14),(14,13),(14,12),0.125774 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,13),(14,11),0.117768 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,13),(14,10),0.119134 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,13),(14,9),0.119164 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,13),(14,8),0.119155 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,13),(14,7),0.119134 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,13),(14,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,13),(14,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,13),(14,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,13),(14,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,13),(14,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,13),(14,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,13),(14,-1),-0.125412 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,12),(14,11),0.113809 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,12),(14,10),0.116596 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,12),(14,9),0.119086 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,12),(14,8),0.110027 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,12),(14,7),0.116586 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,12),(14,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,12),(14,5),-0.125756 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,12),(14,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,12),(14,3),-0.125106 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,12),(14,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,12),(14,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,12),(14,-1),-0.13941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,11),(14,10),0.118888 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,11),(14,9),0.119135 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,11),(14,8),0.141272 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,11),(14,7),0.118888 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,11),(14,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,11),(14,5),-0.124889 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,11),(14,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,11),(14,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,11),(14,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,11),(14,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,11),(14,-1),-0.119732 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,10),(14,9),0.11908 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,10),(14,8),0.121038 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,10),(14,7),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,10),(14,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,10),(14,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,10),(14,4),-0.12489 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,10),(14,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,10),(14,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,10),(14,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,10),(14,-1),-0.122175 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,9),(14,8),0.121098 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,9),(14,7),0.119163 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,9),(14,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,9),(14,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,9),(14,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,9),(14,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,9),(14,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,9),(14,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,9),(14,-1),-0.126922 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,8),(14,7),0.118676 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,8),(14,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,8),(14,5),-0.124889 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,8),(14,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,8),(14,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,8),(14,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,8),(14,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,8),(14,-1),-0.0272267 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,7),(14,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,7),(14,5),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,7),(14,4),-0.12489 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,7),(14,3),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,7),(14,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,7),(14,1),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,7),(14,-1),-0.122185 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,14),(14,6),(14,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,6),(14,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,6),(14,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,6),(14,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,6),(14,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,6),(14,-1),-0.126786 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,5),(14,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,5),(14,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,5),(14,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,5),(14,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,5),(14,-1),-0.13554 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,4),(14,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,4),(14,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,4),(14,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,4),(14,-1),-0.127619 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,3),(14,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,3),(14,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,3),(14,-1),-0.125147 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,2),(14,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,2),(14,-1),-0.105887 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,1),(14,-1),-0.133237 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,6),(6,7),0.119126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,8),-0.124913 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,6),(6,6),(6,12),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,13),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,26),-0.113876 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,6),(6,7),(6,8),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,7),(6,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,7),(6,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,7),(6,26),-0.124923 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,8),(6,12),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,8),(6,13),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,8),(6,26),-0.128687 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,6),(6,12),(6,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,12),(6,26),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,13),(6,26),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,6),(6,5),-0.0276558 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,-1),-0.0383252 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,6),(6,5),(6,-1),-0.0224761 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,7),(7,8),-0.127871 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,7),(7,7),(7,10),-0.125305 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,11),-0.132198 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,12),-0.126377 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,13),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
