# _root_ For holders who decide not to tender their shares , Sea Containers will issue one share of preferred stock with a stated value of $ 25 , plus a cash dividend on the common stock .
#goldHeads=13,1,4,2,7,7,4,9,7,13,12,13,0,13,16,28,16,19,17,19,23,23,20,23,26,24,28,14,31,31,28,31,35,35,32,13,
#predictedHeads=13,1,4,2,4,7,4,9,7,13,12,13,0,13,16,14,16,19,17,14,23,23,28,23,26,24,28,20,31,31,28,31,35,35,32,13,
(23,28),(28,14),(28,9),-0.125763 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,14),(28,7),-0.12489 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,14),(28,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,14),(28,5),-0.124886 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,14),(28,4),-0.12489 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,14),(28,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,14),(28,2),-0.125763 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,14),(28,1),-0.125137 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,14),(28,-1),-0.105531 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,28),(28,13),(28,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,13),(28,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,13),(28,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,13),(28,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,13),(28,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,13),(28,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,13),(28,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,13),(28,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,13),(28,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,13),(28,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,13),(28,1),-0.125 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,13),(28,-1),-0.0948084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,28),(28,12),(28,11),-0.128027 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,12),(28,10),-0.126217 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,12),(28,9),-0.128027 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,12),(28,7),-0.126004 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,12),(28,6),-0.125118 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,12),(28,5),-0.124944 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,12),(28,4),-0.126004 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,12),(28,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,12),(28,2),-0.128027 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,12),(28,1),-0.126543 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,12),(28,-1),-0.195553 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,28),(28,11),(28,10),-0.126217 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,11),(28,9),-0.128027 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,11),(28,7),-0.126004 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,11),(28,6),-0.125118 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,11),(28,5),-0.124944 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,11),(28,4),-0.126004 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,11),(28,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,11),(28,2),-0.128027 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,11),(28,1),-0.126543 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,11),(28,-1),-0.196142 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,28),(28,10),(28,9),-0.128126 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,10),(28,7),-0.127252 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,10),(28,6),-0.128911 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,10),(28,5),-0.125957 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,10),(28,4),-0.127252 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,10),(28,3),-0.124886 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,10),(28,2),-0.128105 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,10),(28,1),-0.126001 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,10),(28,-1),-0.125811 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,28),(28,9),(28,7),-0.126004 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,9),(28,6),-0.125118 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,9),(28,5),-0.124944 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,9),(28,4),-0.126004 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,9),(28,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,9),(28,2),-0.128027 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,9),(28,1),-0.126543 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,9),(28,-1),-0.198693 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,28),(28,7),(28,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,7),(28,5),-0.124886 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,7),(28,4),-0.12489 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,7),(28,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,7),(28,2),-0.125763 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,7),(28,1),-0.125137 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,7),(28,-1),-0.102729 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,28),(28,6),(28,5),-0.124891 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,6),(28,4),-0.124921 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,6),(28,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,6),(28,2),-0.12489 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,6),(28,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,6),(28,-1),-0.0868695 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,28),(28,5),(28,4),-0.12489 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,5),(28,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,5),(28,2),-0.124893 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,5),(28,1),-0.12491 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,5),(28,-1),-0.122057 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,28),(28,4),(28,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,4),(28,2),-0.125763 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,4),(28,1),-0.125137 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,4),(28,-1),-0.104905 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,28),(28,3),(28,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,3),(28,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,3),(28,-1),-0.0967538 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,28),(28,2),(28,1),-0.126543 # DEPENDENCYPART_GRANDSIBL
(23,28),(28,2),(28,-1),-0.195737 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,28),(28,1),(28,-1),-0.038463 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,30),(30,30),(30,31),-0.183023 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,30),(30,30),(30,32),-0.0341221 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,30),(30,30),(30,35),-0.175639 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,30),(30,30),(30,37),0.127719 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,30),(30,31),(30,32),-0.0332496 # DEPENDENCYPART_GRANDSIBL
(23,30),(30,31),(30,35),-0.0133182 # DEPENDENCYPART_GRANDSIBL
(23,30),(30,31),(30,37),0.00243227 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,30),(30,32),(30,35),-0.0392579 # DEPENDENCYPART_GRANDSIBL
(23,30),(30,32),(30,37),-0.0891817 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,30),(30,35),(30,37),0.0105928 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,30),(30,30),(30,29),0.144596 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,30),(30,30),(30,25),0.101126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,30),(30,30),(30,-1),0.0456029 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,30),(30,29),(30,25),0.118642 # DEPENDENCYPART_GRANDSIBL
(23,30),(30,29),(30,-1),-0.100857 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,30),(30,25),(30,-1),-0.126715 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,31),(31,31),(31,32),-0.034417 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,31),(31,31),(31,33),-0.0397773 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,31),(31,31),(31,34),-0.0670449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,31),(31,31),(31,35),-0.175639 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,31),(31,31),(31,37),0.115347 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,31),(31,32),(31,33),-0.0425565 # DEPENDENCYPART_GRANDSIBL
(23,31),(31,32),(31,34),-0.0407282 # DEPENDENCYPART_GRANDSIBL
(23,31),(31,32),(31,35),-0.0392563 # DEPENDENCYPART_GRANDSIBL
(23,31),(31,32),(31,37),-0.0894803 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,31),(31,33),(31,34),-0.03936 # DEPENDENCYPART_GRANDSIBL
(23,31),(31,33),(31,35),-0.0452823 # DEPENDENCYPART_GRANDSIBL
(23,31),(31,33),(31,37),-0.0110972 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,31),(31,34),(31,35),-0.0606134 # DEPENDENCYPART_GRANDSIBL
(23,31),(31,34),(31,37),-0.050384 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,31),(31,35),(31,37),0.0105943 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,31),(31,31),(31,30),0.151875 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,31),(31,31),(31,29),0.143892 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,31),(31,31),(31,26),0.199517 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,31),(31,31),(31,25),0.101127 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,31),(31,31),(31,22),-0.126121 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,31),(31,31),(31,21),-0.125504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,31),(31,31),(31,-1),0.040249 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,31),(31,30),(31,29),0.175189 # DEPENDENCYPART_GRANDSIBL
(23,31),(31,30),(31,26),0.104198 # DEPENDENCYPART_GRANDSIBL
(23,31),(31,30),(31,25),0.127998 # DEPENDENCYPART_GRANDSIBL
(23,31),(31,30),(31,22),-0.125126 # DEPENDENCYPART_GRANDSIBL
(23,31),(31,30),(31,21),-0.125509 # DEPENDENCYPART_GRANDSIBL
(23,31),(31,30),(31,-1),-0.14318 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,31),(31,29),(31,26),0.117396 # DEPENDENCYPART_GRANDSIBL
(23,31),(31,29),(31,25),0.118642 # DEPENDENCYPART_GRANDSIBL
(23,31),(31,29),(31,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,31),(31,29),(31,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,31),(31,29),(31,-1),-0.102895 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,31),(31,26),(31,25),0.117664 # DEPENDENCYPART_GRANDSIBL
(23,31),(31,26),(31,22),-0.125745 # DEPENDENCYPART_GRANDSIBL
(23,31),(31,26),(31,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,31),(31,26),(31,-1),-0.127508 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,31),(31,25),(31,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(23,31),(31,25),(31,21),-0.124887 # DEPENDENCYPART_GRANDSIBL
(23,31),(31,25),(31,-1),-0.126714 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,31),(31,22),(31,21),-0.124895 # DEPENDENCYPART_GRANDSIBL
(23,31),(31,22),(31,-1),-0.159553 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,31),(31,21),(31,-1),-0.102895 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,32),(32,32),(32,33),-0.0504835 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,32),(32,32),(32,34),-0.0390382 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,32),(32,32),(32,35),0.102269 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,32),(32,32),(32,36),-0.0531667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,32),(32,32),(32,37),-0.364944 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,32),(32,33),(32,34),-0.0434969 # DEPENDENCYPART_GRANDSIBL
(23,32),(32,33),(32,35),-0.0467084 # DEPENDENCYPART_GRANDSIBL
(23,32),(32,33),(32,36),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(23,32),(32,33),(32,37),-0.0198349 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,32),(32,34),(32,35),-0.04353 # DEPENDENCYPART_GRANDSIBL
(23,32),(32,34),(32,36),-0.042567 # DEPENDENCYPART_GRANDSIBL
(23,32),(32,34),(32,37),-0.0331269 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,32),(32,35),(32,36),-0.0428949 # DEPENDENCYPART_GRANDSIBL
(23,32),(32,35),(32,37),0.0738919 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,32),(32,36),(32,37),-0.0544087 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,32),(32,32),(32,31),0.0595714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,32),(32,32),(32,-1),-0.0504056 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,32),(32,31),(32,-1),-0.145015 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,35),(35,35),(35,36),0.0853674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,35),(35,35),(35,37),0.158089 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,35),(35,36),(35,37),0.0957841 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,35),(35,35),(35,34),0.0929667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,35),(35,35),(35,33),0.112285 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,35),(35,35),(35,31),0.151399 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,35),(35,35),(35,30),0.151214 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,35),(35,35),(35,29),0.144181 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,35),(35,35),(35,26),0.200379 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,35),(35,35),(35,-1),0.0841208 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,35),(35,34),(35,33),0.180255 # DEPENDENCYPART_GRANDSIBL
(23,35),(35,34),(35,31),0.135153 # DEPENDENCYPART_GRANDSIBL
(23,35),(35,34),(35,30),0.135153 # DEPENDENCYPART_GRANDSIBL
(23,35),(35,34),(35,29),0.143289 # DEPENDENCYPART_GRANDSIBL
(23,35),(35,34),(35,26),0.106271 # DEPENDENCYPART_GRANDSIBL
(23,35),(35,34),(35,-1),-0.162844 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,35),(35,33),(35,31),0.147667 # DEPENDENCYPART_GRANDSIBL
(23,35),(35,33),(35,30),0.147667 # DEPENDENCYPART_GRANDSIBL
(23,35),(35,33),(35,29),0.115294 # DEPENDENCYPART_GRANDSIBL
(23,35),(35,33),(35,26),0.118012 # DEPENDENCYPART_GRANDSIBL
(23,35),(35,33),(35,-1),-0.161708 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,35),(35,31),(35,30),0.110409 # DEPENDENCYPART_GRANDSIBL
(23,35),(35,31),(35,29),0.174737 # DEPENDENCYPART_GRANDSIBL
(23,35),(35,31),(35,26),0.103757 # DEPENDENCYPART_GRANDSIBL
(23,35),(35,31),(35,-1),-0.143322 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,35),(35,30),(35,29),0.174741 # DEPENDENCYPART_GRANDSIBL
(23,35),(35,30),(35,26),0.103751 # DEPENDENCYPART_GRANDSIBL
(23,35),(35,30),(35,-1),-0.143315 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,35),(35,29),(35,26),0.117396 # DEPENDENCYPART_GRANDSIBL
(23,35),(35,29),(35,-1),-0.099631 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,35),(35,26),(35,-1),-0.127173 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,22),(22,22),(22,24),-0.127801 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,22),(22,22),(22,25),-0.125394 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,22),(22,22),(22,26),-0.124892 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,22),(22,22),(22,37),-0.199662 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,22),(22,24),(22,25),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,22),(22,24),(22,26),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,22),(22,24),(22,37),-0.127623 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,22),(22,25),(22,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,25),(22,37),-0.0756532 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,22),(22,26),(22,37),-0.124119 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,22),(22,22),(22,21),-0.0312451 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,22),(22,22),(22,19),-0.0391983 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,22),(22,22),(22,18),-0.0353597 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,22),(22,22),(22,-1),0.00210686 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,22),(22,21),(22,19),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,21),(22,18),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,21),(22,-1),-0.0313945 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,22),(22,19),(22,18),-0.0421136 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,19),(22,-1),-0.00209662 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,22),(22,18),(22,-1),-0.0156866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,25),(25,25),(25,26),-0.069374 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,25),(25,25),(25,27),-0.0421134 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,25),(25,25),(25,28),-0.042057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,25),(25,25),(25,30),-0.0495952 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,25),(25,25),(25,31),-0.0495923 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,25),(25,25),(25,35),-0.0495923 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,25),(25,25),(25,37),-0.0818981 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,25),(25,26),(25,27),-0.0784443 # DEPENDENCYPART_GRANDSIBL
(24,25),(25,26),(25,28),-0.0388787 # DEPENDENCYPART_GRANDSIBL
(24,25),(25,26),(25,30),-0.0441438 # DEPENDENCYPART_GRANDSIBL
(24,25),(25,26),(25,31),-0.0441433 # DEPENDENCYPART_GRANDSIBL
(24,25),(25,26),(25,35),-0.0441433 # DEPENDENCYPART_GRANDSIBL
(24,25),(25,26),(25,37),-0.00352547 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,25),(25,27),(25,28),-0.0425397 # DEPENDENCYPART_GRANDSIBL
(24,25),(25,27),(25,30),-0.0528719 # DEPENDENCYPART_GRANDSIBL
(24,25),(25,27),(25,31),-0.0528719 # DEPENDENCYPART_GRANDSIBL
(24,25),(25,27),(25,35),-0.0528719 # DEPENDENCYPART_GRANDSIBL
(24,25),(25,27),(25,37),-0.0736352 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,25),(25,28),(25,30),0.154546 # DEPENDENCYPART_GRANDSIBL
(24,25),(25,28),(25,31),0.158911 # DEPENDENCYPART_GRANDSIBL
(24,25),(25,28),(25,35),0.153236 # DEPENDENCYPART_GRANDSIBL
(24,25),(25,28),(25,37),-0.0470168 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,25),(25,30),(25,31),-0.0433918 # DEPENDENCYPART_GRANDSIBL
(24,25),(25,30),(25,35),-0.0433918 # DEPENDENCYPART_GRANDSIBL
(24,25),(25,30),(25,37),-0.0571085 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,25),(25,31),(25,35),-0.0433883 # DEPENDENCYPART_GRANDSIBL
(24,25),(25,31),(25,37),-0.0571073 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,25),(25,35),(25,37),-0.0571074 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,25),(25,25),(25,24),0.15857 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,25),(25,25),(25,23),-0.125022 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,25),(25,25),(25,22),-0.12489 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,25),(25,25),(25,21),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,25),(25,25),(25,-1),-0.398914 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,25),(25,24),(25,23),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,25),(25,24),(25,22),-0.125022 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,25),(25,24),(25,21),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,25),(25,24),(25,-1),-0.130378 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,25),(25,23),(25,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,25),(25,23),(25,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,25),(25,23),(25,-1),-0.0908899 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,25),(25,22),(25,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(24,25),(25,22),(25,-1),-0.0986257 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,25),(25,21),(25,-1),-0.0960736 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,26),(26,26),(26,27),-0.0167686 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,26),(26,26),(26,28),-0.0687815 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,26),(26,26),(26,30),-0.0549884 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,26),(26,26),(26,31),-0.0549879 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,26),(26,26),(26,32),-0.0695828 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,26),(26,26),(26,35),-0.0549938 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,26),(26,26),(26,37),0.0393331 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,26),(26,27),(26,28),-0.0383662 # DEPENDENCYPART_GRANDSIBL
(24,26),(26,27),(26,30),-0.0161126 # DEPENDENCYPART_GRANDSIBL
(24,26),(26,27),(26,31),-0.0161126 # DEPENDENCYPART_GRANDSIBL
(24,26),(26,27),(26,32),-0.0550253 # DEPENDENCYPART_GRANDSIBL
(24,26),(26,27),(26,35),-0.0161126 # DEPENDENCYPART_GRANDSIBL
(24,26),(26,27),(26,37),-0.0440786 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,26),(26,28),(26,30),0.147427 # DEPENDENCYPART_GRANDSIBL
(24,26),(26,28),(26,31),0.151792 # DEPENDENCYPART_GRANDSIBL
(24,26),(26,28),(26,32),0.113117 # DEPENDENCYPART_GRANDSIBL
(24,26),(26,28),(26,35),0.146117 # DEPENDENCYPART_GRANDSIBL
(24,26),(26,28),(26,37),-0.0587683 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,26),(26,30),(26,31),-0.0463111 # DEPENDENCYPART_GRANDSIBL
(24,26),(26,30),(26,32),-0.0398754 # DEPENDENCYPART_GRANDSIBL
(24,26),(26,30),(26,35),-0.0463111 # DEPENDENCYPART_GRANDSIBL
(24,26),(26,30),(26,37),-0.0259843 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,26),(26,31),(26,32),-0.0398754 # DEPENDENCYPART_GRANDSIBL
(24,26),(26,31),(26,35),-0.0463107 # DEPENDENCYPART_GRANDSIBL
(24,26),(26,31),(26,37),-0.0259843 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,26),(26,32),(26,35),-0.044531 # DEPENDENCYPART_GRANDSIBL
(24,26),(26,32),(26,37),-0.071416 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,26),(26,35),(26,37),-0.0259902 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,26),(26,26),(26,25),0.0968371 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,26),(26,26),(26,24),0.119521 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,26),(26,26),(26,23),-0.126539 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,26),(26,26),(26,22),-0.124956 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,26),(26,26),(26,21),-0.124892 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,26),(26,26),(26,17),-0.125217 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,26),(26,26),(26,-1),-0.0717224 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,26),(26,25),(26,24),0.100941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,26),(26,25),(26,23),-0.124886 # DEPENDENCYPART_GRANDSIBL
(24,26),(26,25),(26,22),-0.124886 # DEPENDENCYPART_GRANDSIBL
(24,26),(26,25),(26,21),-0.125083 # DEPENDENCYPART_GRANDSIBL
