# _root_ Spencer J. Volk , president and chief operating officer of this consumer and industrial products company , was elected a director .
#goldHeads=3,3,18,3,6,3,9,9,6,6,13,13,10,13,13,13,3,0,18,21,19,18,
#predictedHeads=3,3,18,3,6,3,9,9,6,6,13,13,10,13,13,13,3,0,18,21,19,18,
(16,9),(9,13),(9,18),-0.0562145 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,13),(9,19),-0.066823 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,13),(9,21),-0.159649 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,13),(9,22),-0.166406 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,13),(9,23),-0.219003 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,14),(9,15),0.135844 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,14),(9,16),-0.124914 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,14),(9,17),-0.125225 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,14),(9,18),-0.124918 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,14),(9,19),-0.124918 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,14),(9,21),-0.124914 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,14),(9,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,14),(9,23),-0.154655 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,15),(9,16),-0.125449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,15),(9,17),-0.126805 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,15),(9,18),-0.125545 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,15),(9,19),-0.125545 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,15),(9,21),-0.125449 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,15),(9,22),-0.125194 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,15),(9,23),-0.131481 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,16),(9,17),-0.126805 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,16),(9,18),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,16),(9,19),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,16),(9,21),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,16),(9,22),-0.125194 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,16),(9,23),-0.128847 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,9),(9,17),(9,18),-0.127423 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,17),(9,19),-0.127232 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,17),(9,21),-0.129537 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,17),(9,22),-0.124886 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,17),(9,23),0.0239349 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,18),(9,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,18),(9,21),-0.124957 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,18),(9,22),-0.124886 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,18),(9,23),-0.176673 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,19),(9,21),-0.124957 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,19),(9,22),-0.124886 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,19),(9,23),-0.176056 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,21),(9,22),-0.125194 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,21),(9,23),-0.131871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,22),(9,23),-0.145037 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,9),(9,8),-0.198724 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,7),-0.203281 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,6),-0.0503159 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,5),-0.203059 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,4),0.167562 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,3),-0.202565 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,2),-0.204773 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,1),-0.202565 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,9),(9,9),(9,-1),0.0990012 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,9),(9,8),(9,7),-0.00175906 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,8),(9,6),-0.0427058 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,8),(9,5),-0.00199733 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,8),(9,4),-0.0520676 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,8),(9,3),-0.00133534 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,8),(9,2),-0.00349665 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,8),(9,1),-0.00133534 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,8),(9,-1),0.0162061 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,7),(9,6),-0.0427058 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,7),(9,5),-0.00167542 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,7),(9,4),-0.0520914 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,7),(9,3),-0.00101343 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,7),(9,2),-0.00317474 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,7),(9,1),-0.00101343 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,7),(9,-1),0.0134505 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,6),(9,5),0.425372 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,6),(9,4),0.256891 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,6),(9,3),0.390272 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,6),(9,2),0.404135 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,6),(9,1),0.436019 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,6),(9,-1),-0.0337409 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,5),(9,4),-0.0526808 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,5),(9,3),-0.00310051 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,5),(9,2),-0.00526182 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,5),(9,1),-0.00310051 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,5),(9,-1),0.00855239 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,4),(9,3),0.162605 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,4),(9,2),0.162605 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,4),(9,1),0.162605 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,4),(9,-1),-0.0444542 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,3),(9,2),-0.00317112 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,3),(9,1),-0.00100981 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,3),(9,-1),0.0119948 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,2),(9,1),-0.00184343 # DEPENDENCYPART_GRANDSIBL
(16,9),(9,2),(9,-1),0.00845964 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,9),(9,1),(9,-1),0.0119948 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,10),(10,11),0.140194 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,12),0.058478 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,13),0.105249 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,14),0.126925 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,15),0.0582324 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,10),(10,10),(10,16),-0.145803 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,10),(10,10),(10,23),-0.0128708 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,10),(10,11),(10,12),0.146564 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,11),(10,13),0.119164 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,11),(10,14),0.122705 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,11),(10,15),0.146564 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,11),(10,16),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,11),(10,23),-0.154129 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,12),(10,13),0.119164 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,12),(10,14),0.118743 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,12),(10,15),0.118897 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,12),(10,16),-0.125348 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,12),(10,23),-0.144848 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,13),(10,14),0.436239 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,13),(10,15),0.471366 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,13),(10,16),-0.12193 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,13),(10,23),-0.15599 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,14),(10,15),0.117088 # DEPENDENCYPART_GRANDSIBL
(16,10),(10,14),(10,16),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,14),(10,23),-0.168032 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,15),(10,16),-0.125348 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,15),(10,23),-0.145093 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,10),(10,16),(10,23),-0.14549 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,10),(10,10),(10,-1),-0.422336 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,11),(11,11),(11,12),0.114551 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,11),(11,11),(11,23),0.095146 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,11),(11,12),(11,23),-0.131687 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,11),(11,11),(11,-1),0.159465 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,12),(12,12),(12,14),0.0947929 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,12),(12,12),(12,17),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,12),(12,12),(12,23),0.0131707 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,12),(12,14),(12,17),-0.125225 # DEPENDENCYPART_GRANDSIBL
(16,12),(12,14),(12,23),-0.157161 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,12),(12,17),(12,23),0.0239388 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,12),(12,12),(12,11),-0.0541531 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,12),(12,12),(12,10),-0.0200283 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,12),(12,12),(12,8),-0.198571 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,12),(12,12),(12,7),-0.203127 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,12),(12,12),(12,6),-0.0502815 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,12),(12,12),(12,-1),0.107496 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,12),(12,11),(12,10),-0.0434387 # DEPENDENCYPART_GRANDSIBL
(16,12),(12,11),(12,8),-0.041191 # DEPENDENCYPART_GRANDSIBL
(16,12),(12,11),(12,7),-0.041191 # DEPENDENCYPART_GRANDSIBL
(16,12),(12,11),(12,6),-0.041999 # DEPENDENCYPART_GRANDSIBL
(16,12),(12,11),(12,-1),-0.046748 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,12),(12,10),(12,8),-0.036202 # DEPENDENCYPART_GRANDSIBL
(16,12),(12,10),(12,7),-0.036204 # DEPENDENCYPART_GRANDSIBL
(16,12),(12,10),(12,6),-0.035503 # DEPENDENCYPART_GRANDSIBL
(16,12),(12,10),(12,-1),-0.0502401 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,12),(12,8),(12,7),-0.0016287 # DEPENDENCYPART_GRANDSIBL
(16,12),(12,8),(12,6),-0.0427058 # DEPENDENCYPART_GRANDSIBL
(16,12),(12,8),(12,-1),0.0163724 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,12),(12,7),(12,6),-0.0427058 # DEPENDENCYPART_GRANDSIBL
(16,12),(12,7),(12,-1),0.0136168 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,12),(12,6),(12,-1),-0.0337067 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,13),(13,14),0.189344 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,15),0.209265 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,16),-0.145575 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,13),(13,13),(13,17),-0.125566 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,18),-0.136904 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,19),-0.136584 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,21),-0.145575 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,22),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,23),-0.521531 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,13),(13,14),(13,15),0.0726864 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,14),(13,16),-0.126474 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,14),(13,17),-0.124886 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,14),(13,18),-0.126881 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,14),(13,19),-0.126881 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,14),(13,21),-0.126474 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,14),(13,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,14),(13,23),0.00366528 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,15),(13,16),-0.132122 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,15),(13,17),-0.12646 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,15),(13,18),-0.127115 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,15),(13,19),-0.127112 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,15),(13,21),-0.131464 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,15),(13,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,15),(13,23),-0.215132 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,16),(13,17),-0.12646 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,16),(13,18),-0.127115 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,16),(13,19),-0.127112 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,16),(13,21),-0.130806 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,16),(13,22),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,16),(13,23),-0.213072 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,13),(13,17),(13,18),-0.128101 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,17),(13,19),-0.128055 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,17),(13,21),-0.129271 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,17),(13,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,17),(13,23),-0.124487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,18),(13,19),-0.124895 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,18),(13,21),-0.126439 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,18),(13,22),-0.124905 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,18),(13,23),-0.105676 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,19),(13,21),-0.126439 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,19),(13,22),-0.124905 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,19),(13,23),-0.113917 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,21),(13,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,21),(13,23),-0.204206 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,22),(13,23),-0.126517 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,13),(13,12),-0.0604525 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,11),0.00919773 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,10),-0.0115872 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,9),-0.0353704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,8),-0.0651918 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,7),-0.0661042 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,6),-0.0955761 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,5),-0.0625165 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,4),-0.0536361 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,3),-0.0648241 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,2),-0.0648628 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,1),-0.0654408 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,13),(13,13),(13,-1),-0.337008 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,13),(13,12),(13,11),-0.0514451 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,12),(13,10),-0.0242462 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,12),(13,9),-0.0600233 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,12),(13,8),-0.058836 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,12),(13,7),-0.058911 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,12),(13,6),-0.049462 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,12),(13,5),-0.0590609 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,12),(13,4),-0.0497223 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,12),(13,3),-0.0587733 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,12),(13,2),-0.0587733 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,12),(13,1),-0.0587733 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,12),(13,-1),0.013006 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,11),(13,10),-0.0439953 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,11),(13,9),-0.0456003 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,11),(13,8),-0.0456003 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,11),(13,7),-0.0456003 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,11),(13,6),-0.0420737 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,11),(13,5),-0.0456013 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,11),(13,4),-0.0435532 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,11),(13,3),-0.0456003 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,11),(13,2),-0.0456003 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,11),(13,1),-0.0456003 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,11),(13,-1),-0.0184867 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,10),(13,9),-0.0477306 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,10),(13,8),-0.0477296 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,10),(13,7),-0.04773 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,10),(13,6),-0.0350077 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,10),(13,5),-0.0485225 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,10),(13,4),-0.0529431 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,10),(13,3),-0.0477296 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,10),(13,2),-0.0477296 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,10),(13,1),-0.0477296 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,10),(13,-1),0.0118941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,9),(13,8),-0.0590723 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,9),(13,7),-0.0591472 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,9),(13,6),-0.049751 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,9),(13,5),-0.0592972 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,9),(13,4),-0.0490797 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,9),(13,3),-0.0590096 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,9),(13,2),-0.0590096 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,9),(13,1),-0.0590096 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,9),(13,-1),0.0311916 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,8),(13,7),-0.0593004 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,8),(13,6),-0.049462 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,8),(13,5),-0.0594503 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,8),(13,4),-0.0497223 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,8),(13,3),-0.0591627 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,8),(13,2),-0.0591627 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,8),(13,1),-0.0591627 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,8),(13,-1),0.00434314 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,7),(13,6),-0.049462 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,7),(13,5),-0.0595008 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,7),(13,4),-0.0497223 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,7),(13,3),-0.0592132 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,7),(13,2),-0.0592133 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,7),(13,1),-0.0592132 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,7),(13,-1),0.00552922 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,6),(13,5),0.418717 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,6),(13,4),0.289422 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,6),(13,3),0.383612 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,6),(13,2),0.397475 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,6),(13,1),0.429359 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,6),(13,-1),-0.0893834 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,5),(13,4),-0.0506533 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,5),(13,3),-0.0595314 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,5),(13,2),-0.0595315 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,5),(13,1),-0.0595314 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,5),(13,-1),0.00989107 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,4),(13,3),-0.14378 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,4),(13,2),-0.14378 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,4),(13,1),-0.14378 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,4),(13,-1),-0.0839657 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,3),(13,2),-0.0587733 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,3),(13,1),-0.0587733 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,3),(13,-1),0.00438419 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,2),(13,1),-0.0587733 # DEPENDENCYPART_GRANDSIBL
(16,13),(13,2),(13,-1),0.004346 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,13),(13,1),(13,-1),0.00438419 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,14),(14,15),0.12357 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,23),0.00611012 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,14),(14,15),(14,23),-0.121614 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,14),(14,14),(14,12),-0.0403826 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,14),(14,14),(14,-1),0.0298351 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,14),(14,12),(14,-1),0.0119266 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,15),(15,15),(15,16),-0.141313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,15),(15,15),(15,18),-0.154371 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,15),(15,23),-0.0046824 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,15),(15,16),(15,18),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,16),(15,23),-0.138398 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,15),(15,18),(15,23),-0.176681 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,15),(15,15),(15,14),-0.0706224 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,15),(15,13),-0.0502966 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,15),(15,12),-0.20492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,15),(15,15),(15,11),-0.0541253 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
