# _root_ MCI Communications Corp. said it won a $ 27 million contract from Stuart-James Co. , a Denver investment banking concern , to provide voice and data telecommunications services .
#goldHeads=3,3,4,0,6,4,11,11,8,8,6,6,14,12,14,20,20,20,20,14,14,23,11,25,28,25,28,23,4,
#predictedHeads=3,3,4,0,6,4,11,11,8,8,6,6,14,12,14,20,20,20,20,14,14,23,11,25,28,25,25,23,4,
(12,28),(28,20),(28,-1),-0.137008 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(12,28),(28,19),(28,-1),-0.135081 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,8),(8,9),0.192361 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,10),0.192285 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,11),0.10019 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,12),0.0977547 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,13),-0.144725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,14),-0.144725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,17),-0.144725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,18),-0.144725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,19),-0.144725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,20),-0.144725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,21),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,29),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,30),-0.263138 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,8),(8,9),(8,10),0.0496928 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,11),0.117464 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,12),0.0770324 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,13),-0.144715 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,14),-0.144715 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,17),-0.144715 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,18),-0.144715 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,19),-0.144715 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,20),-0.144715 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,30),-0.00493681 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,10),(8,11),0.117383 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,10),(8,12),0.0660963 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,10),(8,13),-0.144715 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,10),(8,14),-0.144715 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,10),(8,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,10),(8,17),-0.144715 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,10),(8,18),-0.144715 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,10),(8,19),-0.144715 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,10),(8,20),-0.144715 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,10),(8,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,10),(8,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,10),(8,30),-0.0102704 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,11),(8,12),0.109531 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,30),-0.137937 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,12),(8,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,12),(8,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,12),(8,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,12),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,12),(8,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,12),(8,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,12),(8,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,12),(8,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,12),(8,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,12),(8,30),-0.208899 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,13),(8,14),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,13),(8,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,13),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,13),(8,18),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,13),(8,19),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,13),(8,20),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,13),(8,21),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,13),(8,29),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,13),(8,30),-0.137937 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,8),(8,14),(8,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,14),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,14),(8,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,14),(8,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,14),(8,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,14),(8,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,14),(8,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,14),(8,30),-0.138374 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,15),(8,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,15),(8,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,15),(8,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,15),(8,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,15),(8,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,15),(8,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,15),(8,30),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,17),(8,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,17),(8,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,17),(8,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,17),(8,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,17),(8,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,17),(8,30),-0.137937 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,18),(8,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,18),(8,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,18),(8,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,18),(8,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,18),(8,30),-0.137937 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,19),(8,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,19),(8,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,19),(8,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,19),(8,30),-0.137937 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,20),(8,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,20),(8,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,20),(8,30),-0.137947 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,21),(8,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,21),(8,30),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,29),(8,30),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,8),(8,7),-0.0247918 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,-1),0.0948367 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,8),(8,7),(8,-1),-0.0245433 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,14),(14,15),0.131958 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,17),-0.127926 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,18),-0.127823 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,19),-0.126867 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,20),-0.127816 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,21),0.131958 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,24),-0.127816 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,25),-0.0369346 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,30),0.12289 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,14),(14,15),(14,17),0.134488 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,15),(14,18),0.134488 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,15),(14,19),0.134488 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,15),(14,20),0.13312 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,15),(14,21),-0.0232074 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,15),(14,24),0.133813 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,15),(14,25),-0.0320256 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,15),(14,30),-0.0209994 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,17),(14,18),-9.45521e-05 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,17),(14,19),0.000776041 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,17),(14,20),0.00077546 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,17),(14,21),0.00441591 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,17),(14,24),0.000776049 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,17),(14,25),-0.0202714 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,17),(14,30),0.0303068 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,18),(14,19),-9.4622e-05 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,18),(14,20),-9.52027e-05 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,18),(14,21),0.00441577 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,18),(14,24),-9.46135e-05 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,18),(14,25),-0.0202714 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,18),(14,30),0.0302345 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,19),(14,20),0.000772454 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,19),(14,21),0.00441592 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,19),(14,24),0.000773044 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,19),(14,25),-0.0202714 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,19),(14,30),0.0303308 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,20),(14,21),0.00399866 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,20),(14,24),0.000776049 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,20),(14,25),-0.0202714 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,20),(14,30),0.029188 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,21),(14,24),0.133813 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,21),(14,25),-0.0320256 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,21),(14,30),-0.0209994 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,24),(14,25),-0.0202714 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,24),(14,30),0.0300872 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,25),(14,30),-0.0318112 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,14),(14,13),0.158401 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,12),-0.155566 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,11),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,10),-0.152715 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,8),-0.14477 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,7),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,3),-0.15584 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,14),(14,-1),-0.0348459 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,14),(14,13),(14,12),-0.14479 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,13),(14,11),-0.145199 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,13),(14,10),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,13),(14,8),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,13),(14,7),-0.145184 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,13),(14,3),-0.145199 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,14),(14,13),(14,-1),-0.173387 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,14),(14,12),(14,11),-0.14498 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,12),(14,10),-0.144705 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,12),(14,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,12),(14,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,12),(14,3),-0.14498 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,12),(14,-1),-0.116437 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,11),(14,10),-0.144705 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,11),(14,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,11),(14,7),-0.145184 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,11),(14,3),-0.145199 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,11),(14,-1),-0.173389 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,10),(14,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,10),(14,7),-0.145452 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,10),(14,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,10),(14,-1),-0.134007 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,8),(14,7),-0.144702 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,8),(14,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,8),(14,-1),-0.15265 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,7),(14,3),-0.144717 # DEPENDENCYPART_GRANDSIBL
(13,14),(14,7),(14,-1),-0.0888513 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,3),(14,-1),-0.175978 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,20),(20,21),0.132984 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,22),-0.0381679 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,23),0.0482305 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,24),-0.131042 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,25),-0.0402829 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,28),-0.130225 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,30),0.136989 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,20),(20,21),(20,22),-0.0219515 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,21),(20,23),-0.0676548 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,21),(20,24),0.133575 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,21),(20,25),-0.0318761 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,21),(20,28),0.134249 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,21),(20,30),-0.020159 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,22),(20,23),-0.0233402 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,22),(20,24),-0.0233004 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,22),(20,25),-0.0108958 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,22),(20,28),-0.0233004 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,22),(20,30),-0.0375641 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,23),(20,24),-0.0233145 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,23),(20,25),-0.0222928 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,23),(20,28),-0.0233683 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,23),(20,30),0.00282002 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,24),(20,25),-0.0202714 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,24),(20,28),-0.000450091 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,24),(20,30),0.0246964 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,25),(20,28),-0.0170235 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,25),(20,30),-0.0343215 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,28),(20,30),0.0249005 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,20),(20,19),0.157008 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,18),0.155125 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,17),0.158555 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,16),0.114002 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,15),0.180052 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,14),0.158438 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,13),0.158654 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,11),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,7),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,20),(20,-1),-0.0220569 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,20),(20,19),(20,18),0.093845 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,19),(20,17),0.0929724 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,19),(20,16),0.173572 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,19),(20,15),0.116 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,19),(20,14),0.0927899 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,19),(20,13),0.0929724 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,19),(20,11),-0.145195 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,19),(20,7),-0.145192 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,19),(20,-1),-0.181217 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,18),(20,17),0.0933751 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,18),(20,16),0.175157 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,18),(20,15),0.116 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,18),(20,14),0.0931927 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,18),(20,13),0.0933751 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,18),(20,11),-0.145195 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,18),(20,7),-0.145192 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,18),(20,-1),-0.180518 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,17),(20,16),0.175044 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,17),(20,15),0.116 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,17),(20,14),0.0935775 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,17),(20,13),0.0937599 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,17),(20,11),-0.145195 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,17),(20,7),-0.145192 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,17),(20,-1),-0.180573 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,16),(20,15),0.10746 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,16),(20,14),0.122034 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,16),(20,13),0.122034 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,16),(20,11),-0.144717 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,16),(20,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,16),(20,-1),-0.0779231 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,15),(20,14),0.120054 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,15),(20,13),0.12009 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,15),(20,11),-0.14942 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,15),(20,7),-0.144708 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,15),(20,-1),-0.0335093 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,14),(20,13),0.094826 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,14),(20,11),-0.145195 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,14),(20,7),-0.145192 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,14),(20,-1),-0.180743 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,13),(20,11),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,13),(20,7),-0.145192 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,20),(20,13),(20,-1),-0.180473 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,20),(20,11),(20,7),-0.145192 # DEPENDENCYPART_GRANDSIBL
(13,20),(20,11),(20,-1),-0.180475 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,20),(20,7),(20,-1),-0.0779231 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,3),(3,3),(3,4),0.0918728 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,3),(3,3),(3,5),0.12246 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,3),(3,3),(3,6),0.0928287 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,3),(3,3),(3,8),0.0931724 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,3),(3,3),(3,12),0.150305 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,3),(3,3),(3,20),-0.155849 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,3),(3,3),(3,21),-0.145466 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,3),(3,3),(3,29),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,3),(3,3),(3,30),0.0141623 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,3),(3,4),(3,5),0.10975 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,4),(3,6),0.109246 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,4),(3,8),0.10954 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,4),(3,12),0.109228 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,4),(3,20),-0.14472 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,4),(3,21),-0.146199 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,4),(3,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,4),(3,30),-0.197933 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,3),(3,5),(3,6),0.109537 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,5),(3,8),0.10954 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,5),(3,12),0.10815 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,5),(3,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,5),(3,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,5),(3,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,5),(3,30),-0.133926 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,3),(3,6),(3,8),0.10954 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,6),(3,12),0.109232 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,6),(3,20),-0.14472 # DEPENDENCYPART_GRANDSIBL
(14,3),(3,6),(3,21),-0.146199 # DEPENDENCYPART_GRANDSIBL
