# _root_ That may leave a lot of leeway for U.S. Bankruptcy Judge Burton R. Lifland to decide what , if anything , the pilots actually collect .
#goldHeads=2,0,2,5,3,5,6,16,14,14,14,14,14,16,16,7,25,25,20,25,25,23,25,25,16,2,
#predictedHeads=2,0,2,5,3,5,6,7,14,14,14,14,14,8,16,5,25,25,25,19,25,23,25,25,16,2,
(14,5),(5,16),(5,19),-0.124893 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,16),(5,20),-0.124957 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,16),(5,21),-0.125503 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,16),(5,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,16),(5,26),-0.124886 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,16),(5,27),-0.173819 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,5),(5,18),(5,19),-0.125395 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,18),(5,20),-0.129533 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,18),(5,21),-0.125325 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,18),(5,24),-0.126135 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,18),(5,26),-0.124886 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,18),(5,27),-0.00337205 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,5),(5,19),(5,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,19),(5,21),-0.124891 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,19),(5,24),-0.125162 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,19),(5,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,19),(5,27),-0.0982623 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,5),(5,20),(5,21),-0.126785 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,20),(5,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,20),(5,26),-0.125194 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,20),(5,27),-0.143798 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,5),(5,21),(5,24),-0.126135 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,21),(5,26),-0.124886 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,21),(5,27),-0.00337205 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,5),(5,24),(5,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,24),(5,27),-0.11914 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,5),(5,26),(5,27),-0.144995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,5),(5,5),(5,4),-0.0671522 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,5),(5,5),(5,3),0.0464423 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,5),(5,5),(5,1),-0.0665436 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,5),(5,5),(5,-1),0.0918019 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,5),(5,4),(5,3),-0.042046 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,4),(5,1),-0.0401377 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,4),(5,-1),-0.0877651 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,5),(5,3),(5,1),-0.0364324 # DEPENDENCYPART_GRANDSIBL
(14,5),(5,3),(5,-1),-0.0135246 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,5),(5,1),(5,-1),-0.0660797 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,7),(7,8),0.195519 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,9),0.152369 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,10),0.152427 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,13),0.149612 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,14),-0.141313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,7),(7,7),(7,15),-0.124912 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,16),-0.15429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,18),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,21),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,23),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,25),-0.15429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,26),-0.125132 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,27),0.0232095 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,7),(7,8),(7,9),0.116294 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,8),(7,10),0.116326 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,8),(7,13),0.116326 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,8),(7,14),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,8),(7,15),-0.126149 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,8),(7,16),-0.125119 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,8),(7,18),-0.124891 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,8),(7,21),-0.124891 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,8),(7,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,8),(7,25),-0.125119 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,8),(7,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,8),(7,27),-0.0862479 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,9),(7,10),0.111584 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,9),(7,13),0.114071 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,9),(7,14),-0.125449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,9),(7,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,9),(7,16),-0.125545 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,9),(7,18),-0.126785 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,9),(7,21),-0.126785 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,9),(7,23),-0.125449 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,9),(7,25),-0.125545 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,9),(7,26),-0.125194 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,9),(7,27),-0.141885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,10),(7,13),0.113673 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,10),(7,14),-0.125449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,10),(7,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,10),(7,16),-0.125545 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,10),(7,18),-0.126785 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,10),(7,21),-0.126785 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,10),(7,23),-0.125449 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,10),(7,25),-0.125545 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,10),(7,26),-0.125194 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,10),(7,27),-0.144808 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,13),(7,14),-0.125449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,13),(7,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,13),(7,16),-0.125545 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,13),(7,18),-0.126785 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,13),(7,21),-0.126785 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,13),(7,23),-0.125449 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,13),(7,25),-0.125545 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,13),(7,26),-0.125194 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,13),(7,27),-0.143733 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,14),(7,15),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,14),(7,16),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,14),(7,18),-0.126785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,14),(7,21),-0.126785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,14),(7,23),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,14),(7,25),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,14),(7,26),-0.125194 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,14),(7,27),-0.143132 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,7),(7,15),(7,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,15),(7,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,15),(7,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,15),(7,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,15),(7,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,15),(7,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,15),(7,27),-0.091038 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,16),(7,18),-0.125503 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,16),(7,21),-0.125503 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,16),(7,23),-0.124957 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,16),(7,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,16),(7,26),-0.124886 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,16),(7,27),-0.173808 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,18),(7,21),-0.125325 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,18),(7,23),-0.129532 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,18),(7,25),-0.127045 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,18),(7,26),-0.124886 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,18),(7,27),-0.00337174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,21),(7,23),-0.129532 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,21),(7,25),-0.127045 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,21),(7,26),-0.124886 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,21),(7,27),-0.00337174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,23),(7,25),-0.125545 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,23),(7,26),-0.125194 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,23),(7,27),-0.143132 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,25),(7,26),-0.124886 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,25),(7,27),-0.173808 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,26),(7,27),-0.144995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,7),(7,6),-0.0214052 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,5),-0.183242 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,4),-0.065966 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,1),-0.0653574 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,7),(7,7),(7,-1),0.0986736 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,7),(7,6),(7,5),-0.0360075 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,6),(7,4),-0.0424767 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,6),(7,1),-0.0428059 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,6),(7,-1),-0.0513287 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,5),(7,4),-0.0451108 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,5),(7,1),-0.0359077 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,5),(7,-1),0.00262882 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,4),(7,1),-0.0401377 # DEPENDENCYPART_GRANDSIBL
(14,7),(7,4),(7,-1),-0.0865789 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,7),(7,1),(7,-1),-0.0648935 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,9),(9,9),(9,10),0.152365 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,9),(9,9),(9,27),0.0546538 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,9),(9,10),(9,27),-0.14481 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,9),(9,9),(9,8),-0.0317425 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,9),(9,9),(9,-1),0.145227 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,9),(9,8),(9,-1),-0.07185 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,10),(10,10),(10,11),0.153613 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,10),(10,10),(10,12),0.152157 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,10),(10,10),(10,13),0.149608 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,10),(10,10),(10,14),-0.141313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,10),(10,10),(10,27),0.0250538 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,10),(10,11),(10,12),0.109804 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,11),(10,13),0.112281 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,11),(10,14),-0.125449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,10),(10,11),(10,27),-0.139364 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,10),(10,12),(10,13),0.113678 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,12),(10,14),-0.125449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,10),(10,12),(10,27),-0.143136 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,10),(10,13),(10,14),-0.125449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,10),(10,13),(10,27),-0.143737 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,10),(10,14),(10,27),-0.143136 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,10),(10,10),(10,9),-0.176882 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,10),(10,10),(10,8),-0.0317424 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,10),(10,10),(10,-1),0.101449 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,10),(10,9),(10,8),-0.0319467 # DEPENDENCYPART_GRANDSIBL
(14,10),(10,9),(10,-1),0.00240231 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,10),(10,8),(10,-1),-0.07184 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,11),(11,12),0.156346 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,13),0.153797 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,27),0.0226764 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,11),(11,12),(11,13),0.116162 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,12),(11,27),-0.142022 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,13),(11,27),-0.142623 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,11),(11,10),-0.185557 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,9),-0.177973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,7),-0.18452 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,11),(11,11),(11,-1),0.0945841 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,11),(11,10),(11,9),-0.0167191 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,10),(11,7),-0.0148258 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,10),(11,-1),0.000534187 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,9),(11,7),-0.0151202 # DEPENDENCYPART_GRANDSIBL
(14,11),(11,9),(11,-1),0.00125259 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,11),(11,7),(11,-1),0.00125329 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,12),(12,12),(12,13),0.149612 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,14),-0.141313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,12),(12,12),(12,16),-0.15429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,20),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,21),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,27),0.0232095 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,12),(12,13),(12,14),-0.125449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,12),(12,13),(12,16),-0.125545 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,13),(12,20),-0.125449 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,13),(12,21),-0.126785 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,13),(12,27),-0.143733 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,12),(12,14),(12,16),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,14),(12,20),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,14),(12,21),-0.126785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,14),(12,27),-0.143132 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,12),(12,16),(12,20),-0.124957 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,16),(12,21),-0.125503 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,16),(12,27),-0.173808 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,12),(12,20),(12,21),-0.126785 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,20),(12,27),-0.143797 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,12),(12,21),(12,27),-0.00337174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,12),(12,12),(12,11),-0.184426 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,10),-0.184025 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,9),-0.17644 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,7),-0.182988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,12),(12,12),(12,-1),0.0986736 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,12),(12,11),(12,10),-0.0136968 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,11),(12,9),-0.0155901 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,11),(12,7),-0.0136968 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,11),(12,-1),0.00177222 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,12),(12,10),(12,9),-0.0155178 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,10),(12,7),-0.0136245 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,10),(12,-1),0.00217037 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,12),(12,9),(12,7),-0.0139189 # DEPENDENCYPART_GRANDSIBL
(14,12),(12,9),(12,-1),0.00288877 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,12),(12,7),(12,-1),0.00288948 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,13),(13,13),(13,14),-0.141313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,13),(13,13),(13,16),-0.15429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,13),(13,13),(13,20),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,13),(13,13),(13,21),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,13),(13,13),(13,23),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,13),(13,13),(13,25),-0.15429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,13),(13,13),(13,27),0.0249982 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,13),(13,14),(13,16),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,13),(13,14),(13,20),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,13),(13,14),(13,21),-0.126785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,13),(13,14),(13,23),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,13),(13,14),(13,25),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,13),(13,14),(13,27),-0.143757 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,13),(13,16),(13,20),-0.124957 # DEPENDENCYPART_GRANDSIBL
(14,13),(13,16),(13,21),-0.125503 # DEPENDENCYPART_GRANDSIBL
(14,13),(13,16),(13,23),-0.124957 # DEPENDENCYPART_GRANDSIBL
(14,13),(13,16),(13,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(14,13),(13,16),(13,27),-0.173808 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,13),(13,20),(13,21),-0.126785 # DEPENDENCYPART_GRANDSIBL
(14,13),(13,20),(13,23),-0.125449 # DEPENDENCYPART_GRANDSIBL
(14,13),(13,20),(13,25),-0.125545 # DEPENDENCYPART_GRANDSIBL
(14,13),(13,20),(13,27),-0.144422 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,13),(13,21),(13,23),-0.129532 # DEPENDENCYPART_GRANDSIBL
(14,13),(13,21),(13,25),-0.127045 # DEPENDENCYPART_GRANDSIBL
(14,13),(13,21),(13,27),-0.00339657 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,13),(13,23),(13,25),-0.125545 # DEPENDENCYPART_GRANDSIBL
(14,13),(13,23),(13,27),-0.143758 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,13),(13,25),(13,27),-0.173808 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,13),(13,13),(13,12),-0.183653 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,13),(13,13),(13,11),-0.185092 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,13),(13,13),(13,10),-0.184691 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,13),(13,13),(13,9),-0.177106 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,13),(13,13),(13,-1),0.100234 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,13),(13,12),(13,11),-0.0133676 # DEPENDENCYPART_GRANDSIBL
(14,13),(13,12),(13,10),-0.0133061 # DEPENDENCYPART_GRANDSIBL
(14,13),(13,12),(13,9),-0.0151994 # DEPENDENCYPART_GRANDSIBL
(14,13),(13,12),(13,-1),0.0070883 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,13),(13,11),(13,10),-0.0136968 # DEPENDENCYPART_GRANDSIBL
(14,13),(13,11),(13,9),-0.0155901 # DEPENDENCYPART_GRANDSIBL
(14,13),(13,11),(13,-1),0.00597104 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,13),(13,10),(13,9),-0.0155178 # DEPENDENCYPART_GRANDSIBL
(14,13),(13,10),(13,-1),0.00636919 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,13),(13,9),(13,-1),0.0070876 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,15),(15,16),-0.00609736 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,18),-0.0428721 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,20),0.0265395 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,23),0.0265396 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,15),(15,15),(15,27),-0.227521 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,15),(15,16),(15,18),-0.0420008 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,16),(15,20),-0.0446922 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,16),(15,23),-0.0446922 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,16),(15,27),-0.0101835 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,18),(15,20),-0.0424842 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,18),(15,23),-0.0424842 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,18),(15,27),-0.0445284 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,20),(15,23),-0.051106 # DEPENDENCYPART_GRANDSIBL
(14,15),(15,20),(15,27),0.034525 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,23),(15,27),0.034525 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(14,15),(15,15),(15,-1),-0.0618549 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(14,16),(16,16),(16,17),-0.0772919 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,16),(16,16),(16,18),-0.0734363 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,16),(16,16),(16,19),-0.035152 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,16),(16,16),(16,20),-0.0296592 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,16),(16,16),(16,21),-0.0734363 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,16),(16,16),(16,22),-0.0388569 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,16),(16,16),(16,23),-0.0238879 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,16),(16,16),(16,24),0.00186985 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,16),(16,16),(16,25),-0.0286436 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,16),(16,16),(16,26),-0.048883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(14,16),(16,16),(16,27),0.0661411 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
