# _root_ Mr. Ehrlich was succeeded as chairman by Gerd Krick , a director of Fresenius , a West German pharmaceutical concern .
#goldHeads=2,3,0,3,4,5,4,9,7,9,12,9,12,13,14,20,18,20,20,14,3,
#predictedHeads=2,3,0,3,4,5,4,9,7,9,12,9,12,13,14,20,18,20,20,14,3,
(7,13),(13,13),(13,11),0.0904654 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,13),(13,13),(13,-1),0.00216133 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,13),(13,11),(13,-1),-0.160092 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,14),(14,15),-0.0650611 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,17),-0.0128197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,18),-0.0128195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,19),-0.0128191 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,20),-0.186484 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,21),-0.0674484 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,22),0.155608 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,14),(14,15),(14,17),-0.0503995 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,15),(14,18),-0.0539608 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,15),(14,19),-0.0539608 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,15),(14,20),-0.0945814 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,15),(14,21),-0.0420212 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,15),(14,22),-0.0736221 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,17),(14,18),-0.0469517 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,17),(14,19),-0.0469517 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,17),(14,20),-0.0423852 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,17),(14,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,17),(14,22),-0.0386182 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,18),(14,19),-0.0469519 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,18),(14,20),-0.0423852 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,18),(14,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,18),(14,22),-0.0422017 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,19),(14,20),-0.0423852 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,19),(14,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,19),(14,22),-0.0421787 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,20),(14,21),-0.0461087 # DEPENDENCYPART_GRANDSIBL
(7,14),(14,20),(14,22),-0.126487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,21),(14,22),-0.0612187 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,14),(14,14),(14,11),0.0750687 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,14),(14,14),(14,-1),-0.135571 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,14),(14,11),(14,-1),-0.107531 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,20),(20,20),(20,21),-0.0674484 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,20),(20,20),(20,22),0.16146 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,20),(20,21),(20,22),-0.0612187 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,20),(20,20),(20,19),0.177773 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,20),(20,20),(20,18),0.17338 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,20),(20,20),(20,17),0.186788 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,20),(20,20),(20,16),0.0750725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,20),(20,20),(20,15),-0.00415054 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,20),(20,20),(20,14),0.188507 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,20),(20,20),(20,12),0.187754 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,20),(20,20),(20,11),0.0750725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,20),(20,20),(20,10),-0.00415054 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,20),(20,20),(20,-1),-0.138959 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,20),(20,19),(20,18),0.110393 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,19),(20,17),0.100997 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,19),(20,16),0.100972 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,19),(20,15),0.132742 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,19),(20,14),0.139594 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,19),(20,12),0.139594 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,19),(20,11),0.100972 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,19),(20,10),0.132742 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,19),(20,-1),-0.0720746 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,20),(20,18),(20,17),0.0897373 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,18),(20,16),0.109431 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,18),(20,15),0.132728 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,18),(20,14),0.135393 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,18),(20,12),0.135393 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,18),(20,11),0.109431 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,18),(20,10),0.132728 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,18),(20,-1),-0.0699377 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,20),(20,17),(20,16),0.0994095 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,17),(20,15),0.132513 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,17),(20,14),0.135821 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,17),(20,12),0.135821 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,17),(20,11),0.0994095 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,17),(20,10),0.132513 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,17),(20,-1),-0.0788413 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,20),(20,16),(20,15),0.127664 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,16),(20,14),0.0945233 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,16),(20,12),0.0945233 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,16),(20,11),0.119042 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,16),(20,10),0.127664 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,16),(20,-1),-0.0981463 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,20),(20,15),(20,14),0.0394813 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,15),(20,12),0.0394813 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,15),(20,11),0.10869 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,15),(20,10),0.119007 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,15),(20,-1),-0.140729 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,20),(20,14),(20,12),0.186979 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,14),(20,11),0.123195 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,14),(20,10),0.0682698 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,14),(20,-1),-0.105742 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,20),(20,12),(20,11),0.123195 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,12),(20,10),0.0682698 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,12),(20,-1),-0.0998375 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,20),(20,11),(20,10),0.127664 # DEPENDENCYPART_GRANDSIBL
(7,20),(20,11),(20,-1),-0.0981463 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,20),(20,10),(20,-1),-0.140729 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,9),(9,10),0.138962 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,12),-0.183259 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,13),-0.0214052 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,14),-0.182988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,15),0.138962 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,20),-0.182988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,21),0.0853674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,22),0.0986736 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,9),(9,10),(9,12),0.132798 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,10),(9,13),-0.0267764 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,10),(9,14),0.134209 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,10),(9,15),-0.0496519 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,10),(9,20),0.133357 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,10),(9,21),-0.0439761 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,10),(9,22),-0.0437622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,12),(9,13),-0.0374804 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,12),(9,14),-0.0133063 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,12),(9,15),-0.0521088 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,12),(9,20),-0.0139383 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,12),(9,21),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,12),(9,22),0.00324922 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,13),(9,14),-0.0360075 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,13),(9,15),-0.0956188 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,13),(9,20),-0.0360524 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,13),(9,21),-0.0471799 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,13),(9,22),-0.0513287 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,14),(9,15),-0.0517423 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,14),(9,20),-0.0139381 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,14),(9,21),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,14),(9,22),0.00288938 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,15),(9,20),0.133357 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,15),(9,21),-0.0439761 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,15),(9,22),-0.0437622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,20),(9,21),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,20),(9,22),0.00178207 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,21),(9,22),0.0957853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,9),(9,8),0.152161 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,9),(9,9),(9,7),-0.143886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,6),-0.141328 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,-1),0.0232095 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,9),(9,8),(9,7),-0.125035 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,8),(9,6),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,8),(9,-1),-0.143132 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,9),(9,7),(9,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,7),(9,-1),-0.100455 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,6),(9,-1),-0.147706 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,12),(12,13),-0.00359695 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,14),-0.186671 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,15),0.13886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,16),-0.0663985 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,17),-0.0594248 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,18),-0.0636528 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,19),-0.0641445 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,20),-0.186672 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,21),0.0853674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,22),0.0953248 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,12),(12,13),(12,14),-0.0371496 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,15),-0.0962706 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,16),-0.0424767 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,17),-0.0387547 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,18),-0.0387517 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,19),-0.0387517 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,20),-0.0371945 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,21),-0.0471799 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,22),-0.0316412 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,14),(12,15),-0.0517424 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,16),-0.0458633 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,17),-0.0456638 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,18),-0.0479567 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,19),-0.0479565 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,20),-0.0175337 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,21),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,22),-0.00127746 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,15),(12,16),-0.0458543 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,15),(12,17),-0.0511504 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,15),(12,18),-0.0511051 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,15),(12,19),-0.0511051 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,15),(12,20),0.133255 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,15),(12,21),-0.0439761 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,15),(12,22),-0.0437626 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,16),(12,17),-0.033932 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,16),(12,18),-0.033932 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,16),(12,19),-0.033932 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,16),(12,20),-0.0357307 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,16),(12,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,16),(12,22),-0.0877641 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,17),(12,18),-0.0578816 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,17),(12,19),-0.0578816 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,17),(12,20),-0.0611311 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,17),(12,21),-0.0421103 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,17),(12,22),-0.0429803 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,18),(12,19),-0.0585668 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,18),(12,20),-0.0607859 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,18),(12,21),-0.0421103 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,18),(12,22),-0.0502315 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,19),(12,20),-0.0605472 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,19),(12,21),-0.0421103 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,19),(12,22),-0.0499003 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,20),(12,21),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,20),(12,22),-0.00238476 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,21),(12,22),0.0957853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,12),(12,11),0.14101 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,10),0.165552 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,8),0.155234 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,12),(12,12),(12,-1),0.026194 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,12),(12,11),(12,10),0.116766 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,11),(12,8),0.133848 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,11),(12,-1),-0.10737 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,10),(12,8),0.112523 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,10),(12,-1),-0.00351668 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,8),(12,-1),-0.13562 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,20),(20,20),(20,21),0.0853674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,20),(20,20),(20,22),0.0936364 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,20),(20,21),(20,22),0.0957851 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,20),(20,20),(20,19),0.0952388 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,20),(20,20),(20,18),0.0939608 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,20),(20,20),(20,17),0.101061 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,20),(20,20),(20,16),0.145081 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,20),(20,20),(20,15),0.165138 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,20),(20,20),(20,14),0.150855 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,20),(20,20),(20,12),0.148966 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,20),(20,20),(20,11),0.145081 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,20),(20,20),(20,10),0.165138 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,20),(20,20),(20,-1),0.0170621 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,20),(20,19),(20,18),0.13763 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,19),(20,17),0.137373 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,19),(20,16),0.138486 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,19),(20,15),0.090421 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,19),(20,14),0.133153 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,19),(20,12),0.132384 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,19),(20,11),0.138486 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,19),(20,10),0.090421 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,19),(20,-1),-0.158529 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,20),(20,18),(20,17),0.135648 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,18),(20,16),0.137936 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,18),(20,15),0.090421 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,18),(20,14),0.131994 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,18),(20,12),0.131225 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,18),(20,11),0.137936 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,18),(20,10),0.090421 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,18),(20,-1),-0.159173 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,20),(20,17),(20,16),0.135231 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,17),(20,15),0.0904179 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,17),(20,14),0.132769 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,17),(20,12),0.132 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,17),(20,11),0.135231 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,17),(20,10),0.0904179 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,17),(20,-1),-0.147204 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,20),(20,16),(20,15),0.116765 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,16),(20,14),0.133844 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,16),(20,12),0.133844 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,16),(20,11),0.115802 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,16),(20,10),0.116765 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,16),(20,-1),-0.0849209 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,20),(20,15),(20,14),0.119048 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,15),(20,12),0.119041 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,15),(20,11),0.111256 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,15),(20,10),0.115506 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,15),(20,-1),-0.00376104 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,20),(20,14),(20,12),0.114295 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,14),(20,11),0.187366 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,14),(20,10),0.123694 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,14),(20,-1),-0.154848 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,20),(20,12),(20,11),0.186883 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,12),(20,10),0.123626 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,12),(20,-1),-0.156431 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,20),(20,11),(20,10),0.116765 # DEPENDENCYPART_GRANDSIBL
(8,20),(20,11),(20,-1),-0.0849209 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,20),(20,10),(20,-1),-0.00376104 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,6),(6,7),0.186955 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,8),0.149236 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,9),-0.141313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,6),(6,6),(6,10),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,12),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,13),-0.150131 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,14),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,15),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,17),-0.126121 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,18),-0.126121 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,20),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,21),-0.125132 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,22),0.0307688 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,6),(6,7),(6,8),0.116751 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,7),(6,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,7),(6,10),-0.124891 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,7),(6,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,7),(6,13),-0.126496 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,7),(6,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,7),(6,15),-0.124891 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,7),(6,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,7),(6,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,7),(6,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,7),(6,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,7),(6,22),-0.102816 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,8),(6,9),-0.125449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,8),(6,10),-0.126785 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,8),(6,12),-0.125449 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,8),(6,13),-0.12504 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,8),(6,14),-0.125449 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,8),(6,15),-0.126785 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,8),(6,17),-0.125126 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,8),(6,18),-0.125126 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,8),(6,20),-0.125449 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,8),(6,21),-0.125194 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,8),(6,22),-0.142719 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,9),(6,10),-0.126785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,9),(6,12),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,9),(6,13),-0.12504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
