# _root_ The issue is one of a judge 's experience , his competence and his physical ability to serve on the bench , '' Justice Rubin said .
#goldHeads=2,3,26,3,4,7,9,7,13,13,12,13,5,16,16,13,18,16,18,21,19,26,26,25,26,0,26,
#predictedHeads=2,3,26,3,4,7,9,7,5,4,12,13,4,16,16,13,18,16,18,21,19,26,26,25,26,0,26,
(7,18),(18,21),(18,23),-0.0170491 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,21),(18,25),-0.0313135 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,21),(18,26),-0.0545269 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,21),(18,27),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,21),(18,28),-0.0506089 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,22),(18,23),-0.0407969 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,22),(18,25),-0.0356703 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,22),(18,26),-0.0759451 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,22),(18,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,22),(18,28),-0.0932716 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,23),(18,25),-0.0284415 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,23),(18,26),-0.0384328 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,23),(18,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,23),(18,28),-0.0227169 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,25),(18,26),-0.0545269 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,25),(18,27),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,25),(18,28),-0.0506089 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,26),(18,27),-0.0419659 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,26),(18,28),-0.0866082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,27),(18,28),-0.0871039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,18),(18,17),0.155682 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,18),(18,16),0.164608 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,18),(18,15),0.047524 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,18),(18,13),0.141415 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,18),(18,12),0.164609 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,18),(18,10),0.139982 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,18),(18,9),0.164608 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,18),(18,5),-0.154802 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,18),(18,3),-0.170753 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,18),(18,2),-0.175762 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,18),(18,-1),0.0428678 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,18),(18,17),(18,16),0.135756 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,17),(18,15),0.115841 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,17),(18,13),0.12185 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,17),(18,12),0.136037 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,17),(18,10),0.114206 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,17),(18,9),0.136037 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,17),(18,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,17),(18,3),-0.124914 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,17),(18,2),-0.1262 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,17),(18,-1),-0.0800993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,16),(18,15),0.116178 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,16),(18,13),0.106449 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,16),(18,12),0.0945695 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,16),(18,10),0.0567466 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,16),(18,9),0.0945695 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,16),(18,5),-0.126236 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,16),(18,3),-0.125221 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,16),(18,2),-0.124895 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,16),(18,-1),-0.0285446 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,15),(18,13),0.119152 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,15),(18,12),0.118059 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,15),(18,10),0.120713 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,15),(18,9),0.118059 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,15),(18,5),-0.125435 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,15),(18,3),-0.125064 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,15),(18,2),-0.124907 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,15),(18,-1),-0.20362 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,13),(18,12),0.0876851 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,13),(18,10),0.14638 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,13),(18,9),0.131916 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,13),(18,5),0.0308964 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,13),(18,3),0.0164705 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,13),(18,2),0.166426 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,13),(18,-1),-0.129461 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,12),(18,10),0.0567466 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,12),(18,9),0.0945695 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,12),(18,5),-0.126236 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,12),(18,3),-0.125221 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,12),(18,2),-0.124895 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,12),(18,-1),-0.0285215 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,10),(18,9),0.117546 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,10),(18,5),-0.125719 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,10),(18,3),-0.127247 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,10),(18,2),-0.125259 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,10),(18,-1),-0.188082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,9),(18,5),-0.126236 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,9),(18,3),-0.125221 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,9),(18,2),-0.124895 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,9),(18,-1),-0.0285229 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,5),(18,3),-0.124989 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,5),(18,2),-0.12524 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,5),(18,-1),-0.153782 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,3),(18,2),-0.124893 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,3),(18,-1),-0.148542 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,2),(18,-1),-0.0297318 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,2),(2,3),0.124038 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,4),0.204891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,5),0.255061 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,13),-0.139415 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,28),0.0125396 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,2),(2,3),(2,4),0.116789 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,3),(2,5),0.117392 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,3),(2,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,3),(2,28),-0.177166 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,4),(2,5),0.113307 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,4),(2,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,4),(2,28),-0.128255 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,5),(2,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,5),(2,28),-0.0686202 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,13),(2,28),-0.215426 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,2),(2,1),-0.0404114 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,-1),0.0841663 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,2),(2,1),(2,-1),-0.0100123 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,4),(4,5),0.0603933 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,6),0.107976 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,7),0.192102 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,9),-0.127158 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,4),(4,4),(4,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,12),-0.127158 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,13),-0.126013 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,16),-0.127158 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,19),-0.125946 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,22),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,27),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,28),-0.00500612 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,4),(4,5),(4,6),0.119097 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,5),(4,7),0.118157 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,5),(4,9),-0.124902 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,5),(4,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,5),(4,12),-0.124902 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,5),(4,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,5),(4,16),-0.124902 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,5),(4,19),-0.124895 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,5),(4,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,5),(4,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,5),(4,28),-0.185678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,6),(4,7),0.118889 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,6),(4,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,6),(4,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,6),(4,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,6),(4,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,6),(4,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,6),(4,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,6),(4,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,6),(4,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,6),(4,28),-0.148758 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,7),(4,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,7),(4,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,7),(4,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,7),(4,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,7),(4,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,7),(4,19),-0.125049 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,7),(4,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,7),(4,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,7),(4,28),-0.0604925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,9),(4,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,9),(4,12),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,9),(4,13),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,9),(4,16),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,9),(4,19),-0.125049 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,9),(4,22),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,9),(4,27),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,9),(4,28),-0.0604925 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,4),(4,10),(4,12),-0.124886 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,10),(4,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,10),(4,16),-0.124886 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,10),(4,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,10),(4,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,10),(4,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,10),(4,28),-0.150654 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,12),(4,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,12),(4,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,12),(4,19),-0.125049 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,12),(4,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,12),(4,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,12),(4,28),-0.0604925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,13),(4,16),-0.119861 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,13),(4,19),0.194062 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,13),(4,22),0.0890516 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,13),(4,27),-0.0977145 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,13),(4,28),-0.106111 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,16),(4,19),-0.125049 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,16),(4,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,16),(4,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,16),(4,28),-0.0604925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,19),(4,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,19),(4,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,19),(4,28),-0.171032 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,22),(4,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,22),(4,28),-0.150654 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,27),(4,28),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,4),(4,2),-0.0536113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,1),-0.0526111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,-1),0.163621 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,4),(4,2),(4,1),-0.0420011 # DEPENDENCYPART_GRANDSIBL
(9,4),(4,2),(4,-1),-0.0646971 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,1),(4,-1),-0.0852681 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,5),(5,6),0.170148 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,5),(5,7),0.0597797 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,5),(5,9),-0.145803 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,5),(5,5),(5,10),-0.127012 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,5),(5,12),-0.145803 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,5),(5,13),-0.139761 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,5),(5,16),-0.145803 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,5),(5,28),0.0197341 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,5),(5,6),(5,7),0.172123 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,6),(5,9),-0.124886 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,6),(5,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,6),(5,12),-0.124886 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,6),(5,13),-0.124895 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,6),(5,16),-0.124886 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,6),(5,28),-0.150957 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,7),(5,9),-0.125348 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,7),(5,10),-0.124921 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,7),(5,12),-0.125348 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,7),(5,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,7),(5,16),-0.125348 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,7),(5,28),-0.143509 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,9),(5,10),-0.124921 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,9),(5,12),-0.125348 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,9),(5,13),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,9),(5,16),-0.125348 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,9),(5,28),-0.143498 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,5),(5,10),(5,12),-0.124899 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,10),(5,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,10),(5,16),-0.124899 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,10),(5,28),-0.115099 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,12),(5,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,12),(5,16),-0.125348 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,12),(5,28),-0.143498 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,13),(5,16),-0.119861 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,13),(5,28),-0.155986 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,16),(5,28),-0.143498 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,5),(5,4),0.0759686 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,5),(5,2),0.122602 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,5),(5,-1),-0.419641 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,5),(5,4),(5,2),-0.0555106 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,4),(5,-1),0.0328345 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,2),(5,-1),0.0697893 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,6),(6,28),0.133659 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,6),(6,6),(6,-1),0.183297 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,7),(7,7),(7,8),0.233354 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,9),-0.14139 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,7),(7,7),(7,10),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,12),-0.14139 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,13),-0.139415 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,16),-0.14139 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,17),-0.124912 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,18),-0.15429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,28),0.0239028 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,7),(7,8),(7,9),-0.124913 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,8),(7,10),-0.125425 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,8),(7,12),-0.124913 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,8),(7,13),-0.126358 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,8),(7,16),-0.124913 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,8),(7,17),-0.125487 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,8),(7,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,8),(7,28),0.0748299 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,9),(7,10),-0.126785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,9),(7,12),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,9),(7,13),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,9),(7,16),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,9),(7,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,9),(7,18),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,9),(7,28),-0.142023 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,7),(7,10),(7,12),-0.129532 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,10),(7,13),-0.131545 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,10),(7,16),-0.129532 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,10),(7,17),-0.12491 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,10),(7,18),-0.127045 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,10),(7,28),-0.00348788 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,12),(7,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,12),(7,16),-0.125449 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,12),(7,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,12),(7,18),-0.125545 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,12),(7,28),-0.142023 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,13),(7,16),-0.119872 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,13),(7,17),0.168844 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,13),(7,18),0.075896 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,13),(7,28),-0.217966 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,16),(7,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,16),(7,18),-0.125545 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,16),(7,28),-0.142024 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,17),(7,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,17),(7,28),-0.091038 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,18),(7,28),-0.173897 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,7),(7,6),-0.0652735 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,5),-0.0154149 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,4),-0.155114 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,3),0.0550723 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,2),-0.184544 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,7),(7,7),(7,-1),0.0890333 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,7),(7,6),(7,5),-0.0434155 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,6),(7,4),-0.0436758 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,6),(7,3),-0.042046 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,6),(7,2),-0.0357307 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,6),(7,-1),-0.0854787 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,5),(7,4),-0.0426649 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,5),(7,3),-0.0359425 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,5),(7,2),-0.0360091 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,5),(7,-1),-0.0417674 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,4),(7,3),-0.0427024 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,4),(7,2),-0.0535318 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,4),(7,-1),-0.161029 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,3),(7,2),-0.0484271 # DEPENDENCYPART_GRANDSIBL
(9,7),(7,3),(7,-1),-0.00945366 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,7),(7,2),(7,-1),0.00122976 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,8),(8,28),-0.0293382 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
