# _root_ Meanwhile , the average yield on taxable funds dropped nearly a tenth of a percentage point , the largest drop since midsummer .
#goldHeads=9,9,5,5,9,5,8,6,0,12,12,9,12,16,16,13,9,20,20,9,20,21,9,
#predictedHeads=9,9,5,5,9,5,8,6,0,12,12,9,12,16,16,13,16,20,20,16,20,21,9,
(9,8),(8,5),(8,4),-0.0156605 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,5),(8,3),0.0170177 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,5),(8,2),-0.0593873 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,5),(8,1),-0.019222 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,5),(8,-1),-0.00975171 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,4),(8,3),0.0142357 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,4),(8,2),-0.0261116 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,4),(8,1),-0.0313065 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,4),(8,-1),-0.0239994 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,3),(8,2),-0.00692398 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,3),(8,1),-0.0105158 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,3),(8,-1),0.0407887 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,2),(8,1),-0.0589291 # DEPENDENCYPART_GRANDSIBL
(9,8),(8,2),(8,-1),-0.0670023 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,8),(8,1),(8,-1),-0.0373906 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,10),(10,11),-0.0054125 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,12),0.00359063 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,13),-0.0265925 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,15),0.00359063 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,16),0.0187535 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,17),-0.0449265 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,21),-0.0201794 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,24),0.0555592 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,10),(10,11),(10,12),-0.0127522 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,11),(10,13),-0.0109001 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,11),(10,15),-0.0127522 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,11),(10,16),-0.0127522 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,11),(10,17),-0.0198743 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,11),(10,21),-0.0143244 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,11),(10,24),-0.0247381 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,12),(10,13),-0.053375 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,12),(10,15),-0.0213799 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,12),(10,16),-0.0213799 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,12),(10,17),-0.0299276 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,12),(10,21),-0.0511718 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,12),(10,24),0.054673 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,13),(10,15),-0.0297548 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,13),(10,16),-0.0304452 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,13),(10,17),-0.0149125 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,13),(10,21),0.00071221 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,13),(10,24),-0.0270567 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,15),(10,16),-0.0213799 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,15),(10,17),-0.0299276 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,15),(10,21),-0.0511718 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,15),(10,24),0.054673 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,16),(10,17),-0.0300273 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,16),(10,21),-0.0520641 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,16),(10,24),0.0653906 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,17),(10,21),-0.028476 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,17),(10,24),-0.0635737 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,21),(10,24),-0.0352861 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,10),(10,8),-0.1487 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,7),-0.144703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,6),-0.134721 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,5),-0.1487 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,10),(10,10),(10,-1),-0.0816501 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,10),(10,8),(10,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,8),(10,6),-0.144777 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,8),(10,5),-0.144923 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,8),(10,2),-0.144805 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,8),(10,-1),-0.142888 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,7),(10,6),-0.144761 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,7),(10,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,7),(10,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,7),(10,-1),-0.138342 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,6),(10,5),-0.144815 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,6),(10,2),-0.144757 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,6),(10,-1),-0.114358 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,5),(10,2),-0.144805 # DEPENDENCYPART_GRANDSIBL
(9,10),(10,5),(10,-1),-0.142888 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,10),(10,2),(10,-1),-0.194389 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,11),(11,12),-0.0288605 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,13),-0.00344298 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,24),-0.0579486 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,11),(11,12),(11,13),-0.0199662 # DEPENDENCYPART_GRANDSIBL
(9,11),(11,12),(11,24),-0.0295323 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,13),(11,24),-0.0108017 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,11),(11,11),(11,10),0.102236 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,11),(11,11),(11,-1),-0.330064 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,11),(11,10),(11,-1),-0.149712 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,12),(12,13),-0.0860307 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,14),-0.121999 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,15),0.0402803 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,16),0.0391653 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,17),0.0618978 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,20),0.0363022 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,21),-0.105523 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,22),0.0402975 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,23),0.00656601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,24),0.0621 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,12),(12,13),(12,14),-0.0238138 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,15),-0.0368534 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,16),-0.0369756 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,17),0.0406128 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,20),-0.0370252 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,21),-0.00829199 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,22),-0.0368534 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,23),-0.0214351 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,13),(12,24),-0.0412746 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,14),(12,15),-0.0387951 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,14),(12,16),-0.0387951 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,14),(12,17),-0.0159225 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,14),(12,20),-0.0387951 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,14),(12,21),-0.0134207 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,14),(12,22),-0.0387951 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,14),(12,23),-0.0215009 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,14),(12,24),-0.0111158 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,15),(12,16),-0.0147656 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,15),(12,17),-0.0593825 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,15),(12,20),-0.0151502 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,15),(12,21),-0.0335994 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,15),(12,22),-0.0147656 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,15),(12,23),-0.0209326 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,15),(12,24),-0.00246712 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,16),(12,17),-0.0593933 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,16),(12,20),-0.0151502 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,16),(12,21),-0.033584 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,16),(12,22),-0.0147656 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,16),(12,23),-0.0209326 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,16),(12,24),-0.00195537 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,17),(12,20),-0.0506385 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,17),(12,21),-0.0263972 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,17),(12,22),-0.0500956 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,17),(12,23),-0.0194519 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,17),(12,24),-0.066989 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,20),(12,21),-0.0338482 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,20),(12,22),-0.0154576 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,20),(12,23),-0.0209326 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,20),(12,24),-0.00532415 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,21),(12,22),-0.035077 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,21),(12,23),-0.0213922 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,21),(12,24),-0.0710584 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,22),(12,23),-0.0209326 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,22),(12,24),-0.00125246 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,23),(12,24),-0.0121011 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,12),(12,11),0.0992759 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,10),0.132429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,8),-0.0538673 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,7),-0.155976 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,3),-0.149597 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,2),-0.144869 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,12),(12,12),(12,-1),-0.183869 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,12),(12,11),(12,10),0.0867021 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,11),(12,8),-0.144889 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,11),(12,7),-0.144704 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,11),(12,3),-0.145935 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,11),(12,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,11),(12,-1),-0.172971 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,10),(12,8),-0.144852 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,10),(12,7),-0.144753 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,10),(12,3),-0.144754 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,10),(12,2),-0.144746 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,10),(12,-1),-0.110717 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,8),(12,7),-0.145686 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,8),(12,3),-0.143515 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,8),(12,2),-0.158968 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,8),(12,-1),-0.1156 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,7),(12,3),-0.148262 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,7),(12,2),-0.144877 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,7),(12,-1),-0.0905789 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,3),(12,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,12),(12,3),(12,-1),-0.226902 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,12),(12,2),(12,-1),-0.136834 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,13),(13,14),0.0187812 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,15),-0.0219923 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,16),-0.0137025 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,17),-0.0420353 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,20),-0.0172937 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,22),-0.0157599 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,23),-0.0214519 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,24),-0.152214 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,13),(13,14),(13,15),-0.0252799 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,16),-0.0252799 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,17),-0.0203836 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,20),-0.0252799 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,22),-0.0252799 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,23),-0.0194985 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,14),(13,24),0.0345712 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,15),(13,16),-0.0550337 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,17),-0.0331672 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,20),-0.054915 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,22),-0.054915 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,23),-0.0211349 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,15),(13,24),0.0419747 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,16),(13,17),-0.0323831 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,16),(13,20),-0.0547958 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,16),(13,22),-0.0547958 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,16),(13,23),-0.0211349 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,16),(13,24),0.0489888 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,17),(13,20),-0.0242373 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,17),(13,22),-0.0242316 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,17),(13,23),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,17),(13,24),0.0294418 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,20),(13,22),-0.0547993 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,20),(13,23),-0.0211349 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,20),(13,24),0.0453275 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,22),(13,23),-0.0211349 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,22),(13,24),0.0468671 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,23),(13,24),-0.0243696 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,13),(13,12),0.0989991 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,11),0.111321 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,10),0.206128 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,13),(13,13),(13,-1),-0.0919623 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,13),(13,12),(13,11),0.106854 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,12),(13,10),0.106335 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,12),(13,-1),-0.174704 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,11),(13,10),0.10807 # DEPENDENCYPART_GRANDSIBL
(9,13),(13,11),(13,-1),-0.181794 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,13),(13,10),(13,-1),-0.0932378 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,15),(15,16),0.0391392 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,20),0.0362762 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,22),0.0402714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,24),0.0616057 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,15),(15,16),(15,20),-0.0151502 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,16),(15,22),-0.0147656 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,16),(15,24),-0.00198067 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,20),(15,22),-0.0154576 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,20),(15,24),-0.00534945 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,22),(15,24),-0.00127777 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,15),(15,14),0.0987864 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,10),0.132427 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,15),(15,15),(15,-1),-0.183869 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,15),(15,14),(15,10),0.0867021 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,14),(15,-1),-0.17364 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,10),(15,-1),-0.110719 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,16),(16,16),(16,17),0.0618969 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,16),(16,16),(16,18),-0.0899393 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,16),(16,16),(16,19),-0.0168942 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,16),(16,16),(16,20),0.027616 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,16),(16,16),(16,21),-0.107682 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,16),(16,16),(16,22),0.0316112 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,16),(16,16),(16,23),0.00656601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,16),(16,16),(16,24),0.0582313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,16),(16,17),(16,18),-0.0281928 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,17),(16,19),0.00305272 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,17),(16,20),-0.0506385 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,17),(16,21),-0.0263972 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,17),(16,22),-0.0500956 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,17),(16,23),-0.0194519 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,17),(16,24),-0.066989 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,16),(16,18),(16,19),-0.0311766 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,18),(16,20),-0.042012 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,18),(16,21),-0.0267311 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,18),(16,22),-0.042012 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,18),(16,23),-0.0208141 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,18),(16,24),0.0404866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,16),(16,19),(16,20),-0.00331054 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,19),(16,21),-0.0219711 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,19),(16,22),-0.0033082 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,19),(16,23),-0.0194731 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,19),(16,24),-0.0236639 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,16),(16,20),(16,21),-0.0352228 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,20),(16,22),-0.0154576 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,20),(16,23),-0.0209326 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,20),(16,24),-0.00912759 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,16),(16,21),(16,22),-0.0356564 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,21),(16,23),-0.0213922 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,21),(16,24),-0.0746823 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,16),(16,22),(16,23),-0.0209326 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,22),(16,24),-0.00505591 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,16),(16,23),(16,24),-0.0121011 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,16),(16,16),(16,15),0.0218248 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,16),(16,16),(16,14),0.0988208 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,16),(16,16),(16,13),0.131739 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,16),(16,16),(16,12),0.027525 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,16),(16,16),(16,11),0.0988208 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,16),(16,16),(16,10),0.128034 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,16),(16,16),(16,7),-0.155976 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,16),(16,16),(16,6),-0.0572537 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,16),(16,16),(16,4),-0.155976 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,16),(16,16),(16,-1),-0.186645 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,16),(16,15),(16,14),0.0518671 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,15),(16,13),0.094673 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,15),(16,12),0.104343 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,15),(16,11),0.0518671 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,15),(16,10),0.117762 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,15),(16,7),-0.145686 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,15),(16,6),-0.138345 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,15),(16,4),-0.145686 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,15),(16,-1),-0.117696 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,16),(16,14),(16,13),0.10847 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,14),(16,12),0.129867 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,14),(16,11),0.10626 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,14),(16,10),0.0866989 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,14),(16,7),-0.144704 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,14),(16,6),-0.127326 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,14),(16,4),-0.144704 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,14),(16,-1),-0.173103 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,16),(16,13),(16,12),0.113218 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,13),(16,11),0.101169 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,13),(16,10),0.12325 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,13),(16,7),-0.146345 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,13),(16,6),-0.146044 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,13),(16,4),-0.146345 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,13),(16,-1),-0.0527719 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,16),(16,12),(16,11),0.0519473 # DEPENDENCYPART_GRANDSIBL
(9,16),(16,12),(16,10),0.118906 # DEPENDENCYPART_GRANDSIBL
