# _root_ As they did when the Philippines was a colony of the U.S. , teachers for the most part teach in English , even though it is a foreign language for most Philippine children .
#goldHeads=3,3,19,7,6,7,3,9,7,9,12,10,19,19,19,18,18,15,0,19,20,19,26,26,26,19,29,29,26,26,33,33,30,19,
#predictedHeads=3,3,19,7,6,7,3,9,7,9,12,10,19,19,14,18,18,15,0,19,20,19,26,26,26,19,29,29,26,29,33,33,30,19,
(10,9),(9,15),(9,29),-0.125038 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,15),(9,30),-0.124886 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,15),(9,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,15),(9,35),-0.125742 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,18),(9,19),-0.125244 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,18),(9,20),-0.126489 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,18),(9,22),-0.124915 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,18),(9,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,18),(9,24),-0.126412 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,18),(9,26),-0.125244 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,18),(9,29),-0.127863 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,18),(9,30),-0.126412 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,18),(9,34),-0.124886 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,18),(9,35),-0.0792297 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,19),(9,20),-0.124892 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,19),(9,22),-0.124915 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,19),(9,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,19),(9,24),-0.124892 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,19),(9,26),-0.124886 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,19),(9,29),-0.125285 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,19),(9,30),-0.124892 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,19),(9,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,19),(9,35),-0.0965687 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,20),(9,22),-0.124893 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,20),(9,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,20),(9,24),-0.124886 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,20),(9,26),-0.124904 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,20),(9,29),-0.124992 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,20),(9,30),-0.124886 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,20),(9,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,20),(9,35),-0.123418 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,22),(9,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,22),(9,24),-0.125422 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,22),(9,26),-0.125882 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,22),(9,29),-0.124947 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,22),(9,30),-0.125422 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,22),(9,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,22),(9,35),-0.140871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,23),(9,24),-0.124886 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,23),(9,26),-0.1249 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,23),(9,29),-0.124894 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,23),(9,30),-0.124886 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,23),(9,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,23),(9,35),-0.178833 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,24),(9,26),-0.124904 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,24),(9,29),-0.12499 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,24),(9,30),-0.124886 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,24),(9,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,24),(9,35),-0.116346 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,26),(9,29),-0.125285 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,26),(9,30),-0.124892 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,26),(9,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,26),(9,35),-0.0950385 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,29),(9,30),-0.126412 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,29),(9,34),-0.124886 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,29),(9,35),-0.0767726 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,30),(9,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,30),(9,35),-0.125742 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,34),(9,35),-0.124886 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,9),(9,8),0.0229082 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,7),-0.0712714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,6),-0.198572 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,5),-0.0100029 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,3),-0.0560375 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,-1),0.257292 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,9),(9,8),(9,7),-0.042546 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,8),(9,6),-0.0427991 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,8),(9,5),-0.0420064 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,8),(9,3),-0.042546 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,8),(9,-1),-0.00367247 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,7),(9,6),-0.0480232 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,7),(9,5),-0.0420869 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,7),(9,3),-0.0147914 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,7),(9,-1),-0.100235 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,6),(9,5),-0.0436692 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,6),(9,3),-0.0703599 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,6),(9,-1),-0.0939466 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,5),(9,3),-0.042546 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,5),(9,-1),-0.04336 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,3),(9,-1),-0.107964 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,11),(11,35),-0.0740481 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,11),(11,11),(11,-1),-0.158723 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,12),(12,12),(12,13),-0.0965928 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,14),-0.198693 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,15),-0.102857 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,17),-0.0169274 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,18),-0.1987 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,19),-0.0544249 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,22),-0.0965928 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,26),-0.0568411 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,34),-0.0702557 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,35),0.248451 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,12),(12,13),(12,14),-0.081694 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,15),0.0001769 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,17),-0.0490191 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,18),-0.0808089 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,19),0.0237295 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,22),-0.0831079 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,26),0.0330938 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,34),-0.0420212 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,35),-0.0624555 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,14),(12,15),-0.0509887 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,14),(12,17),-0.0476922 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,14),(12,18),-0.0502487 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,14),(12,19),-0.0703599 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,14),(12,22),-0.077097 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,14),(12,26),-0.0672366 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,14),(12,34),-0.04666 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,14),(12,35),-0.0960017 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,15),(12,17),-0.0452482 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,15),(12,18),-0.0463634 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,15),(12,19),-0.026599 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,15),(12,22),-0.00590681 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,15),(12,26),-0.0202479 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,15),(12,34),-0.044143 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,15),(12,35),-0.0606336 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,17),(12,18),-0.0424578 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,17),(12,19),-0.0369608 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,17),(12,22),0.00576992 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,17),(12,26),-0.0369609 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,17),(12,34),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,17),(12,35),-0.0654728 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,18),(12,19),-0.0703599 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,18),(12,22),-0.0752127 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,18),(12,26),-0.0672366 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,18),(12,34),-0.04666 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,18),(12,35),-0.0965386 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,19),(12,22),0.00213001 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,19),(12,26),-0.0160451 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,19),(12,34),-0.0426312 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,19),(12,35),-0.105338 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,22),(12,26),0.0330938 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,22),(12,34),-0.0420212 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,22),(12,35),-0.0624555 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,26),(12,34),-0.0426367 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,26),(12,35),-0.0807583 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,34),(12,35),-0.0633199 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,12),(12,11),0.0760934 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,8),-0.132918 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,-1),-0.106294 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,12),(12,11),(12,8),-0.12491 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,11),(12,-1),-0.0272945 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,8),(12,-1),-0.0643727 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,13),(13,13),(13,35),-0.0878073 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,13),(13,13),(13,-1),-0.161549 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,14),(14,14),(14,15),-0.0963934 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,16),-0.0100029 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,17),-0.0163356 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,18),-0.19858 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,19),-0.0522757 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,20),-0.116261 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,22),-0.0906154 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,30),-0.0963934 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,34),-0.0716542 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,35),0.255421 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,14),(14,15),(14,16),-0.0469777 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,15),(14,17),-0.0452482 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,15),(14,18),-0.0463556 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,15),(14,19),-0.0265951 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,15),(14,20),0.0417203 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,15),(14,22),-0.00589986 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,15),(14,30),-0.0185868 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,15),(14,34),-0.044143 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,15),(14,35),-0.0541678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,16),(14,17),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,16),(14,18),-0.0428538 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,16),(14,19),-0.042546 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,16),(14,20),-0.0374655 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,16),(14,22),-0.0446649 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,16),(14,30),-0.0374598 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,16),(14,34),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,16),(14,35),-0.04336 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,17),(14,18),-0.0422478 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,17),(14,19),-0.0369608 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,17),(14,20),-0.0530964 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,17),(14,22),0.00576992 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,17),(14,30),-0.0534981 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,17),(14,34),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,17),(14,35),-0.0650909 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,18),(14,19),-0.0703599 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,18),(14,20),-0.0600491 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,18),(14,22),-0.0752127 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,18),(14,30),-0.0509887 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,18),(14,34),-0.04666 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,18),(14,35),-0.0944779 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,19),(14,20),-0.0430224 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,19),(14,22),0.00336713 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,19),(14,30),-0.0315438 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,19),(14,34),-0.0426312 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,19),(14,35),-0.0999268 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,20),(14,22),-0.0170734 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,20),(14,30),-0.0359143 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,20),(14,34),-0.0441189 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,20),(14,35),-0.0099737 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,22),(14,30),0.000192448 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,22),(14,34),-0.0420212 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,22),(14,35),-0.0615791 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,30),(14,34),-0.044143 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,30),(14,35),-0.0541678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,34),(14,35),-0.0647184 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,14),(14,13),-0.0156163 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,12),0.183816 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,11),0.0736771 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,10),0.176774 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,14),(14,14),(14,9),-0.133894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,8),-0.132918 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,-1),-0.0911511 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,14),(14,13),(14,12),0.0175891 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,13),(14,11),0.105785 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,13),(14,10),0.130684 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,13),(14,9),-0.124947 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,13),(14,8),-0.12509 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,13),(14,-1),-0.140871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,12),(14,11),0.0369648 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,12),(14,10),0.114212 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,12),(14,9),-0.127863 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,12),(14,8),-0.126454 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,12),(14,-1),-0.0719401 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,11),(14,10),0.083325 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,11),(14,9),-0.125438 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,11),(14,8),-0.12491 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,11),(14,-1),-0.0289828 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,10),(14,9),-0.124995 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,10),(14,8),-0.124896 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,10),(14,-1),-0.102084 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,14),(14,9),(14,8),-0.126454 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,9),(14,-1),-0.075756 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,8),(14,-1),-0.066061 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,15),(15,16),-0.0419563 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,15),(15,17),-0.0262857 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,15),(15,18),-0.122826 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,15),(15,19),-0.0425214 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,15),(15,20),-0.031844 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,15),(15,21),-0.118217 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,15),(15,35),-0.000304911 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,15),(15,16),(15,17),-0.0447263 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,16),(15,18),-0.0383927 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,16),(15,19),-0.0420019 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,16),(15,20),-0.0422394 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,16),(15,21),-0.0383927 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,16),(15,35),-0.0447899 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,17),(15,18),-0.0374827 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,17),(15,19),-0.0420549 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,17),(15,20),-0.0420892 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,17),(15,21),-0.0374827 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,17),(15,35),-0.0266297 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,18),(15,19),-0.043122 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,18),(15,20),-0.0478783 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,18),(15,21),-0.039424 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,18),(15,35),-0.0799627 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,19),(15,20),-0.0420226 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,19),(15,21),-0.0420105 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,19),(15,35),-0.0473365 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,20),(15,21),-0.0452456 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,20),(15,35),-0.0157756 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,21),(15,35),-0.0753782 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,15),(15,14),0.151495 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,15),(15,13),0.112471 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,15),(15,15),(15,-1),-0.055706 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,15),(15,14),(15,13),0.117036 # DEPENDENCYPART_GRANDSIBL
(10,15),(15,14),(15,-1),-0.0947939 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,13),(15,-1),-0.132115 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,18),(18,19),-0.0526587 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,20),-0.113774 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,21),-0.203198 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,35),0.264633 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,18),(18,19),(18,20),-0.043025 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,19),(18,21),-0.0480217 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,19),(18,35),-0.102038 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,20),(18,21),-0.0361838 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,20),(18,35),-0.00919728 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,21),(18,35),-0.095919 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,18),(18,17),0.151219 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,16),0.0737736 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,15),0.170338 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,14),0.185891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,13),-0.0156167 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,12),0.182672 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,11),0.0737736 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,18),(18,18),(18,-1),-0.0798293 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,18),(18,17),(18,16),0.134576 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,17),(18,15),0.134763 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,17),(18,14),0.159852 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,17),(18,13),0.135802 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,17),(18,12),0.173802 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,17),(18,11),0.134576 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,17),(18,-1),-0.0852468 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,16),(18,15),0.0826559 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,16),(18,14),0.0847375 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,16),(18,13),0.115285 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,16),(18,12),0.0847369 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,16),(18,11),0.118474 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,16),(18,-1),-0.0308027 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,15),(18,14),0.105088 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,15),(18,13),0.117247 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,15),(18,12),0.103684 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,15),(18,11),0.122242 # DEPENDENCYPART_GRANDSIBL
(10,18),(18,15),(18,-1),-0.125769 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,18),(18,14),(18,13),0.0652277 # DEPENDENCYPART_GRANDSIBL
