# _root_ The subsidiary also increased reserves by $ 140 million , however , and set aside an additional $ 25 million for claims connected with Hurricane Hugo .
#goldHeads=2,13,13,13,4,4,6,7,7,13,13,13,0,13,14,17,14,17,18,18,14,21,22,23,26,24,13,
#predictedHeads=2,4,4,13,4,4,6,7,7,4,4,13,0,13,14,17,14,17,18,18,17,21,22,23,26,24,13,
(13,5),(5,5),(5,9),0.0775847 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,5),(5,5),(5,10),0.230971 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,5),(5,5),(5,11),0.102676 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,5),(5,5),(5,12),0.230971 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,5),(5,5),(5,13),-0.150001 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,5),(5,5),(5,14),-0.150787 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,5),(5,5),(5,16),-0.144709 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,5),(5,5),(5,28),-0.0160556 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,5),(5,6),(5,7),0.109157 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,6),(5,8),0.115234 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,6),(5,9),0.115183 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,6),(5,10),0.0835397 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,6),(5,11),0.100862 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,6),(5,12),0.0835397 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,6),(5,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,6),(5,14),-0.147316 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,6),(5,16),-0.144779 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,6),(5,28),-0.0375853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,5),(5,7),(5,8),0.1082 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,7),(5,9),0.108154 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,7),(5,10),0.108958 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,7),(5,11),0.109445 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,7),(5,12),0.108958 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,7),(5,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,7),(5,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,7),(5,16),-0.144737 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,7),(5,28),-0.129178 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,5),(5,8),(5,9),0.114043 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,8),(5,10),0.12248 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,8),(5,11),0.102578 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,8),(5,12),0.12248 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,8),(5,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,8),(5,14),-0.144702 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,8),(5,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,8),(5,28),-0.133654 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,5),(5,9),(5,10),0.122477 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,9),(5,11),0.102577 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,9),(5,12),0.122477 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,9),(5,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,9),(5,14),-0.144702 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,9),(5,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,9),(5,28),-0.140846 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,5),(5,10),(5,11),0.136252 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,10),(5,12),0.101982 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,10),(5,13),-0.149799 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,10),(5,14),-0.147592 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,10),(5,16),-0.144712 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,10),(5,28),-0.14924 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,5),(5,11),(5,12),0.11009 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,11),(5,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,11),(5,14),-0.144704 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,11),(5,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,11),(5,28),-0.173397 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,5),(5,12),(5,13),-0.149799 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,12),(5,14),-0.147592 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,12),(5,16),-0.144712 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,12),(5,28),-0.14924 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,5),(5,13),(5,14),0.081774 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,5),(5,13),(5,16),0.0214474 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,5),(5,13),(5,28),-0.174785 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,5),(5,14),(5,16),-0.145144 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,14),(5,28),-0.173054 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,5),(5,16),(5,28),-0.118627 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,5),(5,5),(5,4),-0.0989223 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,5),(5,5),(5,3),-0.0159866 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,5),(5,5),(5,2),-0.0349053 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,5),(5,5),(5,1),0.0667957 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,5),(5,5),(5,-1),0.179109 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,5),(5,4),(5,3),-0.0211076 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,4),(5,2),-0.0331185 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,4),(5,1),-0.0211242 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,4),(5,-1),-0.00254291 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,5),(5,3),(5,2),-0.0136328 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,3),(5,1),-0.015263 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,3),(5,-1),-0.0486002 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,5),(5,2),(5,1),-0.0165973 # DEPENDENCYPART_GRANDSIBL
(13,5),(5,2),(5,-1),0.00458504 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,5),(5,1),(5,-1),0.00335333 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,6),(6,6),(6,7),0.0863025 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,6),(6,8),0.0972488 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,6),(6,9),0.0964348 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,6),(6,10),0.137437 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,6),(6,11),0.109985 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,6),(6,12),0.137437 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,6),(6,13),-0.150912 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,6),(6,14),-0.14928 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,6),(6,15),-0.144826 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,6),(6,28),-0.0884094 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,6),(6,7),(6,8),0.10814 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,7),(6,9),0.108131 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,7),(6,10),0.109532 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,7),(6,11),0.10954 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,7),(6,12),0.109532 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,7),(6,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,7),(6,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,7),(6,15),-0.144754 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,7),(6,28),-0.165764 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,6),(6,8),(6,9),0.106012 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,8),(6,10),0.109374 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,8),(6,11),0.10954 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,8),(6,12),0.109374 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,8),(6,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,8),(6,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,8),(6,15),-0.144702 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,8),(6,28),-0.177701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,6),(6,9),(6,10),0.109374 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,9),(6,11),0.10954 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,9),(6,12),0.109374 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,9),(6,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,9),(6,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,9),(6,15),-0.144702 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,9),(6,28),-0.179847 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,6),(6,10),(6,11),0.109368 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,10),(6,12),0.10954 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,10),(6,13),-0.144763 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,10),(6,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,10),(6,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,10),(6,28),-0.0902935 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,6),(6,11),(6,12),0.107881 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,11),(6,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,11),(6,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,11),(6,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,11),(6,28),-0.13855 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,6),(6,12),(6,13),-0.144763 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,12),(6,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,12),(6,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,12),(6,28),-0.0902935 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,6),(6,13),(6,14),0.0817841 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,13),(6,15),0.0176039 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,13),(6,28),-0.159955 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,6),(6,14),(6,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,14),(6,28),-0.143373 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,6),(6,15),(6,28),-0.138059 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,6),(6,6),(6,5),0.0223163 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,6),(6,3),-0.0364343 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,6),(6,2),0.0218759 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,6),(6,6),(6,-1),-0.122313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,6),(6,5),(6,3),-0.0226126 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,5),(6,2),-0.0248478 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,5),(6,-1),-0.0159178 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,6),(6,3),(6,2),-0.0212607 # DEPENDENCYPART_GRANDSIBL
(13,6),(6,3),(6,-1),-0.0217036 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,6),(6,2),(6,-1),-0.0167194 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,7),(7,7),(7,8),0.0629185 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,7),(7,9),0.0629448 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,7),(7,10),0.109539 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,7),(7,11),0.114939 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,7),(7,12),0.109539 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,7),(7,13),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,7),(7,14),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,7),(7,17),-0.144807 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,7),(7,21),-0.144754 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,7),(7,23),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,7),(7,24),-0.144754 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,7),(7,27),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,7),(7,28),-0.0681267 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,7),(7,8),(7,9),0.130701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,8),(7,10),0.103057 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,8),(7,11),0.10496 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,8),(7,12),0.103057 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,8),(7,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,8),(7,14),-0.144702 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,8),(7,17),-0.144703 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,8),(7,21),-0.145331 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,8),(7,23),-0.144702 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,8),(7,24),-0.145331 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,8),(7,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,8),(7,28),-0.219628 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,7),(7,9),(7,10),0.101817 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,9),(7,11),0.104786 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,9),(7,12),0.101817 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,9),(7,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,9),(7,14),-0.144702 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,9),(7,17),-0.144703 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,9),(7,21),-0.145548 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,9),(7,23),-0.144702 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,9),(7,24),-0.145548 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,9),(7,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,9),(7,28),-0.210008 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,7),(7,10),(7,11),0.108319 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,10),(7,12),0.109539 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,10),(7,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,10),(7,14),-0.144736 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,10),(7,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,10),(7,21),-0.146562 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,10),(7,23),-0.144736 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,10),(7,24),-0.146562 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,10),(7,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,10),(7,28),-0.149891 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,7),(7,11),(7,12),0.10954 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,11),(7,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,11),(7,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,11),(7,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,11),(7,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,11),(7,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,11),(7,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,11),(7,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,11),(7,28),-0.143148 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,7),(7,12),(7,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,12),(7,14),-0.144736 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,12),(7,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,12),(7,21),-0.146562 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,12),(7,23),-0.144736 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,12),(7,24),-0.146562 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,12),(7,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,12),(7,28),-0.149891 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,7),(7,13),(7,14),0.0817841 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,13),(7,17),-0.0731247 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,13),(7,21),-0.0674239 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,13),(7,23),0.0800946 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,13),(7,24),-0.154989 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,13),(7,27),-0.0404271 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,13),(7,28),-0.118913 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,7),(7,14),(7,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,14),(7,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,14),(7,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,14),(7,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,14),(7,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,14),(7,28),-0.155564 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,7),(7,17),(7,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,17),(7,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,17),(7,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,17),(7,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,17),(7,28),-0.150107 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,7),(7,21),(7,23),-0.144727 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,21),(7,24),-0.144708 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,21),(7,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,21),(7,28),-0.0875458 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,7),(7,23),(7,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,23),(7,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,23),(7,28),-0.155564 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,7),(7,24),(7,27),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,24),(7,28),-0.0847077 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,7),(7,27),(7,28),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,7),(7,7),(7,6),-0.00908939 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,7),(7,3),-0.0133345 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,7),(7,1),-0.00897355 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,7),(7,7),(7,-1),0.0926728 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,7),(7,6),(7,3),-0.019474 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,6),(7,1),-0.0195391 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,6),(7,-1),0.0380574 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,7),(7,3),(7,1),-0.0194407 # DEPENDENCYPART_GRANDSIBL
(13,7),(7,3),(7,-1),-0.0116579 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,7),(7,1),(7,-1),-0.02054 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,8),(8,9),0.101287 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,10),0.0840122 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,11),0.119658 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,12),0.0840122 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,13),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,14),-0.144987 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,19),-0.145181 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,28),-0.204918 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,8),(8,9),(8,10),0.109534 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,11),0.10954 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,12),0.109534 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,9),(8,28),-0.141556 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,10),(8,11),0.108151 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,10),(8,12),0.10954 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,10),(8,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,10),(8,14),-0.144874 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,10),(8,19),-0.144916 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,10),(8,28),-0.140941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,11),(8,12),0.10954 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,11),(8,28),-0.132691 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,12),(8,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,12),(8,14),-0.144874 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,12),(8,19),-0.144916 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,12),(8,28),-0.140941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,13),(8,14),0.0817841 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,13),(8,19),-0.0235951 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,13),(8,28),-0.147732 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,8),(8,14),(8,19),-0.132746 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,14),(8,28),-0.111483 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,19),(8,28),-0.141472 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,8),(8,7),0.022014 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,6),0.00466782 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,8),(8,8),(8,-1),-0.0747549 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,8),(8,7),(8,6),-0.0203297 # DEPENDENCYPART_GRANDSIBL
(13,8),(8,7),(8,-1),0.048411 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,8),(8,6),(8,-1),-0.0138965 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,9),(9,9),(9,10),0.084011 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,9),(9,9),(9,11),0.119629 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,9),(9,9),(9,14),-0.144987 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,9),(9,9),(9,28),-0.191488 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,9),(9,10),(9,11),0.108151 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,10),(9,14),-0.144874 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,10),(9,28),-0.140933 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,9),(9,11),(9,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,11),(9,28),-0.132857 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,9),(9,14),(9,28),-0.102995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,9),(9,9),(9,8),-0.0234127 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,9),(9,9),(9,7),0.0205364 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,9),(9,9),(9,-1),-0.0599269 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,9),(9,8),(9,7),0.00921559 # DEPENDENCYPART_GRANDSIBL
(13,9),(9,8),(9,-1),-0.06226 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,9),(9,7),(9,-1),0.0553626 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
