# _root_ Next spring , nearly 30 % of its suits will have pleated pants , compared with virtually none a couple of years ago .
#goldHeads=2,10,10,6,4,10,6,9,7,0,10,13,11,11,11,15,18,16,20,23,20,21,18,10,
#predictedHeads=2,10,10,6,4,10,6,9,7,0,10,13,11,11,11,15,18,16,20,23,20,21,18,10,
(11,4),(4,4),(4,17),-0.124887 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,4),(4,4),(4,25),-0.142883 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,4),(4,5),(4,6),0.116764 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,5),(4,7),0.119953 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,5),(4,9),0.117931 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,5),(4,10),0.119164 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,5),(4,11),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,4),(4,5),(4,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,5),(4,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,5),(4,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,5),(4,17),-0.12489 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,5),(4,25),-0.134791 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,4),(4,6),(4,7),0.0973596 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,6),(4,9),0.12469 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,6),(4,10),0.119164 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,6),(4,11),-0.124888 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,4),(4,6),(4,13),-0.124915 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,6),(4,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,6),(4,16),-0.12496 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,6),(4,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,6),(4,25),-0.118133 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,4),(4,7),(4,9),0.126548 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,7),(4,10),0.118961 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,7),(4,11),-0.118233 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,4),(4,7),(4,13),-0.126267 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,7),(4,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,7),(4,16),-0.12497 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,7),(4,17),-0.124888 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,7),(4,25),-0.077651 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,4),(4,9),(4,10),0.119164 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,9),(4,11),-0.124888 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,4),(4,9),(4,13),-0.124915 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,9),(4,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,9),(4,16),-0.12496 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,9),(4,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,9),(4,25),-0.113904 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,4),(4,10),(4,11),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,4),(4,10),(4,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,10),(4,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,10),(4,16),-0.124887 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,10),(4,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,10),(4,25),-0.129709 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,4),(4,11),(4,13),-0.125039 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,4),(4,11),(4,14),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,4),(4,11),(4,16),-0.124894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,4),(4,11),(4,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,4),(4,11),(4,25),-0.161406 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,4),(4,13),(4,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,13),(4,16),-0.12496 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,13),(4,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,13),(4,25),-0.113898 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,4),(4,14),(4,16),-0.12671 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,14),(4,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,14),(4,25),-0.167691 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,4),(4,16),(4,17),-0.124886 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,16),(4,25),-0.0751761 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,4),(4,17),(4,25),-0.0619127 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,4),(4,4),(4,3),-0.055481 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,4),(4,4),(4,2),-0.0195526 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,4),(4,4),(4,1),-0.10029 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,4),(4,4),(4,-1),0.0324614 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,4),(4,3),(4,2),-0.048903 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,3),(4,1),-0.0545005 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,3),(4,-1),-0.0785438 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,4),(4,2),(4,1),-0.0426847 # DEPENDENCYPART_GRANDSIBL
(11,4),(4,2),(4,-1),0.051554 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,4),(4,1),(4,-1),-0.124889 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,5),(5,6),0.130643 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,7),0.208502 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,9),0.131126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,10),0.117821 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,11),-0.12571 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,5),(5,5),(5,25),-0.389826 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,5),(5,6),(5,7),0.116349 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,6),(5,9),0.118911 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,6),(5,10),0.119162 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,6),(5,11),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,6),(5,25),-0.101379 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,7),(5,9),0.109715 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,7),(5,10),0.119155 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,7),(5,11),-0.124888 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,7),(5,25),-0.0175531 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,9),(5,10),0.119162 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,9),(5,11),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,9),(5,25),-0.100525 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,10),(5,11),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,10),(5,25),-0.126734 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,11),(5,25),-0.127962 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,5),(5,5),(5,4),-0.0114546 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,2),-0.105282 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,1),-0.0350086 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,5),(5,5),(5,-1),-0.162307 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,5),(5,4),(5,2),-0.0430721 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,4),(5,1),-0.0420052 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,4),(5,-1),-0.012912 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,2),(5,1),-0.0423444 # DEPENDENCYPART_GRANDSIBL
(11,5),(5,2),(5,-1),-0.104544 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,5),(5,1),(5,-1),-0.0414576 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,6),(6,7),0.15195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,9),0.00290376 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,10),0.124814 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,11),-0.0960741 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,6),(6,6),(6,12),-0.129733 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,13),-0.00167573 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,14),-0.127499 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,15),-0.0947301 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,20),-0.00167573 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,24),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,25),-0.214241 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,6),(6,7),(6,9),0.111624 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,10),0.111953 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,11),-0.106391 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,7),(6,12),-0.125553 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,13),-0.133094 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,14),-0.12746 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,15),-0.106376 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,20),-0.133094 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,7),(6,25),-0.0485619 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,9),(6,10),0.118659 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,11),-0.125994 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,9),(6,12),-0.125752 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,13),-0.106675 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,14),-0.140212 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,15),-0.125995 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,20),-0.106675 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,9),(6,25),-0.127553 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,10),(6,11),-0.124929 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,10),(6,12),-0.124891 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,10),(6,13),-0.124894 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,10),(6,14),-0.125161 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,10),(6,15),-0.124929 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,10),(6,20),-0.124894 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,10),(6,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,10),(6,25),-0.163632 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,11),(6,12),-0.126423 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,11),(6,13),-0.125519 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,11),(6,14),-0.1449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,11),(6,15),-0.122561 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,11),(6,20),-0.125519 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,11),(6,24),-0.124894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,11),(6,25),-0.0890511 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,6),(6,12),(6,13),-0.12666 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,12),(6,14),-0.125188 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,12),(6,15),-0.125352 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,12),(6,20),-0.12666 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,12),(6,24),-0.130353 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,12),(6,25),-0.0304377 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,13),(6,14),-0.140212 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,13),(6,15),-0.125995 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,13),(6,20),-0.106675 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,13),(6,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,13),(6,25),-0.127079 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,14),(6,15),-0.141381 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,14),(6,20),-0.142325 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,14),(6,24),-0.125335 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,14),(6,25),-0.12025 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,15),(6,20),-0.125512 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,15),(6,24),-0.124894 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,15),(6,25),-0.0966058 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,20),(6,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,20),(6,25),-0.127086 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,24),(6,25),-0.139058 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,6),(6,5),-0.064461 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,4),-0.0345901 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,3),0.0260335 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,2),-0.0152728 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,1),-0.041961 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,6),(6,6),(6,-1),0.0735545 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,6),(6,5),(6,4),-0.0515177 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,5),(6,3),-0.0642042 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,5),(6,2),-0.0426871 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,5),(6,1),-0.0310816 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,5),(6,-1),0.0129735 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,4),(6,3),-0.0426422 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,4),(6,2),-0.0540793 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,4),(6,1),-0.041555 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,4),(6,-1),-0.0629484 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,3),(6,2),-0.0949271 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,3),(6,1),-0.012202 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,3),(6,-1),-0.0275701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,2),(6,1),-0.0542097 # DEPENDENCYPART_GRANDSIBL
(11,6),(6,2),(6,-1),-0.060215 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,6),(6,1),(6,-1),-0.0630352 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,7),(7,8),0.0836632 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,9),0.101377 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,10),0.114493 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,11),-0.121468 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,7),(7,7),(7,12),-0.125976 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,13),-0.165866 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,25),-0.102034 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,7),(7,8),(7,9),0.115313 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,8),(7,10),0.119164 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,8),(7,11),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,8),(7,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,8),(7,13),-0.125404 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,8),(7,25),-0.151021 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,9),(7,10),0.122657 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,9),(7,11),-0.124887 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,9),(7,12),-0.124922 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,9),(7,13),-0.124888 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,9),(7,25),-0.182894 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,10),(7,11),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,10),(7,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,10),(7,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,10),(7,25),-0.129421 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,11),(7,12),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,11),(7,13),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,11),(7,25),-0.0513684 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,7),(7,12),(7,13),-0.124891 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,12),(7,25),-0.135452 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,13),(7,25),-0.182473 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,7),(7,6),-0.0487972 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,5),0.0333341 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,4),-0.0159542 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,2),-0.0324822 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,7),(7,7),(7,-1),-0.193699 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,7),(7,6),(7,5),-0.0448905 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,6),(7,4),-0.0313059 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,6),(7,2),-0.0835212 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,6),(7,-1),-0.0298825 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,5),(7,4),-0.0420856 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,5),(7,2),-0.0416925 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,5),(7,-1),-0.00083356 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,4),(7,2),-0.0449149 # DEPENDENCYPART_GRANDSIBL
(11,7),(7,4),(7,-1),-0.0210155 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,7),(7,2),(7,-1),-0.00371798 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,9),(9,10),0.124814 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,11),-0.0960733 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,9),(9,9),(9,13),-0.00149155 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,14),-0.127499 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,15),-0.0947292 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,25),-0.19092 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,9),(9,10),(9,11),-0.124929 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,10),(9,13),-0.124894 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,14),-0.125161 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,15),-0.124929 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,10),(9,25),-0.163632 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,11),(9,13),-0.125469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,11),(9,14),-0.1449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,11),(9,15),-0.122561 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,11),(9,25),-0.0913337 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,9),(9,13),(9,14),-0.140212 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,13),(9,15),-0.125995 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,13),(9,25),-0.120974 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,14),(9,15),-0.141379 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,14),(9,25),-0.127322 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,15),(9,25),-0.0988884 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,9),(9,8),-0.0736841 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,7),-0.0907746 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,6),-0.00578572 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,5),-0.0531074 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,4),-0.0575559 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,3),0.0275002 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,1),-0.0363058 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,9),(9,9),(9,-1),0.0558225 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,9),(9,8),(9,7),-0.0493402 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,8),(9,6),-0.044437 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,8),(9,5),-0.0426041 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,8),(9,4),-0.0360041 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,8),(9,3),-0.0541209 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,8),(9,1),-0.0435574 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,8),(9,-1),0.014986 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,7),(9,6),-0.0599596 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,7),(9,5),-0.0519129 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,7),(9,4),-0.0665166 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,7),(9,3),0.0415002 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,7),(9,1),-0.0426551 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,7),(9,-1),-0.0242601 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,6),(9,5),-0.0160935 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,6),(9,4),-0.0454123 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,6),(9,3),-0.0548947 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,6),(9,1),-0.0511798 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,6),(9,-1),-0.0457873 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,5),(9,4),-0.0401557 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,5),(9,3),-0.0630687 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,5),(9,1),-0.0339299 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,5),(9,-1),0.00819139 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,4),(9,3),-0.0423567 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,4),(9,1),-0.041555 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,4),(9,-1),-0.0735392 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,3),(9,1),-0.0145255 # DEPENDENCYPART_GRANDSIBL
(11,9),(9,3),(9,-1),-0.0285955 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,9),(9,1),(9,-1),-0.0537983 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(11,10),(10,10),(10,11),-0.137417 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(11,10),(10,10),(10,12),-0.125474 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,13),-0.134441 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,14),-0.125231 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,15),-0.137416 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,16),-0.0799487 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,17),-0.126387 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,18),-0.134441 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,24),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(11,10),(10,10),(10,25),-0.35148 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
