# _root_ `` Because of distance , it takes a while for them to appreciate the economic stability we 've achieved , '' says one economic policymaker .
#goldHeads=22,7,2,2,7,7,22,9,7,13,13,13,7,16,16,13,18,16,18,22,22,0,25,25,22,22,
#predictedHeads=22,7,2,2,7,7,22,9,7,13,13,13,7,16,16,13,18,16,18,22,22,0,25,25,22,22,
(16,22),(22,21),(22,16),0.113461 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,22),(22,21),(22,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,21),(22,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,21),(22,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,21),(22,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,21),(22,10),-0.125096 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,21),(22,9),-0.124921 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,21),(22,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,21),(22,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,21),(22,4),-0.124921 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,21),(22,2),-0.125096 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,21),(22,1),-0.124956 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,21),(22,-1),-0.159445 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,22),(22,20),(22,19),0.128381 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,20),(22,18),0.128378 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,20),(22,17),0.120972 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,20),(22,16),0.11751 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,22),(22,20),(22,15),-0.124971 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,20),(22,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,20),(22,13),-0.127128 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,20),(22,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,20),(22,10),-0.12576 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,20),(22,9),-0.125276 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,20),(22,7),-0.127128 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,20),(22,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,20),(22,4),-0.125276 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,20),(22,2),-0.125601 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,20),(22,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,20),(22,-1),-0.180379 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,22),(22,19),(22,18),0.119064 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,19),(22,17),0.116603 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,19),(22,16),0.116317 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,22),(22,19),(22,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,19),(22,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,19),(22,13),-0.124903 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,19),(22,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,19),(22,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,19),(22,9),-0.124893 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,19),(22,7),-0.124903 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,19),(22,5),-0.124926 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,19),(22,4),-0.124893 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,19),(22,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,19),(22,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,19),(22,-1),-0.144689 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,22),(22,18),(22,17),0.116603 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,18),(22,16),0.116317 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,22),(22,18),(22,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,18),(22,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,18),(22,13),-0.124903 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,18),(22,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,18),(22,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,18),(22,9),-0.124893 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,18),(22,7),-0.124903 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,18),(22,5),-0.124926 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,18),(22,4),-0.124893 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,18),(22,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,18),(22,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,18),(22,-1),-0.144695 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,22),(22,17),(22,16),0.11663 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,22),(22,17),(22,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,17),(22,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,17),(22,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,17),(22,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,17),(22,10),-0.124929 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,17),(22,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,17),(22,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,17),(22,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,17),(22,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,17),(22,2),-0.124929 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,17),(22,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,17),(22,-1),0.0340292 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,22),(22,16),(22,15),-0.12492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,22),(22,16),(22,14),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,22),(22,16),(22,13),-0.125221 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,22),(22,16),(22,11),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,22),(22,16),(22,10),-0.126335 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,22),(22,16),(22,9),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,22),(22,16),(22,7),-0.125221 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,22),(22,16),(22,5),-0.125057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,22),(22,16),(22,4),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,22),(22,16),(22,2),-0.126321 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,22),(22,16),(22,1),-0.125538 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,22),(22,16),(22,-1),-0.0274539 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,22),(22,15),(22,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,15),(22,13),-0.125064 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,15),(22,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,15),(22,10),-0.125435 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,15),(22,9),-0.124907 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,15),(22,7),-0.125064 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,15),(22,5),-0.12494 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,15),(22,4),-0.124907 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,15),(22,2),-0.125435 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,15),(22,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,15),(22,-1),-0.203767 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,22),(22,14),(22,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,14),(22,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,14),(22,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,14),(22,9),-0.124886 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,14),(22,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,14),(22,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,14),(22,4),-0.124886 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,14),(22,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,14),(22,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,14),(22,-1),-0.130617 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,22),(22,13),(22,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,13),(22,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,13),(22,9),-0.124893 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,13),(22,7),-0.124903 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,13),(22,5),-0.124926 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,13),(22,4),-0.124893 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,13),(22,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,13),(22,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,13),(22,-1),-0.144689 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,22),(22,11),(22,10),-0.124929 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,11),(22,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,11),(22,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,11),(22,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,11),(22,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,11),(22,2),-0.124929 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,11),(22,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,11),(22,-1),0.0349455 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,22),(22,10),(22,9),-0.125064 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,10),(22,7),-0.125007 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,10),(22,5),-0.124887 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,10),(22,4),-0.125064 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,10),(22,2),-0.124895 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,10),(22,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,10),(22,-1),-0.161503 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,22),(22,9),(22,7),-0.125221 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,9),(22,5),-0.125057 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,9),(22,4),-0.124895 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,9),(22,2),-0.126321 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,9),(22,1),-0.125538 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,9),(22,-1),-0.0270897 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,22),(22,7),(22,5),-0.124926 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,7),(22,4),-0.124893 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,7),(22,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,7),(22,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,7),(22,-1),-0.144689 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,22),(22,5),(22,4),-0.125276 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,5),(22,2),-0.125601 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,5),(22,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,5),(22,-1),-0.180379 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,22),(22,4),(22,2),-0.126321 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,4),(22,1),-0.125538 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,4),(22,-1),-0.0285949 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,22),(22,2),(22,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,22),(22,2),(22,-1),-0.18828 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,22),(22,1),(22,-1),-0.119691 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,23),(23,23),(23,24),-0.0932931 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,23),(23,23),(23,25),-0.0536113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,23),(23,23),(23,26),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,23),(23,23),(23,27),0.163621 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,23),(23,24),(23,25),-0.0420451 # DEPENDENCYPART_GRANDSIBL
(16,23),(23,24),(23,26),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(16,23),(23,24),(23,27),-0.0761317 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,23),(23,25),(23,26),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(16,23),(23,25),(23,27),-0.0646971 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,23),(23,26),(23,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,23),(23,23),(23,21),0.117374 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,23),(23,23),(23,-1),-0.00500612 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,23),(23,21),(23,-1),-0.126907 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,24),(24,24),(24,25),-0.0436484 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,24),(24,24),(24,27),0.0490662 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,24),(24,25),(24,27),0.00309973 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,24),(24,24),(24,23),0.159768 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,24),(24,24),(24,-1),0.0194624 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,24),(24,23),(24,-1),-0.0804577 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,25),(25,25),(25,26),0.0853674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,25),(25,25),(25,27),0.101131 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,25),(25,26),(25,27),0.0957853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,25),(25,25),(25,24),0.0920801 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,25),(25,25),(25,23),0.206045 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,25),(25,25),(25,22),0.125757 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,25),(25,25),(25,21),0.100851 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,25),(25,25),(25,20),0.165796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,25),(25,25),(25,19),0.125881 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,25),(25,25),(25,18),0.12588 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,25),(25,25),(25,15),-0.126121 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,25),(25,25),(25,14),-0.125504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,25),(25,25),(25,13),-0.15429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,25),(25,25),(25,-1),0.0256707 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,25),(25,24),(25,23),0.0980453 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,24),(25,22),0.130155 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,24),(25,21),0.116616 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,24),(25,20),0.0892049 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,24),(25,19),0.129958 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,24),(25,18),0.130155 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,24),(25,15),-0.125158 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,24),(25,14),-0.12489 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,24),(25,13),-0.124929 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,24),(25,-1),-0.159195 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,25),(25,23),(25,22),0.116818 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,23),(25,21),0.119163 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,23),(25,20),0.141656 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,23),(25,19),0.116825 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,23),(25,18),0.116825 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,23),(25,15),-0.125745 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,23),(25,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,23),(25,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,23),(25,-1),-0.127054 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,25),(25,22),(25,21),0.118642 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,22),(25,20),0.122632 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,22),(25,19),0.118217 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,22),(25,18),0.118217 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,22),(25,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,22),(25,14),-0.125059 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,22),(25,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,22),(25,-1),-0.174657 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,25),(25,21),(25,20),0.117323 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,21),(25,19),0.117732 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,21),(25,18),0.117732 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,21),(25,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,21),(25,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,21),(25,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,21),(25,-1),-0.134501 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,25),(25,20),(25,19),0.119868 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,20),(25,18),0.119868 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,20),(25,15),-0.12731 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,20),(25,14),-0.124894 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,20),(25,13),-0.127045 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,20),(25,-1),-0.00337174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,25),(25,19),(25,18),0.118217 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,19),(25,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,19),(25,14),-0.125059 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,19),(25,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,19),(25,-1),-0.17382 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,25),(25,18),(25,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,18),(25,14),-0.125059 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,18),(25,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,18),(25,-1),-0.173811 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,25),(25,15),(25,14),-0.12489 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,15),(25,13),-0.124929 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,15),(25,-1),-0.159195 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,25),(25,14),(25,13),-0.125175 # DEPENDENCYPART_GRANDSIBL
(16,25),(25,14),(25,-1),-0.162419 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,25),(25,13),(25,-1),-0.173808 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(16,26),(26,26),(26,27),-0.00516393 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,26),(26,26),(26,25),0.102454 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(16,26),(26,26),(26,-1),-0.0509464 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(16,26),(26,25),(26,-1),-0.141525 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,22),(22,23),-0.0427194 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,24),-0.0479031 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,25),-0.0427344 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,26),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,27),-0.0461285 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,22),(22,23),(22,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,23),(22,25),-0.0420062 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,23),(22,26),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,23),(22,27),-0.0423733 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,24),(22,25),-0.0426512 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,24),(22,26),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,24),(22,27),-0.0460231 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,25),(22,26),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,25),(22,27),-0.037 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,26),(22,27),-0.0438671 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,22),(22,21),0.1191 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,20),0.118323 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,19),0.118911 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,18),0.118903 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,17),0.121958 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,22),(22,22),(22,16),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,15),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,14),-0.125359 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,13),-0.124888 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,11),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,10),-0.124908 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,7),-0.124888 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,5),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,4),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,2),-0.124908 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,1),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,22),(22,22),(22,-1),-0.193885 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,22),(22,21),(22,20),0.119058 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,19),0.119164 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,18),0.119164 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,17),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,21),(22,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,21),(22,-1),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,20),(22,19),0.118876 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,18),0.118876 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,17),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,22),(22,20),(22,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,13),-0.124894 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,10),-0.124888 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,7),-0.124894 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,2),-0.124888 # DEPENDENCYPART_GRANDSIBL
(17,22),(22,20),(22,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
