# _root_ However , HomeFed 's loan originations and purchases plunged 26 % in the quarter , to $ 1.4 billion from $ 1.9 billion a year earlier .
#goldHeads=9,9,7,3,7,7,9,7,0,11,9,9,14,12,9,9,16,17,17,9,20,21,21,25,26,20,9,
#predictedHeads=9,9,6,3,6,7,9,7,0,11,9,9,14,12,9,9,16,17,17,9,20,21,21,25,26,20,9,
(9,17),(17,17),(17,14),0.106954 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,13),0.105647 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,12),0.123763 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,17),(17,17),(17,-1),-0.184118 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,17),(17,16),(17,14),0.10554 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,16),(17,13),0.119159 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,16),(17,12),0.140804 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,16),(17,-1),-0.148174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,14),(17,13),0.115201 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,14),(17,12),0.117736 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,14),(17,-1),-0.115449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,13),(17,12),0.114404 # DEPENDENCYPART_GRANDSIBL
(9,17),(17,13),(17,-1),-0.152282 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,17),(17,12),(17,-1),-0.0312622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,20),(20,21),-0.0153626 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,20),(20,20),(20,22),0.074329 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,20),(20,20),(20,23),0.0829097 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,20),(20,20),(20,25),0.0133324 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,20),(20,20),(20,26),-0.0157573 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,20),(20,20),(20,27),-0.0473928 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,20),(20,20),(20,28),-0.178521 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,20),(20,21),(20,22),-0.044786 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,21),(20,23),-0.0446803 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,21),(20,25),-0.0325558 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,21),(20,26),-0.0925969 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,21),(20,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,21),(20,28),-0.0104438 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,22),(20,23),-0.0618114 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,22),(20,25),-0.0374316 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,22),(20,26),-0.0388195 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,22),(20,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,22),(20,28),0.0279151 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,23),(20,25),-0.0379994 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,23),(20,26),-0.0389451 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,23),(20,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,23),(20,28),0.0305108 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,25),(20,26),-0.0155269 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,25),(20,27),-0.042006 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,25),(20,28),0.0263511 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,26),(20,27),-0.0420005 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,26),(20,28),-0.017532 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,27),(20,28),-0.0474511 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,20),(20,19),0.119281 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,20),(20,20),(20,18),0.120027 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,20),(20,20),(20,17),0.094763 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,20),(20,20),(20,16),0.112754 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,20),(20,20),(20,-1),0.042716 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,20),(20,19),(20,18),0.118719 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,19),(20,17),0.119006 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,19),(20,16),0.139609 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,19),(20,-1),-0.182614 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,18),(20,17),0.119017 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,18),(20,16),0.139609 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,18),(20,-1),-0.181526 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,17),(20,16),0.119164 # DEPENDENCYPART_GRANDSIBL
(9,20),(20,17),(20,-1),-0.152704 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,20),(20,16),(20,-1),-0.125673 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,25),(25,25),(25,26),-0.0659688 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,25),(25,25),(25,28),0.104041 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,25),(25,26),(25,28),-0.0488099 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,25),(25,25),(25,24),0.0911438 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,25),(25,25),(25,23),0.156087 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,25),(25,25),(25,22),0.162358 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,25),(25,25),(25,21),0.136859 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,25),(25,25),(25,17),0.136859 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,25),(25,25),(25,-1),-0.142303 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,25),(25,24),(25,23),0.113897 # DEPENDENCYPART_GRANDSIBL
(9,25),(25,24),(25,22),0.113897 # DEPENDENCYPART_GRANDSIBL
(9,25),(25,24),(25,21),0.117665 # DEPENDENCYPART_GRANDSIBL
(9,25),(25,24),(25,17),0.117665 # DEPENDENCYPART_GRANDSIBL
(9,25),(25,24),(25,-1),-0.144391 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,25),(25,23),(25,22),0.104579 # DEPENDENCYPART_GRANDSIBL
(9,25),(25,23),(25,21),0.104485 # DEPENDENCYPART_GRANDSIBL
(9,25),(25,23),(25,17),0.104485 # DEPENDENCYPART_GRANDSIBL
(9,25),(25,23),(25,-1),-0.0623784 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,25),(25,22),(25,21),0.104709 # DEPENDENCYPART_GRANDSIBL
(9,25),(25,22),(25,17),0.104709 # DEPENDENCYPART_GRANDSIBL
(9,25),(25,22),(25,-1),-0.0595131 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,25),(25,21),(25,17),0.117387 # DEPENDENCYPART_GRANDSIBL
(9,25),(25,21),(25,-1),-0.155206 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,25),(25,17),(25,-1),-0.155206 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,27),(27,27),(27,28),-0.0480654 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,27),(27,27),(27,-1),-0.0142268 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,7),(7,7),(7,8),0.119968 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,9),0.129741 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,7),(7,7),(7,11),-0.125587 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,12),-0.125056 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,14),-0.125587 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,15),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,27),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,28),-0.0968743 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,7),(7,8),(7,9),0.118979 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,8),(7,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,28),-0.126415 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,9),(7,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,9),(7,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,28),-0.100775 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,10),(7,11),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,12),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,14),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,15),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,27),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,10),(7,28),-0.131077 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,7),(7,11),(7,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,11),(7,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,11),(7,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,11),(7,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,11),(7,28),-0.126812 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,12),(7,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,12),(7,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,12),(7,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,12),(7,28),-0.126315 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,14),(7,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,14),(7,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,14),(7,28),-0.126415 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,15),(7,27),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,15),(7,28),-0.125789 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,27),(7,28),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,7),(7,6),-0.0365597 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,5),-0.0365597 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,3),-0.0365597 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,2),-0.0243834 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,1),-0.0425242 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,-1),0.00521136 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,7),(7,6),(7,5),-0.0432007 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,6),(7,3),-0.0432007 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,6),(7,2),-0.0451001 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,6),(7,1),-0.0420103 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,6),(7,-1),-0.0310592 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,5),(7,3),-0.0432007 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,5),(7,2),-0.0451001 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,5),(7,1),-0.0420103 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,5),(7,-1),-0.0310592 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,3),(7,2),-0.0451001 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,3),(7,1),-0.0420103 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,3),(7,-1),-0.0310592 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,2),(7,1),-0.0420333 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,2),(7,-1),-0.0434868 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,1),(7,-1),-0.0488241 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,11),(11,12),-0.0779874 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,13),-0.0569524 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,14),-0.0346231 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,15),-0.0368054 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,16),-0.0515614 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,17),-0.0477217 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,18),-0.0340814 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,20),-0.0785755 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,25),-0.0351238 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,27),-0.0423445 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,28),0.0318561 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,11),(11,12),(11,13),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,12),(11,14),-0.042169 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,12),(11,15),-0.0454158 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,12),(11,16),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,12),(11,17),-0.0419996 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,12),(11,18),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,12),(11,20),-0.0427606 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,12),(11,25),-0.042169 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,12),(11,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,12),(11,28),-0.0781304 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,13),(11,14),-0.0421364 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,13),(11,15),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,13),(11,16),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,13),(11,17),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,13),(11,18),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,13),(11,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,13),(11,25),-0.042274 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,13),(11,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,13),(11,28),-0.0433001 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,14),(11,15),-0.0385751 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,14),(11,16),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,14),(11,17),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,14),(11,18),-0.0420143 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,14),(11,20),-0.0420091 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,14),(11,25),-0.038952 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,14),(11,27),-0.042048 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,14),(11,28),-0.0361406 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,15),(11,16),-0.0420143 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,15),(11,17),-0.0420352 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,15),(11,18),-0.0427722 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,15),(11,20),-0.043325 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,15),(11,25),-0.0286107 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,15),(11,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,15),(11,28),-0.0450103 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,16),(11,17),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,16),(11,18),-0.0432794 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,16),(11,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,16),(11,25),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,16),(11,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,16),(11,28),-0.0496717 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,17),(11,18),-0.0420969 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,17),(11,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,17),(11,25),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,17),(11,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,17),(11,28),-0.0467355 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,18),(11,20),-0.039679 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,18),(11,25),-0.0420194 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,18),(11,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,18),(11,28),-0.0396448 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,20),(11,25),-0.0421496 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,20),(11,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,20),(11,28),-0.0785817 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,25),(11,27),-0.042048 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,25),(11,28),-0.0365117 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,27),(11,28),-0.0423187 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,11),(11,10),0.1713 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,11),(11,11),(11,9),-0.126122 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,8),-0.12773 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,7),-0.125794 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,6),-0.12773 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,5),-0.12773 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,3),-0.12773 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,2),-0.12498 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,-1),-0.261368 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,11),(11,10),(11,9),-0.12489 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,10),(11,8),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,10),(11,7),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,10),(11,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,10),(11,5),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,10),(11,3),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,10),(11,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,10),(11,-1),-0.0814419 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,11),(11,9),(11,8),-0.124914 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,9),(11,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,9),(11,6),-0.124914 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,9),(11,5),-0.124914 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,9),(11,3),-0.124914 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,9),(11,2),-0.125079 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,9),(11,-1),-0.127578 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,8),(11,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,8),(11,6),-0.124927 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,8),(11,5),-0.124927 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,8),(11,3),-0.124927 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,8),(11,2),-0.125234 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,8),(11,-1),-0.119508 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,7),(11,6),0.0977802 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,7),(11,5),0.154013 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,7),(11,3),0.13296 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,7),(11,2),0.120948 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,7),(11,-1),-0.124682 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,6),(11,5),-0.124927 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,6),(11,3),-0.124927 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,6),(11,2),-0.125234 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,6),(11,-1),-0.119508 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,5),(11,3),-0.124927 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,5),(11,2),-0.125234 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,5),(11,-1),-0.119508 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,3),(11,2),-0.125234 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,3),(11,-1),-0.119508 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,2),(11,-1),-0.131945 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,12),(12,13),-0.0498389 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,14),0.0344165 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,15),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,16),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,17),-0.0552595 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,18),-0.018229 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,19),-0.018229 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,20),-0.0459667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,28),-0.135307 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,12),(12,13),(12,14),-0.0426921 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,15),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,16),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,17),-0.0427056 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,18),-0.0427082 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,19),-0.0427082 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,28),-0.0477263 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,14),(12,15),-0.0473896 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,14),(12,16),-0.0431041 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,14),(12,17),-0.0420001 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,14),(12,18),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,14),(12,19),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,14),(12,20),-0.03082 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,14),(12,28),0.0165279 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,15),(12,16),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,15),(12,17),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,15),(12,18),-0.0420107 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,15),(12,19),-0.0420107 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,15),(12,20),-0.0429102 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,15),(12,28),-0.0440716 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,16),(12,17),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,16),(12,18),-0.0423317 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,16),(12,19),-0.0423317 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,16),(12,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,16),(12,28),-0.0431574 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,17),(12,18),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,17),(12,19),-0.0419988 # DEPENDENCYPART_GRANDSIBL
