# _root_ Applied , then a closely held company , was stagnating under the management of its controlling family .
#goldHeads=9,7,7,7,6,7,1,7,0,9,10,13,11,13,17,17,14,9,
#predictedHeads=9,1,6,7,6,7,1,1,0,9,10,13,11,13,17,17,14,9,
(13,8),(13,12),-0.0867334 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.0254579 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.0405319 # DEPENDENCYPART_SIBL
(13,8),(13,16),0.104969 # DEPENDENCYPART_SIBL
(13,8),(13,17),-0.0234914 # DEPENDENCYPART_SIBL
(13,8),(13,18),0.0540219 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.0380888 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.226703 # DEPENDENCYPART_SIBL
(13,10),(13,14),0.0678582 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.026626 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.0247195 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.0279656 # DEPENDENCYPART_SIBL
(13,10),(13,18),0.0224499 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.144977 # DEPENDENCYPART_SIBL
(13,11),(13,14),0.039924 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.0828957 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.0414924 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.0340838 # DEPENDENCYPART_SIBL
(13,11),(13,18),0.0614476 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.409084 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.0408347 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.02633 # DEPENDENCYPART_SIBL
(13,12),(13,17),0.00437444 # DEPENDENCYPART_SIBL
(13,12),(13,18),-0.12425 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.0851885 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.0275628 # DEPENDENCYPART_SIBL
(13,14),(13,17),0.0334456 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.0732129 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.00958539 # DEPENDENCYPART_SIBL
(13,15),(13,17),0.0227849 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.142738 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.0320498 # DEPENDENCYPART_SIBL
(13,16),(13,18),0.0453249 # DEPENDENCYPART_SIBL
(13,17),(13,18),-0.0022676 # DEPENDENCYPART_SIBL
(14,7),(14,13),-0.215177 # DEPENDENCYPART_SIBL
(14,7),(14,15),-0.0661719 # DEPENDENCYPART_SIBL
(14,7),(14,16),-0.0480374 # DEPENDENCYPART_SIBL
(14,7),(14,17),-0.100723 # DEPENDENCYPART_SIBL
(14,13),(14,15),-0.0548183 # DEPENDENCYPART_SIBL
(14,13),(14,16),-0.00196261 # DEPENDENCYPART_SIBL
(14,13),(14,17),-0.0789756 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.255327 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.437253 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.754252 # DEPENDENCYPART_SIBL
(16,1),(16,7),-0.0432861 # DEPENDENCYPART_SIBL
(16,1),(16,15),-0.113445 # DEPENDENCYPART_SIBL
(16,1),(16,17),0.0526414 # DEPENDENCYPART_SIBL
(16,1),(16,18),0.0965794 # DEPENDENCYPART_SIBL
(16,7),(16,15),-0.000722988 # DEPENDENCYPART_SIBL
(16,7),(16,17),0.044138 # DEPENDENCYPART_SIBL
(16,7),(16,18),0.038628 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.0155732 # DEPENDENCYPART_SIBL
(16,15),(16,18),-0.0338507 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.0114693 # DEPENDENCYPART_SIBL
(17,6),(17,12),-0.372552 # DEPENDENCYPART_SIBL
(17,6),(17,13),0.0497288 # DEPENDENCYPART_SIBL
(17,6),(17,14),-0.124132 # DEPENDENCYPART_SIBL
(17,6),(17,15),-0.235975 # DEPENDENCYPART_SIBL
(17,6),(17,16),0.019342 # DEPENDENCYPART_SIBL
(17,6),(17,18),0.055258 # DEPENDENCYPART_SIBL
(17,12),(17,13),0.155689 # DEPENDENCYPART_SIBL
(17,12),(17,14),-0.0907223 # DEPENDENCYPART_SIBL
(17,12),(17,15),-0.477936 # DEPENDENCYPART_SIBL
(17,12),(17,16),0.538442 # DEPENDENCYPART_SIBL
(17,12),(17,18),-0.13808 # DEPENDENCYPART_SIBL
(17,13),(17,14),0.018983 # DEPENDENCYPART_SIBL
(17,13),(17,15),-0.159143 # DEPENDENCYPART_SIBL
(17,13),(17,16),0.105782 # DEPENDENCYPART_SIBL
(17,13),(17,18),-0.0126516 # DEPENDENCYPART_SIBL
(17,14),(17,15),-0.242064 # DEPENDENCYPART_SIBL
(17,14),(17,16),-0.108169 # DEPENDENCYPART_SIBL
(17,14),(17,18),0.00724491 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.346003 # DEPENDENCYPART_SIBL
(17,15),(17,18),-0.0208368 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.0354925 # DEPENDENCYPART_SIBL
(0,1),(1,2),0.419943 # DEPENDENCYPART_GRANDPAR
(0,1),(1,3),0.249328 # DEPENDENCYPART_GRANDPAR
(0,1),(1,4),-0.0866805 # DEPENDENCYPART_GRANDPAR
(0,1),(1,5),-0.498903 # DEPENDENCYPART_GRANDPAR
(0,1),(1,6),-0.0517431 # DEPENDENCYPART_GRANDPAR
(0,1),(1,7),-0.0360715 # DEPENDENCYPART_GRANDPAR
(0,1),(1,8),-0.080095 # DEPENDENCYPART_GRANDPAR
(0,1),(1,9),0.585781 # DEPENDENCYPART_GRANDPAR
(0,1),(1,10),-0.304982 # DEPENDENCYPART_GRANDPAR
(0,1),(1,11),-0.48913 # DEPENDENCYPART_GRANDPAR
(0,1),(1,13),-0.0815978 # DEPENDENCYPART_GRANDPAR
(0,1),(1,17),-0.257691 # DEPENDENCYPART_GRANDPAR
(0,1),(1,18),1.32978 # DEPENDENCYPART_GRANDPAR
(0,6),(6,1),1.07801 # DEPENDENCYPART_GRANDPAR
(0,6),(6,2),0.573662 # DEPENDENCYPART_GRANDPAR
(0,6),(6,3),0.254812 # DEPENDENCYPART_GRANDPAR
(0,6),(6,4),-0.429388 # DEPENDENCYPART_GRANDPAR
(0,6),(6,5),-0.461482 # DEPENDENCYPART_GRANDPAR
(0,6),(6,7),0.0298467 # DEPENDENCYPART_GRANDPAR
(0,6),(6,8),-0.196243 # DEPENDENCYPART_GRANDPAR
(0,6),(6,9),0.572262 # DEPENDENCYPART_GRANDPAR
(0,6),(6,10),-0.194051 # DEPENDENCYPART_GRANDPAR
(0,6),(6,11),-0.333702 # DEPENDENCYPART_GRANDPAR
(0,6),(6,13),0.0271862 # DEPENDENCYPART_GRANDPAR
(0,6),(6,14),-0.327728 # DEPENDENCYPART_GRANDPAR
(0,6),(6,16),-0.513513 # DEPENDENCYPART_GRANDPAR
(0,6),(6,17),-0.162635 # DEPENDENCYPART_GRANDPAR
(0,6),(6,18),1.72651 # DEPENDENCYPART_GRANDPAR
(0,9),(9,1),0.923733 # DEPENDENCYPART_GRANDPAR
(0,9),(9,2),0.596391 # DEPENDENCYPART_GRANDPAR
(0,9),(9,3),0.339394 # DEPENDENCYPART_GRANDPAR
(0,9),(9,4),-0.214291 # DEPENDENCYPART_GRANDPAR
(0,9),(9,5),-0.439735 # DEPENDENCYPART_GRANDPAR
(0,9),(9,6),0.131393 # DEPENDENCYPART_GRANDPAR
(0,9),(9,7),0.0124232 # DEPENDENCYPART_GRANDPAR
(0,9),(9,8),0.0963535 # DEPENDENCYPART_GRANDPAR
(0,9),(9,10),-0.0430722 # DEPENDENCYPART_GRANDPAR
(0,9),(9,11),-0.151837 # DEPENDENCYPART_GRANDPAR
(0,9),(9,13),0.108984 # DEPENDENCYPART_GRANDPAR
(0,9),(9,14),-0.159796 # DEPENDENCYPART_GRANDPAR
(0,9),(9,16),-0.36511 # DEPENDENCYPART_GRANDPAR
(0,9),(9,17),-0.0269455 # DEPENDENCYPART_GRANDPAR
(0,9),(9,18),2.0027 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.737356 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,3),0.0857836 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-0.736915 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,2),-0.210955 # DEPENDENCYPART_GRANDPAR
(1,3),(3,4),0.0452863 # DEPENDENCYPART_GRANDPAR
(1,3),(3,5),0.162059 # DEPENDENCYPART_GRANDPAR
(1,3),(3,6),-0.0578755 # DEPENDENCYPART_GRANDPAR
(1,3),(3,7),0.182292 # DEPENDENCYPART_GRANDPAR
(1,3),(3,8),-0.133798 # DEPENDENCYPART_GRANDPAR
(1,3),(3,9),-0.0265078 # DEPENDENCYPART_GRANDPAR
(1,3),(3,10),-0.0451779 # DEPENDENCYPART_GRANDPAR
(1,3),(3,11),-0.36286 # DEPENDENCYPART_GRANDPAR
(1,3),(3,13),-0.118498 # DEPENDENCYPART_GRANDPAR
(1,3),(3,14),-0.768197 # DEPENDENCYPART_GRANDPAR
(1,3),(3,16),-0.154829 # DEPENDENCYPART_GRANDPAR
(1,3),(3,18),-0.485822 # DEPENDENCYPART_GRANDPAR
(1,4),(4,1),-0.704754 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,4),(4,2),-0.210957 # DEPENDENCYPART_GRANDPAR
(1,4),(4,3),0.236536 # DEPENDENCYPART_GRANDPAR
(1,4),(4,5),0.184557 # DEPENDENCYPART_GRANDPAR
(1,4),(4,6),-0.0131963 # DEPENDENCYPART_GRANDPAR
(1,4),(4,8),-0.0734393 # DEPENDENCYPART_GRANDPAR
(1,4),(4,10),-0.0703487 # DEPENDENCYPART_GRANDPAR
(1,5),(5,1),-0.736725 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,5),(5,2),-0.239169 # DEPENDENCYPART_GRANDPAR
(1,5),(5,3),0.354882 # DEPENDENCYPART_GRANDPAR
(1,5),(5,4),0.214168 # DEPENDENCYPART_GRANDPAR
(1,5),(5,6),-0.0563747 # DEPENDENCYPART_GRANDPAR
(1,5),(5,7),0.193545 # DEPENDENCYPART_GRANDPAR
(1,5),(5,8),-0.152908 # DEPENDENCYPART_GRANDPAR
(1,5),(5,10),-0.0405066 # DEPENDENCYPART_GRANDPAR
(1,5),(5,11),-0.328149 # DEPENDENCYPART_GRANDPAR
(1,5),(5,14),-0.729305 # DEPENDENCYPART_GRANDPAR
(1,6),(6,1),-0.729682 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,6),(6,2),-0.262933 # DEPENDENCYPART_GRANDPAR
(1,6),(6,3),0.249602 # DEPENDENCYPART_GRANDPAR
(1,6),(6,4),0.104574 # DEPENDENCYPART_GRANDPAR
(1,6),(6,5),0.217253 # DEPENDENCYPART_GRANDPAR
(1,6),(6,7),0.221558 # DEPENDENCYPART_GRANDPAR
(1,6),(6,8),-0.150786 # DEPENDENCYPART_GRANDPAR
(1,6),(6,9),-0.0589194 # DEPENDENCYPART_GRANDPAR
(1,6),(6,10),0.000178237 # DEPENDENCYPART_GRANDPAR
(1,6),(6,11),-0.210904 # DEPENDENCYPART_GRANDPAR
(1,6),(6,13),-0.0750371 # DEPENDENCYPART_GRANDPAR
(1,6),(6,14),-0.78941 # DEPENDENCYPART_GRANDPAR
(1,6),(6,16),-0.111109 # DEPENDENCYPART_GRANDPAR
(1,6),(6,17),-0.0587088 # DEPENDENCYPART_GRANDPAR
(1,6),(6,18),-0.43475 # DEPENDENCYPART_GRANDPAR
(1,7),(7,1),-0.51704 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,7),(7,2),-0.00846343 # DEPENDENCYPART_GRANDPAR
(1,7),(7,3),0.405302 # DEPENDENCYPART_GRANDPAR
(1,7),(7,4),0.898079 # DEPENDENCYPART_GRANDPAR
(1,7),(7,5),0.374594 # DEPENDENCYPART_GRANDPAR
(1,7),(7,6),0.153291 # DEPENDENCYPART_GRANDPAR
(1,7),(7,8),-0.267905 # DEPENDENCYPART_GRANDPAR
(1,7),(7,9),0.127285 # DEPENDENCYPART_GRANDPAR
(1,7),(7,10),0.0445217 # DEPENDENCYPART_GRANDPAR
(1,7),(7,11),-0.280578 # DEPENDENCYPART_GRANDPAR
(1,7),(7,13),-0.00866224 # DEPENDENCYPART_GRANDPAR
(1,7),(7,14),-0.591742 # DEPENDENCYPART_GRANDPAR
(1,7),(7,16),-0.0704085 # DEPENDENCYPART_GRANDPAR
(1,7),(7,17),0.0579975 # DEPENDENCYPART_GRANDPAR
(1,7),(7,18),-0.263743 # DEPENDENCYPART_GRANDPAR
(1,8),(8,7),0.313941 # DEPENDENCYPART_GRANDPAR
(1,9),(9,1),-0.738442 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,9),(9,2),-0.313166 # DEPENDENCYPART_GRANDPAR
(1,9),(9,3),0.236734 # DEPENDENCYPART_GRANDPAR
(1,9),(9,4),0.257975 # DEPENDENCYPART_GRANDPAR
(1,9),(9,5),0.181271 # DEPENDENCYPART_GRANDPAR
(1,9),(9,6),0.0653708 # DEPENDENCYPART_GRANDPAR
(1,9),(9,7),0.358342 # DEPENDENCYPART_GRANDPAR
(1,9),(9,8),-0.321965 # DEPENDENCYPART_GRANDPAR
(1,9),(9,10),0.120598 # DEPENDENCYPART_GRANDPAR
(1,9),(9,11),-0.110013 # DEPENDENCYPART_GRANDPAR
(1,9),(9,13),0.125901 # DEPENDENCYPART_GRANDPAR
(1,9),(9,14),-0.752754 # DEPENDENCYPART_GRANDPAR
(1,9),(9,16),0.00898638 # DEPENDENCYPART_GRANDPAR
(1,9),(9,17),0.168561 # DEPENDENCYPART_GRANDPAR
(1,9),(9,18),-0.458027 # DEPENDENCYPART_GRANDPAR
(1,10),(10,1),-0.700873 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,10),(10,3),0.309024 # DEPENDENCYPART_GRANDPAR
(1,10),(10,5),0.273691 # DEPENDENCYPART_GRANDPAR
(1,10),(10,6),-0.00149012 # DEPENDENCYPART_GRANDPAR
(1,10),(10,7),0.326362 # DEPENDENCYPART_GRANDPAR
(1,10),(10,8),-0.265261 # DEPENDENCYPART_GRANDPAR
(1,10),(10,11),-0.292849 # DEPENDENCYPART_GRANDPAR
(1,10),(10,12),-1.23233 # DEPENDENCYPART_GRANDPAR
(1,10),(10,13),-0.0909381 # DEPENDENCYPART_GRANDPAR
(1,10),(10,14),-0.877253 # DEPENDENCYPART_GRANDPAR
(1,10),(10,15),-0.589397 # DEPENDENCYPART_GRANDPAR
(1,10),(10,16),-0.204252 # DEPENDENCYPART_GRANDPAR
(1,10),(10,17),-0.0784223 # DEPENDENCYPART_GRANDPAR
(1,10),(10,18),-0.542356 # DEPENDENCYPART_GRANDPAR
(1,11),(11,3),0.42526 # DEPENDENCYPART_GRANDPAR
(1,11),(11,7),0.390424 # DEPENDENCYPART_GRANDPAR
(1,11),(11,8),-0.140397 # DEPENDENCYPART_GRANDPAR
(1,11),(11,10),0.119332 # DEPENDENCYPART_GRANDPAR
(1,11),(11,12),-1.22773 # DEPENDENCYPART_GRANDPAR
(1,11),(11,13),-0.0155504 # DEPENDENCYPART_GRANDPAR
(1,11),(11,14),-0.784232 # DEPENDENCYPART_GRANDPAR
(1,11),(11,16),-0.32989 # DEPENDENCYPART_GRANDPAR
(1,11),(11,17),-0.00134201 # DEPENDENCYPART_GRANDPAR
(1,11),(11,18),-0.532469 # DEPENDENCYPART_GRANDPAR
(1,13),(13,3),0.356418 # DEPENDENCYPART_GRANDPAR
(1,13),(13,6),0.126814 # DEPENDENCYPART_GRANDPAR
(1,13),(13,8),-0.186871 # DEPENDENCYPART_GRANDPAR
(1,13),(13,10),0.234289 # DEPENDENCYPART_GRANDPAR
(1,13),(13,11),-0.258098 # DEPENDENCYPART_GRANDPAR
(1,13),(13,12),-0.816049 # DEPENDENCYPART_GRANDPAR
(1,13),(13,14),-0.573442 # DEPENDENCYPART_GRANDPAR
(1,13),(13,15),-0.493927 # DEPENDENCYPART_GRANDPAR
(1,13),(13,16),-0.114177 # DEPENDENCYPART_GRANDPAR
(1,13),(13,17),0.0238735 # DEPENDENCYPART_GRANDPAR
(1,13),(13,18),-0.290056 # DEPENDENCYPART_GRANDPAR
(1,17),(17,6),0.138584 # DEPENDENCYPART_GRANDPAR
(1,17),(17,12),-0.818163 # DEPENDENCYPART_GRANDPAR
(1,17),(17,13),0.183734 # DEPENDENCYPART_GRANDPAR
(1,17),(17,14),-0.780525 # DEPENDENCYPART_GRANDPAR
(1,17),(17,15),-0.339981 # DEPENDENCYPART_GRANDPAR
(1,17),(17,16),0.124281 # DEPENDENCYPART_GRANDPAR
(1,17),(17,18),-0.283404 # DEPENDENCYPART_GRANDPAR
(1,18),(18,17),-0.130686 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-1.94423 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,3),-0.516416 # DEPENDENCYPART_GRANDPAR
(2,1),(1,4),-0.829605 # DEPENDENCYPART_GRANDPAR
(2,1),(1,5),-0.754593 # DEPENDENCYPART_GRANDPAR
(2,1),(1,6),-0.839892 # DEPENDENCYPART_GRANDPAR
(2,1),(1,7),-0.97414 # DEPENDENCYPART_GRANDPAR
(2,1),(1,8),-0.944147 # DEPENDENCYPART_GRANDPAR
(2,1),(1,9),-0.77441 # DEPENDENCYPART_GRANDPAR
(2,1),(1,10),-0.908099 # DEPENDENCYPART_GRANDPAR
(2,1),(1,11),-1.00187 # DEPENDENCYPART_GRANDPAR
(2,1),(1,13),-1.09472 # DEPENDENCYPART_GRANDPAR
(2,1),(1,17),-1.11988 # DEPENDENCYPART_GRANDPAR
(2,1),(1,18),-1.05033 # DEPENDENCYPART_GRANDPAR
(2,3),(3,1),-0.681862 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-1.32953 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,4),-0.413109 # DEPENDENCYPART_GRANDPAR
(2,3),(3,5),-0.307232 # DEPENDENCYPART_GRANDPAR
(2,3),(3,6),-0.443278 # DEPENDENCYPART_GRANDPAR
(2,3),(3,7),-0.507309 # DEPENDENCYPART_GRANDPAR
(2,3),(3,8),-0.318592 # DEPENDENCYPART_GRANDPAR
(2,3),(3,9),-0.279659 # DEPENDENCYPART_GRANDPAR
(2,3),(3,10),-0.430071 # DEPENDENCYPART_GRANDPAR
(2,3),(3,11),-0.641482 # DEPENDENCYPART_GRANDPAR
(2,3),(3,13),-0.628 # DEPENDENCYPART_GRANDPAR
(2,3),(3,14),-0.788025 # DEPENDENCYPART_GRANDPAR
(2,3),(3,16),-0.521483 # DEPENDENCYPART_GRANDPAR
(2,3),(3,18),-0.669776 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),-0.226941 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-1.36619 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,1),(1,4),-0.560014 # DEPENDENCYPART_GRANDPAR
(3,1),(1,5),-0.278257 # DEPENDENCYPART_GRANDPAR
(3,1),(1,6),-0.335554 # DEPENDENCYPART_GRANDPAR
(3,1),(1,7),-0.499997 # DEPENDENCYPART_GRANDPAR
(3,1),(1,8),-0.680448 # DEPENDENCYPART_GRANDPAR
(3,1),(1,9),-0.486351 # DEPENDENCYPART_GRANDPAR
(3,1),(1,10),-0.480478 # DEPENDENCYPART_GRANDPAR
(3,1),(1,11),-0.558707 # DEPENDENCYPART_GRANDPAR
(3,1),(1,13),-0.903954 # DEPENDENCYPART_GRANDPAR
(3,1),(1,17),-1.04516 # DEPENDENCYPART_GRANDPAR
(3,1),(1,18),-1.06213 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),-0.653752 # DEPENDENCYPART_GRANDPAR
(3,2),(2,3),-1.35876 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,4),(4,1),-0.96828 # DEPENDENCYPART_GRANDPAR
(3,4),(4,2),-0.721238 # DEPENDENCYPART_GRANDPAR
(3,4),(4,3),-0.985252 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,4),(4,5),0.181239 # DEPENDENCYPART_GRANDPAR
(3,4),(4,6),0.0542494 # DEPENDENCYPART_GRANDPAR
(3,4),(4,8),-0.0508643 # DEPENDENCYPART_GRANDPAR
(3,4),(4,10),-0.0781772 # DEPENDENCYPART_GRANDPAR
(3,5),(5,1),-0.973992 # DEPENDENCYPART_GRANDPAR
(3,5),(5,2),-0.718769 # DEPENDENCYPART_GRANDPAR
(3,5),(5,3),-0.909799 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,5),(5,4),-0.103793 # DEPENDENCYPART_GRANDPAR
(3,5),(5,6),-0.0338894 # DEPENDENCYPART_GRANDPAR
(3,5),(5,7),-0.105705 # DEPENDENCYPART_GRANDPAR
(3,5),(5,8),-0.139359 # DEPENDENCYPART_GRANDPAR
(3,5),(5,10),-0.0822196 # DEPENDENCYPART_GRANDPAR
(3,5),(5,11),-0.207502 # DEPENDENCYPART_GRANDPAR
(3,5),(5,14),-0.421876 # DEPENDENCYPART_GRANDPAR
(3,6),(6,1),-0.974137 # DEPENDENCYPART_GRANDPAR
(3,6),(6,2),-0.737377 # DEPENDENCYPART_GRANDPAR
(3,6),(6,3),-0.954567 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,6),(6,4),-0.201864 # DEPENDENCYPART_GRANDPAR
(3,6),(6,5),0.1578 # DEPENDENCYPART_GRANDPAR
(3,6),(6,7),-0.112815 # DEPENDENCYPART_GRANDPAR
(3,6),(6,8),-0.147659 # DEPENDENCYPART_GRANDPAR
(3,6),(6,9),-0.162333 # DEPENDENCYPART_GRANDPAR
(3,6),(6,10),-0.07074 # DEPENDENCYPART_GRANDPAR
(3,6),(6,11),-0.181321 # DEPENDENCYPART_GRANDPAR
(3,6),(6,13),-0.524887 # DEPENDENCYPART_GRANDPAR
(3,6),(6,14),-0.538038 # DEPENDENCYPART_GRANDPAR
(3,6),(6,16),-0.335163 # DEPENDENCYPART_GRANDPAR
(3,6),(6,17),-0.675775 # DEPENDENCYPART_GRANDPAR
(3,6),(6,18),-0.762977 # DEPENDENCYPART_GRANDPAR
(3,7),(7,1),-1.05935 # DEPENDENCYPART_GRANDPAR
(3,7),(7,2),-0.832929 # DEPENDENCYPART_GRANDPAR
(3,7),(7,3),-0.936634 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,7),(7,4),0.18003 # DEPENDENCYPART_GRANDPAR
(3,7),(7,5),0.185655 # DEPENDENCYPART_GRANDPAR
(3,7),(7,6),0.218463 # DEPENDENCYPART_GRANDPAR
(3,7),(7,8),-0.173295 # DEPENDENCYPART_GRANDPAR
(3,7),(7,9),-0.101401 # DEPENDENCYPART_GRANDPAR
(3,7),(7,10),-0.0552956 # DEPENDENCYPART_GRANDPAR
(3,7),(7,11),-0.271706 # DEPENDENCYPART_GRANDPAR
(3,7),(7,13),-0.484879 # DEPENDENCYPART_GRANDPAR
(3,7),(7,14),-0.454421 # DEPENDENCYPART_GRANDPAR
(3,7),(7,16),-0.323362 # DEPENDENCYPART_GRANDPAR
(3,7),(7,17),-0.58526 # DEPENDENCYPART_GRANDPAR
(3,7),(7,18),-0.630167 # DEPENDENCYPART_GRANDPAR
(3,8),(8,7),0.0881279 # DEPENDENCYPART_GRANDPAR
(3,9),(9,1),-0.957043 # DEPENDENCYPART_GRANDPAR
(3,9),(9,2),-0.68167 # DEPENDENCYPART_GRANDPAR
(3,9),(9,3),-0.955571 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,9),(9,4),-0.0268146 # DEPENDENCYPART_GRANDPAR
(3,9),(9,5),0.136557 # DEPENDENCYPART_GRANDPAR
(3,9),(9,6),0.219629 # DEPENDENCYPART_GRANDPAR
(3,9),(9,7),0.22883 # DEPENDENCYPART_GRANDPAR
(3,9),(9,8),-0.191879 # DEPENDENCYPART_GRANDPAR
(3,9),(9,10),0.21915 # DEPENDENCYPART_GRANDPAR
(3,9),(9,11),0.130372 # DEPENDENCYPART_GRANDPAR
(3,9),(9,13),-0.244727 # DEPENDENCYPART_GRANDPAR
(3,9),(9,14),-0.249781 # DEPENDENCYPART_GRANDPAR
(3,9),(9,16),-0.0455986 # DEPENDENCYPART_GRANDPAR
(3,9),(9,17),-0.369183 # DEPENDENCYPART_GRANDPAR
(3,9),(9,18),-0.58616 # DEPENDENCYPART_GRANDPAR
(3,10),(10,1),-0.976871 # DEPENDENCYPART_GRANDPAR
(3,10),(10,3),-0.856836 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,10),(10,5),0.248921 # DEPENDENCYPART_GRANDPAR
(3,10),(10,6),0.165094 # DEPENDENCYPART_GRANDPAR
(3,10),(10,7),0.174972 # DEPENDENCYPART_GRANDPAR
(3,10),(10,8),-0.123039 # DEPENDENCYPART_GRANDPAR
(3,10),(10,11),-0.034209 # DEPENDENCYPART_GRANDPAR
(3,10),(10,12),-0.353016 # DEPENDENCYPART_GRANDPAR
(3,10),(10,13),-0.30398 # DEPENDENCYPART_GRANDPAR
(3,10),(10,14),-0.388623 # DEPENDENCYPART_GRANDPAR
(3,10),(10,15),-0.150768 # DEPENDENCYPART_GRANDPAR
(3,10),(10,16),-0.223532 # DEPENDENCYPART_GRANDPAR
(3,10),(10,17),-0.458689 # DEPENDENCYPART_GRANDPAR
(3,10),(10,18),-0.674526 # DEPENDENCYPART_GRANDPAR
(3,11),(11,3),-0.988664 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,11),(11,7),0.0179034 # DEPENDENCYPART_GRANDPAR
(3,11),(11,8),-0.246516 # DEPENDENCYPART_GRANDPAR
(3,11),(11,10),-0.0550968 # DEPENDENCYPART_GRANDPAR
(3,11),(11,12),-0.356803 # DEPENDENCYPART_GRANDPAR
(3,11),(11,13),-0.240889 # DEPENDENCYPART_GRANDPAR
(3,11),(11,14),-0.229414 # DEPENDENCYPART_GRANDPAR
(3,11),(11,16),-0.348507 # DEPENDENCYPART_GRANDPAR
(3,11),(11,17),-0.39145 # DEPENDENCYPART_GRANDPAR
(3,11),(11,18),-0.654703 # DEPENDENCYPART_GRANDPAR
(3,13),(13,3),-0.954845 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,13),(13,6),0.227167 # DEPENDENCYPART_GRANDPAR
(3,13),(13,8),-0.066881 # DEPENDENCYPART_GRANDPAR
(3,13),(13,10),0.0770517 # DEPENDENCYPART_GRANDPAR
(3,13),(13,11),-0.0489777 # DEPENDENCYPART_GRANDPAR
(3,13),(13,12),-0.182958 # DEPENDENCYPART_GRANDPAR
(3,13),(13,14),-0.368363 # DEPENDENCYPART_GRANDPAR
(3,13),(13,15),-0.253191 # DEPENDENCYPART_GRANDPAR
(3,13),(13,16),-0.31881 # DEPENDENCYPART_GRANDPAR
(3,13),(13,17),-0.575353 # DEPENDENCYPART_GRANDPAR
(3,13),(13,18),-0.613207 # DEPENDENCYPART_GRANDPAR
(3,14),(14,7),0.00925373 # DEPENDENCYPART_GRANDPAR
(3,14),(14,13),-0.394455 # DEPENDENCYPART_GRANDPAR
(3,14),(14,15),-0.166021 # DEPENDENCYPART_GRANDPAR
(3,14),(14,16),-0.27062 # DEPENDENCYPART_GRANDPAR
(3,14),(14,17),-0.339553 # DEPENDENCYPART_GRANDPAR
