# _root_ Fewer people said they were working up a sweat with such activities as jogging , tennis , swimming and aerobics .
#goldHeads=2,3,0,5,3,5,6,9,6,6,12,10,12,19,19,19,19,19,13,19,3,
#predictedHeads=2,3,0,5,3,5,6,9,6,9,12,10,12,19,19,19,19,19,13,19,3,
(10,9),(9,9),(9,10),-0.136649 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,9),(9,9),(9,11),-0.126088 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,12),-0.133287 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,13),-0.13596 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,14),-0.133287 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,15),-0.1257 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,16),-0.133287 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,17),-0.1257 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,19),-0.134688 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,21),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,22),-0.137725 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,9),(9,10),(9,11),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,10),(9,12),-0.124942 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,10),(9,13),-0.124886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,10),(9,14),-0.124942 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,10),(9,15),-0.124893 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,10),(9,16),-0.124942 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,10),(9,17),-0.124893 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,10),(9,19),-0.1249 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,10),(9,21),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,10),(9,22),-0.115057 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,9),(9,11),(9,12),-0.126325 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,11),(9,13),-0.12505 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,11),(9,14),-0.126325 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,11),(9,15),-0.1249 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,11),(9,16),-0.126325 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,11),(9,17),-0.1249 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,11),(9,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,11),(9,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,11),(9,22),-0.0661935 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,12),(9,13),-0.125964 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,12),(9,14),-0.127187 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,12),(9,15),-0.124916 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,12),(9,16),-0.127187 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,12),(9,17),-0.124916 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,12),(9,19),-0.125167 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,12),(9,21),-0.124886 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,12),(9,22),-0.14514 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,13),(9,14),-0.124941 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,13),(9,15),-0.124893 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,13),(9,16),-0.124941 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,13),(9,17),-0.124893 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,13),(9,19),-0.1249 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,13),(9,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,13),(9,22),-0.106403 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,14),(9,15),-0.124916 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,14),(9,16),-0.127187 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,14),(9,17),-0.124916 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,14),(9,19),-0.125167 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,14),(9,21),-0.124886 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,14),(9,22),-0.145097 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,15),(9,16),-0.124948 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,15),(9,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,15),(9,19),-0.124894 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,15),(9,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,15),(9,22),-0.140685 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,16),(9,17),-0.124916 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,16),(9,19),-0.125167 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,16),(9,21),-0.124886 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,16),(9,22),-0.145097 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,17),(9,19),-0.124894 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,17),(9,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,17),(9,22),-0.140685 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,19),(9,21),9.43821e-05 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,19),(9,22),0.0182845 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,21),(9,22),-0.124886 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,9),(9,8),0.0246464 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,7),-0.0318069 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,4),-0.0739994 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,9),(9,9),(9,-1),0.137617 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,9),(9,8),(9,7),-0.0419997 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,8),(9,4),-0.042243 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,8),(9,-1),-0.00190259 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,7),(9,4),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(10,9),(9,7),(9,-1),-0.0282897 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,9),(9,4),(9,-1),-0.0677054 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,11),(11,13),-0.0441779 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,14),-0.0379874 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,22),0.0809421 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,11),(11,13),(11,14),-0.0186935 # DEPENDENCYPART_GRANDSIBL
(10,11),(11,13),(11,22),-0.0966951 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,14),(11,22),0.00998854 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,11),(11,11),(11,9),-0.134358 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,11),(11,11),(11,-1),-0.157692 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,11),(11,9),(11,-1),-0.122037 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,12),(12,13),-0.107437 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,14),-0.176418 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,15),-0.0602195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,16),-0.176418 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,17),-0.0602195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,19),-0.123946 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,22),0.15008 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,12),(12,13),(12,14),-0.0533643 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,15),-0.0239287 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,16),-0.0533643 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,17),-0.0239287 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,19),-0.0811298 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,13),(12,22),-0.0421968 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,14),(12,15),-0.0828678 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,14),(12,16),-0.0516513 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,14),(12,17),-0.0828678 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,14),(12,19),-0.0454442 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,14),(12,22),-0.131737 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,15),(12,16),-0.083554 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,15),(12,17),-0.0776469 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,15),(12,19),-0.00106338 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,15),(12,22),-0.0649646 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,16),(12,17),-0.0828821 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,16),(12,19),-0.0454442 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,16),(12,22),-0.131737 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,17),(12,19),-0.00106338 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,17),(12,22),-0.0649646 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,19),(12,22),-0.133838 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,12),(12,11),0.168684 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,10),0.164268 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,12),(12,12),(12,9),-0.133288 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,8),-0.133619 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,12),(12,-1),-0.138525 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,12),(12,11),(12,10),0.134764 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,11),(12,9),-0.126325 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,11),(12,8),-0.133309 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,11),(12,-1),-0.0600112 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,10),(12,9),-0.124942 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,10),(12,8),-0.124888 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,12),(12,10),(12,-1),-0.115072 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,12),(12,9),(12,8),-0.126187 # DEPENDENCYPART_GRANDSIBL
(10,12),(12,9),(12,-1),-0.147205 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,12),(12,8),(12,-1),-0.130359 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,13),(13,13),(13,14),-0.141334 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,13),(13,13),(13,15),-0.0412921 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,13),(13,13),(13,16),-0.141334 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,13),(13,13),(13,18),-0.141334 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,13),(13,13),(13,19),-0.0845019 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,13),(13,13),(13,20),-0.141334 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,13),(13,13),(13,22),0.000845046 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,13),(13,14),(13,15),-0.0453929 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,14),(13,16),-0.0401613 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,14),(13,18),-0.0401613 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,14),(13,19),-0.0423586 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,14),(13,20),-0.0401613 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,14),(13,22),-0.0882645 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,13),(13,15),(13,16),-0.0440865 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,15),(13,18),-0.0440865 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,15),(13,19),-0.0424883 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,15),(13,20),-0.0440865 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,15),(13,22),-0.0290747 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,13),(13,16),(13,18),-0.0401613 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,16),(13,19),-0.0423586 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,16),(13,20),-0.0401613 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,16),(13,22),-0.0882645 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,13),(13,18),(13,19),-0.0423586 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,18),(13,20),-0.0401613 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,18),(13,22),-0.0882645 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,13),(13,19),(13,20),-0.170498 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,19),(13,22),-0.0735828 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,13),(13,20),(13,22),-0.0882645 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,13),(13,13),(13,12),0.164128 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,13),(13,13),(13,11),0.137992 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,13),(13,13),(13,10),0.114457 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,13),(13,13),(13,9),-0.14187 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,13),(13,13),(13,-1),-0.0912004 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,13),(13,12),(13,11),0.120555 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,12),(13,10),0.118952 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,13),(13,12),(13,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,12),(13,-1),-0.0922034 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,13),(13,11),(13,10),0.117506 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,13),(13,11),(13,9),-0.124901 # DEPENDENCYPART_GRANDSIBL
(10,13),(13,11),(13,-1),-0.133794 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,13),(13,10),(13,9),-0.124907 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,13),(13,10),(13,-1),-0.127224 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,13),(13,9),(13,-1),-0.0922033 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,14),(14,15),-0.0613392 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,16),-0.176418 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,17),-0.0613392 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,18),-0.176418 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,19),-0.123944 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,20),-0.176418 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,21),-0.0691174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,22),0.137618 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,14),(14,15),(14,16),-0.0831168 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,15),(14,17),-0.0776469 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,15),(14,18),-0.0831025 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,15),(14,19),-0.00106302 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,15),(14,20),-0.0831025 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,15),(14,21),-0.0420212 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,15),(14,22),-0.0643332 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,16),(14,17),-0.082882 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,16),(14,18),-0.0516513 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,16),(14,19),-0.0454442 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,16),(14,20),-0.0516513 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,16),(14,21),-0.0458861 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,16),(14,22),-0.131003 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,17),(14,18),-0.0831025 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,17),(14,19),-0.00106302 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,17),(14,20),-0.0831025 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,17),(14,21),-0.0420212 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,17),(14,22),-0.0643332 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,18),(14,19),-0.0454442 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,18),(14,20),-0.0516513 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,18),(14,21),-0.0458861 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,18),(14,22),-0.131003 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,19),(14,20),-0.167444 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,19),(14,21),0.0829678 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,19),(14,22),-0.133836 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,20),(14,21),-0.0458861 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,20),(14,22),-0.131003 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,21),(14,22),-0.0639595 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,14),(14,13),0.173433 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,12),0.170654 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,11),0.162817 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,10),0.164274 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,14),(14,14),(14,9),-0.133287 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,8),-0.133619 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,14),(14,-1),-0.137725 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,14),(14,13),(14,12),0.112386 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,13),(14,11),0.108994 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,13),(14,10),0.117871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,13),(14,9),-0.124941 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,13),(14,8),-0.124888 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,13),(14,-1),-0.106403 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,12),(14,11),0.107956 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,12),(14,10),0.115154 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,12),(14,9),-0.127187 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,12),(14,8),-0.126187 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,12),(14,-1),-0.145124 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,11),(14,10),0.134764 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,11),(14,9),-0.126325 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,11),(14,8),-0.133309 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,11),(14,-1),-0.0661934 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,10),(14,9),-0.124942 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,10),(14,8),-0.124888 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,14),(14,10),(14,-1),-0.115057 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,14),(14,9),(14,8),-0.126187 # DEPENDENCYPART_GRANDSIBL
(10,14),(14,9),(14,-1),-0.145081 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,14),(14,8),(14,-1),-0.13004 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,15),(15,15),(15,22),-0.0979075 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,15),(15,15),(15,-1),-0.171479 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,16),(16,16),(16,17),-0.0613392 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,18),-0.176418 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,20),-0.176418 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,21),-0.0691174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,22),0.137618 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,16),(16,17),(16,18),-0.0831025 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,17),(16,20),-0.0831025 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,17),(16,21),-0.0420212 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,17),(16,22),-0.0643332 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,18),(16,20),-0.0516513 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,18),(16,21),-0.0458861 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,18),(16,22),-0.131003 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,20),(16,21),-0.0458861 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,20),(16,22),-0.131003 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,21),(16,22),-0.0639595 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,16),(16,15),0.0010541 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,14),0.170658 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,13),0.173433 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,12),0.170654 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,11),0.162817 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,8),-0.133619 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,16),(16,16),(16,-1),-0.137725 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,16),(16,15),(16,14),0.0486374 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,15),(16,13),0.126827 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,15),(16,12),0.0486374 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,15),(16,11),0.126865 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,15),(16,8),-0.12509 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,15),(16,-1),-0.140685 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,14),(16,13),0.115822 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,14),(16,12),0.138241 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,14),(16,11),0.107959 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,14),(16,8),-0.126187 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,14),(16,-1),-0.145081 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,13),(16,12),0.112386 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,13),(16,11),0.108994 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,13),(16,8),-0.124888 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,13),(16,-1),-0.106403 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,12),(16,11),0.107956 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,12),(16,8),-0.126187 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,12),(16,-1),-0.145124 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,11),(16,8),-0.133309 # DEPENDENCYPART_GRANDSIBL
(10,16),(16,11),(16,-1),-0.0661934 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,16),(16,8),(16,-1),-0.13004 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,19),(19,19),(19,20),0.21446 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,19),(19,19),(19,21),-0.0420242 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,19),(19,19),(19,22),-0.215601 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,19),(19,20),(19,21),-0.0375543 # DEPENDENCYPART_GRANDSIBL
(10,19),(19,20),(19,22),0.0912681 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,19),(19,21),(19,22),-0.0465205 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,19),(19,19),(19,18),0.352611 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,19),(19,19),(19,17),0.0234902 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,19),(19,19),(19,16),0.352611 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,19),(19,19),(19,15),0.0234902 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,19),(19,19),(19,14),0.352611 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,19),(19,19),(19,13),0.111251 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,19),(19,19),(19,12),0.350185 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
