# _root_ Under the circumstances , it wo n't be easy for GM to exceed its record 1988 fourth-quarter net of $ 1.4 billion , the spokesman acknowledged .
#goldHeads=6,3,1,6,6,26,6,6,8,13,13,13,8,18,18,18,18,13,18,19,20,20,26,25,26,0,26,
#predictedHeads=6,3,1,6,6,26,6,6,8,13,13,13,8,18,18,18,18,13,18,19,20,20,26,25,26,0,26,
(22,26),(26,26),(26,28),-0.00402335 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,26),(26,27),(26,28),-0.0230449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,26),(26,26),(26,25),0.105343 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,26),(26,24),0.109485 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,26),(26,23),0.10339 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,26),(26,22),0.108511 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,26),(26,21),-0.144977 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,26),(26,20),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,26),(26,19),-0.144843 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,26),(26,18),-0.145587 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,26),(26,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,26),(26,16),-0.144977 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,26),(26,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,26),(26,13),-0.145129 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,26),(26,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,26),(26,11),-0.145587 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,26),(26,10),-0.144843 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,26),(26,9),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,26),(26,8),-0.145129 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,26),(26,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,26),(26,6),-0.144797 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,26),(26,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,26),(26,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,26),(26,3),-0.145587 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,26),(26,1),-0.144843 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,26),(26,-1),-0.210492 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,26),(26,25),(26,24),0.109415 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,25),(26,23),0.109113 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,25),(26,22),0.109538 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,25),(26,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,25),(26,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,25),(26,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,25),(26,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,25),(26,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,25),(26,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,25),(26,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,25),(26,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,25),(26,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,25),(26,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,25),(26,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,25),(26,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,25),(26,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,25),(26,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,25),(26,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,25),(26,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,25),(26,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,25),(26,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,25),(26,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,25),(26,-1),-0.148789 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,26),(26,24),(26,23),0.10954 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,24),(26,22),0.10954 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,24),(26,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,24),(26,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,24),(26,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,24),(26,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,24),(26,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,24),(26,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,24),(26,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,24),(26,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,24),(26,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,24),(26,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,24),(26,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,24),(26,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,24),(26,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,24),(26,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,24),(26,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,24),(26,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,24),(26,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,24),(26,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,24),(26,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,24),(26,-1),-0.147972 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,26),(26,23),(26,22),0.108968 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,23),(26,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,23),(26,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,23),(26,19),-0.144702 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,23),(26,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,23),(26,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,23),(26,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,23),(26,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,23),(26,13),-0.144908 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,23),(26,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,23),(26,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,23),(26,10),-0.144702 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,23),(26,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,23),(26,8),-0.144908 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,23),(26,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,23),(26,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,23),(26,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,23),(26,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,23),(26,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,23),(26,1),-0.144702 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,23),(26,-1),-0.152535 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,26),(26,22),(26,21),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,22),(26,20),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,22),(26,19),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,22),(26,18),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,22),(26,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,22),(26,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,22),(26,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,22),(26,13),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,22),(26,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,22),(26,11),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,22),(26,10),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,22),(26,9),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,22),(26,8),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,22),(26,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,22),(26,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,22),(26,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,22),(26,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,22),(26,3),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,22),(26,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,22),(26,-1),-0.146739 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,26),(26,21),(26,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,21),(26,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,21),(26,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,21),(26,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,21),(26,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,21),(26,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,21),(26,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,21),(26,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,21),(26,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,21),(26,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,21),(26,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,21),(26,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,21),(26,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,21),(26,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,21),(26,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,21),(26,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,21),(26,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,21),(26,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,21),(26,-1),-0.146733 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,26),(26,20),(26,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,20),(26,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,20),(26,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,20),(26,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,20),(26,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,20),(26,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,20),(26,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,20),(26,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,20),(26,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,20),(26,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,20),(26,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,20),(26,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,20),(26,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,20),(26,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,20),(26,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,20),(26,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,20),(26,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,20),(26,-1),-0.144801 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,26),(26,19),(26,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,19),(26,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,19),(26,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,19),(26,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,19),(26,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,19),(26,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,19),(26,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,19),(26,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,19),(26,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,19),(26,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,19),(26,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,19),(26,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,19),(26,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,19),(26,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,19),(26,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,19),(26,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,19),(26,-1),-0.158132 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,26),(26,18),(26,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,18),(26,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,18),(26,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,18),(26,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,18),(26,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,18),(26,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,18),(26,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,18),(26,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,18),(26,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,18),(26,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,18),(26,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,18),(26,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,18),(26,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,18),(26,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,18),(26,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,18),(26,-1),-0.148789 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,26),(26,17),(26,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,17),(26,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,17),(26,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,17),(26,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,17),(26,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,17),(26,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,17),(26,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,17),(26,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,17),(26,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,17),(26,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,17),(26,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,17),(26,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,17),(26,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,17),(26,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,17),(26,-1),-0.13797 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,26),(26,16),(26,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,16),(26,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,16),(26,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,16),(26,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,16),(26,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,16),(26,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,16),(26,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,16),(26,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,16),(26,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,16),(26,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,16),(26,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,16),(26,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,16),(26,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,16),(26,-1),-0.146733 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,26),(26,15),(26,13),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,15),(26,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,15),(26,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,15),(26,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,15),(26,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,15),(26,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,15),(26,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,15),(26,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,15),(26,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,15),(26,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,15),(26,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,15),(26,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,15),(26,-1),-0.13797 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,26),(26,13),(26,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,13),(26,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,13),(26,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,13),(26,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,13),(26,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,13),(26,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,13),(26,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,13),(26,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,13),(26,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,13),(26,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,13),(26,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,13),(26,-1),-0.145349 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,26),(26,12),(26,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,12),(26,10),-0.144702 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,12),(26,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,12),(26,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,12),(26,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,12),(26,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,12),(26,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,12),(26,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,12),(26,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,12),(26,1),-0.144702 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,12),(26,-1),-0.132501 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,26),(26,11),(26,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,11),(26,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,11),(26,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,11),(26,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,11),(26,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,11),(26,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,11),(26,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,11),(26,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,11),(26,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,11),(26,-1),-0.148789 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,26),(26,10),(26,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,10),(26,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,10),(26,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,10),(26,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,10),(26,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,10),(26,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,10),(26,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,10),(26,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,10),(26,-1),-0.15524 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,26),(26,9),(26,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,9),(26,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,9),(26,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,9),(26,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,9),(26,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,9),(26,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,9),(26,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,9),(26,-1),-0.13797 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,26),(26,8),(26,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,8),(26,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,8),(26,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,8),(26,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,8),(26,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,8),(26,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,8),(26,-1),-0.145349 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,26),(26,7),(26,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,7),(26,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,7),(26,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,7),(26,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,7),(26,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,7),(26,-1),-0.14401 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,26),(26,6),(26,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,6),(26,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,6),(26,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,6),(26,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,6),(26,-1),-0.144806 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,26),(26,5),(26,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,5),(26,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,5),(26,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,5),(26,-1),-0.139854 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,26),(26,4),(26,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,4),(26,1),-0.144702 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,4),(26,-1),-0.152535 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,26),(26,3),(26,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,26),(26,3),(26,-1),-0.148789 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,26),(26,1),(26,-1),-0.155229 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,14),(14,14),(14,28),-0.0704443 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,14),(14,14),(14,-1),0.0447251 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,16),(16,16),(16,17),0.0976996 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,16),(16,16),(16,18),0.172133 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,16),(16,16),(16,19),0.0684286 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,16),(16,16),(16,20),0.131562 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,16),(16,16),(16,21),0.0900529 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,16),(16,16),(16,22),0.089396 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,16),(16,16),(16,25),-0.145666 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,16),(16,16),(16,28),-0.0397017 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
